A_dialog_0,B_dialog_0,A_dialog_1,A_emotion_0,A_emotion_1
你是個天才！,哎呀，我們不能當銀行家夥伴了！,現在有兩個理由。,開心,中性
嗨。,嗨！,哎呀，你們記不記得我之前提過的那個可愛的客戶呢？我咬了他。,中性,中性
哎呀，你們記不記得我之前提過的那個可愛的客戶呢？我咬了他。,哪裡！！,敏感。,中性,中性
敏感。,而。,不，我知道啦！,中性,驚訝
耶！耶！耶！當我在做些令人興奮的事，又不想被打擾時，就會這樣吶喊。,謝謝喬伊。,不客氣，謝謝你的回應。,開心,中性
嗨艾絲特爾，聽著。,哎呀！哎呀！哎呀！喬伊·崔比恩！你又回來了呢？他們。,你在說什麼？我沒曾離開過你！你一直以來都是我的代理人！,中性,驚訝
哎呀！哎呀！哎呀！喬伊·崔比恩！你又回來了呢？他們。,你在說什麼？我沒曾離開過你！你一直以來都是我的代理人！,真的嗎？！,驚訝,驚訝
你在說什麼？我沒曾離開過你！你一直以來都是我的代理人！,真的嗎？！,嗯！,驚訝,開心
真的嗎？！,嗯！,沒關係，沒事就沒事。,驚訝,中性
啊！好，我先去開門。(Ahem) 有人來找瑪麗安談演化論嗎？,哎呀，其實我覺得瑪莉安的看法太過進步主義。,我看瑪莉安的看法太過進步派。,憤怒,中性
哎呀，其實我覺得瑪莉安的看法太過進步主義。,我看瑪莉安的看法太過進步派。,抱歉，我似乎誤會了你的身分，請問您是哪位？,中性,驚訝
我看瑪莉安的看法太過進步派。,抱歉，我似乎誤會了你的身分，請問您是哪位？,我是這裡羅斯·蓋勒教授的助理，您好。,中性,中性
抱歉，我似乎誤會了你的身分，請問您是哪位？,我是這裡羅斯·蓋勒教授的助理，您好。,羅斯·格勒爾，我怎麼會知道這個名字呢？是啊，你又想考我了，是嗎？等等！你寫的這封信，是我的博士論文的其中一篇參考文獻，你可別想用它來證明什麼！,驚訝,驚訝
我是這裡羅斯·蓋勒教授的助理，您好。,羅斯·格勒爾，我怎麼會知道這個名字呢？是啊，你又想考我了，是嗎？等等！你寫的這封信，是我的博士論文的其中一篇參考文獻，你可別想用它來證明什麼！,是的，就是你借閱了我的書嗎？！,中性,驚訝
羅斯·格勒爾，我怎麼會知道這個名字呢？是啊，你又想考我了，是嗎？等等！你寫的這封信，是我的博士論文的其中一篇參考文獻，你可別想用它來證明什麼！,是的，就是你借閱了我的書嗎？！,你知道，你看起來一點也不像我想像中那樣。你年紀輕輕就。.....你好年輕。,驚訝,驚訝
是的，就是你借閱了我的書嗎？！,你知道，你看起來一點也不像我想像中那樣。你年紀輕輕就。.....你好年輕。,我跳過了四年級。,驚訝,中性
你沒有權利告訴我你曾經對我有感情。,什麼事？,我在發現妳之前，跟朱莉相處得很愉快。,憤怒,憤怒
什麼事？,我在發現妳之前，跟朱莉相處得很愉快。,嗨，在我發現你之前，我的生活可真是過得很棒。你以為我好過嗎？要我看你跟慧玲在一起有多容易？。,驚訝,憤怒
我在發現妳之前，跟朱莉相處得很愉快。,嗨，在我發現你之前，我的生活可真是過得很棒。你以為我好過嗎？要我看你跟慧玲在一起有多容易？。,重點是我。,憤怒,憤怒
哎呀，送新婚夫婦去度蜜月真是太浪漫了。,你知道嗎，莫妮卡跟錢德勒已經結婚了，而羅斯跟瑞秋又要生寶寶了，說不定咱們也該做點什麼了。,一切都恰如其時，我的愛。,開心,中性
你稍後好。,我沒有鑰匙，他們拿走我的給妳的。,他們拿走我的就給了你！,中性,驚訝
我沒有鑰匙，他們拿走我的給妳的。,他們拿走我的就給了你！,他們為什麼要拿走我們的鑰匙？,中性,驚訝
她會把我們逼瘋。,嗨羅素!,嗨室友！,噁心,開心
裸露的場面對於整件事情來說真的很重要。,你說起色情片這件事。,你猜對了，也許我根本不該接那通電話。,中性,中性
你說起色情片這件事。,你猜對了，也許我根本不該接那通電話。,不，別這麼做！許多知名影星都拍過全裸戲碼！我指的，就是有機會擔綱演出一部電影？來吧！,中性,開心
你猜對了，也許我根本不該接那通電話。,不，別這麼做！許多知名影星都拍過全裸戲碼！我指的，就是有機會擔綱演出一部電影？來吧！,沒錯，那也是事實。,中性,中性
嗨，有什麼事嗎？,我們與Monica沒什麼事，只是鬧了個小彆扭。,不過你們倆還是同居中嗎？因為我的廣告今天登了。,中性,中性
我們與Monica沒什麼事，只是鬧了個小彆扭。,不過你們倆還是同居中嗎？因為我的廣告今天登了。,「室友徵求，女室友，不吸菸，不醜陋。」妙哉！,傷心,開心
不過你們倆還是同居中嗎？因為我的廣告今天登了。,「室友徵求，女室友，不吸菸，不醜陋。」妙哉！,嗯。,中性,中性
嗯，沒有人會這樣說話！,哎呀？像你的什麼哥普？。,嗨，我比你們兩個還多當警察呢！,憤怒,憤怒
嗨，我比你們兩個還多當警察呢！,你怎麼想的？,哈囉！我是坐在正座的那位，好嗎？我可是葛瑞的搭檔呢！,憤怒,中性
謝謝你的幫助！",等等，瑞秋！另一隻呢？,原來你是指兩個都想拿呢？那可就難了，我只好說，抱歉，我這裡只有單個選項，只能選一個。,中性,驚訝
等等，瑞秋！另一隻呢？,原來你是指兩個都想拿呢？那可就難了，我只好說，抱歉，我這裡只有單個選項，只能選一個。,綠綺拉·卡珊·葛林，另一隻耳環呢？！,中性,憤怒
原來你是指兩個都想拿呢？那可就難了，我只好說，抱歉，我這裡只有單個選項，只能選一個。,綠綺拉·卡珊·葛林，另一隻耳環呢？！,好啦，好啦，好啦，看我了，我失手了，有點搞不清楚。,驚訝,恐懼
我知道它就在公寓裡，但我。,好啦，我該跟莫妮卡說些什麼呢？她今晚還想穿那雙鞋呢！。,告訴她穿戴自己喜歡的耳環。,中性,憤怒
好啦，我該跟莫妮卡說些什麼呢？她今晚還想穿那雙鞋呢！。,告訴她穿戴自己喜歡的耳環。,這些。,恐懼,中性
告訴她穿戴自己喜歡的耳環。,這些。,哎呀！哎呀！我借你莫妮卡的那副耳環嗎？我根本沒被允許借用她的東西呢！,憤怒,憤怒
這些。,哎呀！哎呀！我借你莫妮卡的那副耳環嗎？我根本沒被允許借用她的東西呢！,為什麼不行呢？,中性,中性
哎呀！哎呀！我借你莫妮卡的那副耳環嗎？我根本沒被允許借用她的東西呢！,為什麼不行呢？,因為我遺失了她的物品！,憤怒,憤怒
發生什麼事了？,又中了！指的是又出現笑話或搞笑的情況。,天呀！怎麼會跟一個明知是逃亡風險的人玩躲貓貓呢？!。,中性,傷心
天呀！怎麼會跟一個明知是逃亡風險的人玩躲貓貓呢？!。,準備好了，我們再試一次。,我已經有孩子了，可以給我留點空間。,傷心,憤怒
快活的小錢達，該是該誕生的時候了，快活的小錢達，快出來吧！快出來吧！,沒問題，他快來了。他快來了！,嗨，他的東西呢？。,開心,驚訝
錢德勒是女孩子了！,天啊，幼稚園回憶湧上心頭。,他們一定看超音波片錯了。,驚訝,驚訝
