_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000076,0.000103350,0.000257172,0.581620634,0.815733373,0.280007869,0.000153023,0.000000107,0.000000128,0.035823319,0.050001718,0.182627901,0.190927267,0.024291202,0.253557026,0.253540218,0.020905904,0.068567999,0.054243561,0.256658494,0.080492906,0.068220571,0.007372219,0.005604714,0.014663559,0.002383772,0.000003363,0.000024436,0.000898238,0.004879744,0.004485062,0.004001322,0.004867196,0.001266316,0.277961791,0.252934843,0.010118308,0.057021607,0.005179205,0.000042653,0.000768553,0.001822898,0.000690639,0.008369068,0.022640644,0.034262963,0.049645390,0.144254863,0.018661495,0.042872921,0.000010973,0.000000559
0.000000055,0.000111320,0.000321942,0.619124413,0.800229788,0.245955259,0.000113095,0.000000133,0.000000163,0.040437520,0.034819640,0.211568564,0.211817205,0.036752168,0.211839765,0.207076386,0.026505360,0.058765810,0.048961144,0.272153914,0.074825995,0.061804570,0.012647960,0.006740074,0.010540873,0.001193815,0.000002881,0.000011711,0.000697157,0.008642538,0.004032838,0.003506304,0.005664462,0.000400422,0.290223956,0.230062604,0.008074176,0.051738620,0.005737680,0.000143449,0.000499615,0.001774855,0.000655453,0.007300040,0.029253207,0.048930764,0.111271352,0.319039643,0.027437231,0.075928487,0.000013364,0.000000477
0.000000064,0.000075491,0.000361948,0.649744630,0.825338781,0.208287731,0.000154810,0.000000201,0.000000250,0.029626502,0.027411800,0.236302510,0.224807680,0.026147293,0.270208538,0.282593220,0.015105014,0.050173577,0.048250265,0.169621080,0.070711054,0.081228971,0.018571196,0.007982627,0.029788733,0.002731974,0.000002664,0.000014652,0.000642741,0.010560456,0.008469487,0.007631600,0.011609197,0.000405583,0.566014767,0.543701530,0.007338567,0.053716067,0.007317089,0.000163977,0.000708912,0.002310354,0.000895193,0.012195754,0.014509695,0.027750937,0.044447746,0.112242520,0.075696319,0.200707555,0.000017933,0.000000778
0.000000070,0.000205428,0.000321971,0.612049699,0.731285334,0.222414702,0.000170623,0.000000136,0.000000199,0.038741492,0.035591692,0.238379702,0.235900998,0.017244475,0.335430562,0.343257248,0.013129417,0.050851464,0.040009964,0.269432902,0.080896370,0.062378097,0.011772012,0.008184359,0.016865203,0.004296882,0.000004370,0.000033079,0.000950249,0.010718884,0.001154743,0.000995472,0.012637276,0.000359817,0.433438122,0.419050306,0.007772726,0.048445988,0.005134019,0.000207870,0.000494126,0.003140389,0.000272859,0.006057760,0.048042834,0.086276375,0.062955685,0.192082390,0.041121155,0.123459384,0.000009987,0.000000612
0.000000072,0.000280318,0.001070337,0.454400510,0.710985601,0.149912417,0.000153615,0.000000157,0.000000201,0.029003879,0.021104502,0.203501686,0.200843528,0.030580878,0.219380975,0.221368507,0.025383150,0.058329493,0.053300228,0.263560236,0.076705873,0.080736883,0.018391378,0.006868778,0.014744835,0.002881369,0.000004339,0.000017642,0.000617115,0.010221794,0.003915640,0.003205832,0.007607335,0.000282672,0.468021840,0.423043966,0.007297954,0.056492627,0.004334304,0.000220479,0.000629814,0.002686521,0.000530455,0.009335820,0.022414220,0.045183584,0.076332562,0.198569447,0.048654471,0.161640123,0.000011754,0.000000716
0.000000089,0.000122612,0.000339660,0.648172379,0.773556948,0.166873619,0.000166920,0.000000268,0.000000163,0.028322635,0.021873217,0.173232123,0.170361564,0.030197727,0.221183538,0.221567050,0.024467625,0.074068226,0.066249117,0.241642281,0.065327868,0.082661875,0.019346347,0.005592534,0.016076015,0.006042615,0.000011180,0.000028806,0.000294475,0.007092602,0.016509244,0.014378456,0.009900845,0.000206302,0.524671555,0.445811331,0.002775214,0.039006304,0.006968307,0.000252194,0.000949797,0.002680327,0.000797952,0.015151405,0.005552160,0.015040969,0.030395217,0.122068502,0.042073943,0.158458680,0.000014018,0.000000843
0.000000072,0.000103022,0.000152096,0.706518650,0.791381717,0.241141140,0.000142265,0.000000281,0.000000117,0.061258458,0.030972376,0.160755455,0.145617142,0.028572904,0.240783259,0.232293248,0.021006927,0.075273275,0.080421537,0.261157691,0.131567642,0.040645741,0.014229093,0.004822595,0.013463530,0.009787504,0.000017797,0.000048307,0.000478585,0.007490600,0.006115598,0.005488358,0.013086067,0.000231694,0.590585589,0.508508325,0.002656709,0.039156538,0.008555328,0.000296023,0.001057936,0.002337173,0.000416640,0.011051822,0.003565455,0.009286872,0.012540851,0.042342618,0.024718232,0.076603666,0.000009755,0.000000663
0.000000072,0.000558012,0.000324412,0.615742266,0.507800877,0.116112947,0.000132600,0.000000195,0.000000074,0.076186612,0.043019973,0.157319799,0.155335829,0.028933635,0.240019590,0.241832525,0.021210492,0.066573307,0.071997270,0.360460341,0.170201048,0.031880539,0.009388815,0.005012206,0.013008724,0.004235274,0.000011022,0.000018792,0.000777677,0.008379648,0.004646278,0.004340650,0.007790951,0.000880319,0.588278174,0.542258263,0.005419169,0.060406320,0.006165447,0.000055588,0.001077265,0.001639936,0.000816737,0.016915515,0.007276756,0.016122900,0.012943766,0.028919263,0.029413143,0.082556292,0.000009674,0.000000566
0.000000055,0.000548041,0.000661474,0.582499504,0.524198651,0.105505377,0.000050165,0.000000198,0.000000049,0.070850335,0.045254044,0.154362679,0.153081328,0.036927555,0.153412536,0.158577114,0.050670471,0.072296038,0.076176889,0.276134551,0.195371717,0.032223418,0.009443508,0.002598432,0.018190585,0.003338444,0.000009291,0.000015416,0.000295314,0.006508896,0.003923066,0.003121329,0.028702330,0.001569707,0.389766395,0.273949355,0.001023045,0.029639933,0.045230355,0.000055221,0.000698165,0.000974799,0.000940666,0.028766142,0.000691146,0.002088129,0.004240121,0.011509007,0.023345768,0.093801081,0.000008211,0.000000441
0.000000082,0.000815301,0.001098560,0.383427799,0.511731684,0.090525292,0.000074191,0.000000153,0.000000045,0.054222405,0.036308173,0.102303177,0.105221331,0.040882964,0.135293841,0.142037332,0.059251025,0.105766900,0.114090174,0.366739720,0.210687250,0.035032421,0.010128462,0.002203669,0.013762317,0.004858605,0.000010344,0.000037827,0.000512761,0.008581302,0.002104402,0.001542342,0.016944608,0.001519125,0.341626704,0.216377527,0.002816971,0.060598068,0.015766127,0.000057409,0.000925644,0.001445094,0.000932823,0.022961495,0.001703134,0.004365985,0.005602455,0.007812063,0.020134918,0.081135184,0.000004563,0.000000459
0.000000093,0.000292021,0.000405439,0.539679050,0.678860426,0.184046865,0.000132560,0.000000134,0.000000069,0.036558516,0.050714791,0.097246990,0.113221653,0.024845488,0.182070285,0.201504126,0.043539520,0.117216550,0.100833088,0.291384429,0.121874288,0.058596250,0.007626210,0.003369538,0.017672626,0.004773355,0.000003910,0.000045741,0.000391923,0.009781715,0.012341481,0.009661717,0.005739633,0.000514675,0.381657362,0.259576946,0.003995780,0.083776653,0.005664650,0.000095700,0.001135031,0.001718080,0.001028257,0.009949741,0.003766249,0.010431848,0.013979253,0.039722975,0.018891852,0.075236395,0.000006970,0.000000690
0.000000128,0.002314592,0.112161033,0.042641133,0.351825058,0.006462359,0.000197652,0.000000052,0.000000038,0.302369684,0.582500756,0.454741389,0.436426640,0.151633918,0.042107560,0.054076873,0.162059933,0.029558213,0.017818442,0.547960103,0.579441428,0.010048616,0.000117472,0.003106893,0.017277954,0.010262635,0.000016251,0.000103216,0.000668389,0.006948528,0.003572377,0.003514463,0.002915228,0.012059875,0.527363479,0.393852592,0.006406176,0.191286027,0.002171595,0.000002594,0.002726677,0.002814708,0.001369100,0.009933714,0.005655254,0.018370317,0.003969358,0.025633449,0.012056262,0.070897944,0.000002652,0.000000673
0.000000126,0.003577507,0.230146438,0.023935268,0.234033450,0.003549703,0.000161540,0.000000053,0.000000036,0.327316135,0.581034005,0.390078723,0.373308450,0.107793719,0.063685797,0.073579855,0.113432914,0.036073022,0.025710994,0.519617558,0.628938198,0.008216576,0.000113536,0.002881216,0.012188253,0.008811429,0.000017080,0.000097292,0.000600310,0.009647059,0.003457418,0.003055732,0.004644356,0.004981982,0.478080630,0.331429660,0.004476694,0.136386693,0.003148081,0.000007469,0.001942311,0.001976394,0.001079621,0.010657358,0.004743698,0.015848523,0.005094565,0.018849093,0.018048787,0.117737107,0.000002486,0.000000510
0.000000167,0.010592734,0.078022294,0.085882954,0.101437107,0.005234108,0.000168944,0.000000087,0.000000046,0.395869255,0.580487132,0.431026757,0.394119263,0.054564826,0.132085830,0.137381166,0.062442265,0.032833479,0.023923820,0.501930058,0.632477224,0.007432575,0.000134587,0.004674056,0.006093466,0.004981379,0.000019909,0.000053548,0.000677252,0.005507435,0.006373154,0.005218812,0.005881997,0.001514757,0.353829563,0.330593258,0.005268974,0.047992788,0.003057010,0.000021165,0.001155033,0.001761320,0.000501253,0.009611276,0.018465361,0.040941242,0.033942003,0.070698909,0.026425334,0.111933328,0.000004023,0.000000630
0.000000156,0.003513977,0.030501910,0.094635613,0.269849151,0.011605768,0.000226228,0.000000088,0.000000064,0.323120564,0.534979999,0.418364942,0.392742932,0.129764184,0.063314259,0.053292148,0.133298308,0.030215273,0.023275303,0.535205841,0.526155353,0.008878812,0.000191352,0.006683869,0.015966130,0.002814526,0.000007961,0.000025666,0.001136158,0.005608795,0.006236254,0.006290406,0.003109569,0.006892874,0.465798169,0.414909869,0.010063284,0.080070391,0.002538550,0.000002915,0.001382206,0.002266934,0.001749253,0.012469507,0.028718900,0.048755668,0.035500947,0.154306948,0.050454944,0.147643745,0.000006624,0.000000823
0.000000128,0.002143196,0.013135746,0.134718984,0.324721664,0.024261592,0.000107404,0.000000082,0.000000064,0.238920584,0.308804452,0.221016616,0.213663593,0.066858694,0.111325368,0.114378966,0.070507728,0.057281028,0.059112657,0.519901752,0.566969275,0.008285202,0.000665591,0.003378262,0.006586994,0.001702704,0.000004773,0.000028024,0.000840073,0.013837649,0.002893311,0.002114068,0.002931208,0.000462711,0.217557624,0.168787360,0.010644794,0.118556365,0.001623645,0.000115056,0.000884102,0.002299911,0.000973067,0.006716970,0.043813772,0.103683531,0.051160716,0.106791340,0.020463977,0.121738821,0.000003828,0.000000480
0.000000136,0.015996676,0.025710965,0.058905009,0.118639916,0.016924534,0.000089157,0.000000085,0.000000044,0.231463820,0.228769675,0.142125368,0.133767560,0.044045281,0.131307483,0.145279527,0.062550135,0.080426633,0.098221906,0.423910350,0.549097359,0.007081999,0.000967109,0.002411644,0.010086345,0.004366367,0.000005784,0.000049658,0.000619623,0.008513202,0.005174455,0.004018705,0.003889075,0.000525276,0.288411349,0.224994436,0.006639316,0.084980294,0.002237862,0.000079073,0.001145851,0.002289448,0.000598052,0.007857279,0.007340401,0.016738791,0.017855057,0.028508592,0.011471512,0.056867547,0.000002828,0.000000624
0.000000100,0.011998061,0.014170207,0.101549521,0.139910907,0.023473185,0.000057564,0.000000065,0.000000044,0.085103065,0.063865252,0.108863719,0.116965026,0.017622838,0.263174742,0.270185500,0.029843017,0.100021474,0.103722841,0.424273670,0.199987441,0.028805681,0.005540939,0.002153455,0.015688349,0.001736857,0.000003273,0.000013204,0.000671484,0.006843138,0.004226836,0.003646553,0.007045818,0.002265991,0.209841818,0.147404864,0.004569334,0.069074385,0.005689368,0.000021365,0.000692057,0.001413309,0.001543200,0.022795176,0.002666312,0.006172694,0.007253673,0.011969334,0.024110768,0.098118618,0.000005433,0.000000554
0.000000085,0.009265661,0.015007162,0.086216018,0.169026569,0.022320952,0.000058199,0.000000061,0.000000042,0.049870741,0.038220435,0.090438969,0.095115535,0.023794599,0.273316920,0.275233626,0.021196458,0.118304491,0.128048509,0.375055313,0.143848836,0.047604777,0.009214109,0.002276379,0.011099924,0.001427619,0.000004552,0.000011223,0.000766613,0.011848687,0.003285313,0.002535779,0.007356997,0.002336901,0.236912146,0.155868739,0.004737922,0.082598202,0.005908999,0.000022542,0.000630140,0.001206143,0.001538370,0.024875874,0.003872979,0.009689109,0.008483012,0.009868010,0.026498577,0.120865390,0.000005772,0.000000390
0.000000088,0.003396334,0.005558621,0.225573331,0.243378326,0.030073198,0.000055653,0.000000094,0.000000053,0.071873896,0.048045874,0.118249945,0.120147713,0.019260183,0.305357605,0.311797172,0.018274236,0.096524388,0.106405452,0.356566995,0.199049205,0.037326068,0.007553323,0.002360126,0.022014549,0.002201022,0.000003294,0.000017008,0.000576567,0.006629712,0.006333737,0.005098839,0.010566421,0.003061664,0.271916866,0.193148062,0.004391638,0.065767527,0.009316876,0.000016004,0.000860997,0.001724372,0.001897194,0.023419285,0.001692149,0.003535212,0.009329775,0.010229047,0.031610142,0.116973296,0.000006348,0.000000483
0.000000083,0.001168189,0.002852665,0.357295603,0.387100786,0.049226854,0.000044692,0.000000140,0.000000070,0.051448647,0.025319647,0.110535413,0.102874264,0.011707908,0.363795578,0.362723082,0.015251078,0.105819762,0.122427218,0.272545218,0.174979627,0.044304814,0.013529615,0.001248140,0.031852260,0.005864935,0.000011360,0.000027089,0.000649339,0.002984280,0.003550204,0.002674494,0.014535209,0.005229603,0.284750313,0.216535300,0.002507203,0.030668672,0.028707918,0.000015708,0.002469524,0.003463229,0.003388643,0.040176265,0.000182891,0.000265991,0.003209924,0.002055180,0.020161537,0.061886463,0.000004720,0.000000390
