_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000007406,0.534088254,0.514221907,0.001313735,0.000707346,0.000624079,0.000140618,0.000000498,0.000000485,0.170261517,0.169507012,0.165054366,0.186227337,0.012457705,0.179276466,0.209765434,0.033476189,0.059233665,0.054819111,0.456179887,0.453374743,0.003215008,0.002131506,0.000176292,0.002453564,0.099979244,0.000093363,0.016201528,0.002904667,0.011292589,0.010657895,0.010516427,0.000290304,0.001030437,0.004140896,0.003340285,0.151524305,0.390758753,0.000091778,0.000099485,0.218048722,0.140067667,0.027422288,0.019108322,0.006398316,0.008865114,0.004344153,0.011853021,0.000497220,0.000809528,0.000000129,0.000003896
0.000006305,0.537166834,0.528013229,0.001104003,0.000573315,0.000653926,0.000167152,0.000000480,0.000000474,0.148076475,0.164608240,0.181630805,0.213914245,0.026969856,0.084366277,0.131468415,0.061696339,0.050076187,0.041928504,0.455429763,0.392998964,0.004063476,0.002249163,0.000248928,0.005964494,0.112062894,0.000054363,0.012957902,0.003555326,0.013229069,0.009205108,0.007370485,0.000539483,0.001748366,0.006482972,0.005318261,0.158519030,0.373095214,0.000089607,0.000060999,0.098689377,0.077927850,0.019782415,0.026611017,0.012550486,0.015622906,0.007398149,0.006909859,0.001514086,0.003104246,0.000000162,0.000004334
0.000008534,0.521884203,0.495013744,0.001248209,0.000788412,0.000946398,0.000167034,0.000000627,0.000000632,0.153949574,0.154132083,0.181944311,0.210352957,0.013091806,0.113802001,0.219428465,0.051346656,0.046818011,0.039086208,0.425083220,0.387285590,0.003772083,0.002391310,0.000259116,0.003595625,0.107406408,0.000078944,0.012994128,0.004141236,0.008099087,0.012604339,0.012579391,0.000462965,0.001137368,0.004603854,0.004712398,0.181860149,0.319667995,0.000084129,0.000090428,0.105325937,0.079486862,0.021857496,0.028390441,0.011827958,0.014206009,0.006699923,0.014002631,0.001523799,0.002590751,0.000000199,0.000006176
0.000007165,0.582454324,0.568290949,0.000830815,0.000562954,0.000575607,0.000130546,0.000000604,0.000000512,0.162486151,0.164108396,0.186884373,0.213670403,0.014812605,0.112159275,0.200531065,0.051999584,0.048034504,0.040458232,0.467880696,0.411059767,0.003528682,0.002196732,0.000178705,0.003675586,0.093348347,0.000058453,0.010972998,0.002291862,0.011536696,0.020716399,0.017140208,0.000335285,0.000714195,0.004507085,0.003669537,0.154341951,0.345648468,0.000113235,0.000168265,0.157907709,0.083478384,0.034040350,0.026479173,0.005913962,0.007330137,0.007311023,0.009887080,0.000773225,0.001819734,0.000000169,0.000004969
0.000006483,0.534948766,0.498273730,0.001545145,0.001000046,0.000933551,0.000081196,0.000000595,0.000000456,0.155958340,0.156147167,0.189848870,0.212561160,0.021896152,0.110266246,0.140616909,0.048248887,0.045113310,0.040242061,0.398167193,0.389839202,0.003384418,0.002220480,0.000090587,0.003361934,0.092120893,0.000060149,0.008877101,0.000992550,0.005167131,0.048571452,0.042904861,0.000279576,0.003036129,0.003367360,0.001741867,0.065916814,0.267569780,0.000211635,0.000035310,0.281089813,0.138635427,0.048387863,0.036296383,0.001262500,0.001634879,0.006937360,0.010770332,0.000371094,0.000805224,0.000000158,0.000003660
0.000007400,0.505120754,0.489463657,0.001267312,0.001029850,0.001051880,0.000110302,0.000001037,0.000000652,0.126930326,0.137709364,0.181031331,0.208080634,0.022169909,0.101493128,0.139118597,0.051611681,0.048530821,0.040639970,0.412569016,0.381061524,0.004263539,0.003050235,0.000118851,0.004541543,0.109888427,0.000070632,0.007307322,0.001136465,0.003835735,0.114100188,0.091512993,0.000311789,0.000441160,0.005457768,0.004280355,0.092627279,0.145679399,0.000260232,0.000244023,0.283860177,0.118811794,0.058926251,0.046255760,0.001008322,0.000854334,0.012155412,0.009047083,0.000710095,0.001428526,0.000000263,0.000005465
0.000008063,0.493660808,0.504469275,0.001216261,0.001048596,0.000841908,0.000098809,0.000001080,0.000000676,0.157090351,0.177435383,0.240061432,0.258837521,0.013445238,0.169143125,0.192144468,0.033016782,0.038070045,0.033056885,0.366222382,0.463636130,0.003387916,0.002132371,0.000113168,0.002508916,0.140598252,0.000210170,0.008576714,0.000887141,0.003258928,0.177167490,0.167811975,0.000351338,0.000160575,0.006143983,0.006213149,0.046038188,0.081691101,0.000732287,0.000829951,0.293796182,0.151425242,0.055672076,0.032850154,0.000248808,0.000236987,0.004080761,0.010613901,0.000544907,0.001141805,0.000000373,0.000005451
0.000005166,0.562427998,0.546195984,0.000618878,0.000690774,0.000840403,0.000160179,0.000000577,0.000000746,0.150740385,0.163163692,0.244137242,0.281740308,0.021261092,0.079924703,0.167211860,0.075434439,0.039011654,0.028707862,0.515886903,0.384304017,0.004922903,0.002251913,0.000314108,0.060475178,0.164171770,0.000015010,0.011347215,0.001414529,0.004344318,0.044730652,0.050448339,0.000857923,0.036074199,0.017960707,0.009395310,0.021717906,0.224068850,0.000412440,0.000001682,0.115718141,0.049961701,0.021172794,0.032832805,0.001501550,0.002260498,0.003450667,0.020144092,0.001410485,0.002233565,0.000000273,0.000007252
0.000005409,0.484688759,0.495428711,0.000647569,0.001285240,0.001092374,0.000078882,0.000001319,0.000000479,0.140459284,0.189522743,0.305540591,0.325507939,0.045087378,0.042180486,0.096425802,0.109985493,0.029748255,0.021433590,0.436171114,0.393752635,0.004394468,0.001905743,0.000186679,0.012642132,0.130764425,0.000063247,0.009368489,0.000277031,0.003685021,0.103853628,0.103129320,0.001464873,0.001325610,0.008846096,0.004673927,0.011988906,0.117293201,0.001227111,0.000080810,0.072758824,0.028642246,0.027019503,0.065385304,0.000532861,0.000997019,0.004329103,0.023714222,0.001383526,0.003772307,0.000000398,0.000006765
0.000004726,0.459908783,0.459213525,0.000318013,0.002839778,0.001534307,0.000143328,0.000000631,0.000000452,0.233746961,0.189678892,0.373925656,0.370527983,0.043627404,0.067017376,0.087383166,0.069168851,0.023782652,0.017796984,0.473179847,0.358102530,0.002595036,0.001614965,0.000283618,0.005844157,0.175869435,0.000199170,0.012144184,0.000407910,0.019058218,0.029140966,0.023957180,0.000656654,0.000173402,0.020946775,0.012434870,0.042514224,0.420270443,0.000202763,0.000545228,0.059399188,0.061024189,0.014277329,0.021308474,0.001991825,0.005499806,0.003582070,0.021174451,0.000772281,0.003123512,0.000000377,0.000005682
