_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002472,0.039445695,0.029791070,0.023686275,0.040868666,0.043681987,0.000866962,0.000000858,0.000000654,0.204825982,0.188449666,0.200674638,0.185372025,0.067963250,0.110308588,0.094376370,0.062136300,0.084395073,0.076881699,0.481579006,0.466723382,0.006116671,0.005158542,0.003796879,0.001670018,0.047128696,0.000305324,0.001498814,0.052983861,0.045973226,0.000006672,0.000009351,0.011521746,0.000333516,0.190644443,0.367821246,0.071010381,0.118627258,0.002280187,0.002476121,0.003628525,0.226066023,0.000249364,0.003112356,0.824518025,0.830140114,0.000881767,0.014037976,0.109792918,0.087985128,0.000002258,0.000006946
0.000003211,0.044034068,0.024460535,0.026717009,0.030437004,0.041722614,0.000945705,0.000000884,0.000000637,0.200986654,0.219349563,0.228982002,0.228786588,0.037810355,0.159482822,0.154689446,0.045136817,0.076120995,0.063158944,0.564289451,0.445295721,0.006686191,0.004206618,0.003561333,0.001449640,0.048531864,0.000316722,0.001869620,0.062235344,0.043185461,0.000009879,0.000014844,0.010481815,0.000322289,0.124677658,0.263080537,0.061621409,0.094255194,0.002062700,0.002440412,0.003604840,0.230618194,0.000278320,0.003403343,0.814434409,0.819707632,0.000728879,0.015427268,0.100623772,0.077552862,0.000002253,0.000008596
0.000002713,0.044916213,0.034345031,0.020488575,0.033235952,0.035680402,0.000936161,0.000000755,0.000000609,0.204579279,0.252217501,0.213337660,0.208859801,0.047831483,0.125544176,0.125178963,0.057500072,0.080305420,0.068108939,0.504621506,0.437655210,0.006256165,0.003540528,0.003496090,0.001250719,0.052000880,0.000396453,0.001799062,0.054727353,0.047661874,0.000007957,0.000011058,0.009961702,0.000279527,0.144829974,0.297112286,0.069564357,0.114010349,0.001907150,0.003080857,0.003895950,0.263996661,0.000218484,0.002951840,0.810471237,0.827648520,0.000838613,0.014967438,0.071631119,0.059145000,0.000002108,0.000007325
0.000002941,0.046499379,0.027712008,0.018793086,0.034389827,0.043278124,0.000982998,0.000000763,0.000000605,0.187414587,0.233531117,0.235684246,0.230758995,0.048634805,0.121736340,0.122185782,0.059301268,0.070281893,0.058298666,0.521945357,0.423770875,0.006853218,0.003981890,0.003412239,0.001534031,0.047643408,0.000319478,0.001672666,0.060493838,0.045684647,0.000008636,0.000012264,0.010114755,0.000402551,0.146640003,0.297452688,0.070975460,0.112587668,0.002156267,0.001992657,0.004367644,0.244171038,0.000320982,0.003644131,0.795771599,0.806432009,0.000667311,0.011774098,0.102276750,0.084296770,0.000002059,0.000007521
0.000002164,0.032786082,0.030293116,0.032408580,0.043316856,0.035068456,0.000762237,0.000000852,0.000000499,0.195561200,0.184654728,0.197861448,0.181861237,0.077417061,0.086257555,0.080194980,0.074495420,0.078380510,0.075127356,0.474733323,0.475109190,0.005629454,0.004619915,0.002899148,0.000824800,0.030962991,0.000373172,0.000958265,0.044245474,0.056000415,0.000016175,0.000020845,0.005728832,0.000095836,0.164793044,0.300083101,0.062394552,0.099212028,0.001717641,0.007568998,0.005010026,0.183685020,0.000370874,0.003731688,0.784908772,0.799020290,0.000959692,0.012317348,0.070598453,0.062717997,0.000002189,0.000006366
0.000001877,0.071127795,0.041464377,0.022163516,0.018881528,0.022593742,0.000788250,0.000000690,0.000000377,0.184608370,0.159970850,0.241003722,0.235527635,0.071502693,0.086886071,0.081743747,0.069527872,0.060692448,0.053624123,0.538944960,0.475342423,0.006171510,0.005044258,0.002711488,0.000791652,0.032051727,0.000358656,0.000921860,0.034942102,0.052030526,0.000021116,0.000024485,0.005045685,0.000110907,0.194107309,0.314853847,0.055246718,0.089559957,0.001600543,0.004816920,0.006655282,0.204660118,0.000457644,0.003558703,0.743491590,0.740220904,0.000934940,0.006398941,0.081184670,0.072930187,0.000001443,0.000005723
0.000002014,0.030916115,0.020977713,0.027804192,0.045928042,0.050895233,0.000848463,0.000000555,0.000000377,0.194741666,0.205717206,0.240565285,0.231517240,0.084552221,0.068826541,0.074716918,0.086310469,0.064516604,0.055278827,0.520544887,0.421743780,0.006505348,0.003924592,0.002288322,0.000992635,0.036774829,0.000281560,0.001258837,0.042421836,0.042266525,0.000014361,0.000017979,0.004783088,0.000353855,0.135138884,0.245176941,0.067015022,0.111497246,0.001575441,0.001447299,0.007249217,0.236835733,0.000446613,0.002944787,0.749536932,0.752828717,0.000722145,0.006595055,0.064155720,0.058463488,0.000001373,0.000005167
0.000001055,0.029710596,0.013783627,0.028186282,0.056509998,0.076167874,0.000639695,0.000000587,0.000000276,0.210853070,0.153147727,0.275748342,0.265570849,0.065793522,0.094652846,0.086310342,0.064957418,0.051049601,0.045550093,0.467181146,0.433899105,0.005479991,0.005432203,0.002694485,0.000814826,0.020360002,0.000166948,0.000645986,0.017351922,0.039656516,0.000023272,0.000023840,0.006558045,0.000361347,0.189836785,0.300012231,0.043843713,0.083654359,0.002861930,0.001213004,0.004281994,0.092678957,0.000483747,0.003484871,0.777432978,0.767273068,0.001962434,0.005266686,0.105496243,0.120370865,0.000001409,0.000003506
0.000001835,0.014279270,0.009698675,0.056187078,0.085404567,0.075955726,0.001137595,0.000000818,0.000000451,0.165656924,0.172068179,0.233340129,0.238414556,0.081130601,0.086604625,0.079048172,0.073412932,0.067676619,0.056150753,0.487668306,0.389791459,0.008956606,0.005371758,0.003356164,0.000886066,0.032289840,0.000348257,0.001140582,0.038670126,0.089182459,0.000019990,0.000020627,0.004329298,0.000172377,0.319004625,0.485518157,0.071698591,0.153132886,0.001983070,0.003820629,0.009758653,0.166165888,0.001090724,0.004164709,0.741061270,0.786054671,0.000933384,0.005634642,0.198875800,0.254501671,0.000001834,0.000004345
0.000001031,0.007658692,0.006066253,0.090319358,0.148437217,0.106001250,0.000801586,0.000000821,0.000000444,0.128053904,0.110866830,0.224226028,0.225412503,0.053162206,0.094474234,0.094525926,0.054087684,0.055726733,0.048788097,0.399199188,0.288021654,0.010650607,0.007524357,0.003426772,0.001118772,0.012373955,0.000081370,0.000355288,0.006815144,0.029201552,0.000276372,0.000225068,0.003005679,0.000216983,0.374966055,0.487444997,0.038087312,0.105084322,0.002151398,0.001069011,0.012043851,0.052172855,0.002170600,0.006641930,0.666475594,0.720314145,0.004471053,0.010898338,0.277213514,0.376305968,0.000002048,0.000003643
0.000001923,0.018453345,0.014710122,0.044519342,0.075165093,0.064754009,0.001169687,0.000001089,0.000000482,0.190708801,0.144726098,0.228290483,0.228769287,0.049685363,0.106821075,0.104758635,0.054236580,0.061721757,0.053734519,0.488892108,0.397414714,0.007452403,0.004976333,0.003215888,0.001547374,0.016714450,0.000106287,0.000607012,0.006988669,0.026892921,0.000628091,0.000500314,0.001834537,0.000331790,0.375908136,0.506474733,0.059205551,0.151777819,0.001033446,0.000429423,0.025189610,0.071425401,0.005819235,0.007125266,0.725646913,0.738321304,0.005726822,0.009201306,0.329826593,0.402060539,0.000001227,0.000004923
0.000002233,0.014203657,0.010259584,0.064899564,0.107068047,0.088251665,0.000775876,0.000001475,0.000000412,0.129807889,0.089062884,0.279281169,0.255333275,0.038187802,0.093850672,0.111999698,0.057573654,0.041411247,0.037836093,0.354617774,0.338655204,0.009851458,0.008911729,0.001898060,0.000658785,0.010027350,0.000106996,0.000416854,0.005412604,0.024402685,0.001810939,0.001418709,0.001486732,0.000310521,0.167859361,0.241923615,0.047418982,0.121903881,0.001352047,0.000512637,0.034688849,0.033222854,0.012213246,0.015828505,0.661583900,0.693072677,0.005883651,0.007454061,0.294529468,0.417807579,0.000001036,0.000005138
0.000001336,0.012904135,0.008445906,0.090516090,0.099886753,0.078801513,0.000700897,0.000001137,0.000000255,0.150517911,0.119377188,0.282368839,0.266637027,0.039744649,0.093782559,0.108729914,0.059060909,0.042169668,0.038141776,0.365972787,0.378469974,0.008680768,0.006366526,0.001802305,0.000687499,0.012624039,0.000103362,0.000511080,0.003001474,0.030666241,0.001099661,0.000669605,0.001982424,0.000287253,0.201946974,0.241011545,0.031092411,0.108537562,0.001872321,0.000653779,0.023591047,0.035168886,0.006262660,0.011621519,0.654041886,0.711022258,0.008638018,0.004491935,0.258617669,0.408611387,0.000000848,0.000003483
0.000000655,0.002060047,0.003236843,0.255872309,0.315489471,0.124046013,0.000129022,0.000000350,0.000000487,0.074989498,0.022883952,0.194419533,0.200091869,0.014890184,0.167744473,0.183729172,0.028197130,0.040892016,0.042831678,0.146507293,0.079011202,0.010943596,0.024222227,0.000245470,0.002600980,0.328956485,0.000596230,0.007210296,0.012110548,0.006491863,0.000071683,0.000108495,0.005985318,0.000430539,0.028930480,0.033051815,0.061488919,0.039261427,0.002965202,0.001508948,0.011269071,0.048248868,0.001239193,0.006870528,0.001233704,0.000932334,0.000543454,0.000939820,0.006345430,0.003866903,0.000001410,0.000001465
0.000000406,0.002233656,0.006935540,0.149748266,0.352204978,0.084662296,0.000094682,0.000000143,0.000000404,0.070654072,0.027912248,0.241505206,0.256332666,0.014913514,0.161843568,0.184253022,0.029167257,0.029930472,0.028727455,0.132761583,0.068917990,0.011935565,0.019752985,0.000208394,0.002753575,0.213980705,0.000375780,0.014251690,0.005944380,0.015974760,0.000010857,0.000013886,0.005926631,0.000499239,0.016887918,0.015996210,0.041153062,0.063396305,0.008465812,0.003040645,0.020230880,0.155372307,0.000612328,0.001891206,0.000339022,0.000387931,0.000171406,0.000326782,0.000571798,0.000515148,0.000000808,0.000000625
0.000000637,0.004887335,0.015323513,0.092784859,0.339161336,0.073426351,0.000023809,0.000000064,0.000000350,0.088678628,0.049067527,0.216167405,0.232125834,0.017272310,0.126182869,0.197443366,0.042238429,0.035303846,0.034905512,0.128282353,0.106392905,0.009759363,0.015490458,0.000030155,0.001104260,0.040569916,0.000140660,0.017603835,0.013436765,0.022162732,0.000006641,0.000009329,0.000416058,0.000326686,0.000372562,0.000247499,0.201764598,0.159709141,0.007523637,0.018011715,0.088370472,0.256065637,0.009804062,0.000607357,0.000292816,0.000288978,0.000192593,0.000257321,0.000011393,0.000011618,0.000000352,0.000000295
0.000001122,0.005838904,0.021646447,0.067234337,0.313820720,0.052751947,0.000020445,0.000000086,0.000000457,0.074889272,0.028360445,0.221485615,0.219589725,0.020380734,0.128984705,0.152525038,0.034996651,0.032051615,0.034691419,0.096475899,0.080486678,0.009856774,0.022132358,0.000020161,0.000765928,0.028086754,0.000070707,0.008817445,0.015276924,0.016254745,0.000035164,0.000061900,0.000186782,0.000493969,0.000232532,0.000161819,0.280148476,0.262276679,0.002373902,0.006234168,0.162049606,0.176842704,0.037078891,0.002036995,0.000575745,0.000646581,0.000261884,0.001014875,0.000031635,0.000030911,0.000000358,0.000000460
0.000000646,0.003848486,0.007711302,0.154185370,0.282551616,0.106418200,0.000035989,0.000000066,0.000000356,0.094805039,0.035554465,0.165426075,0.175377414,0.020440288,0.136725321,0.171884358,0.035936899,0.050760612,0.051724531,0.173812777,0.090467378,0.009226179,0.018420123,0.000091328,0.000701712,0.028325770,0.000124677,0.013010394,0.038901847,0.006947713,0.000002935,0.000005297,0.002067510,0.000640889,0.000645091,0.000797382,0.189238146,0.046403088,0.009478494,0.006392650,0.012516192,0.075970627,0.001103750,0.001018361,0.001829077,0.001360228,0.000296319,0.000597450,0.000114150,0.000065590,0.000000731,0.000000354
0.000001052,0.001539716,0.004751430,0.257272691,0.378226638,0.096276544,0.000238303,0.000000392,0.000000647,0.086972535,0.030276153,0.190237820,0.188304797,0.019757373,0.140064120,0.154225975,0.035410885,0.044406045,0.047341511,0.159474745,0.088106319,0.010139865,0.020430418,0.000562808,0.000759792,0.197117150,0.000459856,0.011955627,0.028005572,0.010984518,0.000050512,0.000055473,0.005838126,0.000180672,0.030066222,0.046907540,0.238071457,0.070171624,0.001001951,0.004522243,0.007686393,0.044353046,0.000482082,0.004547253,0.028224453,0.017650511,0.003479928,0.001716421,0.013013781,0.009645215,0.000001250,0.000001683
0.000001963,0.002234922,0.005947894,0.264279634,0.326210529,0.080203332,0.000457868,0.000000770,0.000001106,0.106157772,0.028095972,0.194343358,0.177892387,0.022283148,0.133038059,0.138543919,0.036992662,0.047571752,0.049605362,0.173275322,0.080534011,0.008711651,0.020659238,0.000984845,0.000633949,0.270402938,0.000927065,0.007168386,0.035712212,0.011033293,0.000228711,0.000299370,0.003742927,0.000093528,0.075273141,0.120032355,0.233729810,0.091148145,0.000375064,0.003897808,0.006843621,0.036591306,0.000675954,0.008026757,0.113430783,0.086337708,0.008806865,0.014109639,0.059446473,0.045559134,0.000002255,0.000004185
0.000002212,0.001439834,0.006047479,0.241295636,0.401785016,0.079965092,0.000601471,0.000000834,0.000001447,0.054008167,0.016320495,0.197300225,0.187427640,0.016130978,0.162680879,0.163278639,0.030409610,0.047003299,0.047169860,0.119565487,0.066517130,0.016857717,0.038195886,0.000977233,0.000919591,0.295000702,0.000751694,0.007305845,0.029567331,0.016989434,0.000732953,0.000875311,0.001563493,0.000108743,0.093402453,0.120037697,0.298993498,0.182465687,0.000146865,0.002443099,0.011643038,0.047500979,0.001477684,0.008566932,0.114000872,0.094385356,0.014236150,0.015879476,0.056291249,0.047618955,0.000002123,0.000005214
0.000002329,0.001362214,0.003397327,0.272352636,0.414882123,0.116610318,0.000527423,0.000000914,0.000001262,0.089108445,0.028047509,0.206015572,0.196609885,0.028600177,0.103033014,0.118566938,0.048204798,0.045448493,0.044785008,0.168254644,0.091682456,0.011097051,0.021836856,0.000828419,0.001048516,0.333195716,0.000910962,0.007093734,0.045763031,0.018542193,0.000581455,0.000784361,0.001679424,0.000093289,0.080866076,0.115987487,0.311364025,0.172619477,0.000157028,0.003081412,0.011453995,0.035448410,0.001824496,0.008913181,0.065294422,0.053623799,0.006455805,0.012697319,0.056086779,0.039304696,0.000002361,0.000005308
0.000002555,0.002027118,0.005214226,0.216653779,0.384296089,0.103386976,0.000630210,0.000000916,0.000001476,0.075048290,0.021130202,0.213430554,0.196106806,0.022105595,0.126031086,0.135249496,0.038839694,0.043395642,0.043330025,0.122660451,0.073156700,0.012578089,0.029622041,0.000886112,0.001096392,0.350964099,0.000971906,0.006597224,0.046073411,0.016699793,0.000645464,0.000859792,0.001831912,0.000145612,0.092168063,0.126511261,0.307644337,0.171048984,0.000178605,0.001718384,0.010467250,0.037411734,0.001863730,0.010343918,0.121251523,0.091400020,0.010876786,0.015309776,0.078885324,0.055678457,0.000002432,0.000006102
0.000003564,0.002403371,0.006328589,0.197240278,0.367116511,0.085927069,0.000610977,0.000001293,0.000001760,0.093483202,0.028872523,0.263976902,0.243270800,0.029798552,0.096640579,0.111330882,0.051130123,0.034018744,0.033170883,0.144579947,0.086231805,0.010906472,0.022775041,0.000792412,0.000928549,0.372955739,0.001325050,0.005995176,0.047719464,0.008603882,0.001969204,0.002950113,0.001467859,0.000122212,0.070097379,0.105580665,0.313733697,0.130032107,0.000130711,0.001532808,0.011870704,0.036562249,0.002715479,0.014606128,0.095469646,0.066638045,0.012881233,0.028479110,0.096063197,0.055504747,0.000002952,0.000009392
0.000003408,0.003894655,0.009470823,0.180253789,0.274958342,0.065746523,0.000497548,0.000001148,0.000001996,0.096915193,0.022713680,0.262980103,0.250559151,0.018117880,0.137364984,0.153694525,0.036969393,0.032511085,0.032073088,0.166090250,0.079551443,0.010138735,0.025509205,0.000818561,0.001293575,0.277718276,0.000578041,0.004669236,0.022995425,0.004478937,0.005144534,0.007680441,0.000954395,0.000087225,0.074868597,0.120786570,0.292868525,0.104587905,0.000081509,0.001702643,0.015491236,0.050865877,0.002773444,0.015498350,0.033874542,0.023555584,0.012815499,0.032157410,0.078271620,0.046138205,0.000003189,0.000010961
0.000003123,0.002626844,0.005290431,0.259535432,0.275446832,0.081923783,0.000402227,0.000001186,0.000001784,0.086073712,0.026016084,0.215410605,0.205239937,0.027486721,0.102225766,0.117097870,0.045427926,0.041714169,0.043679465,0.171800897,0.096044704,0.010631772,0.024082970,0.000649414,0.001304814,0.188959152,0.000449429,0.003827053,0.022112520,0.002063514,0.004558705,0.006411942,0.000914388,0.000090945,0.065532513,0.122897401,0.343283415,0.063184932,0.000103454,0.002096133,0.023788610,0.069682762,0.003574034,0.021933846,0.017021038,0.008090090,0.009875197,0.012931636,0.072470739,0.031925049,0.000003206,0.000008968
0.000003011,0.003064361,0.006914068,0.284109890,0.238344789,0.071444564,0.000271309,0.000001009,0.000001317,0.081680879,0.023606993,0.201479629,0.190067783,0.019726979,0.126729965,0.147635743,0.038333844,0.042770412,0.046497043,0.175779536,0.099199004,0.011254931,0.024394507,0.000351042,0.001961806,0.173669308,0.000251129,0.003811049,0.018227942,0.001454521,0.002738259,0.003796335,0.001102506,0.000314412,0.032658022,0.060918037,0.324084938,0.053405486,0.000248511,0.000791826,0.038567156,0.065628439,0.007326304,0.031150952,0.006451411,0.002524008,0.005269996,0.004719950,0.050741043,0.024006344,0.000002219,0.000006313
0.000002222,0.001785190,0.006450601,0.252130717,0.348021179,0.073118851,0.000195668,0.000000947,0.000000887,0.084143192,0.030689137,0.243587330,0.227328360,0.017795427,0.135853812,0.158466712,0.036188308,0.032977916,0.035084765,0.167158455,0.117121063,0.010575233,0.019274801,0.000255493,0.001725301,0.148600712,0.000240234,0.003144581,0.009050490,0.002203536,0.002178335,0.002707790,0.001119586,0.000293057,0.023698982,0.035449870,0.221477017,0.065906122,0.000357331,0.001146754,0.038393006,0.056370605,0.009564262,0.040948469,0.004008631,0.002076547,0.003819270,0.003183299,0.039928034,0.028030459,0.000001940,0.000004563
0.000003231,0.003507606,0.008173304,0.208714649,0.259583026,0.065964416,0.000194976,0.000001163,0.000001219,0.082928002,0.027207525,0.243496731,0.227939501,0.016730875,0.143475682,0.160988510,0.033173151,0.033185862,0.035266202,0.154242948,0.093934394,0.010672540,0.023157559,0.000216390,0.001252512,0.165506810,0.000384793,0.003260120,0.009623599,0.001307519,0.005220721,0.007892963,0.000794602,0.000194321,0.022237821,0.039877973,0.237586394,0.055522878,0.000310032,0.001305958,0.064022228,0.075456843,0.015597150,0.044219259,0.002225237,0.001083626,0.003246962,0.005974670,0.035446301,0.019660247,0.000002280,0.000006391
0.000003168,0.004321299,0.010713814,0.179420128,0.251240402,0.058707651,0.000183633,0.000001110,0.000001103,0.077005632,0.026178623,0.197568804,0.183655679,0.016436731,0.148798436,0.163343653,0.032293938,0.041493215,0.045927133,0.147759914,0.099104792,0.010491409,0.023160441,0.000232368,0.001381276,0.167253375,0.000352150,0.003099268,0.007501125,0.001251524,0.004968708,0.007175672,0.001038663,0.000210409,0.025330445,0.040719602,0.201939285,0.052227907,0.000313684,0.001135716,0.043581113,0.061073802,0.012608697,0.052788217,0.002707533,0.001450825,0.003751166,0.006190963,0.048832919,0.032105535,0.000002275,0.000006236
0.000002336,0.002097567,0.006987517,0.197597831,0.365239203,0.070227370,0.000203517,0.000000941,0.000001039,0.060235832,0.021008294,0.226166472,0.210692003,0.021622555,0.126335353,0.137871400,0.035951022,0.035963740,0.038685869,0.131434411,0.078934439,0.014095027,0.027823618,0.000260569,0.001548417,0.164244920,0.000348797,0.002658986,0.009076923,0.001729232,0.002569284,0.003475415,0.001351816,0.000315694,0.035168204,0.053173427,0.195807025,0.058755375,0.000390876,0.000904806,0.039624285,0.062353671,0.011971720,0.058311582,0.003183532,0.001719749,0.003205195,0.003533259,0.072984383,0.051813360,0.000002296,0.000004447
0.000002178,0.001912149,0.004509009,0.245100528,0.340908766,0.097085938,0.000214363,0.000000720,0.000001046,0.087374166,0.020925796,0.227024987,0.219007343,0.015586470,0.150348142,0.173269540,0.033265535,0.035548080,0.036124635,0.168989629,0.067481168,0.010538451,0.024184551,0.000293716,0.001845792,0.164683729,0.000345036,0.002845764,0.025107499,0.002054842,0.000492951,0.000780112,0.002382838,0.000889770,0.032905433,0.055456996,0.220215276,0.048388463,0.000848867,0.000529921,0.036055807,0.071137175,0.008142851,0.047809482,0.002738751,0.001233966,0.001204099,0.001968038,0.056075722,0.029385448,0.000002382,0.000003704
