_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001121,0.010898763,0.017453503,0.042380743,0.134078637,0.072199143,0.000032180,0.000000056,0.000000241,0.760751367,0.747672915,0.799720883,0.782043636,0.029712012,0.233447209,0.248435199,0.010886563,0.004620735,0.003029710,0.609365165,0.566696644,0.000484704,0.000102123,0.000059409,0.001642991,0.008750858,0.000027036,0.001883035,0.041823957,0.068074867,0.000130816,0.000128648,0.000161589,0.006414950,0.000537615,0.000494949,0.399685264,0.493363857,0.000569075,0.000193272,0.044561479,0.049871672,0.021557324,0.002100745,0.010616621,0.012053463,0.001776047,0.001779528,0.000120497,0.000207250,0.000000679,0.000000391
0.000000825,0.015652258,0.021863975,0.040566299,0.108918101,0.066366404,0.000025968,0.000000047,0.000000227,0.795986056,0.757602274,0.808828652,0.797939777,0.030371854,0.228376523,0.243296400,0.011349232,0.003987414,0.002957313,0.603234470,0.576133609,0.000402220,0.000097630,0.000061584,0.001488541,0.008282001,0.000037201,0.001849735,0.038502011,0.046913702,0.000064533,0.000070775,0.000260408,0.007908863,0.000619390,0.000541292,0.259682178,0.351994812,0.001348923,0.000188716,0.030038120,0.047502771,0.011597553,0.001660835,0.005629198,0.006659070,0.001006972,0.001589847,0.000097350,0.000134594,0.000000768,0.000000338
0.000001440,0.011632500,0.016146682,0.053620581,0.125212491,0.088117704,0.000132186,0.000000127,0.000000458,0.804721713,0.766907871,0.836429477,0.830187321,0.035777789,0.206581920,0.205884203,0.014314246,0.003229735,0.002373707,0.655779541,0.562868476,0.000385475,0.000095070,0.000317480,0.003270023,0.041451957,0.000066061,0.005438545,0.075785831,0.038958386,0.000037588,0.000045139,0.001386053,0.013354802,0.005729769,0.008411700,0.292672157,0.340907961,0.000819171,0.000062971,0.023613790,0.071917057,0.001585597,0.002715356,0.027672509,0.027946373,0.001355216,0.003522792,0.001140172,0.001033871,0.000001002,0.000000962
0.000001248,0.012977597,0.018656895,0.043541629,0.118276000,0.083964430,0.000119949,0.000000114,0.000000452,0.809506893,0.769315481,0.834624887,0.829256594,0.038215600,0.203185961,0.199731991,0.014455661,0.003234476,0.002439562,0.644223094,0.580952525,0.000371367,0.000094283,0.000338406,0.002833737,0.036226653,0.000068994,0.004892893,0.071990736,0.033308130,0.000040348,0.000047529,0.001340918,0.016578253,0.005779381,0.008351982,0.264874637,0.320069999,0.000833700,0.000046239,0.019186819,0.063413605,0.001262973,0.002242240,0.029530063,0.030278875,0.001648275,0.004162870,0.000967426,0.000884335,0.000001002,0.000000884
0.000003032,0.007247989,0.013074691,0.066190831,0.165003344,0.088196255,0.000548389,0.000000395,0.000000669,0.758833528,0.776615381,0.835016072,0.812412381,0.054526147,0.189952448,0.128725901,0.017106263,0.004464218,0.002091454,0.671417713,0.595333815,0.000643008,0.000076674,0.000964780,0.004668487,0.142587885,0.000186166,0.007571625,0.041624047,0.035503756,0.000170142,0.000176471,0.002697672,0.004446291,0.056594811,0.098306268,0.245006457,0.347824186,0.000379185,0.000069110,0.026924079,0.060211118,0.001650174,0.007254167,0.108030580,0.114435144,0.003363729,0.011096821,0.023792394,0.024934247,0.000001535,0.000002806
0.000002874,0.007700375,0.012522058,0.085458033,0.139274314,0.089690268,0.000830802,0.000000341,0.000000649,0.737502217,0.702403903,0.825607777,0.797158480,0.057049986,0.164560750,0.121602476,0.022325834,0.005063762,0.002731080,0.657433510,0.603106499,0.000713149,0.000131174,0.001396036,0.005611950,0.233580664,0.000535895,0.007984810,0.092427351,0.054089513,0.000013419,0.000015112,0.005462947,0.006518579,0.124691859,0.217703909,0.265780926,0.338742942,0.000805286,0.000072955,0.022334121,0.175223783,0.001043902,0.004296865,0.246249303,0.226357609,0.001073624,0.003855636,0.047774613,0.037001476,0.000001200,0.000002573
0.000001809,0.006496364,0.010928418,0.055756453,0.195299760,0.112575166,0.001176106,0.000000282,0.000000699,0.696761429,0.692331433,0.800917268,0.767351270,0.068267114,0.133182734,0.099582322,0.033310819,0.007386701,0.003869055,0.651360035,0.608565211,0.000933326,0.000168750,0.002306549,0.005588086,0.234399274,0.001091456,0.005595643,0.070782602,0.040904745,0.000010320,0.000010485,0.006471346,0.007277752,0.313845515,0.480414391,0.145260602,0.226978287,0.001480369,0.000043487,0.017347574,0.200432405,0.000544630,0.002177917,0.442724228,0.429385424,0.001414165,0.005092834,0.042048015,0.033359721,0.000001103,0.000002444
0.000001151,0.007556491,0.014151901,0.094207436,0.160943717,0.095116697,0.001182550,0.000000255,0.000000582,0.657448530,0.698454142,0.768552959,0.738595366,0.078894541,0.141668171,0.085243650,0.031160383,0.009658880,0.004922997,0.649366379,0.617163181,0.001050866,0.000154056,0.002897299,0.005951905,0.275984228,0.001437544,0.004101417,0.066884615,0.051043730,0.000016622,0.000018113,0.011430521,0.005189182,0.522126317,0.657680511,0.072719395,0.133399606,0.002240291,0.000043345,0.008042268,0.079644002,0.000260445,0.001975812,0.314236999,0.336795807,0.001488148,0.005527710,0.026799696,0.026829565,0.000001517,0.000002607
0.000001205,0.003819255,0.007303237,0.132883385,0.230640188,0.139029413,0.001527782,0.000000406,0.000000715,0.677870870,0.676082373,0.764511228,0.732228816,0.047139134,0.168328926,0.157599390,0.022275697,0.010385032,0.006173709,0.639347732,0.608974278,0.001084299,0.000225138,0.003017623,0.006054170,0.288224608,0.001737062,0.003219001,0.061056484,0.053157799,0.000057144,0.000057365,0.007644116,0.004209343,0.602590621,0.706932783,0.096801646,0.151892155,0.001136666,0.000038533,0.010945558,0.110994056,0.000424696,0.002336643,0.400214881,0.380243421,0.004217576,0.006824737,0.034668967,0.033291385,0.000001802,0.000003419
0.000001210,0.005444632,0.009900027,0.112769134,0.216163918,0.119964026,0.001643418,0.000000340,0.000000697,0.649836481,0.684175193,0.764028311,0.731500208,0.057400692,0.135044783,0.122200094,0.031983625,0.011130455,0.005878318,0.696151257,0.618607044,0.001232794,0.000199388,0.003560679,0.006010703,0.258644819,0.001715467,0.002753651,0.068801798,0.048436809,0.000040965,0.000045312,0.008394691,0.005173842,0.678335667,0.788609445,0.087261990,0.136402667,0.001577330,0.000030842,0.011022040,0.094988719,0.000372839,0.002084408,0.354977697,0.353150368,0.002438523,0.007008088,0.036079496,0.032653928,0.000001848,0.000003594
0.000001149,0.006066846,0.012090956,0.102218337,0.199231461,0.092345603,0.001401465,0.000000351,0.000000734,0.612306714,0.655945837,0.710537791,0.676844597,0.030485850,0.244963005,0.244254097,0.011774409,0.014302887,0.008479220,0.616473794,0.636291623,0.001359402,0.000233387,0.003391729,0.007583268,0.315265954,0.001369889,0.002891470,0.090977460,0.073834740,0.000089464,0.000108583,0.007100723,0.002954786,0.651666224,0.771770060,0.097250789,0.141151264,0.000981199,0.000037818,0.009104830,0.068655409,0.000365913,0.001933327,0.273228735,0.250800490,0.003108915,0.008572835,0.031757053,0.026544401,0.000002317,0.000003910
0.000001195,0.008866119,0.017202936,0.075171404,0.181154087,0.062006690,0.001306720,0.000000322,0.000000819,0.448475212,0.494217426,0.475307614,0.464942783,0.005206676,0.535620928,0.527947664,0.004353148,0.028286537,0.024138777,0.530380785,0.635819077,0.002142842,0.000588883,0.003583647,0.005596245,0.305452943,0.001413162,0.002576692,0.067025959,0.069575891,0.000121441,0.000125730,0.003585338,0.001674186,0.644602060,0.744529843,0.101107337,0.167409480,0.000482372,0.000046305,0.010491547,0.092358343,0.000402888,0.001608753,0.302241862,0.280322939,0.004986312,0.009038545,0.025565164,0.029133299,0.000001692,0.000003980
0.000001286,0.006476590,0.014008195,0.093727767,0.202559665,0.053284798,0.001243796,0.000000416,0.000001039,0.231726676,0.263784945,0.342529565,0.324244201,0.002037505,0.659978092,0.636639714,0.003938158,0.044746663,0.041622922,0.392203182,0.531404018,0.005261220,0.002443308,0.004609766,0.003600322,0.292902976,0.001709580,0.002912508,0.060293116,0.048568681,0.000263223,0.000294732,0.002306229,0.000969149,0.568369925,0.684865892,0.106527761,0.180357084,0.000226082,0.000058311,0.012014203,0.097214133,0.000431715,0.001434794,0.282221645,0.266300172,0.006254203,0.015131318,0.017475367,0.019432697,0.000001562,0.000005934
