_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002550,0.014237115,0.015660664,0.117430709,0.176264182,0.080668405,0.000017102,0.000000321,0.000000307,0.057130691,0.033012491,0.155812591,0.153510809,0.023611825,0.127577156,0.129696101,0.037906099,0.045154586,0.046922423,0.239190400,0.144306138,0.009733274,0.012366835,0.000021843,0.001501503,0.066056497,0.000113354,0.063576169,0.000749609,0.001827947,0.000958007,0.001194881,0.000452347,0.003417027,0.000332317,0.000148580,0.025082693,0.052660838,0.016573472,0.000449648,0.059081797,0.020088980,0.058521479,0.008767929,0.000117564,0.000144079,0.000996283,0.001803339,0.000041366,0.000052479,0.000000387,0.000000762
0.000000994,0.006725801,0.006290233,0.144613907,0.247552484,0.119184919,0.000030312,0.000000313,0.000000236,0.051385041,0.044544157,0.164939150,0.164118662,0.053092267,0.070182264,0.069079287,0.051770940,0.041840155,0.044170428,0.208444953,0.208613485,0.010027332,0.010694561,0.000066910,0.001767136,0.105310798,0.000309893,0.054929726,0.001136110,0.002422568,0.000090483,0.000099165,0.002886113,0.000429846,0.002164782,0.001674270,0.017298415,0.017676087,0.050148323,0.004955718,0.019616511,0.020865299,0.002806868,0.003967877,0.000132089,0.000141685,0.000558571,0.000621251,0.000062210,0.000059340,0.000000654,0.000000471
0.000000428,0.011760434,0.020600224,0.095858023,0.159014493,0.049914666,0.000035670,0.000000178,0.000000148,0.067278244,0.064929612,0.165505990,0.171940565,0.040512793,0.079321243,0.083975665,0.041741490,0.043113772,0.044462591,0.209672302,0.255421102,0.008848383,0.006747053,0.000142065,0.002337606,0.234551311,0.000607295,0.030335041,0.001105552,0.012888153,0.000018218,0.000017636,0.011072029,0.000303874,0.009547879,0.005960458,0.007244424,0.034272078,0.031097917,0.003851981,0.005222717,0.022499813,0.000385366,0.001976481,0.000290290,0.000665465,0.000273259,0.000588205,0.000142002,0.000231521,0.000000508,0.000000415
0.000000738,0.009314064,0.013465310,0.206808269,0.113446966,0.047356803,0.000048206,0.000000259,0.000000335,0.072680384,0.034771241,0.218861386,0.208090305,0.033315290,0.100571811,0.099185720,0.036723372,0.033917345,0.036782455,0.186460897,0.168920040,0.009749736,0.013072611,0.000249052,0.001668806,0.237470001,0.000650826,0.034639791,0.009237231,0.005199799,0.000008875,0.000014634,0.022416549,0.000640935,0.006523822,0.008138955,0.018479748,0.017195377,0.034062788,0.001769010,0.005048575,0.011339161,0.000309869,0.002384837,0.001743794,0.002772396,0.000276814,0.001706870,0.000468703,0.000383513,0.000000592,0.000000542
0.000000694,0.008545571,0.012587070,0.187911913,0.148221582,0.055607595,0.000077087,0.000000385,0.000000249,0.039611660,0.032902792,0.196014017,0.201247796,0.023759799,0.123731025,0.117578737,0.029532390,0.036022678,0.035954468,0.146352395,0.113759883,0.016298348,0.012975435,0.000263896,0.002008360,0.321440548,0.000515656,0.017165489,0.001870234,0.011710281,0.000075709,0.000073033,0.016563302,0.000240041,0.015150758,0.012885641,0.013189662,0.039606657,0.010971269,0.002575945,0.002565058,0.004573348,0.000441965,0.007368919,0.005220160,0.011983136,0.001493241,0.002504664,0.001934218,0.004130640,0.000000840,0.000000862
0.000000694,0.016221002,0.025950629,0.114076860,0.109289192,0.040241912,0.000075045,0.000000302,0.000000295,0.039034288,0.044803981,0.211038932,0.226063475,0.024207272,0.116080388,0.120801628,0.031635672,0.034679905,0.031367712,0.153527543,0.129051492,0.016296988,0.011079756,0.000280230,0.002097481,0.335384130,0.000537561,0.018123018,0.002938336,0.005152078,0.000065026,0.000064677,0.023603432,0.000225197,0.011192731,0.012947251,0.018972237,0.019569002,0.011880378,0.002520197,0.001692900,0.005380537,0.000264289,0.005218284,0.006715688,0.010294233,0.002334938,0.002292474,0.001925707,0.002833621,0.000000878,0.000000973
0.000000982,0.013193753,0.018450581,0.122608319,0.141112298,0.057008572,0.000085721,0.000000526,0.000000326,0.039260488,0.040823653,0.230091438,0.243851691,0.021707475,0.125819862,0.126059040,0.031000642,0.030666137,0.027310479,0.169505492,0.119174480,0.016224889,0.010720967,0.000198827,0.002079009,0.355235696,0.000636075,0.013990510,0.001407966,0.003588954,0.000750973,0.000719289,0.008779428,0.000175858,0.010289695,0.010645468,0.017043384,0.023996441,0.007438301,0.001763647,0.003240624,0.003963810,0.000983209,0.010006729,0.003269206,0.004895309,0.004435695,0.004576924,0.002260293,0.003096850,0.000001098,0.000001564
0.000000655,0.011714974,0.015268375,0.212292805,0.108319893,0.043876547,0.000067811,0.000000482,0.000000320,0.028896226,0.026274713,0.251121551,0.252997875,0.023824736,0.125361532,0.115888119,0.030433815,0.028399117,0.027490709,0.107040808,0.093628250,0.022624020,0.017031485,0.000226385,0.002175089,0.392604828,0.001138523,0.008987973,0.001637130,0.002798127,0.000277852,0.000304562,0.019642388,0.000237049,0.016794132,0.017680526,0.009042624,0.011490188,0.015739202,0.001557813,0.002573400,0.005905992,0.000501267,0.010449553,0.001564076,0.002220822,0.001791508,0.002689613,0.002564986,0.003054189,0.000001274,0.000001254
0.000000583,0.008200590,0.012903268,0.235103056,0.127105489,0.042870555,0.000082152,0.000000516,0.000000299,0.060139660,0.050478160,0.216257066,0.223505437,0.042412397,0.080665037,0.085751489,0.047445867,0.035329420,0.034982808,0.162903741,0.155532882,0.011572983,0.010386232,0.000288652,0.002139036,0.417487383,0.001023534,0.010235374,0.002869460,0.004702852,0.000217415,0.000235985,0.017931504,0.000175452,0.019254981,0.021188566,0.014022997,0.017679209,0.011401037,0.001836981,0.002143021,0.003935103,0.000374972,0.005978193,0.004547953,0.006927128,0.002494208,0.004171054,0.002161706,0.002488448,0.000001216,0.000001222
0.000000689,0.006291037,0.006819240,0.295015275,0.111431427,0.056538410,0.000100464,0.000000473,0.000000324,0.069007941,0.061232354,0.266720444,0.266960770,0.036128718,0.098394372,0.095595062,0.037911005,0.027300423,0.026927134,0.189807951,0.202691644,0.008749787,0.008566892,0.000278214,0.001948673,0.423929811,0.001212424,0.010949513,0.005358227,0.004591902,0.000270100,0.000307046,0.006560257,0.000175963,0.016922908,0.021913448,0.032884054,0.027152082,0.003053149,0.001355620,0.002862200,0.007424330,0.000627585,0.005095616,0.005411408,0.006559928,0.002771645,0.003746453,0.002305502,0.002121022,0.000001162,0.000001275
