_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000920,0.063176438,0.040749870,0.038451470,0.008596776,0.007690773,0.000069971,0.000000174,0.000000127,0.348758698,0.294182956,0.224086881,0.235525727,0.123721495,0.053285144,0.038640521,0.099011026,0.063949689,0.053457443,0.713551521,0.522639394,0.002197536,0.000821540,0.000492916,0.001746564,0.090057775,0.000161488,0.028458826,0.006829308,0.011655763,0.000077346,0.000081967,0.005707358,0.000668498,0.006019193,0.007517953,0.026061147,0.059018921,0.004181609,0.000505373,0.007088151,0.018635968,0.000322304,0.001368514,0.006545212,0.011005134,0.001817415,0.003790222,0.000294863,0.000374354,0.000000307,0.000000612
0.000000807,0.056659855,0.043803230,0.037831366,0.008970799,0.006394838,0.000063907,0.000000175,0.000000133,0.289585739,0.253557920,0.203961611,0.218245387,0.102102257,0.080185756,0.058396872,0.055189677,0.068623535,0.060619287,0.670822382,0.563239217,0.002872296,0.001114858,0.000539135,0.001453838,0.102225646,0.000213723,0.030131530,0.009395945,0.017979909,0.000031681,0.000037350,0.008180784,0.000671124,0.007207822,0.008907624,0.021052020,0.064417206,0.005340074,0.000653220,0.005761861,0.018147312,0.000229339,0.001200190,0.007457918,0.014987565,0.001061745,0.003973002,0.000362128,0.000507898,0.000000317,0.000000522
0.000000875,0.056566007,0.041045107,0.043297894,0.009273102,0.006774607,0.000073056,0.000000200,0.000000141,0.305435032,0.276924163,0.238490403,0.251563460,0.113643534,0.063746274,0.046051279,0.077304646,0.059607830,0.050103642,0.677043855,0.543706656,0.002747519,0.000922114,0.000595138,0.001132354,0.125260845,0.000333193,0.029117258,0.007772053,0.017026825,0.000044111,0.000053175,0.007761098,0.000397771,0.009228908,0.011414848,0.018793918,0.065294154,0.003949374,0.000907481,0.005518497,0.018701497,0.000202309,0.001214291,0.007764613,0.017390111,0.001090154,0.005855987,0.000465023,0.000668429,0.000000341,0.000000655
0.000000819,0.052149203,0.040609453,0.040666401,0.009975972,0.007072172,0.000059171,0.000000183,0.000000133,0.261564672,0.232210040,0.212467372,0.226107955,0.104348555,0.078992754,0.055351950,0.055086371,0.065855742,0.054252490,0.673818529,0.543902934,0.003379161,0.001255848,0.000490811,0.001398275,0.099412367,0.000221990,0.029266624,0.008330518,0.017290538,0.000034291,0.000042388,0.007435527,0.000620639,0.006778564,0.007834154,0.018412763,0.067071728,0.005442467,0.000708949,0.006414534,0.017977746,0.000276012,0.001340529,0.005868724,0.012978611,0.000862498,0.004274637,0.000352418,0.000518828,0.000000323,0.000000542
0.000001067,0.068413273,0.050172295,0.030124333,0.008687307,0.006365666,0.000107838,0.000000207,0.000000167,0.213674158,0.215434387,0.178573683,0.201553628,0.102141120,0.056312773,0.047301378,0.083080672,0.075944595,0.062280651,0.645754755,0.496062249,0.004299630,0.001310114,0.000761940,0.001383138,0.132960707,0.000255562,0.024805631,0.009833840,0.019807037,0.000061514,0.000065072,0.005570237,0.000296797,0.012390591,0.015798621,0.039620403,0.096293263,0.001403219,0.000910606,0.005738455,0.022713577,0.000201925,0.001236269,0.019944489,0.037329473,0.002257643,0.006184292,0.000617913,0.000861116,0.000000347,0.000000885
0.000001180,0.069249690,0.061630320,0.032541730,0.007769324,0.004699418,0.000108082,0.000000203,0.000000168,0.239828438,0.250608265,0.215065405,0.233620331,0.109529883,0.074861228,0.047966026,0.058635294,0.061036363,0.046580955,0.615947485,0.500789046,0.003560779,0.001040010,0.000663133,0.001582320,0.136061490,0.000229621,0.028577207,0.009273754,0.032921378,0.000085683,0.000089817,0.003216943,0.000384139,0.012516722,0.014110217,0.043793995,0.168629810,0.000950576,0.000631353,0.009179978,0.026355365,0.000387989,0.001458215,0.017915936,0.039458767,0.001749504,0.006807100,0.000607287,0.001047064,0.000000306,0.000000857
0.000001678,0.060213469,0.043850638,0.040729407,0.010289934,0.006249892,0.000157845,0.000000313,0.000000320,0.180742830,0.176339731,0.180571049,0.204662278,0.128917530,0.070740134,0.035799459,0.072698906,0.073848367,0.055051137,0.619874001,0.473359406,0.005120039,0.001976130,0.001154312,0.001315639,0.160528317,0.000426754,0.026046956,0.017529188,0.023598362,0.000090727,0.000100429,0.004369466,0.000277001,0.017952988,0.025875421,0.057835851,0.145774543,0.000698476,0.000682291,0.007299256,0.026971102,0.000240054,0.001372520,0.054459538,0.110561341,0.003139108,0.020674631,0.000648554,0.000948319,0.000000411,0.000001553
0.000001082,0.078559674,0.062339667,0.023353631,0.007824265,0.005164252,0.000101935,0.000000194,0.000000251,0.241052747,0.200354248,0.268788785,0.274857342,0.100787155,0.092976458,0.055362374,0.045118567,0.047152121,0.037631243,0.612881958,0.522515893,0.003341436,0.001615848,0.000930813,0.002769267,0.119229786,0.000151116,0.022514049,0.018149771,0.016289284,0.000041233,0.000052530,0.005882653,0.000741962,0.011471144,0.018413398,0.050195135,0.100934789,0.001580598,0.000342422,0.006110925,0.030129524,0.000183450,0.001233593,0.023443630,0.038368579,0.001639634,0.011035246,0.000439364,0.000474737,0.000000399,0.000001044
0.000000882,0.085615784,0.071146846,0.019578600,0.006565966,0.004305489,0.000086831,0.000000182,0.000000157,0.213880807,0.194579244,0.251145005,0.261320978,0.092282951,0.094775200,0.064446308,0.040024061,0.051797595,0.037787255,0.593514681,0.470982552,0.004188170,0.001621356,0.000679044,0.002220895,0.113563240,0.000144415,0.023740578,0.007010391,0.017318878,0.000143206,0.000158683,0.003339543,0.000888081,0.011612864,0.012542846,0.036425654,0.143036678,0.001093157,0.000188309,0.008726072,0.024827490,0.000343482,0.001414080,0.012518857,0.025319222,0.002189965,0.007650445,0.000333986,0.000513951,0.000000298,0.000000846
0.000000880,0.094802424,0.086218335,0.016897872,0.006484748,0.003991990,0.000124441,0.000000140,0.000000234,0.283612877,0.260905266,0.346789926,0.330597281,0.072203584,0.116224997,0.091141246,0.028871454,0.036777977,0.027276950,0.551837087,0.471001267,0.002859117,0.001007235,0.001176467,0.004453524,0.121259071,0.000088009,0.016537890,0.015938452,0.017323269,0.000077166,0.000087127,0.004363944,0.000856309,0.018876342,0.031576261,0.058863733,0.117226794,0.000818959,0.000184040,0.005716392,0.033783451,0.000164323,0.001213006,0.033514556,0.050307229,0.002880149,0.011830707,0.000659522,0.000899582,0.000000432,0.000001021
