_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002522,0.286947161,0.699708581,0.000006295,0.006634522,0.000894181,0.000054599,0.000000062,0.000000207,0.158858791,0.332022458,0.662493944,0.600980759,0.083656013,0.073578477,0.053632453,0.080701955,0.013959516,0.003349906,0.577207804,0.193364248,0.006909649,0.000728200,0.000026780,0.001153714,0.008855261,0.000033831,0.001252617,0.044734567,0.029612064,0.000631492,0.000751055,0.000072560,0.000439298,0.000097849,0.000081364,0.321303368,0.190581918,0.000201953,0.002575650,0.116692476,0.101634510,0.406566501,0.030729834,0.015568009,0.008495198,0.005472543,0.001972899,0.001130583,0.001002354,0.000000226,0.000000429
0.001935219,0.918589294,0.938701212,0.000208553,0.087321043,0.011629481,0.001467555,0.000000018,0.000012101,0.653586388,0.983804166,0.000111881,0.000004069,0.999854088,0.996911168,0.000000479,0.000077972,0.923038840,0.997387171,0.121258073,0.053960402,0.000460076,0.000028889,0.000239844,0.002543124,0.042252500,0.001291577,0.005444008,0.178917989,0.025462568,0.004491390,0.005988778,0.003601612,0.001156137,0.006625851,0.030276064,0.063170627,0.056370664,0.110761859,0.016867032,0.179026678,0.143058121,0.056580935,0.025630847,0.006470729,0.006907108,0.003261134,0.054223888,0.009825110,0.010929732,0.000596780,0.000000152
0.000001191,0.077051423,0.459611714,0.000024878,0.044345897,0.003554463,0.000062761,0.000000063,0.000000178,0.239746034,0.450138241,0.221562460,0.516785383,0.111317687,0.036370635,0.044653170,0.112615414,0.078334950,0.007674251,0.494786203,0.111610211,0.003820199,0.000399557,0.000022240,0.001766817,0.020258451,0.000031764,0.001795459,0.004732673,0.025621293,0.001474790,0.001418596,0.000087540,0.000058275,0.000307236,0.000205070,0.073895030,0.093350686,0.000456741,0.018565642,0.224408761,0.240074709,0.216535524,0.045887094,0.001221066,0.001131807,0.002288522,0.001413370,0.001302907,0.002523942,0.000000343,0.000000374
0.000001430,0.118192501,0.612739921,0.000017768,0.021573748,0.001452418,0.000035729,0.000000055,0.000000121,0.211822361,0.416164935,0.708662748,0.627531111,0.045981213,0.114764869,0.099904455,0.047715217,0.010831280,0.002660025,0.516544819,0.178011909,0.005062919,0.000435935,0.000014908,0.000591186,0.018315580,0.000110358,0.003817343,0.008015947,0.036384813,0.000343463,0.000432548,0.000067572,0.000118573,0.000107363,0.000055979,0.075167246,0.147845656,0.000928061,0.016270192,0.229180872,0.221785650,0.351920009,0.017321208,0.000852726,0.001117810,0.000949166,0.001738326,0.000239276,0.000467220,0.000000190,0.000000219
0.000369943,0.786956370,0.945887148,0.000042800,0.017569918,0.003446273,0.000302702,0.000000008,0.000004319,0.867896080,0.981577396,0.000038247,0.000013323,0.999591231,0.970651984,0.000000991,0.000682545,0.972292602,0.991296291,0.113530226,0.027350262,0.000126638,0.000011925,0.000053730,0.014762322,0.035133608,0.000125549,0.010777733,0.155671984,0.041349143,0.002495437,0.004023781,0.000696434,0.002253753,0.000634121,0.000595981,0.070256583,0.168710858,0.040515408,0.004278840,0.308017284,0.254495859,0.278785795,0.041364048,0.001875967,0.002070118,0.001027984,0.013426788,0.001236191,0.001072948,0.000039725,0.000000102
0.000000269,0.023277977,0.631322145,0.000007973,0.176985174,0.001319377,0.000040008,0.000000061,0.000000202,0.059069254,0.322746724,0.014740665,0.753032923,0.065773472,0.031305254,0.057613313,0.105160601,0.607582808,0.004123390,0.617598414,0.157905772,0.010202293,0.000908903,0.000053580,0.001029737,0.028758751,0.000191344,0.002439021,0.001600284,0.017751988,0.002719821,0.003003533,0.000319910,0.000029050,0.001456685,0.001513052,0.022739772,0.066587232,0.003188737,0.031281117,0.097017758,0.090571493,0.053079996,0.025713196,0.000159257,0.000210565,0.000605323,0.001560229,0.000507720,0.001114115,0.000000643,0.000000668
0.000001021,0.126537368,0.645519257,0.000021295,0.010021407,0.000713745,0.000037618,0.000000060,0.000000090,0.184212953,0.306303948,0.619596958,0.536365509,0.021205734,0.188454226,0.179449230,0.024766916,0.015264238,0.005054284,0.492294133,0.235197842,0.006077022,0.000685390,0.000050452,0.001567795,0.013228801,0.000044881,0.002242151,0.003493917,0.024127198,0.001098057,0.001056369,0.000238153,0.000246142,0.000387182,0.000285561,0.056392759,0.110398136,0.001159785,0.003101777,0.067226894,0.055916835,0.101395831,0.016506728,0.000757485,0.000790987,0.001386422,0.000823683,0.000465687,0.001045069,0.000000302,0.000000287
0.000001515,0.082634374,0.556196094,0.000024125,0.035078116,0.001579931,0.000056448,0.000000195,0.000000201,0.140400812,0.377889484,0.157505810,0.542100191,0.168522477,0.008751710,0.032742921,0.270090312,0.104563303,0.006487842,0.387098700,0.131256014,0.005322902,0.000537914,0.000056268,0.000393373,0.024861332,0.000357445,0.001898318,0.008312393,0.025919477,0.000861819,0.001045692,0.000483208,0.000073548,0.000900418,0.001044846,0.084352903,0.111352779,0.000876471,0.016715217,0.108750694,0.050972812,0.112677045,0.084340103,0.001345741,0.001498960,0.000596033,0.001954422,0.003032384,0.003459747,0.000000558,0.000000730
0.000003167,0.223723784,0.654806256,0.000018706,0.004547974,0.000254959,0.000046879,0.000000083,0.000000174,0.288959324,0.398842216,0.530703068,0.519443512,0.028210958,0.327881724,0.305457652,0.005925980,0.024097919,0.009729197,0.629860342,0.418257862,0.002932313,0.000483069,0.000066555,0.001439244,0.023266727,0.000067708,0.010371083,0.022582313,0.026653292,0.000360052,0.000424675,0.000473566,0.000878597,0.000201246,0.000279270,0.174020618,0.117962576,0.000739876,0.001568634,0.050158706,0.062982991,0.120726906,0.026798969,0.008340446,0.006551239,0.001460479,0.001246908,0.002553490,0.002787302,0.000000249,0.000000311
0.000000251,0.017267382,0.531002879,0.000123209,0.038193993,0.000805508,0.000028205,0.000000021,0.000000088,0.111356877,0.323244214,0.251373976,0.327736229,0.176431805,0.077267945,0.032936685,0.078434817,0.058970250,0.024584945,0.391056925,0.278045386,0.008975752,0.000781779,0.000075345,0.012008583,0.020148220,0.000017670,0.007421868,0.006563204,0.067298628,0.000016943,0.000009591,0.001767508,0.001523908,0.000498517,0.000369669,0.026832480,0.041311748,0.030680358,0.002257875,0.030217500,0.056951873,0.010992680,0.003260707,0.000245132,0.000226053,0.000798604,0.000040366,0.000089784,0.000196601,0.000000222,0.000000044
