_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000008198,0.087753601,0.054821342,0.135080695,0.006564839,0.007778526,0.000866001,0.000003540,0.000000689,0.267424285,0.261019349,0.126186922,0.140178159,0.047634576,0.103443637,0.110032506,0.072492428,0.115273073,0.099767931,0.489871770,0.505940735,0.003691034,0.002641745,0.001410528,0.002201308,0.071283184,0.000086179,0.006061554,0.007925140,0.139077276,0.000955309,0.000490689,0.001583347,0.000317628,0.038709026,0.051188443,0.088157348,0.234027088,0.000537463,0.002493330,0.036851980,0.154595479,0.008179252,0.013715551,0.847658873,0.892337382,0.048132956,0.015833111,0.098211512,0.222859874,0.000000545,0.000006383
0.000011262,0.119197078,0.082827665,0.096660353,0.006109865,0.006627841,0.000751901,0.000003743,0.000000880,0.238022894,0.251058459,0.144241542,0.167579144,0.044173811,0.103037447,0.116333738,0.074450195,0.098791838,0.078816868,0.480434626,0.447991401,0.004532051,0.002789888,0.001130189,0.001630004,0.051494587,0.000072191,0.005414519,0.007160696,0.107834034,0.001514076,0.000821563,0.001381675,0.000316202,0.019537939,0.026364034,0.111435868,0.262577981,0.000520778,0.003119461,0.041137531,0.138316497,0.014826040,0.017428041,0.873223662,0.909792125,0.071387425,0.025741436,0.118955441,0.266862571,0.000000594,0.000007054
0.000010767,0.093102321,0.075806521,0.103309520,0.007668457,0.006841639,0.000969116,0.000004386,0.000000916,0.230161726,0.251371056,0.128170639,0.151464999,0.039523475,0.117838003,0.127404273,0.065966949,0.115988024,0.093556590,0.509410501,0.504012823,0.004699364,0.003161643,0.001535176,0.001785401,0.076268896,0.000106082,0.007897672,0.007959645,0.157047853,0.001145922,0.000576194,0.001652383,0.000262342,0.033214670,0.050172284,0.117263779,0.267680466,0.000470015,0.003628337,0.038418304,0.176357955,0.010101558,0.013853806,0.874048710,0.908407092,0.080816671,0.021890802,0.108143762,0.264009029,0.000000563,0.000007484
0.000012194,0.089631632,0.059777807,0.130183607,0.007712543,0.008069000,0.000931128,0.000004981,0.000000975,0.253898293,0.247539550,0.123879403,0.140841469,0.046388458,0.101038888,0.116352618,0.077612661,0.119461261,0.101704739,0.514136434,0.520973444,0.004040158,0.003095153,0.001418517,0.001616346,0.068955503,0.000093603,0.007821294,0.007827334,0.161046848,0.001907739,0.000971286,0.001237628,0.000165140,0.028085446,0.040545620,0.117931187,0.264298797,0.000385818,0.005587728,0.047859639,0.179320291,0.013313747,0.013300368,0.873468280,0.910260439,0.093377553,0.028084699,0.121172167,0.295534104,0.000000530,0.000007773
0.000011262,0.119197078,0.082827665,0.096660353,0.006109865,0.006627841,0.000751901,0.000003743,0.000000880,0.238022894,0.251058459,0.144241542,0.167579144,0.044173811,0.103037447,0.116333738,0.074450195,0.098791838,0.078816868,0.480434626,0.447991401,0.004532051,0.002789888,0.001130189,0.001630004,0.051494587,0.000072191,0.005414519,0.007160696,0.107834034,0.001514076,0.000821563,0.001381675,0.000316202,0.019537939,0.026364034,0.111435868,0.262577981,0.000520778,0.003119461,0.041137531,0.138316497,0.014826040,0.017428041,0.873223662,0.909792125,0.071387425,0.025741436,0.118955441,0.266862571,0.000000594,0.000007054
0.000009224,0.113707855,0.085193299,0.098311074,0.006206037,0.006425614,0.000770570,0.000003076,0.000000702,0.278196722,0.283947021,0.159693867,0.177817717,0.034330625,0.130717486,0.139231846,0.059600223,0.089436390,0.075004645,0.488374621,0.525220513,0.003523033,0.002240656,0.001222479,0.001800955,0.072431788,0.000092932,0.007034917,0.008443096,0.114861652,0.000872870,0.000482044,0.001488894,0.000267452,0.024361752,0.036598064,0.104149625,0.223296165,0.000498868,0.003142083,0.034040675,0.154390320,0.007388368,0.011915321,0.860576391,0.896584153,0.046967223,0.019932149,0.059900071,0.144023970,0.000000503,0.000006744
0.000010376,0.136181757,0.087492801,0.076061480,0.004695298,0.005531578,0.000594173,0.000003106,0.000000693,0.284875631,0.207862735,0.141145349,0.133030787,0.049283426,0.107055232,0.106638022,0.060122803,0.095198527,0.092706807,0.410978824,0.486375570,0.003149567,0.002657774,0.000978169,0.002999545,0.046140902,0.000039897,0.004205665,0.006435333,0.074606851,0.004520817,0.002730290,0.000989666,0.000477135,0.019497406,0.023014607,0.075998507,0.204291150,0.000554449,0.000869586,0.065568544,0.113822311,0.017920397,0.017137701,0.789497614,0.831237853,0.045024041,0.022696940,0.067555770,0.147033453,0.000000495,0.000006392
0.000006675,0.132456139,0.097126924,0.074783534,0.005154474,0.005172369,0.000283569,0.000001671,0.000000418,0.259261727,0.212072611,0.153431475,0.145994008,0.037772097,0.119518064,0.120058082,0.052917253,0.079096049,0.079416685,0.353146404,0.429574221,0.003213095,0.002304858,0.000483805,0.002024007,0.021408606,0.000021430,0.002407696,0.005545687,0.065091185,0.003967481,0.002418709,0.000591640,0.000204128,0.004970889,0.005535017,0.059088871,0.115605876,0.000743639,0.002779457,0.042977672,0.061619718,0.020287070,0.016337229,0.777323723,0.803450525,0.036489636,0.015192237,0.024381144,0.060861722,0.000000479,0.000004092
0.000006990,0.203650162,0.140093431,0.028515426,0.003095802,0.003832225,0.000378095,0.000001988,0.000000429,0.267572582,0.269096464,0.208894148,0.222085923,0.030169303,0.150739104,0.152935654,0.047783308,0.065175220,0.055267718,0.456117511,0.506054997,0.003359949,0.001827472,0.000736276,0.000895954,0.031097209,0.000071481,0.003998472,0.005438922,0.079078458,0.002145192,0.001247278,0.001013746,0.000071432,0.007890081,0.010142168,0.057251211,0.113041222,0.000869098,0.011500168,0.026075471,0.060709663,0.010948531,0.013905019,0.822898090,0.876728654,0.035682246,0.022598386,0.030576112,0.084783189,0.000000469,0.000004380
0.000009495,0.209269449,0.179249167,0.031648543,0.003021176,0.002923062,0.000379798,0.000001876,0.000000520,0.345262349,0.311927915,0.241858438,0.222840309,0.023552140,0.194946736,0.193538919,0.036072768,0.054628547,0.059989426,0.433341563,0.674729228,0.002272682,0.001375858,0.000601337,0.002902990,0.053308494,0.000038622,0.007801862,0.007699442,0.083130687,0.002723476,0.001702400,0.000504924,0.000458671,0.006062035,0.008157637,0.115261465,0.243607700,0.000445831,0.001084119,0.068937823,0.129329041,0.014417385,0.007512238,0.800828218,0.838934183,0.036786322,0.023607535,0.005699187,0.014984425,0.000000253,0.000005091
