_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000491,0.000056144,0.000038346,0.882556021,0.787526965,0.718874693,0.000010242,0.000000621,0.000000573,0.055508334,0.026216304,0.394538939,0.392301142,0.004901572,0.501933813,0.484172732,0.004208892,0.017650215,0.017007535,0.142390311,0.160762995,0.018359631,0.032304782,0.000088733,0.000987420,0.001184925,0.000020100,0.000132879,0.001905414,0.000208486,0.009181913,0.012479058,0.001559029,0.004805906,0.000576912,0.001267573,0.009967719,0.002065306,0.170219526,0.000246881,0.003464103,0.000404561,0.032455917,0.063392311,0.000296474,0.000135746,0.003777059,0.006477502,0.007920578,0.007196417,0.000010523,0.000000378
0.000000470,0.000056142,0.000037451,0.880230904,0.793465197,0.715785563,0.000009956,0.000000606,0.000000524,0.061158691,0.029565401,0.382788360,0.379203290,0.005801146,0.481928706,0.460983962,0.004493825,0.017699013,0.018424904,0.123332642,0.196462080,0.015880331,0.030023549,0.000095248,0.000863692,0.001049552,0.000016025,0.000140594,0.001931335,0.000219347,0.012712918,0.016394408,0.001189839,0.006947873,0.000549100,0.001099836,0.011706419,0.002585209,0.129033446,0.000142581,0.003378126,0.000335986,0.031670410,0.052841399,0.000461423,0.000210705,0.006280163,0.008099142,0.007789206,0.006970974,0.000009199,0.000000354
0.000000342,0.000059099,0.000022909,0.919413388,0.817651749,0.778892338,0.000010005,0.000000546,0.000000409,0.079912499,0.034930591,0.389909714,0.408275068,0.006137589,0.427672982,0.411386430,0.007271494,0.017383657,0.017535316,0.150018036,0.196457818,0.013895739,0.027197098,0.000117637,0.001114499,0.001001487,0.000013774,0.000130556,0.001971084,0.000158055,0.007253007,0.008613650,0.002701189,0.010156079,0.000664804,0.001241814,0.006136992,0.000992155,0.323429763,0.000117878,0.002022273,0.000258793,0.015293431,0.039008122,0.000340039,0.000114943,0.006997699,0.004145234,0.008434409,0.006018232,0.000010263,0.000000306
0.000000405,0.000052369,0.000020195,0.919142246,0.829213619,0.776620626,0.000011838,0.000000772,0.000000398,0.077297010,0.032195661,0.371793717,0.385808617,0.005876861,0.438520879,0.417449415,0.006461643,0.019597469,0.018471684,0.185902104,0.180344433,0.014001980,0.026538596,0.000128195,0.000973392,0.001812605,0.000025227,0.000200650,0.001383847,0.000233873,0.007675583,0.008664342,0.004566703,0.005243787,0.001143788,0.001830159,0.005633911,0.001488290,0.317179531,0.000206607,0.002562426,0.000267784,0.014694379,0.045153733,0.000318994,0.000142235,0.005877897,0.004481895,0.009797486,0.009190779,0.000008784,0.000000339
0.000000675,0.000066112,0.000029440,0.898425996,0.808062732,0.731706500,0.000024704,0.000002001,0.000000590,0.048908755,0.021990566,0.306348503,0.307724148,0.005066946,0.447975188,0.417176723,0.006231622,0.027824488,0.026924567,0.183435857,0.204925761,0.018637182,0.037368190,0.000236957,0.001121532,0.007163985,0.000100061,0.000156883,0.001363608,0.000234591,0.013116775,0.013654715,0.018541772,0.004162362,0.007947274,0.013762097,0.006107795,0.001834991,0.174997836,0.000126945,0.003051815,0.000463472,0.012088188,0.143051013,0.000467423,0.000225440,0.008237118,0.004809127,0.090674922,0.094555624,0.000008476,0.000000711
0.000000994,0.000044088,0.000025563,0.914144516,0.811134100,0.713841438,0.000037936,0.000004154,0.000000866,0.049353488,0.019079793,0.342474490,0.347048014,0.006243078,0.428758055,0.398049682,0.006174637,0.024239698,0.024042893,0.173168138,0.176050663,0.020370325,0.046155076,0.000298137,0.000949643,0.013164680,0.000152363,0.000288713,0.001180159,0.000298188,0.088763960,0.100358456,0.011155323,0.002570998,0.010231556,0.016248114,0.006448041,0.002719350,0.086894035,0.000127344,0.006774629,0.000602649,0.016336335,0.150422141,0.000589418,0.000364081,0.016447928,0.013399743,0.084849216,0.100086793,0.000007695,0.000001098
0.000001342,0.000077648,0.000045066,0.858495414,0.771157146,0.679197192,0.000048894,0.000004918,0.000001111,0.045519438,0.017297387,0.300011158,0.303038806,0.007863638,0.418944806,0.392995894,0.005530725,0.028487766,0.029625405,0.188537627,0.193207234,0.020658307,0.052595861,0.000330935,0.001363509,0.018647790,0.000138217,0.000307020,0.001281592,0.000234415,0.187248558,0.221547723,0.008632634,0.005417755,0.014182596,0.023851480,0.007387850,0.003142327,0.053990524,0.000043508,0.009423181,0.000831933,0.020260025,0.171925858,0.000635835,0.000385057,0.022984389,0.022272587,0.127840325,0.138613299,0.000007996,0.000001510
0.000000846,0.000104838,0.000043869,0.843511820,0.699876666,0.662236214,0.000095075,0.000003958,0.000000945,0.086712644,0.023024965,0.373559177,0.383017957,0.008585770,0.343492806,0.320782870,0.008986579,0.020512072,0.019251237,0.220875651,0.159308016,0.010982812,0.033158299,0.000734461,0.001791958,0.073197789,0.000293009,0.000604343,0.001849250,0.000453902,0.026184680,0.031847041,0.024504267,0.007277962,0.061317928,0.100052059,0.006810514,0.004385818,0.031862393,0.000023843,0.003984480,0.001564796,0.002276455,0.076299138,0.001713095,0.001031467,0.014347546,0.015976543,0.153471008,0.149209365,0.000006637,0.000002110
0.000000589,0.000046999,0.000015239,0.929687738,0.795495331,0.787612140,0.000064040,0.000003598,0.000000938,0.080402434,0.022845784,0.466075778,0.486227721,0.011581909,0.338405937,0.315446675,0.008939260,0.015627312,0.012591540,0.209623083,0.124326706,0.014759216,0.038582943,0.000737428,0.001638292,0.045861591,0.000175898,0.000625871,0.001368341,0.000369325,0.028434329,0.035825051,0.041775100,0.008993512,0.036661960,0.050035346,0.003238021,0.002576668,0.089730740,0.000024155,0.002130815,0.000718715,0.001493718,0.044973899,0.002019620,0.001318034,0.021108920,0.028975464,0.113201357,0.114611194,0.000007358,0.000001401
0.000000728,0.000016742,0.000009602,0.948192000,0.872811675,0.820006251,0.000167773,0.000007058,0.000001300,0.110917293,0.031155121,0.486034572,0.508611858,0.014300250,0.314872175,0.301414907,0.008856002,0.014705306,0.012657586,0.241509140,0.163680300,0.012435198,0.030563232,0.001228992,0.001874038,0.162259892,0.000533489,0.001256749,0.002111880,0.001001136,0.068105772,0.081011251,0.019036883,0.006234919,0.106748275,0.152066395,0.006042542,0.007278727,0.019494332,0.000019361,0.005351339,0.001748862,0.001595027,0.036699302,0.003674179,0.002862161,0.034150600,0.044593558,0.123361215,0.149540901,0.000006265,0.000002238
