_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000005856,0.454516768,0.468859613,0.000735909,0.002547165,0.001319055,0.000048222,0.000000197,0.000000164,0.152213171,0.233209491,0.399140209,0.368214518,0.009798846,0.235177159,0.226391569,0.024043692,0.020783035,0.017435443,0.259289861,0.290369630,0.005189004,0.002352144,0.000086348,0.000279109,0.004152880,0.000056878,0.000325649,0.020476069,0.042364590,0.000809240,0.001111642,0.000814486,0.001068251,0.000595340,0.000372916,0.224014267,0.376894325,0.000463405,0.000671733,0.013834505,0.006616433,0.097359464,0.155413136,0.083543912,0.115618654,0.001478407,0.004585607,0.019514928,0.038423121,0.000000619,0.000001686
0.000007769,0.487620234,0.504130304,0.000617763,0.002100575,0.001178873,0.000068067,0.000000266,0.000000239,0.172654003,0.233869821,0.432209194,0.394115657,0.010921244,0.217823356,0.210361034,0.026036797,0.018182406,0.014859404,0.243528798,0.284905434,0.004574005,0.002478846,0.000084105,0.000337459,0.005807803,0.000048463,0.000361951,0.015738966,0.030272100,0.002599311,0.003364111,0.000501725,0.001930696,0.000807549,0.000471731,0.244317681,0.437750936,0.000204441,0.000245168,0.024169287,0.010017310,0.163347051,0.221766010,0.115264930,0.148990154,0.003522925,0.008543947,0.036380090,0.071609072,0.000000516,0.000002337
0.000006929,0.482612759,0.487780094,0.000979366,0.002719339,0.001160479,0.000070783,0.000000250,0.000000236,0.137447432,0.182971612,0.446216166,0.397180140,0.007132675,0.277884185,0.252744585,0.019755274,0.017745579,0.012928582,0.217328250,0.244436130,0.006649554,0.003473810,0.000122290,0.000243562,0.004168585,0.000056453,0.000256727,0.016728230,0.028888373,0.002194035,0.002941451,0.000694500,0.001998776,0.001226719,0.000704268,0.206532165,0.420999736,0.000296148,0.000233511,0.017733440,0.007080175,0.116270445,0.192769349,0.117461607,0.163639709,0.002903779,0.008521263,0.057503410,0.108642384,0.000000729,0.000002384
0.000006427,0.446998239,0.469272345,0.001196098,0.002967700,0.001331524,0.000065675,0.000000251,0.000000234,0.137146816,0.180609792,0.449633330,0.413267106,0.009309427,0.226514831,0.223364815,0.025297161,0.015794246,0.013203317,0.203790978,0.272926152,0.006071626,0.003633138,0.000112708,0.000310443,0.004433565,0.000045976,0.000305113,0.019077308,0.031736013,0.001336810,0.001742698,0.000805724,0.002738632,0.001009415,0.000611596,0.212024704,0.398326278,0.000395107,0.000198212,0.017087085,0.007523990,0.094213784,0.168733492,0.138120875,0.176165372,0.002515797,0.006015032,0.042310365,0.081896350,0.000000622,0.000002383
0.000006562,0.323424459,0.386206180,0.001907169,0.005236028,0.001620729,0.000056923,0.000000301,0.000000204,0.133690804,0.180053443,0.360147178,0.331456810,0.007017348,0.306105733,0.273129791,0.015562052,0.024739439,0.019223558,0.242859930,0.286208421,0.006354814,0.003592397,0.000115869,0.000186863,0.002846451,0.000057244,0.000199975,0.013958060,0.026286501,0.002954513,0.003910343,0.000776752,0.001031988,0.001213630,0.000699064,0.164659783,0.327811748,0.000420081,0.000441357,0.012455876,0.003497103,0.154345348,0.247433677,0.125727013,0.177396268,0.003130430,0.009392382,0.092950106,0.185572460,0.000000916,0.000002008
0.000007606,0.394538760,0.446549267,0.001725487,0.003355637,0.001150082,0.000034736,0.000000306,0.000000305,0.127229944,0.184544489,0.320490032,0.301658601,0.008648404,0.263864726,0.244891867,0.021343475,0.029771384,0.025221201,0.248430312,0.334416628,0.006682945,0.003575573,0.000093085,0.000278674,0.001999373,0.000029506,0.000164813,0.016689422,0.007415428,0.006574222,0.012363192,0.000661542,0.001373226,0.000596723,0.000534689,0.134507701,0.152080461,0.000624940,0.000301928,0.008975395,0.001774220,0.218596324,0.289491355,0.054027341,0.064847328,0.002852930,0.026681021,0.108703762,0.139870167,0.000001266,0.000002512
0.000004343,0.441259384,0.421978831,0.001844702,0.003809918,0.001835011,0.000033105,0.000000318,0.000000194,0.129297748,0.192143634,0.411039174,0.371379137,0.010894097,0.220626995,0.210099101,0.024423547,0.021088155,0.016363151,0.231915429,0.326941073,0.007228981,0.002722679,0.000151455,0.000237017,0.002964714,0.000052110,0.000255860,0.002628905,0.007616545,0.007042976,0.012378140,0.002249532,0.004627447,0.002249985,0.000953545,0.017504683,0.217495933,0.001838069,0.000054701,0.007724219,0.001279515,0.049548469,0.206170201,0.019191695,0.063412949,0.002072234,0.048868280,0.051368285,0.123629190,0.000000969,0.000002044
0.000004669,0.378145427,0.426360935,0.002443319,0.003486405,0.001624417,0.000062977,0.000000413,0.000000275,0.151877344,0.177132145,0.494725227,0.465773672,0.012347317,0.204647318,0.194643497,0.024342172,0.012849531,0.011481990,0.183839202,0.323159158,0.005693415,0.003310463,0.000176956,0.000641012,0.008557566,0.000045018,0.000475707,0.005619829,0.015669283,0.004701626,0.006769683,0.001419647,0.001628264,0.005010437,0.002558319,0.073129445,0.314968348,0.000554148,0.000167366,0.016847109,0.004058844,0.046734113,0.187339664,0.031756144,0.064883627,0.002324403,0.014899937,0.079526715,0.152634427,0.000000832,0.000002932
0.000003981,0.403530180,0.375181943,0.003319400,0.003408540,0.002035105,0.000040263,0.000000285,0.000000182,0.156655014,0.196177244,0.420348465,0.387119025,0.008366667,0.241860002,0.236632243,0.022833325,0.020811547,0.015492023,0.283746243,0.324847400,0.006538741,0.002488917,0.000141366,0.000343569,0.005029882,0.000052046,0.000332427,0.003927352,0.011991928,0.004664841,0.007010245,0.001406015,0.002556444,0.003091802,0.001417672,0.043085024,0.277174026,0.000998432,0.000112545,0.012812676,0.002250930,0.049656458,0.149142295,0.013640324,0.033807766,0.001599979,0.015047356,0.035691068,0.083034128,0.000000833,0.000002202
0.000003286,0.365524888,0.339856565,0.003181838,0.004588563,0.002674397,0.000043107,0.000000268,0.000000181,0.157739788,0.219641626,0.427904397,0.382881165,0.008086911,0.253103107,0.232525766,0.020799316,0.019687157,0.015110314,0.206081152,0.296704471,0.006230104,0.002286975,0.000171222,0.000309249,0.004584124,0.000055440,0.000239906,0.002889944,0.012125194,0.006488088,0.009447533,0.001528134,0.002683369,0.004974708,0.001976732,0.032416705,0.302335232,0.000846818,0.000085675,0.009783678,0.002406656,0.034842320,0.152222693,0.016969681,0.047722176,0.002221082,0.020595599,0.051929500,0.124360383,0.000001043,0.000002117
