_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002214,0.385222673,0.400792748,0.000024341,0.017753685,0.007155417,0.000463328,0.000000081,0.000000320,0.098671049,0.449973196,0.357753813,0.718244731,0.010613435,0.108278520,0.238207698,0.050274272,0.059762646,0.002444803,0.627956331,0.144538909,0.010655391,0.000803097,0.000345332,0.008652403,0.161351651,0.000071851,0.012898068,0.029281361,0.154208630,0.000180022,0.000246322,0.000882811,0.002835921,0.012884581,0.015831849,0.045438834,0.265459955,0.000730269,0.000087820,0.096151911,0.059697717,0.023415927,0.024531299,0.007049118,0.019278718,0.000138352,0.002477266,0.034837507,0.102417633,0.000000210,0.000001668
0.000003566,0.621428013,0.548233271,0.000009599,0.005688068,0.005704620,0.000856426,0.000000068,0.000000362,0.179596752,0.498219222,0.536770463,0.653626442,0.023899714,0.100674555,0.151827902,0.056621116,0.026516352,0.003586715,0.632648647,0.197406799,0.004897324,0.000526507,0.000550162,0.012542604,0.166669235,0.000060854,0.011831494,0.072369151,0.142516702,0.000209579,0.000235001,0.000739145,0.020614227,0.020637363,0.033506636,0.102243066,0.321639031,0.000422162,0.000007095,0.113068983,0.078379221,0.016644251,0.015939066,0.017265625,0.030130722,0.000368263,0.002404510,0.035425879,0.079534210,0.000000166,0.000001278
0.000002197,0.209866166,0.287274957,0.000057617,0.058345057,0.004590585,0.000733446,0.000000047,0.000000422,0.074388936,0.423558265,0.050836764,0.559630275,0.018371765,0.049935259,0.196769506,0.110322356,0.345491648,0.012443757,0.674613118,0.159878343,0.013869040,0.000936747,0.000710918,0.008112763,0.213080943,0.000071743,0.043777514,0.094690852,0.269503236,0.000060310,0.000052366,0.001139996,0.007905000,0.010127453,0.019383328,0.161438584,0.348068386,0.000313200,0.000037628,0.053195339,0.123597756,0.009523479,0.005176343,0.045794681,0.073343553,0.000388960,0.000642762,0.032493610,0.076932646,0.000000150,0.000001264
0.000002524,0.406402498,0.490260810,0.000015036,0.021388466,0.003899989,0.001079174,0.000000056,0.000000422,0.138194740,0.511166990,0.104913414,0.664296091,0.012007079,0.069940828,0.244680464,0.082766376,0.200648665,0.005809191,0.702767134,0.131653264,0.007035220,0.000541982,0.000668185,0.009576960,0.148113504,0.000043216,0.017495001,0.060508862,0.152165875,0.000179418,0.000118585,0.000669150,0.004611530,0.014364509,0.027614888,0.260315686,0.273365885,0.000242563,0.000060655,0.103951141,0.146329716,0.017667603,0.012496112,0.054269928,0.052313346,0.001428275,0.000471311,0.078364819,0.171231389,0.000000184,0.000001281
0.000007972,0.320398092,0.326086521,0.000133255,0.019472789,0.008441451,0.001407891,0.000000084,0.000000751,0.154174849,0.571269512,0.380117536,0.625389695,0.024739694,0.092603281,0.147638515,0.063079327,0.059283562,0.005249457,0.624074221,0.184849784,0.008649569,0.000345528,0.000776406,0.012224641,0.170600608,0.000070486,0.014776014,0.092718758,0.028411854,0.000337541,0.000433965,0.000935751,0.036844082,0.017742762,0.048195887,0.140286386,0.232991010,0.000305312,0.000002996,0.092185564,0.091971830,0.011150296,0.014626902,0.206412077,0.265967309,0.000661995,0.008458046,0.063767038,0.103708155,0.000000273,0.000003139
0.000005916,0.828736305,0.806218565,0.000005503,0.001743181,0.001462847,0.000116219,0.000000051,0.000000122,0.237579599,0.490748763,0.634747148,0.644574285,0.010456217,0.249439150,0.272985995,0.026050732,0.017997183,0.004101594,0.706174135,0.213757738,0.003360442,0.000561863,0.000062162,0.000277160,0.025519414,0.000214768,0.013716763,0.029447358,0.202995986,0.000083188,0.000149798,0.000216262,0.000342805,0.000252298,0.000167502,0.062312558,0.277563095,0.001265904,0.005371886,0.055383909,0.045716453,0.127673566,0.025444297,0.010157316,0.037281718,0.000164262,0.005283161,0.005387679,0.022295162,0.000000156,0.000000545
0.000000716,0.004434163,0.160014242,0.000630666,0.613993049,0.008616802,0.000216474,0.000000040,0.000000471,0.134040192,0.656508565,0.013045067,0.882450998,0.004559155,0.134031072,0.335797966,0.044467580,0.696104884,0.001740125,0.854047775,0.060322829,0.006552828,0.000245623,0.000290815,0.000956258,0.032120351,0.000278574,0.006051829,0.048265059,0.049511530,0.000024553,0.000032439,0.001678142,0.004484947,0.001688153,0.002094646,0.085012995,0.230554655,0.002685969,0.000305417,0.035892561,0.031245034,0.013777962,0.021600522,0.155401900,0.290166974,0.000199225,0.002437599,0.005263541,0.009369167,0.000000636,0.000001379
0.000000655,0.005296250,0.447621137,0.000219089,0.634319663,0.003439274,0.000150627,0.000000018,0.000001076,0.074734889,0.654690862,0.001320249,0.935354710,0.000658491,0.468317986,0.641968846,0.009779535,0.909539461,0.002264962,0.820102811,0.038510643,0.011452014,0.000313271,0.000213363,0.000115256,0.011760268,0.000921770,0.002698156,0.094739862,0.029023102,0.000012931,0.000020762,0.001979320,0.000511578,0.000617669,0.001030533,0.083845712,0.118419312,0.008745263,0.006454475,0.015369995,0.021021005,0.013464879,0.019172769,0.275559992,0.432474107,0.000222489,0.004817334,0.007583946,0.012613364,0.000001848,0.000000917
0.000013863,0.699783802,0.723739922,0.000031320,0.004527385,0.002647433,0.000045859,0.000000055,0.000000213,0.355626225,0.527634263,0.670041740,0.642655790,0.004732565,0.469455183,0.450830102,0.007980463,0.011313179,0.005179256,0.575658977,0.173123226,0.001851799,0.000519968,0.000008448,0.000253349,0.013496269,0.000144304,0.006893508,0.113527134,0.092091806,0.000047999,0.000109210,0.000092943,0.000192016,0.000013352,0.000009653,0.173457325,0.130093172,0.001484662,0.027095454,0.024529707,0.030670520,0.804464459,0.124304377,0.059876766,0.072100721,0.000202166,0.004951878,0.017220417,0.021208826,0.000000258,0.000000670
0.000006980,0.623874426,0.587671816,0.000064635,0.005103827,0.003185592,0.000043486,0.000000044,0.000000108,0.193086937,0.326211512,0.392373830,0.458188623,0.003831137,0.405944616,0.411087662,0.016758272,0.038319018,0.016967125,0.722941518,0.231336445,0.005720039,0.001445391,0.000010287,0.000113724,0.011614824,0.000342466,0.002988244,0.215650186,0.210900694,0.000007299,0.000018974,0.000115970,0.000210849,0.000019527,0.000015233,0.104093373,0.109300107,0.003486997,0.035281844,0.035492916,0.076418057,0.597595215,0.068474628,0.006676665,0.008995654,0.000039011,0.001292231,0.005733737,0.006165245,0.000000207,0.000000431
