_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000004349,0.267454296,0.220888466,0.001073435,0.009781091,0.012969171,0.000326422,0.000000766,0.000002144,0.058593880,0.045502029,0.061997123,0.066321783,0.008051241,0.224598095,0.213976026,0.021315565,0.126825541,0.122675568,0.441764593,0.250783473,0.010230568,0.008781905,0.002397109,0.000167301,0.015205862,0.000530009,0.000283887,0.021250423,0.000696361,0.001344059,0.002020183,0.007383575,0.004698829,0.050981637,0.098941967,0.025982765,0.012625262,0.003505501,0.000022964,0.001761447,0.007690846,0.000866427,0.040624857,0.234755278,0.170212120,0.064823046,0.275357485,0.224288478,0.179247960,0.000003925,0.000003761
0.000004033,0.302117199,0.246932402,0.001218879,0.007484395,0.010019340,0.000327831,0.000000815,0.000002051,0.050962098,0.046158575,0.084566914,0.089586280,0.006136562,0.270010024,0.246669173,0.017374052,0.095917322,0.092577837,0.409767926,0.270999730,0.011355086,0.009632488,0.002551062,0.000183202,0.017676841,0.000589046,0.000320584,0.017934930,0.000762032,0.001031500,0.001497282,0.008705056,0.003755892,0.056215066,0.106390856,0.022753041,0.011940469,0.004185712,0.000030607,0.001710024,0.008753133,0.000701948,0.037756942,0.265416324,0.195438206,0.060392570,0.256082892,0.218079567,0.170420855,0.000003417,0.000003947
0.000004151,0.289588720,0.229875818,0.001478375,0.007252131,0.010249150,0.000304473,0.000000877,0.000002117,0.058264419,0.050086547,0.084390283,0.088785760,0.006216509,0.278233796,0.251028478,0.016151190,0.096656829,0.094388783,0.429966718,0.281746507,0.009843483,0.008850993,0.002637034,0.000179883,0.015369540,0.000568627,0.000280222,0.019338088,0.000689592,0.001487772,0.002214040,0.008620016,0.004181722,0.052763134,0.100714713,0.023370031,0.011371366,0.004038813,0.000025179,0.001612045,0.007760078,0.000767249,0.042237222,0.234008670,0.167522103,0.070135757,0.289859384,0.216920421,0.168881267,0.000003968,0.000004061
0.000003893,0.286314666,0.231141225,0.001417227,0.007879040,0.010547310,0.000270565,0.000000775,0.000001927,0.055916369,0.049868658,0.079669677,0.083777227,0.006223153,0.277305514,0.251444608,0.015858730,0.101546444,0.099914625,0.425027102,0.279106587,0.009987663,0.008948626,0.002374676,0.000150860,0.014767178,0.000581105,0.000275474,0.021472044,0.000597189,0.001084290,0.001691327,0.010229225,0.003464627,0.043536093,0.091169707,0.022644682,0.008847496,0.005228329,0.000033802,0.001210069,0.006407262,0.000653641,0.039995853,0.232326210,0.161533684,0.055071790,0.261568248,0.224016562,0.172697023,0.000004157,0.000003767
0.000003872,0.268134832,0.222494543,0.001219691,0.010555007,0.013331135,0.000237231,0.000000783,0.000001822,0.055327632,0.045540441,0.066238128,0.070897758,0.008167481,0.219322518,0.211404637,0.021397300,0.116131425,0.114658169,0.427729517,0.251177847,0.010321937,0.008951251,0.001936360,0.000152401,0.010357044,0.000349137,0.000198663,0.015889645,0.000663718,0.001956286,0.002798607,0.008479400,0.003633250,0.031507395,0.063609198,0.023550237,0.010243042,0.005571229,0.000032210,0.001306057,0.003714663,0.000999834,0.047417935,0.213139907,0.154832423,0.082272157,0.286345273,0.196149811,0.172175527,0.000004369,0.000003336
0.000004071,0.269310296,0.208967134,0.001791941,0.008795169,0.012958749,0.000246812,0.000000859,0.000001932,0.058963537,0.055515241,0.065202862,0.070833452,0.008293437,0.223510459,0.213355333,0.020739565,0.119721308,0.118147865,0.430875868,0.280162126,0.009300069,0.007757518,0.002183325,0.000143655,0.011480372,0.000468818,0.000219134,0.021702854,0.000513923,0.001876603,0.002943437,0.009261644,0.003641512,0.035320111,0.076522537,0.022845658,0.007673169,0.005882765,0.000030038,0.001247407,0.004536373,0.000869459,0.046069685,0.207989618,0.137804836,0.072569698,0.306758434,0.212952778,0.160987064,0.000004797,0.000003742
0.000004583,0.247426882,0.201684475,0.001417250,0.010478991,0.014266382,0.000309186,0.000000793,0.000002523,0.053755630,0.042702191,0.072048374,0.076187991,0.006063437,0.276624560,0.248039603,0.016872687,0.110822931,0.108884051,0.419468671,0.264924765,0.010824691,0.009659122,0.002466069,0.000237290,0.016463634,0.000410159,0.000315224,0.027526991,0.000532730,0.001463564,0.002430734,0.007896149,0.004887608,0.044364724,0.095483050,0.028914891,0.009902875,0.003669264,0.000021750,0.001694468,0.007565013,0.000775695,0.040192019,0.188534528,0.121631660,0.058377616,0.292576194,0.192956835,0.139136255,0.000004328,0.000004343
0.000003059,0.230371654,0.197109565,0.001369698,0.013267523,0.015050516,0.000283188,0.000000629,0.000001483,0.050135307,0.044535104,0.057643026,0.062496953,0.006930740,0.257306874,0.233331978,0.018563906,0.131270513,0.130375937,0.425173044,0.271651834,0.011813616,0.009841188,0.002038317,0.000200033,0.016745443,0.000475084,0.000290497,0.013030696,0.000686303,0.000510674,0.000695245,0.011456680,0.007228618,0.055504862,0.093451232,0.017330600,0.011829497,0.006675896,0.000019121,0.001173071,0.005621639,0.000501113,0.030432388,0.360603869,0.297232717,0.045014862,0.189258516,0.147897810,0.118424833,0.000003345,0.000003042
0.000003978,0.227097899,0.182660758,0.002235720,0.011421101,0.015005105,0.000263744,0.000000940,0.000002011,0.050739821,0.037223831,0.063738406,0.068111517,0.009775504,0.214031622,0.197016522,0.021225102,0.119776435,0.120088287,0.445786506,0.239552289,0.011869049,0.010762380,0.002184158,0.000176499,0.013637284,0.000407582,0.000226380,0.012520130,0.000787266,0.002032619,0.002872914,0.010087140,0.005832068,0.053401288,0.091506362,0.018266715,0.013002742,0.005394485,0.000019226,0.001462911,0.004041349,0.000911557,0.049992107,0.199404359,0.172965959,0.072268814,0.325010538,0.201498091,0.189291894,0.000004443,0.000003540
0.000003506,0.283230871,0.214228883,0.002058242,0.008239432,0.012008319,0.000273968,0.000000845,0.000001382,0.058904901,0.045212016,0.065624110,0.073277749,0.006960940,0.257305294,0.239593178,0.018247539,0.117116295,0.110558197,0.457499683,0.219143853,0.010090045,0.009017922,0.002094284,0.000149238,0.015314643,0.000586300,0.000270054,0.009085904,0.001385517,0.001180440,0.001420695,0.008977895,0.001473006,0.051741954,0.082626529,0.019118149,0.015558700,0.004810353,0.000094382,0.001415210,0.005691307,0.000775611,0.043674991,0.252826929,0.244646549,0.058821995,0.231407493,0.145498425,0.151777759,0.000003691,0.000003304
0.000003825,0.240205333,0.195790306,0.002467268,0.013759191,0.018308727,0.000110044,0.000000761,0.000001335,0.032221060,0.019322213,0.088361502,0.093587652,0.008969782,0.199391916,0.208031401,0.022483416,0.084530413,0.086655617,0.370852202,0.170466587,0.019159252,0.018463206,0.001040419,0.000149912,0.015812490,0.000522456,0.000243876,0.010169707,0.000529039,0.006428952,0.013072126,0.005917888,0.001502851,0.021544853,0.046150044,0.024730587,0.011399356,0.003747567,0.000071449,0.002111606,0.003736228,0.001220679,0.045806371,0.009605069,0.009809456,0.008707140,0.168753654,0.018111145,0.016881950,0.000004490,0.000004639
0.000004465,0.215581238,0.179339275,0.002814038,0.014705748,0.018897908,0.000113918,0.000000594,0.000001350,0.042070594,0.033471044,0.109760582,0.115632720,0.005494772,0.278153002,0.256555617,0.014943288,0.066441566,0.064983264,0.432552576,0.219275922,0.014594287,0.010518809,0.000878283,0.000186821,0.019566152,0.000475529,0.000350203,0.021645993,0.000619160,0.003237223,0.007480086,0.004381696,0.001907026,0.018632850,0.041710805,0.038259715,0.015400602,0.002152545,0.000059402,0.002762499,0.005516996,0.001482048,0.043134175,0.007357951,0.006602873,0.003850922,0.094327614,0.017909870,0.014117714,0.000004340,0.000005108
