_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000004319,0.001311501,0.000801301,0.563316703,0.244022980,0.237479225,0.000399928,0.000001314,0.000001293,0.061035711,0.018946230,0.084053814,0.086853467,0.146735013,0.020148102,0.035979964,0.169810876,0.097554535,0.100892067,0.267508179,0.150066271,0.010321425,0.020828782,0.000631872,0.007107309,0.246537313,0.000117467,0.013744556,0.017620072,0.003565789,0.000335817,0.000397004,0.004030800,0.012905108,0.022624645,0.027177069,0.199400693,0.208155423,0.000368892,0.000017642,0.012225199,0.043597966,0.002508400,0.014733978,0.261600018,0.222972840,0.020227844,0.040342055,0.021595541,0.016565500,0.000000711,0.000004187
0.000004706,0.001170391,0.000973243,0.579577565,0.275251508,0.240410820,0.000537660,0.000001355,0.000001594,0.044701129,0.013725352,0.100276187,0.099758334,0.139817357,0.019544972,0.037571337,0.176659107,0.089052513,0.088909477,0.224167705,0.144929156,0.014143243,0.032785337,0.000649856,0.009980305,0.322349161,0.000172601,0.015093434,0.018692562,0.004700580,0.000188945,0.000201472,0.003252989,0.013239244,0.028241100,0.035569578,0.223434746,0.233300596,0.000358590,0.000019106,0.015687995,0.096424364,0.002698165,0.011258333,0.477910310,0.403118372,0.020447683,0.031515699,0.021228200,0.016453715,0.000000587,0.000005010
0.000005027,0.001839239,0.001377974,0.561479568,0.212379679,0.211514011,0.000587697,0.000001214,0.000001785,0.035974346,0.009092002,0.085286610,0.090764686,0.082384057,0.033996530,0.055666998,0.122489199,0.107729003,0.098275922,0.254070103,0.096413642,0.017763957,0.046046965,0.000671046,0.009091365,0.379593819,0.000239910,0.016202401,0.020624025,0.003597398,0.000136322,0.000153530,0.004376638,0.014623205,0.027773956,0.039905902,0.168172136,0.165424794,0.000590719,0.000019345,0.011062985,0.094310671,0.001926166,0.009422317,0.546596289,0.482441902,0.014853493,0.036909979,0.018743947,0.014378653,0.000000653,0.000005415
0.000005247,0.001722269,0.001278246,0.586560428,0.215619281,0.241269946,0.000729399,0.000001219,0.000001533,0.037646718,0.009936213,0.054105081,0.054052711,0.076777145,0.037154224,0.058855124,0.114305899,0.168227598,0.157094553,0.315512687,0.134037882,0.017182047,0.042939696,0.000742882,0.009720242,0.398603231,0.000260738,0.017319487,0.024889756,0.004256007,0.000098805,0.000105517,0.004039215,0.024473686,0.037695881,0.061090060,0.192650333,0.176597700,0.000667361,0.000012227,0.013095275,0.113109142,0.002054655,0.007020509,0.618338704,0.519476056,0.010636381,0.017251821,0.016897922,0.012625381,0.000000585,0.000005171
0.000004399,0.001938610,0.002024773,0.537264824,0.212078586,0.209267080,0.000742939,0.000001129,0.000001815,0.034184944,0.009694385,0.053565748,0.052441694,0.102878705,0.028437911,0.046135567,0.137072116,0.170218915,0.162806764,0.273706138,0.118175715,0.019704651,0.041930206,0.000815329,0.012616944,0.381752640,0.000193789,0.014276430,0.016191291,0.003432021,0.000151359,0.000150770,0.003182588,0.022866251,0.049826998,0.083471358,0.158496827,0.165455088,0.000508574,0.000010706,0.013797108,0.127050966,0.001794843,0.006167647,0.638928533,0.557408154,0.014537260,0.021772791,0.017515454,0.013533218,0.000000615,0.000005439
0.000005867,0.001504456,0.001246483,0.612326920,0.216895655,0.256660342,0.000737784,0.000001372,0.000002106,0.031381901,0.008755050,0.038852550,0.036136802,0.069867060,0.041025158,0.061309833,0.103604011,0.218329102,0.203985229,0.267373413,0.134108514,0.019170664,0.041858654,0.000824559,0.011847526,0.352254838,0.000164037,0.014378801,0.017532358,0.002589256,0.000192219,0.000202808,0.003642837,0.030938692,0.045613859,0.076160327,0.185433120,0.156654850,0.000521883,0.000007887,0.015241148,0.099332586,0.002219630,0.008933871,0.621472359,0.501047015,0.020682804,0.027969658,0.022079974,0.016845727,0.000000642,0.000005212
0.000006033,0.001140970,0.001054714,0.654129148,0.243266463,0.303008556,0.000815786,0.000001488,0.000002413,0.032956451,0.012962562,0.032178748,0.032675717,0.093293816,0.029761583,0.049821515,0.131774545,0.244765639,0.222389072,0.386133850,0.186705127,0.019239934,0.027836667,0.000894876,0.016637189,0.309168547,0.000116058,0.011388876,0.013404769,0.002588244,0.000232568,0.000223462,0.002478607,0.017621022,0.059140086,0.097312413,0.192337319,0.166075289,0.000347539,0.000012910,0.017912434,0.106171779,0.002225721,0.008481525,0.587785482,0.477534860,0.024609623,0.036306620,0.017923495,0.014878717,0.000000705,0.000005670
0.000005875,0.001437906,0.001548825,0.600581467,0.218680367,0.268784195,0.000705600,0.000001174,0.000003322,0.026653117,0.012087806,0.031594247,0.029663302,0.077415243,0.037199900,0.056888368,0.112354226,0.247013628,0.233487055,0.317983299,0.192367643,0.021573553,0.028490061,0.001036462,0.015027893,0.259102970,0.000093773,0.009677783,0.020271925,0.001943697,0.000207882,0.000211984,0.002040569,0.028249260,0.057421375,0.099939734,0.222984642,0.149469808,0.000265981,0.000007447,0.017472150,0.110301509,0.001737427,0.008285895,0.530015767,0.378768951,0.039550308,0.055870634,0.017705131,0.013354795,0.000000791,0.000005027
0.000005323,0.002123918,0.003246741,0.520806789,0.184666008,0.166170478,0.000473779,0.000001111,0.000002576,0.032029279,0.013525605,0.019567315,0.014927763,0.041127130,0.066713147,0.084093250,0.071762748,0.342748374,0.333757073,0.287604332,0.232292816,0.015584884,0.023273271,0.001026619,0.010127779,0.201068208,0.000070730,0.009739144,0.018958507,0.001477194,0.000295298,0.000291862,0.002707982,0.038644698,0.033949837,0.061479099,0.201156437,0.112876154,0.000325803,0.000004916,0.014338613,0.055228163,0.001398260,0.009848382,0.446517438,0.283501446,0.062919669,0.049201094,0.010236165,0.008814511,0.000000708,0.000003890
0.000005123,0.011644789,0.017485604,0.316450834,0.057389311,0.074387603,0.000315191,0.000000781,0.000001905,0.042134382,0.024603501,0.023022411,0.017356386,0.032470815,0.083772667,0.097980700,0.059071209,0.289231837,0.284241319,0.346666366,0.343422204,0.010951770,0.012104210,0.000795995,0.014677268,0.186976478,0.000029026,0.013599345,0.018937234,0.001663856,0.000375531,0.000342537,0.002274675,0.039437979,0.017199349,0.029965160,0.231391504,0.103808858,0.000311473,0.000005030,0.013571906,0.028566042,0.001424748,0.009190509,0.244218037,0.130331770,0.072066307,0.028625928,0.004619636,0.004093138,0.000000517,0.000003483
