_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001239,0.331833690,0.279510915,0.000738224,0.002021474,0.001379837,0.000008786,0.000000107,0.000000095,0.208152905,0.156685457,0.370573401,0.350614101,0.231013969,0.016190624,0.022103796,0.205846339,0.032296564,0.024163254,0.431815982,0.348049283,0.005261597,0.002777827,0.000030808,0.001150137,0.002258263,0.000021137,0.000178137,0.013042321,0.007853421,0.001301021,0.002282662,0.000286063,0.001427200,0.000241128,0.000182897,0.070321351,0.130294278,0.001358529,0.000340881,0.015200915,0.005897264,0.159194797,0.058537278,0.001325262,0.001320430,0.000600191,0.003059834,0.001293056,0.001782894,0.000000622,0.000000596
0.000000784,0.273532987,0.231715456,0.001160774,0.003339907,0.001958352,0.000010299,0.000000082,0.000000059,0.206885219,0.157982931,0.351145625,0.333643287,0.155765310,0.024575543,0.033482268,0.143062994,0.032960683,0.023871563,0.428564936,0.308729947,0.005391242,0.002683741,0.000027361,0.001647094,0.002516511,0.000016284,0.000161905,0.006966101,0.023041576,0.000723592,0.000864194,0.000318758,0.001351728,0.000410150,0.000199609,0.052264120,0.201856598,0.001704649,0.000466504,0.017228287,0.007936233,0.144636407,0.052252308,0.000943615,0.001046695,0.000629786,0.000806849,0.001004306,0.002186137,0.000000513,0.000000371
0.000000923,0.312643647,0.240318790,0.001094949,0.002633636,0.002058286,0.000006499,0.000000083,0.000000067,0.210921600,0.162506416,0.325678080,0.316933364,0.163184240,0.022796448,0.033709828,0.153461903,0.036007643,0.026374323,0.435149074,0.299141765,0.004741712,0.002652000,0.000017932,0.001105975,0.001535458,0.000015147,0.000118158,0.008375534,0.011323857,0.001486312,0.002072894,0.000183665,0.001492864,0.000158160,0.000084003,0.057607550,0.129082397,0.001599279,0.000376830,0.013127643,0.004216591,0.313532084,0.071009532,0.001248432,0.001157007,0.000961673,0.001764597,0.001047102,0.001841792,0.000000542,0.000000379
0.000000804,0.260108769,0.197522134,0.001192090,0.003405872,0.002519932,0.000007064,0.000000068,0.000000056,0.213986456,0.165280208,0.333834022,0.321678072,0.166043073,0.023862397,0.030931169,0.153132558,0.036304925,0.026422616,0.445678562,0.315450668,0.005047711,0.002693759,0.000018173,0.001065799,0.001837858,0.000019828,0.000152153,0.010952591,0.018151458,0.000575671,0.000779678,0.000220827,0.001482682,0.000168479,0.000084187,0.058145657,0.143655658,0.001779002,0.000494064,0.013162451,0.006759895,0.233754575,0.051145121,0.001132963,0.001079376,0.000646355,0.000933597,0.000845049,0.001519888,0.000000481,0.000000310
0.000001238,0.287875950,0.220959559,0.000940647,0.002579595,0.001902015,0.000008283,0.000000104,0.000000090,0.214553148,0.204863340,0.258428067,0.264436096,0.138520211,0.028674988,0.038116593,0.128535852,0.050712522,0.040227432,0.445230931,0.333450437,0.004651660,0.002206714,0.000016149,0.001372754,0.003053881,0.000020075,0.000177035,0.012113344,0.006652547,0.001773229,0.002836482,0.000210665,0.002445165,0.000209776,0.000133772,0.051935099,0.086661398,0.001736017,0.000175031,0.030132469,0.009466078,0.376780450,0.101331525,0.000591094,0.000441846,0.000680230,0.001733364,0.001489025,0.002239736,0.000000453,0.000000411
0.000001048,0.263222128,0.182131752,0.001178162,0.002829757,0.002347894,0.000011721,0.000000137,0.000000092,0.209132686,0.190639570,0.361255050,0.343258083,0.142214447,0.029933395,0.032530610,0.130537048,0.033769626,0.026002368,0.393882096,0.336064816,0.004648859,0.002446897,0.000031501,0.001554374,0.003559034,0.000019067,0.000194007,0.007345500,0.007495150,0.003375184,0.004372949,0.000249977,0.000911304,0.000438265,0.000328091,0.054675691,0.085294820,0.001235881,0.000393917,0.026919628,0.009246763,0.189118758,0.075513698,0.000708828,0.000507753,0.001221567,0.001410117,0.001950069,0.003233697,0.000000585,0.000000562
0.000000941,0.481180459,0.386001885,0.000385399,0.001013968,0.000915391,0.000014926,0.000000112,0.000000066,0.194819301,0.165672883,0.395702869,0.380812228,0.141071990,0.026574954,0.037920192,0.137024641,0.029352397,0.021194212,0.450116038,0.333749771,0.004920809,0.002764461,0.000040229,0.002135401,0.003707249,0.000013938,0.000184770,0.007092730,0.012139047,0.002060748,0.002525234,0.000378356,0.003214962,0.000722626,0.000444222,0.043988846,0.118952028,0.001781533,0.000097833,0.025653984,0.007278710,0.168805405,0.080520540,0.000861854,0.000723090,0.000858775,0.001017827,0.003360276,0.006336357,0.000000401,0.000000471
0.000000721,0.300377429,0.202195317,0.000941786,0.002701775,0.002545782,0.000012991,0.000000111,0.000000056,0.190454200,0.182099149,0.329412252,0.330498219,0.223096311,0.016741516,0.023393225,0.207436755,0.038512889,0.026042497,0.482883990,0.321611166,0.005094061,0.002676098,0.000024425,0.002511866,0.003927568,0.000011393,0.000240589,0.003670777,0.016238961,0.003124657,0.002766243,0.000210442,0.001779115,0.000480841,0.000234316,0.046235632,0.136883155,0.001365952,0.000193662,0.034247998,0.010247239,0.229935065,0.053299673,0.000648960,0.000514038,0.001767399,0.000567449,0.001140551,0.002851218,0.000000317,0.000000381
0.000000853,0.297219157,0.221518919,0.001617950,0.004334061,0.002539699,0.000006065,0.000000092,0.000000075,0.549138784,0.394162297,0.670095563,0.671009362,0.053803235,0.118807040,0.110831931,0.034144796,0.008066587,0.007902057,0.542799950,0.493247986,0.001010533,0.000630051,0.000010376,0.001663622,0.002534437,0.000014963,0.000210367,0.008786003,0.010273911,0.001750556,0.002084261,0.000162702,0.001611809,0.000113913,0.000066867,0.035461701,0.041712582,0.004286502,0.000561061,0.021110319,0.007301101,0.552017808,0.106702074,0.000580286,0.000297257,0.001275750,0.000712904,0.003048203,0.004178169,0.000000505,0.000000269
0.000000996,0.402548254,0.342116952,0.000565521,0.002814728,0.001669651,0.000008433,0.000000074,0.000000084,0.559022069,0.361985773,0.700742841,0.696296215,0.112373173,0.050573342,0.041878104,0.112438604,0.006805030,0.007317827,0.510522842,0.473860174,0.000984134,0.000779769,0.000011908,0.001469831,0.003120424,0.000021001,0.000286604,0.019069221,0.018777914,0.000418580,0.000527178,0.000180634,0.001643594,0.000100812,0.000069847,0.067212820,0.068752564,0.003432372,0.000757194,0.025407191,0.012176541,0.466870219,0.067908764,0.001030685,0.000556195,0.000683656,0.000513405,0.002112360,0.002568463,0.000000325,0.000000266
0.000001150,0.477810711,0.445372760,0.000206151,0.002441969,0.001319684,0.000011366,0.000000100,0.000000091,0.654221773,0.424619615,0.724280119,0.730903387,0.101132326,0.067368120,0.052305777,0.081983127,0.006155404,0.007615035,0.631259501,0.588214457,0.000701792,0.000533523,0.000025107,0.000958280,0.002446134,0.000026011,0.000213861,0.014067541,0.018655181,0.001047595,0.001352899,0.000233147,0.000517589,0.000252926,0.000208266,0.048106845,0.051982243,0.003201091,0.001999466,0.014376889,0.005925865,0.295026779,0.074870981,0.001391734,0.000873321,0.000736703,0.000938434,0.007709759,0.009728531,0.000000574,0.000000376
0.000001029,0.392524570,0.330447018,0.000790092,0.002767064,0.001736689,0.000022727,0.000000155,0.000000098,0.541908503,0.462019324,0.708706737,0.707079053,0.095026843,0.060683221,0.048431870,0.081978835,0.007115150,0.006429781,0.552715480,0.470151931,0.001051009,0.000408622,0.000082767,0.000862534,0.001774907,0.000017376,0.000091792,0.010984388,0.009937687,0.006105500,0.006087231,0.000470714,0.000271888,0.001241647,0.001354729,0.052475359,0.032815758,0.001922133,0.001545940,0.010884242,0.002956307,0.123723850,0.093208306,0.003201007,0.001431723,0.003302984,0.001032125,0.061406143,0.056517974,0.000001328,0.000000636
0.000000705,0.455340743,0.446420699,0.000594079,0.002091673,0.001149368,0.000010520,0.000000041,0.000000062,0.574002504,0.477511555,0.686318040,0.683893204,0.062911026,0.078827001,0.082050383,0.066154182,0.007051644,0.007133877,0.547996521,0.582525730,0.000917490,0.000397735,0.000011889,0.003468949,0.002981331,0.000009482,0.000247543,0.065882936,0.040813357,0.000088818,0.000073934,0.000220805,0.004089376,0.000075801,0.000072505,0.105241314,0.033860579,0.012452620,0.000558257,0.029204773,0.018585596,0.326963484,0.036699157,0.001080314,0.000273954,0.001172553,0.000072133,0.001223370,0.001185868,0.000000283,0.000000127
0.000000707,0.440429717,0.428944528,0.000659602,0.002086202,0.001087707,0.000010132,0.000000044,0.000000067,0.567880630,0.461924553,0.675490260,0.674939990,0.054141801,0.091174670,0.089856200,0.057783138,0.007614224,0.007922441,0.555256128,0.592474580,0.000945845,0.000423723,0.000013838,0.003082251,0.002640608,0.000009233,0.000232799,0.052136570,0.031772949,0.000155198,0.000127680,0.000213780,0.002845837,0.000082882,0.000084477,0.103144825,0.032539103,0.009976095,0.000667131,0.025463667,0.014167503,0.303113699,0.034308020,0.001263442,0.000322704,0.001561852,0.000096327,0.001228789,0.001212858,0.000000317,0.000000145
0.000001191,0.477479398,0.400927544,0.000454852,0.001706652,0.001144849,0.000012355,0.000000055,0.000000083,0.424808472,0.247885257,0.469760358,0.462884903,0.017063379,0.187220961,0.195900828,0.032517757,0.019768968,0.021150555,0.532206953,0.433389872,0.001642845,0.001704469,0.000019473,0.001567815,0.003266545,0.000013264,0.000378304,0.075471081,0.027438663,0.000189566,0.000263543,0.000171176,0.003010149,0.000076306,0.000074463,0.110293128,0.053872421,0.003069248,0.000350843,0.025216026,0.013632108,0.330783427,0.047190472,0.002619183,0.001061533,0.000760617,0.000413886,0.002128136,0.002194420,0.000000260,0.000000283
