_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000622,0.030080812,0.034158286,0.058761600,0.085786968,0.017197361,0.000093892,0.000000287,0.000000257,0.078120932,0.094980121,0.340799153,0.296082050,0.001586924,0.804661989,0.790552497,0.001427810,0.027497673,0.022735350,0.224735558,0.164509803,0.023954349,0.005027405,0.003347094,0.002556600,0.000580125,0.000009951,0.000011419,0.003909205,0.006420943,0.000980269,0.001022398,0.028848300,0.000374021,0.058525752,0.083127201,0.020264996,0.047528915,0.009598821,0.000650037,0.000517662,0.001219391,0.003216612,0.075828910,0.264552474,0.280187845,0.022499887,0.054979604,0.337357551,0.475445092,0.000013350,0.000001379
0.000000743,0.022333069,0.022387361,0.124301568,0.083894297,0.020522881,0.000134028,0.000000460,0.000000391,0.043599073,0.051839560,0.280482292,0.240420148,0.002059870,0.775747478,0.764759898,0.001503089,0.031564601,0.030379668,0.129728541,0.111918472,0.038159695,0.009217475,0.004344761,0.002507781,0.000849118,0.000011880,0.000017126,0.003863309,0.008204651,0.001914364,0.002010098,0.019711336,0.000205025,0.122397475,0.180267587,0.025371220,0.058737550,0.006595808,0.000957901,0.001022229,0.001434717,0.004715580,0.066542335,0.358525872,0.383059174,0.025675731,0.069723040,0.468365163,0.616489232,0.000012888,0.000001710
0.000001006,0.025059544,0.027975293,0.099893555,0.090898558,0.018949231,0.000197070,0.000000554,0.000000551,0.036155287,0.028140191,0.206658363,0.179246455,0.003027772,0.725251853,0.710922301,0.001908026,0.043398712,0.047263727,0.145843223,0.079577282,0.047301367,0.015152325,0.004865838,0.004657510,0.001712495,0.000011973,0.000029264,0.002713429,0.007444834,0.002743606,0.002852346,0.016828511,0.000290679,0.180544123,0.263998538,0.026458317,0.068328567,0.004211838,0.000438256,0.001706502,0.003054511,0.005037352,0.058354910,0.385165691,0.427617103,0.027815513,0.091698714,0.500244319,0.667658687,0.000010034,0.000002243
0.000000960,0.039639439,0.045743231,0.058686715,0.074735619,0.015555735,0.000204996,0.000000529,0.000000501,0.034811851,0.026130809,0.205798447,0.177470416,0.002833977,0.730709314,0.716330349,0.001960246,0.043287847,0.046908837,0.140013516,0.082585573,0.048620678,0.016535286,0.005156340,0.003687359,0.001524878,0.000014634,0.000023933,0.002726592,0.006811456,0.002345370,0.002510183,0.015531125,0.000324443,0.214221299,0.299474269,0.025361089,0.064198151,0.005188475,0.000380548,0.001568178,0.002402111,0.004940024,0.055030305,0.435918093,0.487977147,0.022786561,0.101547018,0.512442291,0.680953205,0.000010267,0.000002203
0.000001717,0.044114348,0.049919903,0.021292277,0.095004626,0.016058603,0.000316565,0.000000551,0.000000518,0.049361423,0.033753715,0.183219612,0.167572692,0.002806162,0.718399465,0.700406194,0.002614870,0.054716069,0.049749464,0.202443331,0.082345910,0.038514290,0.012728500,0.004668197,0.002623593,0.002064034,0.000032912,0.000034012,0.004027328,0.006649535,0.002513196,0.002772256,0.008880613,0.000358865,0.164110869,0.246875092,0.036776830,0.080064103,0.002041537,0.000326873,0.003182866,0.006284004,0.006766801,0.055645004,0.540109992,0.574674964,0.014578412,0.091354631,0.440530062,0.575075507,0.000008322,0.000003141
0.000002060,0.044666275,0.054057270,0.035930537,0.083323866,0.018273046,0.000339078,0.000000928,0.000000778,0.027880846,0.023960568,0.223389640,0.196506307,0.002750623,0.734946251,0.724959731,0.002125237,0.043377880,0.041464128,0.120916195,0.069698200,0.061061844,0.019876223,0.005354942,0.002659512,0.001991299,0.000031256,0.000035699,0.002928990,0.008099954,0.004931542,0.005355348,0.010016881,0.000218601,0.218582034,0.325754076,0.037450101,0.082079716,0.002901098,0.000576058,0.004177384,0.005577341,0.010610525,0.059633549,0.602905929,0.660501242,0.017400585,0.133346438,0.621091366,0.766714811,0.000009396,0.000003717
0.000001760,0.042897388,0.049795281,0.022231895,0.099065125,0.018365288,0.000364969,0.000000694,0.000000515,0.042786334,0.040779512,0.181090698,0.175465018,0.005785931,0.525803447,0.520112276,0.008737373,0.057958130,0.054070495,0.192926690,0.107319377,0.041213717,0.012780407,0.005329510,0.003340528,0.001923070,0.000018396,0.000035134,0.002660302,0.010480810,0.004518271,0.004597570,0.008608532,0.000139816,0.198515728,0.273823529,0.033275753,0.079044141,0.002079986,0.000843386,0.003413925,0.007043483,0.008366105,0.045543563,0.591166258,0.660472393,0.019708490,0.129536390,0.581837058,0.754610837,0.000007362,0.000003897
0.000001747,0.038753122,0.051628895,0.037187196,0.095037326,0.017082065,0.000297143,0.000000982,0.000000663,0.030063184,0.031530298,0.179667547,0.162813410,0.003725340,0.674418151,0.664529443,0.003601049,0.056801502,0.061151300,0.143604696,0.128742725,0.055694077,0.017511893,0.005742643,0.002057675,0.001395977,0.000024321,0.000026928,0.002509670,0.014488116,0.011000899,0.010562045,0.005876802,0.000079026,0.225886732,0.301852435,0.037713412,0.097947478,0.001683754,0.001285137,0.004182933,0.004402583,0.012698072,0.050902665,0.525308728,0.618801653,0.040595576,0.191151321,0.576916516,0.773676932,0.000008941,0.000003402
0.000001076,0.036979973,0.051328182,0.039464589,0.088500895,0.015022918,0.000262021,0.000000708,0.000000514,0.048043918,0.041519791,0.232928053,0.207317173,0.006105098,0.553065777,0.549780250,0.007231035,0.042806134,0.044041831,0.174808323,0.126168758,0.039023630,0.013044403,0.005761656,0.002265085,0.001150738,0.000017049,0.000021431,0.001993828,0.027733399,0.012392115,0.010110502,0.005497858,0.000041950,0.241298541,0.271654636,0.032815706,0.124599271,0.001447800,0.002540831,0.003493663,0.004089763,0.009828557,0.043766879,0.417503834,0.572575688,0.077892072,0.163505778,0.470279813,0.760886073,0.000008213,0.000002549
0.000000901,0.033332579,0.053857565,0.064466238,0.080461375,0.011097596,0.000270869,0.000000762,0.000000670,0.054521170,0.043077916,0.200009748,0.175259098,0.013056460,0.490379184,0.483162701,0.007182123,0.054795261,0.062433805,0.162615255,0.164869055,0.041307267,0.013154989,0.007496008,0.003585231,0.002608526,0.000027421,0.000037366,0.001457211,0.030213581,0.012385296,0.009293851,0.004907487,0.000031913,0.390714496,0.417213380,0.025076022,0.116599910,0.000843877,0.002284969,0.003932739,0.009452223,0.004908190,0.026942231,0.307764113,0.521407962,0.141197562,0.292948604,0.340332508,0.719434798,0.000007713,0.000002253
