_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000626,0.018562276,0.036596272,0.045777906,0.041949548,0.013253491,0.000047209,0.000000068,0.000000088,0.366252661,0.409816593,0.490659267,0.435295820,0.057302821,0.087876685,0.087198339,0.045585033,0.021000883,0.013187956,0.435683221,0.335327268,0.001801061,0.000390691,0.000144310,0.003056514,0.048700962,0.000059728,0.005872497,0.006179030,0.061411723,0.000015837,0.000013984,0.001634992,0.000556909,0.002718651,0.001873556,0.061904047,0.155616686,0.001382550,0.003020647,0.014662587,0.173309952,0.001573278,0.003913641,0.001947182,0.002675968,0.000490816,0.000354176,0.000342451,0.000790425,0.000000491,0.000000348
0.000000687,0.026765991,0.053651247,0.026338281,0.037619542,0.010453593,0.000048333,0.000000057,0.000000096,0.386442900,0.421932071,0.511988759,0.447670609,0.041775808,0.116141140,0.123000734,0.031083567,0.019902013,0.012117936,0.412117422,0.322011054,0.001740906,0.000365949,0.000153607,0.002461047,0.053615823,0.000078632,0.006671404,0.008064714,0.046245694,0.000012547,0.000013390,0.001693260,0.000603743,0.002403879,0.001943487,0.065264933,0.142011374,0.001261070,0.002665893,0.013749127,0.202611551,0.001191809,0.003762616,0.002193984,0.003178177,0.000346982,0.000520480,0.000317365,0.000682112,0.000000502,0.000000370
0.000000641,0.023879658,0.044970855,0.028356748,0.039634287,0.012726775,0.000037059,0.000000053,0.000000095,0.393332958,0.424341261,0.497450441,0.441139072,0.042314567,0.120002903,0.129202142,0.027539410,0.020726170,0.012623969,0.436006397,0.321141601,0.001719065,0.000350532,0.000122637,0.002779069,0.058528125,0.000090548,0.007945677,0.006675723,0.030583477,0.000009595,0.000012027,0.001926511,0.000977089,0.002059647,0.001658228,0.041334137,0.113325693,0.002471275,0.001764807,0.015298106,0.207637221,0.001285787,0.003530720,0.000904125,0.001436643,0.000165709,0.000565263,0.000211364,0.000427884,0.000000510,0.000000315
0.000000399,0.025809309,0.049736317,0.021832017,0.044424698,0.012541949,0.000027092,0.000000050,0.000000086,0.401161939,0.433384120,0.517413616,0.483988404,0.037091769,0.130279988,0.142115936,0.028501078,0.019228579,0.011319010,0.430125386,0.324932933,0.001822972,0.000364847,0.000081487,0.005411536,0.088885747,0.000173309,0.010444520,0.002985353,0.020299988,0.000002680,0.000002776,0.005705329,0.000837571,0.002079384,0.001567960,0.010437623,0.026949892,0.031618189,0.005455398,0.018114237,0.375936359,0.000971294,0.003549825,0.000075158,0.000095225,0.000063882,0.000097023,0.000109237,0.000275171,0.000000551,0.000000176
0.000000192,0.015798554,0.034011763,0.025709046,0.072374463,0.016846800,0.000021529,0.000000035,0.000000059,0.419239491,0.425365984,0.508018434,0.483116090,0.039689075,0.139529437,0.155379102,0.026080040,0.020078979,0.012602524,0.423566937,0.344944626,0.001959187,0.000431533,0.000098447,0.008995889,0.106588922,0.000249308,0.012185784,0.004523604,0.040921006,0.000000200,0.000000220,0.022609117,0.002418965,0.003201949,0.001952753,0.003049187,0.016955446,0.207381994,0.004119144,0.011589905,0.440272719,0.000352719,0.002840364,0.000025356,0.000043124,0.000013848,0.000031552,0.000088888,0.000258795,0.000000523,0.000000082
0.000000131,0.019309966,0.039139103,0.019001240,0.069690272,0.016618453,0.000017598,0.000000030,0.000000056,0.407967448,0.433385879,0.511236072,0.506617785,0.037588082,0.141880333,0.152888611,0.035847653,0.021263184,0.012907799,0.413007855,0.376780838,0.002302989,0.000524500,0.000091172,0.016515315,0.149310797,0.000364538,0.019120477,0.004252097,0.034040987,0.000000057,0.000000062,0.054971389,0.003282242,0.003192334,0.001790654,0.001012636,0.005990526,0.658870816,0.005727449,0.012211410,0.590017378,0.000201899,0.001526722,0.000004989,0.000007326,0.000005851,0.000011527,0.000037160,0.000105990,0.000000444,0.000000054
0.000000109,0.017473949,0.045916647,0.021375520,0.075283989,0.015749324,0.000012802,0.000000027,0.000000045,0.424350291,0.489317387,0.507749081,0.500188589,0.046947941,0.130773678,0.136502475,0.040195834,0.023237942,0.013003820,0.477636546,0.398176253,0.002259202,0.000412655,0.000066627,0.018182522,0.131812602,0.000419642,0.022402812,0.002618613,0.038798463,0.000000047,0.000000045,0.065200858,0.004581582,0.002360580,0.001116601,0.000411884,0.003715600,0.883464336,0.006507631,0.013332414,0.570091605,0.000232376,0.001097458,0.000001537,0.000002393,0.000003729,0.000006676,0.000015587,0.000052757,0.000000432,0.000000035
0.000000158,0.018601537,0.040456712,0.017501749,0.082773469,0.016038278,0.000016367,0.000000039,0.000000057,0.444842786,0.436547071,0.528572798,0.520159483,0.034642112,0.149998769,0.165068820,0.028574135,0.018691957,0.011009307,0.405399412,0.303323865,0.001971983,0.000477692,0.000083348,0.009217683,0.159268171,0.000520581,0.018891288,0.001546448,0.022608235,0.000000274,0.000000316,0.041086886,0.001762267,0.003787755,0.001797806,0.000795500,0.008132382,0.476136178,0.006557324,0.010234891,0.438431174,0.000278737,0.002287874,0.000006100,0.000012329,0.000008139,0.000033208,0.000055679,0.000204568,0.000000574,0.000000080
0.000000134,0.019752109,0.054726925,0.013629051,0.080484606,0.014606567,0.000015910,0.000000037,0.000000060,0.461204708,0.433882356,0.557250261,0.554845095,0.039603252,0.139050171,0.149084568,0.031233059,0.015186382,0.010138554,0.390614569,0.345957011,0.001752073,0.000465088,0.000082252,0.014449388,0.187148273,0.000455996,0.019222012,0.001464039,0.022228347,0.000000261,0.000000282,0.046796247,0.002716043,0.004220353,0.002018279,0.000725610,0.007347308,0.548927665,0.003937565,0.011187095,0.479059130,0.000265117,0.001734670,0.000004303,0.000007548,0.000008110,0.000022950,0.000044203,0.000154473,0.000000505,0.000000075
0.000000140,0.026971988,0.053664465,0.012922169,0.052374214,0.013825068,0.000024280,0.000000033,0.000000054,0.444463074,0.453176469,0.518630743,0.505615890,0.047853284,0.115385018,0.122260824,0.035473913,0.018648783,0.012158488,0.429849327,0.348110497,0.001726451,0.000362539,0.000105144,0.025461217,0.289367169,0.000347328,0.018043911,0.001386040,0.034615099,0.000000424,0.000000425,0.034838390,0.002847741,0.007446375,0.003385813,0.001137077,0.014472513,0.279609084,0.001954486,0.007132253,0.422894537,0.000235789,0.001593436,0.000009826,0.000018590,0.000014685,0.000032629,0.000087103,0.000286024,0.000000534,0.000000092
