_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001705,0.005282782,0.004496594,0.114294045,0.208809391,0.058071971,0.000062694,0.000001948,0.000000254,0.432800859,0.363401562,0.653994441,0.664417624,0.079815634,0.071691193,0.056525398,0.048298124,0.007652422,0.005286151,0.525427103,0.270237684,0.001978469,0.000561364,0.000143415,0.005803349,0.162745684,0.000506343,0.002150407,0.001194111,0.002632614,0.008708272,0.008181971,0.007485660,0.000646108,0.019846223,0.022206061,0.005160309,0.015051180,0.015209041,0.000564059,0.036657203,0.020050028,0.052062489,0.261855274,0.000085745,0.000073361,0.001048302,0.001251714,0.051585041,0.080631971,0.000003271,0.000002299
0.000001575,0.006008214,0.006731933,0.087665923,0.208703384,0.054740019,0.000061712,0.000001439,0.000000292,0.389154375,0.395611703,0.623023033,0.631133974,0.036946170,0.122230574,0.119243398,0.024454245,0.008553816,0.006588960,0.410627723,0.340659589,0.002164403,0.000475911,0.000105055,0.010616840,0.194779024,0.000324995,0.002620220,0.001714382,0.001550967,0.008575872,0.008757260,0.005786057,0.000473883,0.016916569,0.025598630,0.006589758,0.008465087,0.030861396,0.000734174,0.063981503,0.034266718,0.043721057,0.154183418,0.000028171,0.000015459,0.000858419,0.000884209,0.014294082,0.019850258,0.000003354,0.000001998
0.000001377,0.005351458,0.005416712,0.113821216,0.180704087,0.048430257,0.000049861,0.000000917,0.000000230,0.338974148,0.366131067,0.604038358,0.597153187,0.027965656,0.153961048,0.166281506,0.016696604,0.010742250,0.007387095,0.400595546,0.308143258,0.002555593,0.000575670,0.000099002,0.009316850,0.187057763,0.000277227,0.005153518,0.002010589,0.001952731,0.003627361,0.004054684,0.004501348,0.000593473,0.008767368,0.012166680,0.007273491,0.010721190,0.019095823,0.000687187,0.052635781,0.042950012,0.030747818,0.100006431,0.000046453,0.000030628,0.000566157,0.000861075,0.006103307,0.008767302,0.000002119,0.000001452
0.000001496,0.005020831,0.005450520,0.141549841,0.177005589,0.047695536,0.000051640,0.000001379,0.000000237,0.348518610,0.360795647,0.600998402,0.599665165,0.031393047,0.138579845,0.140809238,0.020389779,0.010224639,0.007470636,0.393311262,0.307223767,0.002552479,0.000596775,0.000109304,0.010525515,0.205933303,0.000331912,0.003267934,0.001324956,0.001774401,0.008701158,0.009285710,0.005237768,0.000627895,0.014279142,0.017944081,0.005192257,0.010615569,0.021347733,0.000520432,0.048650399,0.028564289,0.042128060,0.165482208,0.000038442,0.000027725,0.000715063,0.001160748,0.012004822,0.019692430,0.000002810,0.000001944
0.000001188,0.003570275,0.003692393,0.147772640,0.240808025,0.063256182,0.000062365,0.000000584,0.000000174,0.324517787,0.419768214,0.592730522,0.566692114,0.052108303,0.078805976,0.075832017,0.049656343,0.012351139,0.007206676,0.381237298,0.289208680,0.002943144,0.000369255,0.000106717,0.014251865,0.159366742,0.000202088,0.002568931,0.003755471,0.002684135,0.000760732,0.000956831,0.005324896,0.001783639,0.013239231,0.017005034,0.007760254,0.015012358,0.025802372,0.000295548,0.067686521,0.045800675,0.037337538,0.123509303,0.000036198,0.000023797,0.000176553,0.000453589,0.010209865,0.013507663,0.000002050,0.000001042
0.000001183,0.006063232,0.005345112,0.113292463,0.198142692,0.052250709,0.000048380,0.000000465,0.000000139,0.360639155,0.472644359,0.567167222,0.546699882,0.036543284,0.106836982,0.108230256,0.034544468,0.014381713,0.007638732,0.481230497,0.285875827,0.002742360,0.000262774,0.000074757,0.009423084,0.169973418,0.000419057,0.004314507,0.003513132,0.002724733,0.000476946,0.000604312,0.006372157,0.001293212,0.009034690,0.011391797,0.004734492,0.009695681,0.080341294,0.000525575,0.090875164,0.049537804,0.032525282,0.076152362,0.000013746,0.000009593,0.000096578,0.000311089,0.002346373,0.003415212,0.000001603,0.000000696
0.000001066,0.003194734,0.004329407,0.094408348,0.313040435,0.057785708,0.000105886,0.000000351,0.000000111,0.274176240,0.486168116,0.603139520,0.550661802,0.032342263,0.111195698,0.114305027,0.032117762,0.014709445,0.005961764,0.532860279,0.276437372,0.004217880,0.000224014,0.000162019,0.008379510,0.218854845,0.000403116,0.003481033,0.003848239,0.005667309,0.000435386,0.000505637,0.004698174,0.000924256,0.020931836,0.028402142,0.009105278,0.026064254,0.008847166,0.000394947,0.029189633,0.024329754,0.016221276,0.078615770,0.000174214,0.000164880,0.000198421,0.000684198,0.011806015,0.018125976,0.000001803,0.000001005
0.000001615,0.006786475,0.009903931,0.089390926,0.155488282,0.029679043,0.000049980,0.000000819,0.000000199,0.362546802,0.450537801,0.620037198,0.599785566,0.059073899,0.087722763,0.082405366,0.036339384,0.012182887,0.006886810,0.535454273,0.298941225,0.002650306,0.000340396,0.000089325,0.009059222,0.222700462,0.000397147,0.004868128,0.002215606,0.002142428,0.002378691,0.002811919,0.007016684,0.000816271,0.007783496,0.009780712,0.004853795,0.009557530,0.025122633,0.000557083,0.036943950,0.030298166,0.032164276,0.146387488,0.000054868,0.000045168,0.000366618,0.000940616,0.011529851,0.018145008,0.000002089,0.000001544
0.000001502,0.007640485,0.007801536,0.052876227,0.208889574,0.047661927,0.000065739,0.000000638,0.000000129,0.382843763,0.463477373,0.601482391,0.587836146,0.024022348,0.179200441,0.196849659,0.013257297,0.010676833,0.006166303,0.455976188,0.265989035,0.002436510,0.000261029,0.000092546,0.009706945,0.211734146,0.000388041,0.003972223,0.001438368,0.004865942,0.001562805,0.001622565,0.006502818,0.001251422,0.015113110,0.012253019,0.006222365,0.028738499,0.014834248,0.000357100,0.036034025,0.023014462,0.042767178,0.196306497,0.000100217,0.000104207,0.000334265,0.000678677,0.020522509,0.041693997,0.000001989,0.000001153
0.000001382,0.006169550,0.004925777,0.103593789,0.211965725,0.056963317,0.000067472,0.000000487,0.000000113,0.287068009,0.441370636,0.644082308,0.617551804,0.057929926,0.074211635,0.068415754,0.052149892,0.010122531,0.004752531,0.584118247,0.295215160,0.003437039,0.000285341,0.000067649,0.016231623,0.204805002,0.000240428,0.006573385,0.003534018,0.004315106,0.000311816,0.000314345,0.006169913,0.001820349,0.006100563,0.005794439,0.008150129,0.016261693,0.037732136,0.000400315,0.068772137,0.033197217,0.052035138,0.107028134,0.000062631,0.000041789,0.000199029,0.000191415,0.007232332,0.009778948,0.000001006,0.000000723
