_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000003233,0.825395167,0.808280289,0.000067327,0.000227223,0.000177260,0.000396370,0.000000631,0.000000557,0.172288984,0.146613419,0.121761404,0.111415617,0.077532709,0.046091482,0.071686879,0.105058990,0.126580060,0.143906862,0.408911169,0.610608578,0.006060701,0.003813784,0.002814550,0.001658607,0.049987406,0.000121473,0.001728240,0.007828017,0.008846898,0.003097763,0.002926121,0.008154957,0.000096652,0.150736064,0.228597969,0.069552340,0.047095601,0.001084145,0.001166283,0.006001767,0.010210424,0.000930388,0.008578105,0.210185021,0.171253651,0.040829878,0.037318591,0.329631776,0.384769887,0.000000816,0.000003369
0.000003258,0.841628671,0.820909798,0.000060587,0.000233855,0.000184670,0.000364702,0.000000588,0.000000590,0.158746257,0.141091794,0.093838446,0.090110578,0.088411018,0.038190894,0.061673962,0.119129322,0.157456756,0.168136388,0.424676925,0.559891582,0.007085681,0.003872627,0.003074928,0.001187970,0.031480994,0.000129195,0.001028353,0.007936139,0.006978726,0.002401303,0.002391093,0.010215446,0.000132836,0.168583840,0.256211698,0.064313821,0.043290664,0.001717324,0.000945344,0.004825138,0.008217229,0.000903902,0.009624247,0.236470565,0.194775626,0.037451155,0.049920902,0.355968624,0.405001014,0.000001124,0.000003317
0.000004085,0.837452888,0.808033586,0.000067370,0.000188852,0.000170221,0.000383911,0.000000674,0.000000565,0.172008201,0.148625866,0.089997731,0.086581953,0.069965161,0.051452331,0.075541548,0.094835170,0.167685077,0.182577372,0.447948545,0.572732627,0.006338952,0.003637920,0.002788499,0.001351271,0.044151902,0.000126486,0.001702178,0.009024926,0.008962054,0.003195459,0.003204986,0.009422789,0.000128690,0.110584415,0.164837435,0.062041592,0.044518270,0.001428360,0.000904534,0.005416835,0.008546451,0.000896924,0.009141932,0.249422923,0.211904585,0.041635774,0.056623690,0.289846480,0.337736160,0.000000954,0.000003541
0.000001469,0.841379583,0.818625093,0.000060151,0.000205951,0.000218326,0.000098063,0.000000227,0.000000210,0.175467491,0.181610927,0.183366567,0.190736920,0.067008972,0.049795832,0.080307253,0.100122578,0.076747917,0.071046151,0.415906370,0.480336636,0.005860530,0.002750888,0.001109954,0.001360168,0.011628560,0.000041131,0.000669534,0.003945201,0.008815970,0.002326546,0.002171221,0.008773810,0.000158158,0.023514654,0.023644842,0.030641096,0.036716990,0.002130569,0.001190023,0.001675875,0.002617377,0.000913185,0.012653226,0.068762712,0.072377190,0.018400420,0.017149337,0.077259593,0.111340769,0.000000956,0.000001659
0.000001383,0.855124474,0.831480265,0.000042126,0.000208003,0.000199984,0.000097787,0.000000219,0.000000209,0.184266433,0.173879907,0.196647882,0.201955825,0.046528444,0.047319978,0.117565051,0.115465850,0.073253080,0.067160048,0.459149331,0.531876087,0.005873244,0.003072494,0.001222158,0.000966815,0.012771158,0.000076828,0.000874269,0.005021191,0.010896544,0.000818842,0.000781478,0.011373956,0.000140765,0.018960705,0.020008318,0.031937797,0.036150806,0.002476772,0.001824897,0.001248645,0.003771787,0.000497175,0.008668418,0.086837359,0.095345594,0.015015086,0.016188931,0.036895685,0.055442281,0.000000806,0.000001736
0.000001658,0.848054111,0.829085827,0.000039032,0.000172829,0.000189513,0.000107787,0.000000240,0.000000221,0.184906945,0.171214417,0.151169062,0.152259976,0.097531646,0.036908608,0.061531778,0.128848404,0.104569919,0.101787396,0.487272710,0.546111584,0.005784805,0.003015110,0.001116833,0.001264867,0.009686881,0.000045126,0.000683415,0.005166884,0.009814024,0.001905949,0.001695403,0.007533350,0.000136015,0.018687589,0.020078344,0.040586848,0.035326868,0.002103457,0.001519015,0.001594437,0.002771398,0.000859624,0.010751197,0.129073307,0.119412065,0.028310366,0.019285133,0.054466315,0.076434776,0.000000929,0.000001683
0.000001889,0.847317576,0.817904830,0.000063854,0.000183404,0.000213637,0.000185277,0.000000340,0.000000330,0.162750140,0.166312993,0.168336302,0.185978621,0.063652739,0.037682474,0.087603420,0.131651714,0.085063808,0.076091692,0.466352552,0.516583860,0.006876726,0.003167922,0.001786758,0.001482889,0.015365190,0.000050873,0.000660301,0.005774254,0.010330103,0.002503834,0.002164653,0.006945896,0.000119523,0.045406651,0.055004999,0.052582037,0.048096366,0.001215002,0.001240083,0.002409072,0.004725733,0.000741972,0.009849150,0.159427449,0.142977804,0.036090773,0.026966466,0.103806347,0.141366392,0.000001033,0.000002705
0.000001999,0.829020619,0.818647504,0.000060924,0.000205220,0.000188078,0.000144822,0.000000330,0.000000348,0.184158579,0.167514265,0.146923169,0.148911700,0.056475487,0.041988403,0.094912760,0.122616090,0.096391141,0.095943041,0.423879057,0.522641838,0.005844587,0.003065293,0.001700734,0.001389425,0.010482632,0.000046652,0.000439163,0.007081949,0.006578188,0.002246364,0.002219822,0.010002191,0.000226066,0.034898736,0.047610782,0.047719803,0.034525890,0.002073794,0.000724966,0.001697283,0.003425296,0.000813638,0.013454875,0.142758474,0.116759241,0.029084401,0.031446531,0.141076446,0.155486614,0.000001394,0.000002661
0.000001859,0.876301169,0.850696564,0.000040108,0.000152408,0.000173925,0.000110302,0.000000297,0.000000333,0.189766183,0.153750449,0.152515620,0.149140775,0.061081883,0.048451263,0.087442160,0.108727589,0.096484289,0.101689108,0.410995215,0.516802311,0.005210214,0.003506255,0.001661922,0.001041638,0.007712879,0.000049957,0.000394688,0.006548722,0.004751036,0.001872329,0.002038238,0.013720569,0.000255268,0.022890273,0.034379054,0.031571191,0.021074226,0.003891611,0.000691243,0.001152508,0.002341395,0.000757481,0.013442758,0.157528460,0.129413068,0.028217619,0.044896457,0.141717106,0.147463679,0.000001384,0.000002213
0.000001460,0.838839591,0.814446390,0.000037640,0.000216031,0.000196907,0.000071977,0.000000155,0.000000197,0.174469009,0.145836011,0.157256827,0.157882184,0.079679541,0.039413229,0.068482026,0.118724480,0.092501700,0.087472372,0.455255210,0.487206995,0.006296915,0.003293992,0.000931725,0.001285990,0.005007784,0.000031734,0.000352472,0.007204377,0.006376892,0.001230566,0.001249382,0.006030795,0.000318277,0.008765936,0.011501714,0.048425958,0.033694439,0.002044218,0.000675026,0.001188113,0.002726600,0.000996929,0.011902656,0.098515257,0.079383001,0.016421268,0.015560679,0.033074848,0.038045608,0.000001162,0.000001522
0.000001386,0.865715504,0.854646504,0.000015134,0.000245390,0.000195713,0.000028785,0.000000050,0.000000160,0.187934697,0.167966381,0.169339538,0.167411312,0.067971140,0.049201183,0.078300826,0.098240398,0.086326279,0.078278072,0.443362325,0.450837433,0.006701199,0.002433501,0.000309209,0.000409911,0.001184270,0.000024010,0.000259117,0.011930362,0.010012816,0.000729283,0.000911316,0.000681323,0.001222421,0.000762700,0.000790723,0.081825748,0.108016320,0.001611008,0.000246868,0.001740690,0.001995692,0.004304200,0.003968902,0.097068362,0.111150749,0.009823472,0.035456933,0.002144577,0.002761207,0.000000893,0.000000689
0.000001766,0.901435733,0.889537632,0.000011921,0.000160867,0.000148710,0.000019083,0.000000040,0.000000151,0.262669951,0.200642839,0.297116160,0.283772856,0.096731737,0.036571018,0.062934645,0.131077364,0.048931397,0.043434203,0.426971197,0.459451169,0.005163133,0.001866909,0.000126871,0.000445161,0.001031388,0.000019854,0.000290056,0.014208274,0.009274986,0.002109201,0.002638300,0.000218307,0.003818967,0.000226426,0.000208182,0.132138088,0.170667887,0.000801078,0.000077706,0.004144542,0.002327299,0.027626408,0.005308231,0.053195484,0.060022350,0.009671732,0.023668719,0.001412930,0.001839769,0.000000501,0.000000569
0.000002042,0.911874771,0.899343431,0.000008988,0.000214602,0.000156598,0.000020581,0.000000035,0.000000132,0.483081937,0.380534858,0.587024987,0.560453653,0.082768455,0.048407909,0.072525024,0.106987059,0.014530104,0.011632425,0.448415309,0.445742249,0.002212304,0.000599518,0.000091174,0.000350425,0.000916427,0.000024223,0.000230416,0.023815166,0.018443031,0.001611304,0.002031081,0.000134888,0.001629321,0.000136823,0.000141312,0.218170002,0.210618973,0.000645524,0.000230028,0.005470279,0.002505712,0.068600096,0.007238028,0.073034614,0.071103625,0.007559427,0.020092431,0.002290254,0.002849600,0.000000560,0.000000508
