_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001443,0.015774688,0.013592873,0.148623541,0.093727522,0.067259684,0.000025927,0.000000233,0.000000165,0.060677268,0.035505340,0.054961745,0.059570305,0.079014011,0.032598410,0.054517530,0.107602932,0.141709074,0.140425488,0.371705413,0.327755570,0.013296352,0.007781037,0.000092614,0.000890265,0.006945913,0.000017616,0.001067880,0.006451402,0.007243821,0.001764979,0.002802402,0.000138618,0.000913095,0.000944461,0.000952133,0.119336337,0.277144015,0.000443070,0.000256259,0.028756086,0.006356546,0.021298725,0.005135807,0.003959725,0.005403776,0.001772431,0.013032584,0.000158575,0.000177339,0.000000602,0.000001092
0.000002142,0.036844913,0.021398345,0.096503936,0.063255228,0.049195103,0.000029365,0.000000454,0.000000195,0.051303100,0.040835120,0.054097440,0.062568173,0.113520779,0.022007672,0.041326929,0.132625282,0.146982059,0.129956692,0.421358854,0.324892431,0.014599534,0.007175374,0.000116709,0.000425828,0.005373843,0.000027794,0.000920144,0.004909345,0.003226314,0.004705765,0.006941356,0.000246210,0.000202505,0.000939358,0.001312803,0.097993322,0.113254271,0.000781397,0.001444133,0.015821755,0.002453308,0.015811043,0.011026667,0.005812078,0.006709177,0.004417889,0.022322973,0.000545704,0.000457979,0.000001169,0.000001723
0.000001900,0.022644626,0.010471310,0.141549200,0.090212718,0.079602785,0.000028176,0.000000416,0.000000151,0.055229459,0.036954101,0.051543705,0.059817027,0.108561993,0.022776283,0.041425895,0.125933737,0.135001004,0.128021374,0.397295594,0.281512648,0.012039491,0.007386853,0.000091945,0.000529759,0.005451081,0.000027594,0.000686548,0.005368246,0.004365473,0.002115543,0.002777518,0.000335851,0.000365206,0.001033006,0.001335986,0.106008627,0.120964147,0.000994283,0.001092810,0.016143002,0.002548944,0.023460779,0.019897686,0.004612912,0.004557383,0.002953144,0.007018083,0.001004914,0.000952939,0.000001170,0.000001232
0.000003116,0.050098062,0.033904817,0.064692192,0.042954221,0.023901416,0.000120848,0.000001131,0.000000229,0.096478470,0.082434624,0.134908825,0.139214531,0.079136074,0.033992179,0.051226646,0.096181184,0.063580886,0.058639456,0.406994969,0.459274322,0.007813900,0.004179971,0.000475059,0.000554975,0.019608513,0.000069218,0.000844573,0.004442784,0.007989098,0.005517708,0.005855366,0.001362329,0.000107118,0.009697975,0.012504134,0.078018069,0.117080361,0.000277627,0.001645264,0.006050682,0.005265141,0.004095925,0.041038673,0.050501645,0.057176124,0.017508432,0.028752806,0.034462724,0.041681264,0.000001648,0.000004763
0.000002921,0.044902485,0.030762166,0.087437652,0.035367593,0.014644844,0.000091213,0.000001071,0.000000246,0.113114849,0.090753503,0.128390238,0.123187482,0.018839562,0.151306048,0.147682145,0.029061114,0.078966573,0.080506295,0.415530860,0.544453502,0.006096542,0.003479462,0.000528134,0.000386304,0.014817331,0.000067188,0.001222806,0.002867329,0.005910055,0.021354802,0.022807769,0.001024711,0.000060832,0.005093680,0.006318635,0.045971509,0.062549494,0.000489098,0.002419899,0.006054666,0.005080452,0.002855612,0.019871006,0.037701510,0.042845044,0.050676972,0.068082556,0.008401850,0.010358235,0.000001696,0.000003779
0.000002482,0.006011190,0.003798954,0.206884667,0.146939203,0.046570644,0.000260416,0.000001390,0.000000464,0.150715649,0.142330587,0.260631084,0.242165565,0.006931507,0.438418150,0.402261943,0.004291348,0.039271921,0.039532363,0.361826837,0.485512495,0.004893535,0.002608507,0.001483413,0.000631285,0.024931198,0.000092092,0.001009757,0.010532555,0.019568421,0.006765391,0.006729577,0.002053394,0.000059490,0.032301176,0.042653564,0.049972497,0.066939890,0.000352434,0.002041527,0.006133155,0.012532959,0.001957683,0.023138255,0.241429448,0.225369871,0.065442413,0.065152265,0.133364812,0.179759547,0.000003043,0.000003353
0.000003931,0.037910499,0.015888816,0.070316017,0.046440199,0.018701363,0.000355301,0.000001486,0.000000530,0.206489041,0.193558842,0.334463149,0.322765052,0.058211900,0.103866667,0.077611193,0.037553884,0.032968964,0.027620561,0.587064207,0.481981516,0.003475364,0.001490481,0.001419324,0.000962868,0.047778737,0.000119029,0.002081969,0.006024796,0.021542624,0.008864313,0.007454163,0.001425135,0.000038338,0.034573853,0.038022336,0.042440407,0.090591937,0.000185500,0.002051187,0.014810970,0.031586267,0.002346226,0.015950933,0.312584043,0.370676160,0.090798199,0.137510449,0.081862301,0.125198618,0.000001268,0.000004910
0.000004867,0.030021306,0.017111890,0.046609648,0.088322215,0.037254699,0.000648037,0.000001296,0.000000597,0.121539123,0.224058822,0.286307424,0.270343393,0.009652901,0.284782648,0.261137307,0.011480956,0.034765512,0.027695438,0.364886135,0.460722297,0.006413686,0.001193475,0.002252448,0.001336029,0.038244508,0.000056356,0.001402227,0.006433133,0.014679454,0.025180439,0.025583543,0.001900332,0.000215326,0.118332200,0.154442847,0.057544757,0.108808503,0.000403438,0.000288411,0.015512966,0.012501674,0.004992505,0.027739001,0.125526562,0.132975191,0.051316414,0.090009563,0.371892363,0.507107913,0.000002646,0.000006103
0.000008248,0.050542016,0.045388211,0.025588391,0.051444843,0.014304622,0.000545415,0.000002637,0.000001143,0.156156793,0.110833228,0.338906527,0.303855091,0.034678888,0.125136197,0.104490012,0.034689207,0.028472915,0.027482903,0.518197656,0.512291312,0.004872060,0.003190920,0.001694218,0.000744898,0.051929172,0.000143834,0.002773080,0.008182916,0.016040644,0.015285017,0.016862202,0.001192895,0.000039811,0.043648720,0.053927634,0.062321361,0.090270676,0.000205450,0.002073839,0.030876854,0.038964000,0.006112092,0.019376779,0.207149982,0.220486239,0.073830612,0.228420973,0.276255310,0.341882139,0.000001325,0.000008325
0.000008767,0.144980729,0.127779379,0.004473932,0.018289786,0.005350857,0.000551622,0.000001195,0.000000678,0.139115334,0.117046572,0.172132283,0.162901640,0.025974054,0.139450371,0.128898069,0.034209993,0.062154610,0.063753940,0.490487874,0.564403057,0.005032393,0.002639414,0.001248831,0.000853764,0.066970460,0.000105572,0.003045088,0.013751132,0.019913070,0.012260732,0.016105095,0.000720263,0.000047603,0.044788130,0.061321590,0.119743831,0.174991369,0.000067599,0.001558374,0.028050005,0.039967850,0.006673614,0.018294265,0.109146543,0.113251992,0.020036748,0.088420689,0.216538489,0.255789071,0.000001039,0.000007872
