_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001225,0.122529559,0.149344340,0.002395597,0.023569351,0.015163137,0.000129128,0.000000072,0.000000240,0.106945299,0.061690573,0.025413578,0.022170782,0.008214781,0.227834716,0.239533231,0.018037973,0.270049781,0.266786277,0.555799246,0.550809622,0.005585325,0.005033344,0.000638278,0.003398089,0.150860995,0.000295495,0.015343879,0.085860386,0.030649556,0.000000375,0.000000421,0.013369160,0.001555721,0.011669114,0.019096261,0.127096578,0.040643491,0.006386829,0.001128234,0.003349575,0.101378933,0.000101452,0.001461357,0.006258151,0.005068148,0.000276308,0.000218856,0.000307946,0.000368062,0.000000398,0.000000439
0.000001308,0.130580068,0.151738405,0.001803334,0.024966624,0.016250987,0.000150157,0.000000072,0.000000249,0.107505329,0.059882306,0.024769813,0.022009805,0.007629823,0.237689391,0.247788370,0.017517548,0.273083091,0.266338766,0.571827114,0.537207603,0.005693779,0.005193962,0.000687443,0.003502634,0.159070849,0.000319255,0.014116832,0.093193367,0.035956822,0.000000346,0.000000382,0.013367443,0.001496666,0.013437303,0.021601766,0.139415950,0.045274969,0.005396297,0.001188114,0.003201388,0.116280712,0.000102495,0.001598359,0.007135289,0.005755061,0.000280404,0.000207169,0.000413846,0.000502711,0.000000427,0.000000470
0.000001348,0.146270379,0.153969154,0.001921851,0.021202071,0.015204034,0.000150238,0.000000073,0.000000265,0.103769884,0.056982797,0.025678381,0.023337303,0.006638404,0.262326658,0.265440702,0.015718753,0.266047478,0.258905262,0.578709960,0.527943850,0.006044313,0.005473758,0.000705200,0.003568527,0.159150839,0.000323324,0.013598815,0.091759875,0.029960420,0.000000373,0.000000424,0.013725436,0.001447711,0.013897606,0.022840329,0.135827094,0.039875116,0.005742461,0.001205230,0.003149260,0.117606491,0.000100906,0.001616481,0.006389395,0.004936074,0.000278271,0.000220131,0.000432570,0.000495214,0.000000461,0.000000498
0.000001125,0.159983680,0.182323188,0.002562623,0.016421476,0.011000371,0.000116792,0.000000066,0.000000242,0.095100947,0.054769285,0.030699398,0.027132168,0.008788848,0.220563203,0.235570848,0.018161720,0.232952327,0.230973378,0.554521382,0.510564506,0.006682290,0.005689578,0.000576505,0.004354099,0.154563367,0.000271745,0.013384547,0.082282230,0.024655191,0.000000284,0.000000333,0.017729910,0.002007131,0.011463054,0.017926937,0.095557719,0.028045619,0.010540401,0.001022852,0.003412779,0.115238242,0.000092848,0.001680034,0.003685937,0.002917141,0.000198085,0.000167690,0.000346706,0.000398953,0.000000422,0.000000414
0.000001126,0.191685840,0.213828981,0.001670686,0.014088628,0.009241792,0.000122570,0.000000065,0.000000235,0.101112977,0.060773794,0.031932902,0.028717190,0.007939879,0.234860033,0.246809855,0.017302616,0.223259687,0.222240895,0.538679957,0.511443079,0.006166119,0.005024782,0.000597400,0.004094312,0.153792024,0.000288572,0.012604874,0.076952577,0.024602627,0.000000374,0.000000421,0.017358445,0.001721623,0.012509316,0.019731969,0.096909471,0.028573249,0.009907930,0.001067240,0.003388574,0.106164470,0.000096005,0.001751305,0.003963228,0.003064996,0.000234246,0.000166826,0.000354802,0.000431497,0.000000419,0.000000415
0.000001239,0.188979030,0.203411624,0.002557037,0.012130993,0.008489383,0.000106853,0.000000067,0.000000272,0.098769590,0.050737813,0.030878324,0.027446175,0.007691628,0.247356027,0.255724013,0.015521619,0.230629846,0.231891468,0.564539552,0.492776424,0.006453517,0.005989075,0.000549071,0.004839546,0.144139290,0.000231011,0.015010279,0.084099241,0.020879844,0.000000332,0.000000410,0.016516818,0.001891903,0.010132948,0.016359383,0.096481130,0.026877221,0.012791421,0.001117610,0.003881127,0.103652783,0.000105919,0.001633366,0.003251279,0.002534870,0.000187620,0.000199199,0.000254421,0.000295242,0.000000439,0.000000420
0.000001166,0.255888224,0.303904653,0.000995043,0.008307176,0.004843771,0.000093182,0.000000070,0.000000258,0.099424601,0.047553726,0.038788542,0.034318630,0.006988021,0.262446404,0.269814014,0.014979936,0.192155063,0.199285448,0.544239461,0.489002317,0.006371849,0.006316570,0.000453440,0.004420661,0.154125497,0.000292555,0.013443316,0.054861236,0.013129486,0.000000573,0.000000756,0.019127274,0.001657009,0.009304595,0.014400626,0.062204473,0.018959336,0.018961513,0.001115127,0.004113067,0.098724097,0.000127006,0.002122020,0.001716319,0.001317794,0.000162819,0.000212384,0.000272235,0.000300156,0.000000421,0.000000425
0.000001042,0.218029827,0.254318684,0.001583957,0.009388074,0.005822761,0.000119765,0.000000067,0.000000238,0.128377065,0.066379271,0.039539762,0.034152668,0.007370003,0.268761784,0.271773368,0.013847671,0.193433568,0.205446020,0.538819730,0.577619314,0.004572861,0.004568834,0.000644551,0.004367115,0.159005433,0.000294452,0.012318364,0.062300440,0.021561779,0.000000629,0.000000691,0.013997438,0.001646670,0.015240168,0.023835244,0.094302751,0.032000687,0.007807134,0.000845599,0.003480090,0.117404617,0.000087511,0.001534565,0.004070395,0.003099057,0.000310999,0.000214186,0.000280188,0.000349794,0.000000406,0.000000434
0.000001029,0.237143144,0.274633437,0.000876306,0.008797933,0.005573547,0.000089241,0.000000062,0.000000211,0.146922231,0.081875026,0.044450086,0.038920887,0.008960093,0.239247113,0.245420143,0.016839135,0.180258602,0.196421444,0.542993903,0.605711102,0.003584662,0.003478530,0.000465259,0.004412698,0.140545949,0.000220254,0.014430115,0.038973663,0.010660274,0.000001310,0.000001511,0.012027182,0.002077794,0.008396178,0.014035740,0.072399139,0.022465765,0.010104605,0.000553789,0.003890476,0.090420350,0.000108303,0.001542181,0.003040832,0.002138759,0.000379139,0.000312599,0.000169195,0.000204596,0.000000331,0.000000380
0.000000917,0.144957826,0.271979421,0.001387523,0.012494477,0.007774973,0.000154686,0.000000047,0.000000251,0.519323111,0.529285789,0.557998896,0.526244998,0.088519171,0.060162626,0.048839498,0.076914042,0.013870671,0.011573430,0.731275439,0.799107909,0.000801297,0.000185504,0.000519673,0.007112099,0.171179414,0.000199234,0.015789011,0.053258650,0.022045415,0.000002006,0.000001956,0.006198472,0.004554135,0.012797124,0.028936166,0.091725960,0.048420802,0.004475895,0.000183893,0.005613368,0.139941856,0.000119562,0.001152856,0.005716018,0.004569625,0.000499554,0.000601043,0.000345050,0.000350474,0.000000295,0.000000382
