_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002488,0.002192435,0.001652763,0.568948507,0.285616726,0.192671463,0.000094766,0.000000681,0.000000104,0.151252225,0.441697329,0.391491860,0.486034095,0.018253583,0.185505599,0.197221845,0.028785281,0.055203911,0.011579301,0.498768568,0.192205086,0.007815966,0.002046885,0.000092910,0.003443456,0.024827121,0.000061107,0.012464664,0.004360419,0.017349541,0.000299716,0.000217049,0.080334127,0.008277170,0.004173656,0.001593429,0.017874341,0.031855598,0.052365743,0.000207828,0.022746610,0.007737087,0.078586161,0.249792382,0.008111796,0.009355373,0.001029955,0.000126558,0.285309613,0.484284639,0.000000287,0.000000475
0.000000808,0.001904457,0.002375417,0.463522226,0.434369534,0.360667318,0.000002776,0.000000071,0.000000045,0.394729406,0.661096692,0.548325241,0.842194140,0.052066032,0.030663846,0.087017089,0.177979931,0.026975097,0.001208742,0.277265757,0.102470800,0.002127081,0.000533456,0.000000603,0.000448664,0.001158392,0.000207493,0.000764234,0.005930889,0.033581499,0.000027424,0.000024100,0.001585644,0.002823346,0.000003883,0.000000570,0.010092536,0.024172504,0.273813665,0.013514463,0.001254234,0.001289665,0.966469824,0.596422493,0.001615388,0.002811611,0.000257582,0.000119710,0.021812744,0.048842732,0.000000909,0.000000099
0.000000051,0.000102799,0.001193921,0.788445473,0.902908504,0.351376623,0.000038705,0.000000566,0.000000192,0.446053326,0.804116786,0.849995255,0.999659419,0.000741826,0.033673082,0.888901055,0.465826243,0.027004927,0.000004104,0.822244465,0.242732272,0.008468711,0.000906004,0.000187552,0.000143816,0.000342140,0.000314584,0.000133345,0.019542579,0.101936497,0.000082011,0.000068338,0.014953785,0.002353067,0.000972075,0.000300093,0.011285547,0.091441110,0.148613468,0.008162786,0.001629326,0.001226785,0.154204577,0.085775748,0.042007722,0.093091868,0.000647302,0.000339350,0.124256186,0.183512285,0.000002262,0.000002532
0.000000192,0.000366391,0.001013936,0.864935577,0.841879249,0.523766160,0.000002618,0.000000142,0.000000087,0.511469483,0.666243494,0.858583570,0.996281803,0.008082302,0.107549421,0.398431927,0.140962571,0.018640846,0.000042956,0.615648389,0.135461614,0.004159867,0.002280374,0.000001707,0.000099201,0.000305300,0.000541047,0.000183821,0.024695424,0.053333856,0.000038869,0.000047370,0.001247098,0.008727239,0.000003492,0.000000663,0.015059673,0.080968469,0.214596897,0.006210676,0.000976590,0.000921684,0.976047695,0.301906258,0.012729435,0.023841683,0.000206607,0.000384619,0.017880280,0.017309297,0.000000887,0.000000350
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000000931,0.000055595,0.000162405,0.878373802,0.958778441,0.805328786,0.000003580,0.000000167,0.000000154,0.400227398,0.585488677,0.627260447,0.819261193,0.045263551,0.061119355,0.107074782,0.122577481,0.021574207,0.001956973,0.273097426,0.089469202,0.003446172,0.001702776,0.000000382,0.000289140,0.001048739,0.001041260,0.000158212,0.017641312,0.045180593,0.000032827,0.000036509,0.000749132,0.006922901,0.000004344,0.000000517,0.041148402,0.182626843,0.088836506,0.006768215,0.011536669,0.012855211,0.993868828,0.704679251,0.002793783,0.005019111,0.000204076,0.000112089,0.002770504,0.004807428,0.000000966,0.000000131
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
