_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000334,0.000318965,0.000233464,0.461819142,0.594424367,0.398729563,0.000108698,0.000000129,0.000000207,0.011784893,0.014296072,0.022750851,0.029273784,0.150039539,0.036738835,0.022094104,0.135072351,0.325923920,0.331064045,0.279589087,0.164345220,0.063932285,0.022685098,0.000290606,0.074841492,0.368931919,0.000124577,0.024316408,0.003289749,0.015105268,0.000015940,0.000017436,0.006288054,0.001826885,0.052959930,0.030968802,0.012387331,0.074204080,0.019290082,0.000312022,0.007466868,0.069929384,0.000579911,0.000523551,0.000102535,0.000134910,0.000114002,0.000328221,0.000096004,0.000082909,0.000000989,0.000000312
0.000000319,0.000275781,0.000197592,0.485032827,0.615465164,0.423264652,0.000081827,0.000000127,0.000000223,0.007156806,0.007455967,0.023774225,0.030578749,0.118519492,0.042709276,0.029000072,0.106684715,0.305343986,0.318107724,0.192840919,0.100064643,0.090260625,0.039739836,0.000174516,0.052831303,0.304646134,0.000130456,0.024793603,0.003106801,0.010297969,0.000013147,0.000013280,0.005827613,0.002270042,0.027044741,0.016400609,0.010346788,0.040755697,0.043060284,0.000425453,0.014089503,0.098700598,0.000967127,0.000674114,0.000041034,0.000040144,0.000116579,0.000141947,0.000089296,0.000071750,0.000000832,0.000000184
0.000000333,0.000333578,0.000250081,0.444623321,0.591732025,0.407389611,0.000096790,0.000000118,0.000000250,0.005485202,0.006771511,0.023779271,0.030990247,0.129286826,0.041500211,0.027152454,0.107308246,0.308848888,0.313931435,0.157025367,0.088456415,0.114634797,0.041823164,0.000204390,0.071517073,0.321855068,0.000102566,0.022558656,0.003276891,0.012488576,0.000018311,0.000017609,0.005027412,0.002436989,0.036290139,0.022302689,0.012464248,0.050702147,0.030680835,0.000321628,0.013777704,0.093816020,0.001018174,0.000699799,0.000053419,0.000053444,0.000142425,0.000159808,0.000113949,0.000095939,0.000000911,0.000000216
0.000000238,0.000303746,0.000266440,0.441182196,0.608733058,0.399644256,0.000061661,0.000000094,0.000000193,0.008654518,0.008158606,0.025017463,0.034663763,0.164910123,0.042278197,0.020503156,0.117971674,0.293436885,0.285224140,0.225127071,0.089359783,0.089269087,0.041303914,0.000125090,0.047411904,0.216812164,0.000124176,0.022981733,0.002980711,0.008632715,0.000003908,0.000003160,0.010071135,0.004447541,0.013417368,0.007764870,0.006452900,0.018015087,0.174855456,0.000510978,0.021527605,0.216071680,0.000738603,0.000629348,0.000012566,0.000008907,0.000095950,0.000029322,0.000041581,0.000037056,0.000000678,0.000000094
0.000000210,0.000418754,0.000425820,0.393296629,0.592546284,0.379663378,0.000029457,0.000000053,0.000000162,0.009318663,0.008118486,0.024143720,0.032004640,0.110864691,0.055569544,0.039715271,0.079749867,0.308667898,0.296416670,0.223453775,0.082342014,0.088613585,0.045536708,0.000062445,0.023605058,0.079061985,0.000082750,0.024337046,0.004460292,0.004782257,0.000001651,0.000001524,0.006716438,0.004580860,0.002607546,0.001597755,0.008090423,0.010562797,0.357200205,0.001151762,0.024808533,0.230360195,0.000778806,0.000382338,0.000010679,0.000006017,0.000084814,0.000020201,0.000005508,0.000005151,0.000000555,0.000000051
0.000000260,0.000622394,0.000486695,0.384494513,0.528844714,0.374515146,0.000020161,0.000000053,0.000000148,0.017692026,0.012910489,0.034255993,0.048895385,0.102214351,0.067812800,0.048222180,0.060952932,0.232526511,0.213720441,0.313238442,0.118255019,0.055635531,0.035031945,0.000029416,0.023949509,0.060022119,0.000077220,0.024224438,0.009600839,0.007185313,0.000001212,0.000001193,0.002924265,0.009270461,0.000949213,0.000527791,0.012991798,0.012511956,0.455503672,0.000870561,0.062610686,0.338846952,0.003792614,0.000378292,0.000006078,0.000002556,0.000053151,0.000010068,0.000002663,0.000001977,0.000000427,0.000000042
0.000000301,0.000446986,0.000573563,0.382773280,0.559184194,0.348492712,0.000019863,0.000000043,0.000000172,0.008138358,0.007257156,0.026105385,0.035426602,0.113369897,0.063814536,0.039733570,0.063511558,0.276494771,0.271317154,0.148659751,0.064199641,0.098726310,0.046253417,0.000028094,0.017648222,0.035480712,0.000033798,0.009511527,0.007030435,0.009416133,0.000008361,0.000007642,0.000827083,0.011281447,0.000832804,0.000375769,0.036082391,0.056524612,0.065886877,0.000288173,0.072938040,0.242770284,0.008821297,0.000533910,0.000029127,0.000016428,0.000186156,0.000035072,0.000003757,0.000004580,0.000000398,0.000000053
0.000000337,0.000480702,0.000681152,0.380747408,0.549718857,0.322868049,0.000021718,0.000000044,0.000000235,0.007997610,0.006862987,0.033918783,0.046964683,0.102255121,0.080938302,0.048709821,0.046128239,0.235259131,0.224889860,0.162316754,0.063911550,0.110813424,0.052212868,0.000031132,0.020155635,0.042196244,0.000041425,0.012854195,0.011163563,0.009518443,0.000006634,0.000006697,0.000858446,0.009384762,0.000920212,0.000512979,0.042883120,0.048921999,0.083667845,0.000379133,0.092955925,0.275503367,0.008568873,0.000387574,0.000024826,0.000012682,0.000133613,0.000035352,0.000002440,0.000002572,0.000000408,0.000000058
0.000000237,0.000419114,0.000650433,0.373544514,0.568329692,0.335267544,0.000024339,0.000000035,0.000000204,0.008532664,0.006898671,0.039015956,0.052793507,0.108180769,0.060590021,0.042358223,0.068883315,0.220577449,0.213777035,0.178803250,0.059589267,0.108000904,0.054738004,0.000038828,0.026085027,0.037072487,0.000026833,0.009755262,0.012369592,0.014441125,0.000003189,0.000002873,0.001138480,0.011174269,0.001116569,0.000576425,0.040484719,0.049336601,0.090802290,0.000369930,0.065029733,0.284561425,0.004386482,0.000302986,0.000034383,0.000018042,0.000140306,0.000024721,0.000002597,0.000003023,0.000000396,0.000000052
0.000000115,0.000378513,0.000540068,0.422951549,0.590573668,0.377131075,0.000030996,0.000000025,0.000000120,0.009857351,0.009664671,0.035353564,0.048358947,0.083195850,0.096416138,0.071357735,0.036608748,0.246981680,0.219732046,0.226486355,0.074364573,0.106679477,0.035734486,0.000110749,0.028083831,0.049147807,0.000048964,0.014186896,0.006368152,0.018841811,0.000000439,0.000000407,0.009483096,0.017070821,0.005236380,0.002673430,0.008163712,0.029024394,0.331679970,0.000317216,0.013016414,0.180474058,0.000308934,0.000198761,0.000023859,0.000022662,0.000040514,0.000020649,0.000003401,0.000004259,0.000000533,0.000000036
