_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000003632,0.054897666,0.023853980,0.005738640,0.050269343,0.204544783,0.000027174,0.000001418,0.000001110,0.160397068,0.022686867,0.048252121,0.028131293,0.048812669,0.134088591,0.146785930,0.070935227,0.232632309,0.281430960,0.396912992,0.488396823,0.003190226,0.023882583,0.000140008,0.000014058,0.004326386,0.008089068,0.000941457,0.004801247,0.009645621,0.004044860,0.004403703,0.000350692,0.000163662,0.000683620,0.000879179,0.364324331,0.123993248,0.001301142,0.002448039,0.032234374,0.008373703,0.011997077,0.004129718,0.043245137,0.028650103,0.027916579,0.040719464,0.000004955,0.000006166,0.000001106,0.000001687
0.000003406,0.028331252,0.016735237,0.007713142,0.095410556,0.267977238,0.000035009,0.000001580,0.000000772,0.177090019,0.030876139,0.044111524,0.027427558,0.053898714,0.117411211,0.154759139,0.091984630,0.245209664,0.287300467,0.395000398,0.436571121,0.003239886,0.017943734,0.000178407,0.000012059,0.002663320,0.007081671,0.000338349,0.004666925,0.018395433,0.004403663,0.004574774,0.000438315,0.000068053,0.001105004,0.001523556,0.348146975,0.114562280,0.001630156,0.008012814,0.022187177,0.004432102,0.013150186,0.010513896,0.036053129,0.027470568,0.011378090,0.029568763,0.000018925,0.000029808,0.000002370,0.000002017
0.000002575,0.036668789,0.020959184,0.007117886,0.034778222,0.236620903,0.000038178,0.000001319,0.000000541,0.183717951,0.045147423,0.032481991,0.027621528,0.057883341,0.115018994,0.157949641,0.106420308,0.306837112,0.316601723,0.537787855,0.324747890,0.003645627,0.013896241,0.000193196,0.000044634,0.002227027,0.003677109,0.000250506,0.007805616,0.017938860,0.004460854,0.003954984,0.000267267,0.000018941,0.001351282,0.002196234,0.419867307,0.042401314,0.001637767,0.036943432,0.026185039,0.003397353,0.022228612,0.010299635,0.011161353,0.004710712,0.004314315,0.005178102,0.000019034,0.000010667,0.000003849,0.000002106
0.000001710,0.045783564,0.006187059,0.006779896,0.030506384,0.577955008,0.000024795,0.000001669,0.000000277,0.146864235,0.026062304,0.052885063,0.044157710,0.049872689,0.122689910,0.174752742,0.102821819,0.207267269,0.232272014,0.464359641,0.347858667,0.004871137,0.027863733,0.000085690,0.000008223,0.001665873,0.012917067,0.000136168,0.002759618,0.017656013,0.015417567,0.012990613,0.000152374,0.000011086,0.000872930,0.001374772,0.190643534,0.022432880,0.005627989,0.065510564,0.038572636,0.003267848,0.063154303,0.010381890,0.000931723,0.000429795,0.002891742,0.004086389,0.000018361,0.000009175,0.000003193,0.000001500
0.000001119,0.122286014,0.012461019,0.001444294,0.012235367,0.449111789,0.000017013,0.000000904,0.000000175,0.123145834,0.019610690,0.040792465,0.028509211,0.095178492,0.076283731,0.115134969,0.150426850,0.248553962,0.285854280,0.315028995,0.246203274,0.005854433,0.031845525,0.000086245,0.000003403,0.000657400,0.012677978,0.000042614,0.002242738,0.036268707,0.018750187,0.015262189,0.000164868,0.000005745,0.000771061,0.000604729,0.166679621,0.061824728,0.003007756,0.092025287,0.014021980,0.001882917,0.037853092,0.008155728,0.003461445,0.003296153,0.007445806,0.010820685,0.000025772,0.000020720,0.000003314,0.000000861
0.000001756,0.093340479,0.009788538,0.004126832,0.009960545,0.491012812,0.000028764,0.000001114,0.000000273,0.163505852,0.038714230,0.056088239,0.045913585,0.016763523,0.301004708,0.345716923,0.050244670,0.198030710,0.236236006,0.477418721,0.441558897,0.004370589,0.020366220,0.000130503,0.000004103,0.002130075,0.022502730,0.000219478,0.003054729,0.014230945,0.004184111,0.004087588,0.000289681,0.000005232,0.000908497,0.001864103,0.223698005,0.025066726,0.003982077,0.171736121,0.019669794,0.006950967,0.018485311,0.004086100,0.001446463,0.000660962,0.002001322,0.005727230,0.000020124,0.000007020,0.000002607,0.000001468
0.000001113,0.060539644,0.004033026,0.016018290,0.008929781,0.537034273,0.000013857,0.000001741,0.000000316,0.237699717,0.018709406,0.090829730,0.059353799,0.147910133,0.056135520,0.071956672,0.196670905,0.152505472,0.196317852,0.488241911,0.320003927,0.002390756,0.045301739,0.000073138,0.000020051,0.001009687,0.008298726,0.000099201,0.002732933,0.010260194,0.010548508,0.008198093,0.000153931,0.000009761,0.000822657,0.001220916,0.277830958,0.026104610,0.006818970,0.080867924,0.027789287,0.004445449,0.057225224,0.004548205,0.000719659,0.000222810,0.003286127,0.002602718,0.000006378,0.000001772,0.000003639,0.000001325
0.000001856,0.021019775,0.006185781,0.065280043,0.039402328,0.533923447,0.000017855,0.000001802,0.000000531,0.200533494,0.052252315,0.095752865,0.071960926,0.052139744,0.137781069,0.188035175,0.085915461,0.135837257,0.182705209,0.544000566,0.485518843,0.003468832,0.020418925,0.000076383,0.000005162,0.001777994,0.035208832,0.000160779,0.009570625,0.009971212,0.000930784,0.001414500,0.000385724,0.000035010,0.001102557,0.003689597,0.217648059,0.013813073,0.080759510,0.076664671,0.056584757,0.010563429,0.058157578,0.003996061,0.000056437,0.000015933,0.000136005,0.001915869,0.000010013,0.000001892,0.000006689,0.000001508
0.000000629,0.009761483,0.003797088,0.097622208,0.124721006,0.571197927,0.000015376,0.000000744,0.000000371,0.133207470,0.055055067,0.140335098,0.117448777,0.439618200,0.015460084,0.021032408,0.468218476,0.086022899,0.117637865,0.351590395,0.343963504,0.005414999,0.025591828,0.000105615,0.000033218,0.002371023,0.016128270,0.000249506,0.021165522,0.004359527,0.000079450,0.000180533,0.001534382,0.000002730,0.002106012,0.007224801,0.040252924,0.001947811,0.195743963,0.485529721,0.021550549,0.013053664,0.010649994,0.002617648,0.000020519,0.000006367,0.000013353,0.001273661,0.000033989,0.000003053,0.000008302,0.000001147
0.000001217,0.101930805,0.000944439,0.017206227,0.005549385,0.729242563,0.000015446,0.000001640,0.000000337,0.202379733,0.026776779,0.157913864,0.037034217,0.024034692,0.165346667,0.287530720,0.070801437,0.115320086,0.317256063,0.313751310,0.513176918,0.002639118,0.051057592,0.000065432,0.000042190,0.004637452,0.013819193,0.001100200,0.007656138,0.002627894,0.000447629,0.000565761,0.000973888,0.000007128,0.001072365,0.004306661,0.073930599,0.001814414,0.310339719,0.333159238,0.043580789,0.015351648,0.016738368,0.001499836,0.000017488,0.000003186,0.000133976,0.000537521,0.000004311,0.000000590,0.000002371,0.000000712
