_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002830,0.000656834,0.000250608,0.499701381,0.450019538,0.393951833,0.000137232,0.000000878,0.000000161,0.120849468,0.101965010,0.236624539,0.246103853,0.055417087,0.069729075,0.079086855,0.075817421,0.040432900,0.033180878,0.423961461,0.441894948,0.005349798,0.004877949,0.000199537,0.001297971,0.021532891,0.000055153,0.003931047,0.016582513,0.007859282,0.000034105,0.000032772,0.006320701,0.004614195,0.001510745,0.001479120,0.045934469,0.025706682,0.014343966,0.000470443,0.005137556,0.012134685,0.006907733,0.035919797,0.515087605,0.369546980,0.002899734,0.001818241,0.022311635,0.026501425,0.000000807,0.000001325
0.000002060,0.000542895,0.000161417,0.528149366,0.500324726,0.467202723,0.000035845,0.000000494,0.000000148,0.129384488,0.084127374,0.251615524,0.259191751,0.095829003,0.044945069,0.054796360,0.107288733,0.038100660,0.031151256,0.384749621,0.347926378,0.005396000,0.005603055,0.000080592,0.000582876,0.002431189,0.000021427,0.001219408,0.015129115,0.005230894,0.000130661,0.000136686,0.001399524,0.004429630,0.000145470,0.000113217,0.061306857,0.028406598,0.014498108,0.000622672,0.003966094,0.002832274,0.027790722,0.032142945,0.402956456,0.268352598,0.008602792,0.004671016,0.002103674,0.002518712,0.000001092,0.000000692
0.000001793,0.000592642,0.000181780,0.536608696,0.481591552,0.424484998,0.000033457,0.000000368,0.000000138,0.137779281,0.090249084,0.294181675,0.293080896,0.119093217,0.035379581,0.046652321,0.123869970,0.034925546,0.024468239,0.399572939,0.300673515,0.005814009,0.004876344,0.000079464,0.000612320,0.002519739,0.000023783,0.001318522,0.019702872,0.010329684,0.000100812,0.000097043,0.000917664,0.002752262,0.000139179,0.000096382,0.095017418,0.051717076,0.007013807,0.001081876,0.004413050,0.004690118,0.028503198,0.021617381,0.349450439,0.246772304,0.008533907,0.003792479,0.001104473,0.001326093,0.000000931,0.000000621
0.000001600,0.000757572,0.000261227,0.487582892,0.465129286,0.371468335,0.000024121,0.000000341,0.000000130,0.133032978,0.099087171,0.301087111,0.292795986,0.122497998,0.034693886,0.045974616,0.123805717,0.033698395,0.023842325,0.393662751,0.315043390,0.005482038,0.004611741,0.000061200,0.000509468,0.002077632,0.000021114,0.001353588,0.012894306,0.013429592,0.000158440,0.000137237,0.000577120,0.001316071,0.000087078,0.000054020,0.099517241,0.066436015,0.005244752,0.002349245,0.004191817,0.003526931,0.041241568,0.019465897,0.289237320,0.231713980,0.014205455,0.005702092,0.000669673,0.000932402,0.000000820,0.000000541
0.000002274,0.001095195,0.000419305,0.464195758,0.387793779,0.309000432,0.000027430,0.000000336,0.000000159,0.130302474,0.089474998,0.283463627,0.277466059,0.134107441,0.030631777,0.042950936,0.139804468,0.034614433,0.026364449,0.385904312,0.334736139,0.005742640,0.004992322,0.000057675,0.000685645,0.002964249,0.000023035,0.001895591,0.024405893,0.014097518,0.000094756,0.000094093,0.000532879,0.001934559,0.000087804,0.000056476,0.131761432,0.082426600,0.004268562,0.001747889,0.007103457,0.007318371,0.043816742,0.017798310,0.311803997,0.251611680,0.006818430,0.004798857,0.000501144,0.000677250,0.000000632,0.000000703
0.000002642,0.003348095,0.001052885,0.328597903,0.242363155,0.245417371,0.000033845,0.000000322,0.000000150,0.126490772,0.094711423,0.252309859,0.262347788,0.117500760,0.031149575,0.047158778,0.138552800,0.037721090,0.026974792,0.413655370,0.309958816,0.005532611,0.004401914,0.000070193,0.000584102,0.003474000,0.000026138,0.002210491,0.025935376,0.014536705,0.000084746,0.000082776,0.000703045,0.001706529,0.000124755,0.000085535,0.133688733,0.079508185,0.003888468,0.001845882,0.006398237,0.006432501,0.029668134,0.020113654,0.276780158,0.228953391,0.005959812,0.004094440,0.000741434,0.000975688,0.000000638,0.000000864
0.000001606,0.007398559,0.002764711,0.242550865,0.139444381,0.141490355,0.000030601,0.000000176,0.000000112,0.149323896,0.110673293,0.248832926,0.251174122,0.118337572,0.031213939,0.045674488,0.129848659,0.037567429,0.029581182,0.410989374,0.364740819,0.004132314,0.003417625,0.000091849,0.000974851,0.004832867,0.000020712,0.002966983,0.045229323,0.025539218,0.000019167,0.000017951,0.001043538,0.002559254,0.000196264,0.000133330,0.152660564,0.086443394,0.004135334,0.001274212,0.004746871,0.008810654,0.009982868,0.011088341,0.177931070,0.144181281,0.003562104,0.001448893,0.000380544,0.000497527,0.000000452,0.000000560
0.000001256,0.027038399,0.010473450,0.126946643,0.056581389,0.076137111,0.000017653,0.000000121,0.000000099,0.136221111,0.108512610,0.168681860,0.173567504,0.072129197,0.050143123,0.066512451,0.089783750,0.057795279,0.046742134,0.428001732,0.404583037,0.003728768,0.003573195,0.000069259,0.001212960,0.004331057,0.000014953,0.003953349,0.040446632,0.024389772,0.000017320,0.000016136,0.000868047,0.002315223,0.000109530,0.000069914,0.133970723,0.068681374,0.006031452,0.001381657,0.003691476,0.004539903,0.011057315,0.007315140,0.100003943,0.082081854,0.004550995,0.001419365,0.000100761,0.000124387,0.000000326,0.000000392
0.000001604,0.043002229,0.016182277,0.108661436,0.038729373,0.066217914,0.000017318,0.000000119,0.000000146,0.144475773,0.122302517,0.100065805,0.114768095,0.063923463,0.049272187,0.073337510,0.095951572,0.094861917,0.076066069,0.481321931,0.415390462,0.003396904,0.002954044,0.000071268,0.001200672,0.005112512,0.000017732,0.004607922,0.056914739,0.009429895,0.000015705,0.000018450,0.001164485,0.002960262,0.000108177,0.000096945,0.156604558,0.046372350,0.007463448,0.000989891,0.003668472,0.004348552,0.008128544,0.006178790,0.069194466,0.047933593,0.003411139,0.002168710,0.000070124,0.000068943,0.000000400,0.000000481
0.000001471,0.042643305,0.015607499,0.078940116,0.044379767,0.084480502,0.000019506,0.000000092,0.000000135,0.119959056,0.100850642,0.128361270,0.151506051,0.029902590,0.095476508,0.120408811,0.054438818,0.074343517,0.055156477,0.470442981,0.357004255,0.004587111,0.003718635,0.000071649,0.001280291,0.006064293,0.000022128,0.005404611,0.104898237,0.014052609,0.000006512,0.000007845,0.001346993,0.003855268,0.000101549,0.000097990,0.182549939,0.041888621,0.009522053,0.001004969,0.003459500,0.005560660,0.007020250,0.005396343,0.051483206,0.029971614,0.001908065,0.000796887,0.000056766,0.000050176,0.000000408,0.000000407
0.000001416,0.044021234,0.012363127,0.075081103,0.036305077,0.099192955,0.000051783,0.000000127,0.000000125,0.119224951,0.120634072,0.193343461,0.219395235,0.024085386,0.111374199,0.131995395,0.044662815,0.050937913,0.032976538,0.486508965,0.347818971,0.004799486,0.003046331,0.000199373,0.001590531,0.013573635,0.000030014,0.007306339,0.066536613,0.024898628,0.000005272,0.000005281,0.003683260,0.004633985,0.000602557,0.000604598,0.129198506,0.057963874,0.007118415,0.000573704,0.003482087,0.008836966,0.001482946,0.007485373,0.058988493,0.047358543,0.001731485,0.000589381,0.000208618,0.000260115,0.000000437,0.000000558
0.000002828,0.031706370,0.012285756,0.136060297,0.041663211,0.099384181,0.000178568,0.000000283,0.000000245,0.091057129,0.085823931,0.171491146,0.195854366,0.013600087,0.161362499,0.180038005,0.030264674,0.052308261,0.036897592,0.507471263,0.349808812,0.006456820,0.004657404,0.000295291,0.002545901,0.078848749,0.000075919,0.013669224,0.053162865,0.021658566,0.000003282,0.000003005,0.006584270,0.003339262,0.002823920,0.003506145,0.094814830,0.044474386,0.004912126,0.000563766,0.005751490,0.035844173,0.000896329,0.011137746,0.193278089,0.150054812,0.001344743,0.000736946,0.002260647,0.003225169,0.000000414,0.000001356
0.000004064,0.014179656,0.006023711,0.230113536,0.080230065,0.161335558,0.000283489,0.000000480,0.000000250,0.094214901,0.078598745,0.109875105,0.124643356,0.008858253,0.217293635,0.229282051,0.024992371,0.081620030,0.060701437,0.487685829,0.334705144,0.007172202,0.005578999,0.000267946,0.001709714,0.116076022,0.000218777,0.010745291,0.031636219,0.012996735,0.000002813,0.000002678,0.009057356,0.003694906,0.005233951,0.006129604,0.049519457,0.029767277,0.008622963,0.000573966,0.005970534,0.058621317,0.001253346,0.018902723,0.401551366,0.329228312,0.000693452,0.000818118,0.011149202,0.015217655,0.000000565,0.000002019
