_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001130,0.006342509,0.012002493,0.103159279,0.170644984,0.094722666,0.000341086,0.000000386,0.000000771,0.118096724,0.126893252,0.160649881,0.169366941,0.025698904,0.138284132,0.133144751,0.034584373,0.062751688,0.053954549,0.284436405,0.279041082,0.009087454,0.004833110,0.001367668,0.002538254,0.057123769,0.000110000,0.001069454,0.003643478,0.004227896,0.000052658,0.000042179,0.013307391,0.003643431,0.163288116,0.179756865,0.032357395,0.085107476,0.003415941,0.000073199,0.006946380,0.035403520,0.000318596,0.007812285,0.470878929,0.579155803,0.007476705,0.016617721,0.046176117,0.097322024,0.000001348,0.000002074
0.000001196,0.006538881,0.011416876,0.105503820,0.175537303,0.100409046,0.000370785,0.000000388,0.000000801,0.119979024,0.121926099,0.164893761,0.172484756,0.020688020,0.162547171,0.155657426,0.030140297,0.060481928,0.052626986,0.272310197,0.262656689,0.008941520,0.005043763,0.001371196,0.002949923,0.067206182,0.000107365,0.001256946,0.003865289,0.004340263,0.000052241,0.000042659,0.013372079,0.004548902,0.159546927,0.172802806,0.032298964,0.087315746,0.003169231,0.000057158,0.007539502,0.040677205,0.000319362,0.007801584,0.478424191,0.583110392,0.006885271,0.015869150,0.046416156,0.092163466,0.000001279,0.000002265
0.000001131,0.006277882,0.011490734,0.099855289,0.180286393,0.101668440,0.000364147,0.000000415,0.000000873,0.107675575,0.093852751,0.176489055,0.182491913,0.024900528,0.144672275,0.137723982,0.031693749,0.055591546,0.048191581,0.256230533,0.218510166,0.010352894,0.006605820,0.001438421,0.003079124,0.072215237,0.000115880,0.001358147,0.003698969,0.004803318,0.000046550,0.000038087,0.017099705,0.003452718,0.182371199,0.196346506,0.029081345,0.084509104,0.004219225,0.000082041,0.006823576,0.034924511,0.000295989,0.008100815,0.457963258,0.586773992,0.006080816,0.016144380,0.054241825,0.111326322,0.000001364,0.000002208
0.000001129,0.006792595,0.013202367,0.097654253,0.178235829,0.093566991,0.000385667,0.000000413,0.000000901,0.107993349,0.092398427,0.183847055,0.184915498,0.028267972,0.127736628,0.123935051,0.036377385,0.054180007,0.047436427,0.254163980,0.235170275,0.010461281,0.006733983,0.001506247,0.003036530,0.070485495,0.000128051,0.001264955,0.003876925,0.005091914,0.000038705,0.000031455,0.016650761,0.002969239,0.219090670,0.239071906,0.031108942,0.089401931,0.004720772,0.000104807,0.007380909,0.038387816,0.000336343,0.007963607,0.444164336,0.578844428,0.005078551,0.014442666,0.071285531,0.140319675,0.000001374,0.000002224
0.000001204,0.006210309,0.011410270,0.099012792,0.192055628,0.101087593,0.000412109,0.000000401,0.000000965,0.114620999,0.118603036,0.139301166,0.147837058,0.008892545,0.301625669,0.294480950,0.012821635,0.071291596,0.061412256,0.275259942,0.258567721,0.009502474,0.005148748,0.001751583,0.002134818,0.068566121,0.000186661,0.001181346,0.004093340,0.004429035,0.000043596,0.000036116,0.014724248,0.002440129,0.222859487,0.272943616,0.033150859,0.079134442,0.003777997,0.000116420,0.007119841,0.043373596,0.000312043,0.007381478,0.443769366,0.555448890,0.005580598,0.017037936,0.067034684,0.126149327,0.000001679,0.000002278
0.000001186,0.006945726,0.012914532,0.092900142,0.177631736,0.098494731,0.000430217,0.000000374,0.000001044,0.107344456,0.111345343,0.127813160,0.135370046,0.006906052,0.366446733,0.359605193,0.008468281,0.077309176,0.067169316,0.269914359,0.244557977,0.010296175,0.005334667,0.001818400,0.002598005,0.069176473,0.000180449,0.001085589,0.004150741,0.003977616,0.000043256,0.000036019,0.015041069,0.003254781,0.248615503,0.298496008,0.031116297,0.075284407,0.003562500,0.000082579,0.006986370,0.049057003,0.000300501,0.007745606,0.444375545,0.545597076,0.005749617,0.016488530,0.078080848,0.138485864,0.000001800,0.000002260
0.000001131,0.008601145,0.014278704,0.088792607,0.153777182,0.098126926,0.000440768,0.000000355,0.000001356,0.081314497,0.063890696,0.137683049,0.146597072,0.007470799,0.364405245,0.361583233,0.007762307,0.070181243,0.059014987,0.249726847,0.177809402,0.014916464,0.008719462,0.001999022,0.002756414,0.070489906,0.000182274,0.001112069,0.004720342,0.004703300,0.000034799,0.000030047,0.013692310,0.003254899,0.304606915,0.363367707,0.035574682,0.093654498,0.003671365,0.000092771,0.007317045,0.047015935,0.000281558,0.006495388,0.428090721,0.549512029,0.005377861,0.020020312,0.060511291,0.110930353,0.000001973,0.000002284
0.000000844,0.009545463,0.015337707,0.107239306,0.131016180,0.079921499,0.000362929,0.000000312,0.000000924,0.089092985,0.073023044,0.140691593,0.148011550,0.007622292,0.353347749,0.348616749,0.008450053,0.069899090,0.059973162,0.256089628,0.200179756,0.012835646,0.008098099,0.002016916,0.002331190,0.067102455,0.000211742,0.001020148,0.004688384,0.006443454,0.000016821,0.000013691,0.020582380,0.002478286,0.295294911,0.334272921,0.027136400,0.073431529,0.005510886,0.000149096,0.004699420,0.041668762,0.000175703,0.006441077,0.385047168,0.510532737,0.004227587,0.011484550,0.052344438,0.106406115,0.000001873,0.000001818
0.000000891,0.011141292,0.015538293,0.102618068,0.120292775,0.078512914,0.000373042,0.000000382,0.000001192,0.063929714,0.055786356,0.183214292,0.195080712,0.006434906,0.401201278,0.389563322,0.006671559,0.051710617,0.044490375,0.207373351,0.189603671,0.016932802,0.011637463,0.002151537,0.002830661,0.084870972,0.000212580,0.001235677,0.004002946,0.006625804,0.000036706,0.000029758,0.016013265,0.001653005,0.306508452,0.340494215,0.030532284,0.082213439,0.003489532,0.000166232,0.005214931,0.038927611,0.000186308,0.006442875,0.372634560,0.496890962,0.008165775,0.020426266,0.043254744,0.090494394,0.000001818,0.000002284
0.000000839,0.011762042,0.019300779,0.069956370,0.127435416,0.072331004,0.000393859,0.000000341,0.000001076,0.069819801,0.061574355,0.154876664,0.161930561,0.007950384,0.365833163,0.363753587,0.006991131,0.063676365,0.054079458,0.218374759,0.206425980,0.015905354,0.010155388,0.002052510,0.002449307,0.086057901,0.000262050,0.001256204,0.003811853,0.006416501,0.000028113,0.000022340,0.016197780,0.002064131,0.354800940,0.402614802,0.028946372,0.086211532,0.004275863,0.000145346,0.005640850,0.046848610,0.000205342,0.005457817,0.414724499,0.557708144,0.005915706,0.015093248,0.048578277,0.102477171,0.000001664,0.000001961
0.000000697,0.011395707,0.021729795,0.066041067,0.122488558,0.058491424,0.000361427,0.000000407,0.000000772,0.096398637,0.099531032,0.161398903,0.170732498,0.007379512,0.410998166,0.411891043,0.005327842,0.065531559,0.054355048,0.244451657,0.249277234,0.011550035,0.007354904,0.001830354,0.002319636,0.114327818,0.000333549,0.001523731,0.002651874,0.005911888,0.000041667,0.000031282,0.021864263,0.001098716,0.351687521,0.389284402,0.019136604,0.056799632,0.007579712,0.000251883,0.004345376,0.031545468,0.000202961,0.004993781,0.454255819,0.607428908,0.006125623,0.013030824,0.056353860,0.127087295,0.000001656,0.000001828
0.000000564,0.007410650,0.012229961,0.115558267,0.191787392,0.075872868,0.000411648,0.000000632,0.000000693,0.678818405,0.576138616,0.806146443,0.799807072,0.033561479,0.155488864,0.156229332,0.028524529,0.004301366,0.003103293,0.441366225,0.439004451,0.000830521,0.000445663,0.002666786,0.001842643,0.075474873,0.000520025,0.001171106,0.002703177,0.008939884,0.000062830,0.000041852,0.025849778,0.000426321,0.396517813,0.486974329,0.029309524,0.059755970,0.008793577,0.001121206,0.003193355,0.023980366,0.000185329,0.005791087,0.488232374,0.623919487,0.010080518,0.019728195,0.066085108,0.134484485,0.000003017,0.000002562
0.000000859,0.008658474,0.012572286,0.136680916,0.139911026,0.086281478,0.000419195,0.000000611,0.000000737,0.681506038,0.603129208,0.792695820,0.779579222,0.038078669,0.135416508,0.135484114,0.034628682,0.004942789,0.003357837,0.460792780,0.438840717,0.000824396,0.000380339,0.002227388,0.002901040,0.086758777,0.000384090,0.001613142,0.003822428,0.007144740,0.000033613,0.000025208,0.034565218,0.001030189,0.278051674,0.369961739,0.029130805,0.053909987,0.012043331,0.000595166,0.003365393,0.035498619,0.000157790,0.006367874,0.508807778,0.639346421,0.004880596,0.017414287,0.054146543,0.101089858,0.000002671,0.000002818
0.000000847,0.008811333,0.012935842,0.135415941,0.139279887,0.084905475,0.000421763,0.000000602,0.000000727,0.682624102,0.603036642,0.794341207,0.781454563,0.037083965,0.135921001,0.135733962,0.035356987,0.004883716,0.003315062,0.462394655,0.438248008,0.000820399,0.000381146,0.002257967,0.002889830,0.084344253,0.000378796,0.001559171,0.003838693,0.007370698,0.000032618,0.000024320,0.034380604,0.001012551,0.282139778,0.373563677,0.029395264,0.054363687,0.012000763,0.000611114,0.003336856,0.035408881,0.000159348,0.006431011,0.506059170,0.635511279,0.004870204,0.016703691,0.055439070,0.103873529,0.000002676,0.000002821
0.000000857,0.013116924,0.029271744,0.099880852,0.082553148,0.037436187,0.000356172,0.000000361,0.000000586,0.444525540,0.463285804,0.598079979,0.569443583,0.011331284,0.255343527,0.248260990,0.024257652,0.015442725,0.011012523,0.355936110,0.461590022,0.001844089,0.000736342,0.002120227,0.003020319,0.122107811,0.000310968,0.002453495,0.003591452,0.005787752,0.000023827,0.000018683,0.033576999,0.001222133,0.183670804,0.249834672,0.022508090,0.040314097,0.008551968,0.000331451,0.002672231,0.040020626,0.000080681,0.003987978,0.491930932,0.601058602,0.005445921,0.017131487,0.022704747,0.048076712,0.000001368,0.000002484
