_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002431,0.037363160,0.025931465,0.044315789,0.040085014,0.051525213,0.000179976,0.000000644,0.000002260,0.023501517,0.016152751,0.076741301,0.104676664,0.017366214,0.534770072,0.456439525,0.001076036,0.103327416,0.078729101,0.226169974,0.131054834,0.022342961,0.031922139,0.000727581,0.001969682,0.180158675,0.000268773,0.013583388,0.005315757,0.005324273,0.023227597,0.021435216,0.000925511,0.001071987,0.022113131,0.029322058,0.059490312,0.068774700,0.000119177,0.000030654,0.020133892,0.123982973,0.000713110,0.003092307,0.035787094,0.036646537,0.134259209,0.092179291,0.001969204,0.002302182,0.000000967,0.000002742
0.000002881,0.038372707,0.029542148,0.029399950,0.039839808,0.054848183,0.000164356,0.000000729,0.000002640,0.019633103,0.017213373,0.058369715,0.116164342,0.025554344,0.586652040,0.350207955,0.000934062,0.132380739,0.071991295,0.267939329,0.171327740,0.027662490,0.029877592,0.000762307,0.001143547,0.153259411,0.000400127,0.012133052,0.004951991,0.004384713,0.066206813,0.064850293,0.000696132,0.000536918,0.024463391,0.035154104,0.069406182,0.063859358,0.000104586,0.000051764,0.029326197,0.124010250,0.000982990,0.002679962,0.012500054,0.011742200,0.126923695,0.122877903,0.001308158,0.001475021,0.000001132,0.000003067
0.000002295,0.025905920,0.025665779,0.045564510,0.060358543,0.053433646,0.000052078,0.000000324,0.000000994,0.023912113,0.021123724,0.067667998,0.124943487,0.027913988,0.442348927,0.308891654,0.001892525,0.117800944,0.064690091,0.306963474,0.135621399,0.023230731,0.022588117,0.000130977,0.001658415,0.085892640,0.000131500,0.012228240,0.001765698,0.002852842,0.039258827,0.041390963,0.000317632,0.001979634,0.003324675,0.003006180,0.049929243,0.080790073,0.000224015,0.000038668,0.064064912,0.124233410,0.004682609,0.003455000,0.001214604,0.001308125,0.011399376,0.013141978,0.000126224,0.000170526,0.000000683,0.000001948
0.000002311,0.028627789,0.027005516,0.040356781,0.055088826,0.050334901,0.000057726,0.000000339,0.000001092,0.025044736,0.021899236,0.070122279,0.126012683,0.027255012,0.489891887,0.330446124,0.001489115,0.115082547,0.065798119,0.296373010,0.169947594,0.021898236,0.022314688,0.000169393,0.001956424,0.100721918,0.000156743,0.013727398,0.002006852,0.002428173,0.042360649,0.044875920,0.000383054,0.002279494,0.004386695,0.004339871,0.046045620,0.066938564,0.000215907,0.000027021,0.053278349,0.138496026,0.003198227,0.003181565,0.001460049,0.001486858,0.013559813,0.015377850,0.000143638,0.000179122,0.000000716,0.000002136
0.000002177,0.029344458,0.024789173,0.057146296,0.042008661,0.047819477,0.000134826,0.000000537,0.000001539,0.022292227,0.019907327,0.082373291,0.133711740,0.019865822,0.502372980,0.413156509,0.001251793,0.101981513,0.062808111,0.268569738,0.133722484,0.023392528,0.026377555,0.000457932,0.001914585,0.189141467,0.000277362,0.017620847,0.003389261,0.003531155,0.023024417,0.021186147,0.000959585,0.000642573,0.011828466,0.016107779,0.051027749,0.046734005,0.000151297,0.000062071,0.014343098,0.094172470,0.000838038,0.003463791,0.021527542,0.021193219,0.073877446,0.048991669,0.001519435,0.001709291,0.000000930,0.000002618
0.000001653,0.040315736,0.038441207,0.041421171,0.036217775,0.036400892,0.000110474,0.000000332,0.000001110,0.030730184,0.026126202,0.068280853,0.140237316,0.021658387,0.548725843,0.394172668,0.000977311,0.120690130,0.060367603,0.378491789,0.150134683,0.017897738,0.020044783,0.000381152,0.002213387,0.184135720,0.000259346,0.018711947,0.003218028,0.003216048,0.009231987,0.007986628,0.001000492,0.000563052,0.009707551,0.013315665,0.059726629,0.042027246,0.000169591,0.000094067,0.009956695,0.080260336,0.000673072,0.002814205,0.016340433,0.014277121,0.037711930,0.019839969,0.000958999,0.000965721,0.000000884,0.000002206
0.000001932,0.031629257,0.031738348,0.049596988,0.042302359,0.040083729,0.000194357,0.000000384,0.000002443,0.024202088,0.019084148,0.102966629,0.184707567,0.045520723,0.516925931,0.219870403,0.001705672,0.084031776,0.046288654,0.236145303,0.162982196,0.022167917,0.034416836,0.000753145,0.004042938,0.248600110,0.000198136,0.020440061,0.008007091,0.005315273,0.003319481,0.003103191,0.001270497,0.001870701,0.017816009,0.023843089,0.065351650,0.071775772,0.000143487,0.000025838,0.010961174,0.112238117,0.000516818,0.002257312,0.157914802,0.157790691,0.099149100,0.095442615,0.002806302,0.002901265,0.000000706,0.000002497
0.000002686,0.037765473,0.031642742,0.053440630,0.034190871,0.038104296,0.000173063,0.000000610,0.000002272,0.028328922,0.021919796,0.106628172,0.158143207,0.020766729,0.531493902,0.411999613,0.001137571,0.076839022,0.050884355,0.247406885,0.198029593,0.018127732,0.027944697,0.000625094,0.004794511,0.212535366,0.000137286,0.017476773,0.006885094,0.005437388,0.010121441,0.009667294,0.000813579,0.000673429,0.015513026,0.022411089,0.096822642,0.081624456,0.000098568,0.000071400,0.017092405,0.116453707,0.000964847,0.003335876,0.073238313,0.069279820,0.076319754,0.076282032,0.002712867,0.002732080,0.000000933,0.000003461
0.000002706,0.028902937,0.032877360,0.062770389,0.044543874,0.034606021,0.000166885,0.000000699,0.000001686,0.058279701,0.023581902,0.136561722,0.157213181,0.020082796,0.561713398,0.416981936,0.000939066,0.060524717,0.050714277,0.366580546,0.167016074,0.009898935,0.023250019,0.000526557,0.002487613,0.185425460,0.000206577,0.015448687,0.004855747,0.005251985,0.013511590,0.011948724,0.000852174,0.000711388,0.012393142,0.017440757,0.067202218,0.068930447,0.000119715,0.000068666,0.017469613,0.093213029,0.001104505,0.005351791,0.062817074,0.066979058,0.070039421,0.060165022,0.002599404,0.003313720,0.000000942,0.000003137
0.000003239,0.019969918,0.020523615,0.090710096,0.060090866,0.042777564,0.000176232,0.000000883,0.000002733,0.054220743,0.019514559,0.227506161,0.153048679,0.016937876,0.650644243,0.499745697,0.000573303,0.036702681,0.052874144,0.219207391,0.138503745,0.011549067,0.026121261,0.000874791,0.004675110,0.181138977,0.000125821,0.011652840,0.008584421,0.002907966,0.019831762,0.023098007,0.001065867,0.001789924,0.017336603,0.027911795,0.054987162,0.041695599,0.000163628,0.000020803,0.020129232,0.097247109,0.000965419,0.006016064,0.050335940,0.044989049,0.083136305,0.184453204,0.004733373,0.004515707,0.000001426,0.000002974
