_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001102,0.000280050,0.000113523,0.508685589,0.701888680,0.739553094,0.000073331,0.000001098,0.000001738,0.037163191,0.009662772,0.219239414,0.184845924,0.053573627,0.080490038,0.077459492,0.063352533,0.037896924,0.053319022,0.054082703,0.052428309,0.013771213,0.073003568,0.000853064,0.000415147,0.003714236,0.000068984,0.000211393,0.010159598,0.000170197,0.000576877,0.001007363,0.046390619,0.010246277,0.006809192,0.013778461,0.017193154,0.002365776,0.094022147,0.000054380,0.000573249,0.000872525,0.001036708,0.049689259,0.483315587,0.225537434,0.049973965,0.080748223,0.188046575,0.103373967,0.000007342,0.000001355
0.000001139,0.000375489,0.000161252,0.445597738,0.669834971,0.699832022,0.000076465,0.000000985,0.000001606,0.027903179,0.008675325,0.258171976,0.230629250,0.050135393,0.081805654,0.080499493,0.063746825,0.030036137,0.040698562,0.046759013,0.044111647,0.018657248,0.077133894,0.000739650,0.000489290,0.006628918,0.000084893,0.000401077,0.009889564,0.000245175,0.000276424,0.000476172,0.049323440,0.008482784,0.006237634,0.010981151,0.019419217,0.003354100,0.080071412,0.000082175,0.000618745,0.001284188,0.000780451,0.041213788,0.489041179,0.256488472,0.033059746,0.065170944,0.115439400,0.064444527,0.000005644,0.000001469
0.000001145,0.000358972,0.000163170,0.447487414,0.676173210,0.698457897,0.000075901,0.000000959,0.000001604,0.027405355,0.008914002,0.256875038,0.228109434,0.048086956,0.085115500,0.082821190,0.061653819,0.030776108,0.040879246,0.048391152,0.044337027,0.019311348,0.074359603,0.000736510,0.000491164,0.006234581,0.000079273,0.000384820,0.009434613,0.000226560,0.000301131,0.000521887,0.047035754,0.009064214,0.005945817,0.010442466,0.018544996,0.003301262,0.079309158,0.000075269,0.000604585,0.001228106,0.000810818,0.041451190,0.489756644,0.260096639,0.033774797,0.071274310,0.119321644,0.065723792,0.000005768,0.000001471
0.000000874,0.000085657,0.000074871,0.564598918,0.837847471,0.780408561,0.000062835,0.000000712,0.000001735,0.031062031,0.010798220,0.233166113,0.194118723,0.052472226,0.076154411,0.074548624,0.061957426,0.039223205,0.045981843,0.063018300,0.042421445,0.019962844,0.060113359,0.000929448,0.000403040,0.003589200,0.000062449,0.000220120,0.009663651,0.000235875,0.000377295,0.000621999,0.058211736,0.008257001,0.005181903,0.011496011,0.013905543,0.002731554,0.083904944,0.000070474,0.000438481,0.001057632,0.000693888,0.037079826,0.313344002,0.168068483,0.036952343,0.106629238,0.157155424,0.105157636,0.000007405,0.000000984
0.000000896,0.000114591,0.000107724,0.531675398,0.794010639,0.714360118,0.000068293,0.000000702,0.000001775,0.029286362,0.010958977,0.281669736,0.246466339,0.039219331,0.099728733,0.090453885,0.047630075,0.031473961,0.033917222,0.057317838,0.035159908,0.022795349,0.057372987,0.000929270,0.000461495,0.004211438,0.000067510,0.000250092,0.008995412,0.000217580,0.000396128,0.000667714,0.048771098,0.005381114,0.005677481,0.012369300,0.014470358,0.002754131,0.080402404,0.000107517,0.000444487,0.001191060,0.000736143,0.042744443,0.311697096,0.166411266,0.037625916,0.115479201,0.168443009,0.112409063,0.000008592,0.000001097
0.000001006,0.000240549,0.000156981,0.482581168,0.714611173,0.676982880,0.000064613,0.000000505,0.000001406,0.014172506,0.005891781,0.224399954,0.202325329,0.037305925,0.110331520,0.095324233,0.038064551,0.039441522,0.041385725,0.037413798,0.028401399,0.036199238,0.082035802,0.000631852,0.000473184,0.005989039,0.000081504,0.000414924,0.011774919,0.000275348,0.000140847,0.000233049,0.047575984,0.007526629,0.004579443,0.008430597,0.018414222,0.003271640,0.062686235,0.000105559,0.000432492,0.001820591,0.000656472,0.044974640,0.319540590,0.162736446,0.023898695,0.056244057,0.146597341,0.087656863,0.000006248,0.000000874
0.000000973,0.000244886,0.000167084,0.488507152,0.725837469,0.678388476,0.000056114,0.000000618,0.000001339,0.011923935,0.005055423,0.157671630,0.135993555,0.030503873,0.111277066,0.102558963,0.041340675,0.054479789,0.062766477,0.032710057,0.029029155,0.038251195,0.090617046,0.000540267,0.000479849,0.005177819,0.000057269,0.000292197,0.007754605,0.000256756,0.000803618,0.001182270,0.026100274,0.003679918,0.004329814,0.008100634,0.027148161,0.003748753,0.035296388,0.000161221,0.000589709,0.000945907,0.001200478,0.065254025,0.133929238,0.062486917,0.045586910,0.044990718,0.098201878,0.069531240,0.000006897,0.000000967
0.000000741,0.000174660,0.000127741,0.559908390,0.765231848,0.715565085,0.000030886,0.000000430,0.000001101,0.012663637,0.004473896,0.121290028,0.101441137,0.025550084,0.133894682,0.123350769,0.033960909,0.075490512,0.087696947,0.034996442,0.027797356,0.040111333,0.106345601,0.000483413,0.000351058,0.001977083,0.000034603,0.000163391,0.006731266,0.000226947,0.000642535,0.000957940,0.054613210,0.007704621,0.002151344,0.003695519,0.013399548,0.002090213,0.101254150,0.000098064,0.000297104,0.000441318,0.000829133,0.046352897,0.140217707,0.068789504,0.043074571,0.046848748,0.060003947,0.042398084,0.000007203,0.000000575
0.000000741,0.000105975,0.000085317,0.588776410,0.838986456,0.760491729,0.000037768,0.000000495,0.000001037,0.011972301,0.004386720,0.172340378,0.145656571,0.035661120,0.102709547,0.096007697,0.045214064,0.051386122,0.057627443,0.036745135,0.026291518,0.042119306,0.105485223,0.000413958,0.000300151,0.002714056,0.000055017,0.000219962,0.005976726,0.000260571,0.000661181,0.000886171,0.022801332,0.004600937,0.002007324,0.003682532,0.024308100,0.003687982,0.048711251,0.000185477,0.000454183,0.000629063,0.001461335,0.060315367,0.113229513,0.055116471,0.042089630,0.032893389,0.057626456,0.044131078,0.000006907,0.000000620
0.000000468,0.000147442,0.000104195,0.581783354,0.795923591,0.690099716,0.000014800,0.000000329,0.000000473,0.015765451,0.005630070,0.244462520,0.214516401,0.031209197,0.129901215,0.119163334,0.031013990,0.034868967,0.037808318,0.033088639,0.027613640,0.038725581,0.095778115,0.000281373,0.000157633,0.000832904,0.000038707,0.000096790,0.005133001,0.000674327,0.000392095,0.000545027,0.064268127,0.003444521,0.001360213,0.001780101,0.008970684,0.002634744,0.171259239,0.000408495,0.000249738,0.000356911,0.001785341,0.065902837,0.032589801,0.020184647,0.009853294,0.009647059,0.128904164,0.100008227,0.000007800,0.000000301
