_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000001092,0.012360583,0.005508271,0.074053198,0.229213804,0.272694558,0.000040049,0.000000697,0.000000408,0.133174211,0.036053840,0.142152965,0.153271988,0.026905777,0.089634821,0.102900609,0.045806613,0.058623478,0.066151388,0.460561216,0.276310682,0.005993017,0.012075542,0.000048218,0.055646095,0.200796455,0.000067999,0.005099618,0.000894226,0.000498479,0.004519243,0.006526276,0.002042586,0.001930686,0.012363121,0.017487470,0.003360838,0.006968799,0.253476501,0.000130910,0.230463624,0.039039742,0.029978463,0.008225098,0.000000983,0.000000517,0.000098080,0.000633769,0.000069229,0.000060298,0.000001034,0.000001515
0.000000549,0.000949692,0.000547690,0.485837191,0.547353268,0.536833525,0.000018663,0.000000591,0.000000252,0.188794032,0.128952295,0.197914228,0.219423205,0.027535038,0.049695861,0.155260518,0.106889538,0.048842534,0.042565759,0.451880544,0.467141539,0.005150825,0.005643728,0.000013132,0.048396237,0.053627778,0.000019165,0.008108601,0.001310326,0.001591005,0.001119653,0.001089633,0.000414695,0.002486446,0.000753347,0.000572078,0.004940657,0.007816510,0.582206011,0.000857104,0.555818319,0.124029316,0.153834596,0.002928788,0.000000469,0.000000151,0.000161424,0.000072223,0.000004341,0.000005742,0.000000470,0.000000381
0.000000803,0.000490333,0.000227219,0.463184834,0.503035307,0.608066201,0.000048119,0.000000382,0.000000233,0.362131506,0.458749861,0.549866080,0.532798529,0.058450498,0.086388960,0.076500244,0.054606117,0.016782986,0.010478794,0.563229978,0.561282098,0.002515183,0.000490686,0.000033515,0.021274084,0.140219867,0.000140493,0.024007879,0.001837351,0.001422713,0.000653385,0.000811061,0.000849227,0.001294533,0.002508826,0.003111202,0.009408228,0.008788421,0.308064640,0.001125954,0.225521088,0.083621539,0.027049981,0.002095902,0.000002093,0.000000810,0.000155508,0.000226194,0.000020762,0.000017293,0.000001034,0.000000336
0.000000984,0.000060863,0.000023379,0.712010503,0.836536765,0.897294998,0.000062749,0.000001062,0.000000437,0.564491749,0.494650573,0.782038152,0.772580326,0.076007269,0.097522847,0.069327623,0.049063742,0.004604711,0.002902924,0.538206816,0.484815329,0.001566754,0.000455653,0.000049913,0.017283879,0.105709836,0.000110745,0.013875713,0.000990397,0.001529866,0.003191800,0.003535527,0.000778871,0.002159449,0.003189537,0.003520197,0.013008086,0.020716336,0.095732823,0.000538808,0.253976107,0.044439487,0.063747257,0.007124460,0.000009441,0.000005048,0.000490089,0.000781738,0.000183059,0.000229557,0.000001559,0.000000536
0.000001123,0.000054518,0.000037070,0.719163895,0.848720789,0.844493449,0.000034695,0.000000728,0.000000585,0.653930068,0.582092881,0.848997951,0.838600874,0.095906220,0.113200761,0.072809815,0.044986863,0.003299698,0.002054410,0.533401847,0.585362673,0.001341157,0.000357546,0.000018731,0.014650191,0.078191273,0.000103845,0.015402517,0.002278140,0.001659278,0.001941553,0.003006545,0.000176087,0.007517127,0.000865954,0.000763802,0.015732849,0.030175617,0.108527623,0.000269360,0.639163017,0.225338235,0.273627281,0.004607870,0.000002546,0.000001340,0.000170414,0.000671075,0.000040950,0.000060508,0.000000924,0.000000325
0.000000541,0.000054905,0.000021368,0.738608599,0.853746176,0.883953571,0.000064978,0.000000711,0.000000292,0.594374776,0.492930025,0.766997576,0.761920094,0.089167751,0.077685960,0.053685091,0.073911011,0.004995137,0.003784018,0.524305463,0.493157923,0.001578339,0.000498390,0.000046518,0.026339926,0.106887676,0.000100082,0.007761554,0.001152680,0.002719072,0.001284064,0.001119863,0.000639397,0.005937804,0.004473973,0.003951999,0.007774844,0.017828586,0.144713253,0.000225107,0.337666929,0.093315825,0.064894021,0.006090466,0.000004237,0.000001991,0.000323983,0.000156361,0.000174490,0.000247967,0.000001150,0.000000304
0.000000920,0.000059390,0.000020166,0.798781872,0.810373187,0.855657756,0.000052876,0.000001183,0.000000335,0.621013343,0.486922115,0.766189516,0.765104234,0.086792752,0.072422184,0.062804081,0.078458175,0.004914445,0.004321895,0.548429608,0.539215922,0.001390154,0.000568354,0.000043548,0.007837851,0.094152093,0.000113175,0.014107278,0.000682478,0.000672093,0.026897253,0.028120970,0.000255064,0.004199435,0.001781024,0.001690880,0.008102405,0.012062113,0.043788929,0.000131932,0.247426197,0.042205025,0.099022597,0.006933787,0.000010445,0.000005120,0.001983328,0.001397041,0.000362000,0.000384248,0.000001056,0.000000533
0.000001071,0.000077309,0.000018069,0.780723274,0.765425324,0.831888437,0.000071042,0.000001345,0.000000241,0.633129954,0.526745617,0.761501074,0.767406762,0.112328112,0.052826688,0.044988938,0.101410210,0.005652606,0.004165627,0.503849864,0.533628345,0.001603128,0.000391792,0.000066277,0.004188345,0.098169111,0.000221802,0.005802805,0.000733239,0.000681332,0.043297023,0.049055457,0.000346223,0.005918606,0.004595224,0.003707189,0.006978022,0.019315943,0.014344000,0.000053337,0.171828508,0.041566573,0.074118569,0.018734798,0.000029389,0.000019101,0.002345234,0.002417790,0.002489763,0.002760082,0.000001332,0.000000738
