_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001483,0.001420600,0.004247799,0.061852947,0.718057990,0.239486530,0.000311528,0.000000633,0.000001170,0.020865686,0.032745328,0.258221000,0.237423077,0.002858318,0.569695473,0.558509111,0.002860179,0.034989141,0.029718095,0.073248036,0.049952783,0.074380375,0.016744027,0.002116624,0.002009259,0.012024757,0.000107204,0.000201429,0.006649425,0.004396016,0.000258200,0.000406255,0.035248246,0.000461631,0.204894587,0.272713065,0.025466669,0.075764827,0.019452484,0.000715126,0.005091165,0.003795777,0.003183654,0.054926910,0.225548521,0.319044977,0.001989141,0.046464678,0.594110370,0.727435052,0.000010187,0.000002350
0.000001510,0.001582300,0.004780444,0.045275938,0.740085721,0.238448575,0.000033715,0.000000251,0.000000358,0.024274845,0.034349449,0.275700331,0.258465707,0.004088943,0.410566151,0.401062310,0.007508868,0.032345556,0.025353206,0.061452005,0.037655946,0.055175852,0.016247794,0.000169238,0.000261521,0.000295080,0.000017414,0.000024981,0.002884090,0.004208920,0.003547900,0.006497595,0.002937839,0.000239463,0.001777615,0.001220117,0.034053814,0.150496230,0.005778003,0.002726338,0.001999298,0.000344094,0.074049890,0.282056481,0.047774624,0.097401395,0.003784648,0.044175312,0.294227511,0.415932596,0.000014103,0.000000981
0.000002695,0.002499230,0.006076695,0.033342142,0.708878517,0.261504799,0.000028308,0.000000235,0.000000457,0.018906947,0.027197493,0.336439401,0.307888776,0.002479747,0.498655766,0.494990200,0.005917354,0.026794691,0.019739302,0.055063266,0.030089188,0.074612059,0.019734962,0.000085087,0.000140839,0.000182866,0.000028448,0.000018940,0.004299322,0.004521616,0.002179506,0.004694841,0.001339120,0.000227980,0.000453215,0.000290837,0.041305229,0.172765315,0.005987623,0.005213378,0.001778372,0.000364148,0.248204425,0.380233169,0.128977373,0.250326693,0.002831066,0.080225930,0.280073285,0.375585437,0.000013426,0.000001128
0.000002695,0.002499230,0.006076695,0.033342142,0.708878517,0.261504799,0.000028308,0.000000235,0.000000457,0.018906947,0.027197493,0.336439401,0.307888776,0.002479747,0.498655766,0.494990200,0.005917354,0.026794691,0.019739302,0.055063266,0.030089188,0.074612059,0.019734962,0.000085087,0.000140839,0.000182866,0.000028448,0.000018940,0.004299322,0.004521616,0.002179506,0.004694841,0.001339120,0.000227980,0.000453215,0.000290837,0.041305229,0.172765315,0.005987623,0.005213378,0.001778372,0.000364148,0.248204425,0.380233169,0.128977373,0.250326693,0.002831066,0.080225930,0.280073285,0.375585437,0.000013426,0.000001128
0.000001824,0.003587119,0.005801130,0.032642800,0.695467114,0.243043900,0.000034999,0.000000235,0.000000370,0.020776924,0.032879036,0.299817652,0.271327466,0.001463557,0.636191607,0.634232879,0.002580753,0.029833963,0.022615531,0.060720693,0.035658158,0.071051680,0.015864057,0.000189232,0.000151087,0.000219029,0.000029045,0.000021464,0.002407262,0.004018461,0.001919619,0.003580212,0.003391647,0.000164696,0.001520509,0.001029058,0.023879191,0.117980629,0.009753594,0.005186767,0.001391088,0.000398871,0.056692883,0.261070073,0.088210300,0.182027802,0.003279872,0.064789914,0.336302549,0.460824728,0.000017372,0.000001045
0.000001267,0.002585100,0.005835169,0.043633096,0.677621961,0.206238702,0.000120191,0.000000325,0.000000432,0.022205791,0.036401812,0.307476282,0.279114485,0.001742281,0.633353353,0.624186575,0.002301332,0.027916105,0.020679358,0.078827918,0.038628574,0.070976213,0.013960239,0.000734971,0.000521887,0.003275127,0.000090916,0.000109069,0.005130844,0.008709979,0.000244910,0.000395249,0.024418751,0.000158773,0.025611533,0.023892177,0.021369589,0.085742377,0.013508388,0.003687108,0.001968867,0.001964889,0.004289625,0.103965312,0.098403431,0.168406546,0.001465982,0.017078744,0.432739347,0.600331903,0.000010671,0.000001269
0.000000736,0.002406873,0.006847548,0.050367378,0.648333311,0.161639392,0.000201381,0.000000336,0.000000603,0.017807148,0.030921824,0.267038256,0.252849311,0.002258601,0.641762495,0.637177825,0.001860214,0.034254484,0.025399620,0.068586819,0.031480946,0.088209495,0.016104447,0.001719249,0.001400918,0.012516828,0.000098574,0.000231116,0.005986110,0.011501567,0.000118492,0.000165114,0.097278610,0.000126966,0.156215429,0.164383814,0.010538167,0.039570611,0.038185779,0.003848074,0.002051139,0.002828221,0.000956428,0.035270348,0.114140920,0.185455084,0.001733667,0.015308317,0.509339809,0.740859032,0.000008781,0.000001121
0.000000861,0.002685535,0.012514289,0.019582473,0.635241926,0.130900845,0.000304110,0.000000297,0.000000707,0.015852530,0.031693429,0.330234379,0.300193906,0.001636557,0.664167047,0.656601846,0.002174779,0.029190959,0.019316057,0.069245949,0.032792084,0.107939593,0.015284329,0.002031681,0.002312686,0.026203113,0.000141912,0.000386174,0.007631315,0.012137023,0.000055097,0.000083874,0.110259332,0.000224858,0.194466561,0.205314294,0.010653256,0.044667903,0.036819115,0.002453269,0.002530245,0.005295577,0.000825912,0.034654140,0.108633727,0.189493179,0.000938253,0.012296321,0.519084811,0.757692337,0.000006376,0.000001352
0.000000909,0.003855171,0.011251396,0.014489880,0.595057249,0.128812373,0.000326007,0.000000343,0.000000723,0.013237064,0.028819822,0.346975416,0.313458443,0.001778255,0.654416919,0.646294236,0.002284536,0.028485768,0.017759632,0.062162474,0.030237412,0.129703030,0.016380562,0.002195041,0.002687552,0.028554074,0.000147702,0.000330436,0.005522208,0.008545781,0.000130683,0.000209659,0.073105812,0.000224136,0.225380033,0.235636577,0.010350172,0.049884386,0.022998350,0.001793291,0.002467269,0.003977675,0.001086523,0.050895244,0.087476417,0.164093837,0.001320565,0.022364315,0.529605031,0.774146438,0.000008176,0.000001670
0.000000968,0.004227400,0.011353496,0.017989889,0.579815805,0.134441167,0.000342989,0.000000373,0.000000753,0.013972905,0.027471311,0.331604660,0.300647944,0.001892978,0.643263280,0.634664416,0.002559426,0.029940588,0.019617558,0.075452514,0.034647763,0.121774942,0.017761517,0.002220320,0.002730846,0.025618011,0.000140245,0.000312907,0.004950045,0.006844756,0.000094487,0.000149199,0.072570004,0.000210076,0.222946048,0.245132461,0.009221037,0.040031161,0.032370050,0.002201767,0.002236425,0.004111780,0.000963809,0.045529827,0.135223985,0.235557035,0.001345833,0.027407261,0.535673082,0.766580760,0.000008455,0.000001821
0.000001234,0.003628756,0.014431261,0.017047593,0.605195522,0.118670963,0.000258209,0.000000356,0.000000787,0.013685221,0.025303410,0.307535797,0.273429394,0.001278596,0.731786847,0.719216108,0.001526679,0.030832743,0.023123270,0.066902608,0.036762197,0.121556826,0.019797456,0.001822843,0.002223246,0.011776244,0.000087702,0.000252499,0.005157593,0.005633929,0.000166197,0.000264348,0.045966867,0.000287865,0.110792413,0.118114106,0.015122339,0.052518066,0.023123328,0.001381955,0.002272094,0.003533013,0.001585713,0.048610728,0.180743799,0.269327462,0.001768243,0.030232497,0.456816137,0.652504802,0.000008997,0.000001843
