_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000008023,0.272709608,0.279840171,0.027400164,0.003275863,0.002534888,0.000485625,0.000000538,0.000000795,0.134778783,0.345077425,0.653473616,0.581728816,0.265711755,0.013630967,0.018956002,0.229795411,0.012641847,0.003891475,0.456269026,0.135086149,0.010042595,0.000896903,0.000835020,0.004802912,0.169507071,0.000058524,0.012040392,0.018705236,0.011059590,0.006423752,0.008662445,0.001743545,0.000070405,0.030597469,0.068511523,0.186491430,0.112130381,0.000167180,0.001497422,0.037854660,0.031935629,0.007307522,0.012400789,0.041737784,0.047370657,0.004370352,0.028678194,0.227591321,0.263448596,0.000000904,0.000007761
0.000004708,0.385699421,0.290078342,0.038877327,0.001245758,0.001379029,0.000360830,0.000000392,0.000000588,0.146518409,0.326758057,0.626694798,0.574517012,0.274213970,0.013737701,0.018021077,0.237552598,0.011313034,0.004410913,0.389743537,0.164303035,0.007442150,0.000881248,0.000912685,0.010486589,0.212127492,0.000043069,0.012741433,0.017644750,0.020843763,0.001975019,0.002081834,0.002864003,0.000120651,0.038595855,0.071619712,0.149176717,0.122699395,0.000233150,0.001147617,0.025041189,0.033241112,0.003741068,0.009320107,0.034956761,0.041939821,0.003426730,0.009989601,0.125587285,0.178635523,0.000000669,0.000005153
0.000006768,0.210113257,0.144377619,0.068076015,0.004126029,0.003616173,0.000453069,0.000000522,0.000000655,0.256535321,0.333492190,0.609795451,0.566457391,0.209162027,0.018286021,0.027829736,0.173056498,0.010493236,0.004984530,0.327729404,0.144621432,0.004150729,0.000727170,0.000858633,0.007010461,0.194875509,0.000051233,0.013485600,0.023108838,0.026215537,0.002566161,0.003309371,0.001870871,0.000157612,0.038229674,0.066616558,0.219034269,0.213146225,0.000146732,0.000817933,0.040242810,0.038383324,0.007307716,0.011211740,0.056971595,0.065686874,0.002707280,0.016130971,0.203783616,0.198143557,0.000000865,0.000006892
0.000004299,0.153649390,0.265542686,0.039024174,0.005748582,0.001496602,0.000097390,0.000000219,0.000000169,0.138583511,0.302017331,0.480113834,0.438524902,0.264026940,0.011962914,0.020404795,0.226395950,0.023946783,0.010791330,0.492673665,0.240580454,0.008458159,0.001162838,0.000109873,0.004947878,0.079792991,0.000034668,0.024690162,0.016105836,0.060664807,0.000031389,0.000039207,0.005173989,0.000642729,0.002155434,0.001779695,0.064670205,0.144429848,0.003468189,0.002814293,0.036612079,0.049168959,0.018516118,0.043355912,0.005958976,0.012525317,0.000189273,0.000706838,0.054967202,0.120883539,0.000000260,0.000001011
0.000003820,0.207446709,0.275923759,0.047448259,0.003027872,0.001305100,0.000108350,0.000000250,0.000000203,0.232818648,0.350613713,0.657322884,0.596051276,0.247487769,0.015471496,0.019346360,0.210511103,0.009557792,0.004417185,0.436030835,0.219795465,0.004421453,0.000736712,0.000138769,0.003238548,0.085066810,0.000061700,0.018741237,0.016782459,0.067665398,0.000067698,0.000071661,0.003334804,0.000219958,0.003223466,0.002814518,0.081004657,0.145871714,0.002051575,0.007191067,0.048610371,0.061800506,0.016369646,0.032858811,0.005972577,0.011332834,0.000341828,0.000726929,0.041412752,0.090495579,0.000000319,0.000001226
0.000006124,0.385961443,0.445257783,0.009664003,0.001361236,0.000665416,0.000110655,0.000000141,0.000000291,0.301183224,0.430505574,0.671253324,0.616060972,0.240552664,0.016652580,0.022023583,0.206026018,0.010254882,0.004382698,0.549857259,0.250279278,0.003312668,0.000440820,0.000110998,0.005205395,0.091728605,0.000061579,0.025779974,0.045532517,0.078285582,0.000031543,0.000048160,0.002029723,0.000623561,0.001579779,0.001708779,0.125355214,0.198869303,0.002150812,0.002698412,0.078434132,0.125148088,0.019369662,0.018108148,0.004120081,0.008206509,0.000126989,0.001301950,0.009133811,0.017473524,0.000000286,0.000001212
0.000009632,0.265391976,0.453318298,0.030653905,0.002797642,0.000780396,0.000026307,0.000000105,0.000000185,0.272004753,0.333913207,0.596587002,0.539971709,0.231020331,0.018897856,0.022531545,0.223964170,0.013904295,0.009456881,0.370121300,0.333350897,0.003386944,0.000979070,0.000006069,0.004255841,0.014110674,0.000007175,0.005491403,0.051975511,0.059796412,0.000102482,0.000150194,0.000069651,0.002631247,0.000018099,0.000008296,0.319122225,0.312761903,0.000503102,0.001223426,0.076737747,0.134349883,0.659917712,0.096429743,0.065695606,0.060298864,0.001012097,0.001722105,0.005076431,0.007354430,0.000000138,0.000000972
0.000007496,0.165297195,0.484360188,0.029774409,0.004316052,0.000836680,0.000031518,0.000000074,0.000000164,0.304680020,0.378076136,0.650897384,0.585301161,0.133710012,0.037528966,0.034885988,0.131543815,0.010310525,0.007325600,0.446914375,0.373276412,0.002873908,0.000600688,0.000008782,0.003353408,0.011200115,0.000006938,0.003395421,0.061205074,0.096185602,0.000050580,0.000067026,0.000086508,0.002640795,0.000023903,0.000012652,0.293105841,0.284951121,0.000614951,0.001436127,0.059987247,0.138610780,0.487558186,0.068440907,0.071308926,0.070087180,0.000780230,0.001046913,0.006465535,0.010839630,0.000000169,0.000000724
0.000006669,0.065667205,0.084775679,0.117331095,0.011799330,0.007375406,0.000026145,0.000000160,0.000000377,0.334204108,0.225819737,0.595862269,0.547424376,0.117870122,0.045891065,0.034004465,0.121650673,0.009556799,0.007655772,0.202444673,0.174365371,0.002274441,0.001880802,0.000009138,0.003793155,0.013959786,0.000007337,0.003439674,0.154945657,0.054088276,0.000126811,0.000233710,0.000064345,0.007470353,0.000020743,0.000013251,0.470043004,0.365091354,0.000355380,0.000282440,0.135178849,0.131162614,0.666988373,0.058296800,0.065438166,0.036902346,0.001210724,0.002135898,0.002496477,0.001576994,0.000000229,0.000001125
0.000005578,0.004077201,0.004031279,0.282879949,0.164188147,0.071323119,0.000087258,0.000000294,0.000000441,0.420395166,0.482178807,0.762301445,0.738428831,0.091161676,0.171254471,0.082394868,0.023675252,0.008024199,0.003345669,0.553047299,0.493743867,0.002062368,0.000604075,0.000055936,0.006756912,0.166770369,0.000167351,0.096445248,0.072928496,0.036259145,0.000016647,0.000042593,0.003220080,0.123424649,0.000999808,0.000929225,0.035002694,0.088234782,0.015024349,0.000028253,0.128962189,0.166833743,0.043594610,0.045971472,0.001040641,0.001974423,0.000021296,0.001312132,0.007886292,0.006005625,0.000000363,0.000000844
0.000006963,0.022997055,0.014026339,0.121594504,0.050731692,0.035682298,0.000110154,0.000000328,0.000000838,0.521386981,0.555833161,0.764471769,0.731029212,0.083359756,0.167782560,0.093697898,0.021933973,0.005954100,0.003229026,0.524158955,0.555362105,0.000990803,0.000323794,0.000106366,0.002995898,0.104685403,0.000153870,0.024949653,0.074085534,0.035307173,0.000138878,0.000249862,0.001632618,0.178406239,0.001496400,0.002485029,0.090842605,0.147407487,0.001934858,0.000006029,0.213444456,0.163840517,0.037537076,0.023314178,0.003151274,0.004170836,0.000149595,0.004130895,0.009721615,0.005915372,0.000000375,0.000001273
0.000004717,0.008980441,0.011226144,0.144054845,0.128862023,0.047818676,0.000086021,0.000000182,0.000000774,0.542181015,0.597302079,0.764592230,0.727150321,0.057226464,0.238025635,0.161618814,0.011614889,0.005788573,0.003354582,0.496398181,0.560353160,0.001048963,0.000268656,0.000140512,0.005271954,0.084562615,0.000080631,0.032952476,0.073089346,0.031443138,0.000047878,0.000087877,0.002189707,0.268131167,0.001054106,0.001594856,0.093996622,0.135808393,0.002206201,0.000005909,0.087957613,0.147575364,0.010497807,0.010596598,0.007835818,0.011222428,0.000200328,0.004210711,0.005230790,0.003586745,0.000000469,0.000000873
0.000013721,0.064958334,0.023941630,0.037331808,0.117755957,0.069176748,0.000062210,0.000000446,0.000000836,0.729715824,0.749384284,0.851055384,0.834615588,0.140806347,0.144448146,0.055046234,0.045205146,0.003070665,0.001870957,0.612288117,0.737965703,0.000467396,0.000226475,0.000041938,0.001094260,0.028912727,0.000149313,0.011096732,0.071246684,0.032243855,0.000156640,0.000298315,0.001806953,0.222520888,0.000354742,0.000407679,0.071832716,0.132470459,0.004437987,0.000015117,0.098304398,0.040290322,0.136577994,0.087247103,0.019226041,0.038829822,0.000216077,0.010267454,0.038602360,0.028771807,0.000000440,0.000001607
0.000015267,0.092456952,0.037368737,0.062724926,0.032103665,0.050150651,0.000047403,0.000000662,0.000002107,0.689529598,0.627283692,0.865601897,0.854061186,0.189827114,0.104903787,0.039796922,0.093561441,0.001958021,0.001649575,0.616370201,0.542054474,0.000455982,0.000531053,0.000044689,0.000454721,0.011779143,0.000304741,0.001774315,0.239076585,0.056886118,0.000072516,0.000170500,0.001692879,0.221865341,0.000220528,0.000316633,0.100686982,0.158012196,0.005194501,0.000018774,0.066927060,0.029167743,0.215337828,0.124910519,0.044135608,0.079896189,0.000141239,0.024059180,0.047754012,0.030319847,0.000000910,0.000002136
0.000005154,0.039461363,0.034482453,0.109047092,0.038520098,0.026614133,0.000018227,0.000000581,0.000001781,0.638680756,0.526225030,0.835286915,0.820638657,0.133896261,0.124477610,0.062667646,0.047884308,0.002096382,0.002137271,0.553486645,0.469292730,0.000537691,0.000572020,0.000036474,0.003216316,0.024721829,0.000136401,0.004219647,0.067310870,0.040421519,0.000026792,0.000060311,0.004488582,0.090385884,0.000280956,0.000328555,0.018096238,0.053841237,0.033620816,0.000069356,0.103124969,0.027422801,0.108794540,0.149920866,0.001184085,0.003205147,0.000044708,0.010095012,0.014271773,0.011417528,0.000000794,0.000000860
0.000008492,0.216996461,0.124422885,0.004521153,0.025490245,0.036530692,0.000005982,0.000000337,0.000001467,0.458659112,0.338780284,0.739089429,0.724744022,0.070646502,0.134697795,0.133470923,0.053954814,0.006088385,0.004813641,0.555266023,0.318327814,0.001429997,0.003309926,0.000012838,0.000061739,0.000968631,0.000613125,0.000230823,0.118494868,0.011653192,0.000041187,0.000192406,0.003629432,0.511291862,0.000028532,0.000031867,0.017882874,0.030158680,0.190569714,0.000013420,0.006494117,0.001477772,0.667733371,0.335525095,0.009358790,0.023220150,0.000054231,0.176164240,0.135662317,0.041106593,0.000002735,0.000000852
0.000008089,0.220194742,0.127585173,0.004548468,0.025099067,0.035166059,0.000005913,0.000000359,0.000001467,0.468085706,0.329749882,0.750155449,0.737214804,0.070298895,0.136383593,0.133655444,0.054783110,0.005539090,0.004572399,0.554060459,0.319544852,0.001350979,0.003481280,0.000013170,0.000063421,0.000992177,0.000613382,0.000217915,0.113331266,0.011601901,0.000058371,0.000270070,0.003036498,0.515801013,0.000029017,0.000033369,0.018320613,0.027448481,0.158047244,0.000010855,0.006816571,0.001367678,0.679000735,0.340951920,0.007937360,0.018081645,0.000064712,0.188044757,0.120132208,0.035330739,0.000002761,0.000000928
0.000008298,0.229615912,0.096893124,0.008764580,0.026163081,0.039374374,0.000004189,0.000000371,0.000001756,0.460366338,0.246396348,0.690308213,0.687115312,0.050286338,0.167757183,0.165334404,0.044772893,0.006349496,0.007176382,0.423675686,0.285835564,0.001394437,0.006142454,0.000011214,0.000064202,0.001001845,0.000554195,0.000225182,0.111227915,0.012847155,0.000053793,0.000295388,0.002980742,0.503694892,0.000026526,0.000022099,0.011924975,0.030292235,0.190005481,0.000012295,0.007032909,0.001365954,0.750298202,0.372704655,0.005130757,0.015811762,0.000046361,0.259671360,0.095541604,0.035059933,0.000002641,0.000000904
0.000012420,0.436301589,0.282879114,0.001388035,0.008920522,0.014805793,0.000004021,0.000000251,0.000001716,0.337592393,0.213186771,0.547089934,0.539130807,0.040530238,0.197065383,0.206494391,0.026962679,0.013509780,0.011077367,0.507942677,0.243954822,0.002752538,0.006048379,0.000009843,0.000016054,0.000506943,0.001846571,0.000273936,0.201174781,0.021921217,0.000004016,0.000026432,0.013515684,0.333496720,0.000017776,0.000017983,0.004807535,0.018517338,0.828283966,0.000105747,0.004100219,0.001097072,0.792625189,0.461712927,0.003505332,0.018268989,0.000007343,0.164730638,0.238293901,0.101626351,0.000003508,0.000000369
0.000007425,0.240024462,0.147690043,0.009482868,0.008524632,0.016936548,0.000017169,0.000000386,0.000001676,0.176406771,0.134667307,0.341771126,0.331550270,0.011265893,0.391142637,0.403475493,0.012428045,0.034285583,0.022603605,0.466867894,0.201010525,0.005830885,0.007624850,0.000064156,0.000028877,0.001594598,0.001083425,0.000372361,0.060187448,0.020421965,0.000032500,0.000100428,0.010356593,0.185395047,0.000257117,0.000206540,0.009903351,0.043145977,0.145181268,0.000028877,0.007434497,0.001358821,0.182870939,0.267709345,0.013531039,0.054618765,0.000117018,0.112575449,0.134287819,0.111448333,0.000002570,0.000000678
