_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000012508,0.000928430,0.000508836,0.642562509,0.176588818,0.274375767,0.002118348,0.000011009,0.000004998,0.279518396,0.137846947,0.268883169,0.222451180,0.016308824,0.297945857,0.292931110,0.017699748,0.065314837,0.067633972,0.618536890,0.526697516,0.004050020,0.007512401,0.003370552,0.000512372,0.145804733,0.001825507,0.007118273,0.034614820,0.006394350,0.001905855,0.002728076,0.001253859,0.000678058,0.147037134,0.413790226,0.174448147,0.103671148,0.000496947,0.000281038,0.071872368,0.315607935,0.008201885,0.006129628,0.852310836,0.747969151,0.024464177,0.101817109,0.496403426,0.310165405,0.000001635,0.000011236
0.000010125,0.000952020,0.000654451,0.613644361,0.182323396,0.252228230,0.001935051,0.000009573,0.000005087,0.290288448,0.134274364,0.286705226,0.235967100,0.015207848,0.292650938,0.286405981,0.018624868,0.058169160,0.062783509,0.592002749,0.526587665,0.003666190,0.007657692,0.003336713,0.000737780,0.128142416,0.000844972,0.006509704,0.024007443,0.004519078,0.004560326,0.005832143,0.000867978,0.000946624,0.128864810,0.366072685,0.160590351,0.082003318,0.000406456,0.000137919,0.087597586,0.308329165,0.008528877,0.004920507,0.845481396,0.691497087,0.055429354,0.121730208,0.491290480,0.299168915,0.000001336,0.000010431
0.000010717,0.001122316,0.000754897,0.595756054,0.169494033,0.243501872,0.001999593,0.000009722,0.000005017,0.287261039,0.127728760,0.293895334,0.242546827,0.016263211,0.277559549,0.271402121,0.020584513,0.057172161,0.060954377,0.598397255,0.532903314,0.003798299,0.008023736,0.003362190,0.000685269,0.129663944,0.000892052,0.006902802,0.026005775,0.004654723,0.004222848,0.005494066,0.000875185,0.001028643,0.128248855,0.366583377,0.163147673,0.082709789,0.000422085,0.000132398,0.084928028,0.300733268,0.008711220,0.004885385,0.848469675,0.696377039,0.052886914,0.121249869,0.520172000,0.318576992,0.000001321,0.000010980
0.000011820,0.001001596,0.000716965,0.591911197,0.172817498,0.254993558,0.001428504,0.000008178,0.000004377,0.298382729,0.140377864,0.285706013,0.236615136,0.019029925,0.239971787,0.235231310,0.023204831,0.054350916,0.058816426,0.576409578,0.514144301,0.003323107,0.005980826,0.002342063,0.000802695,0.085315019,0.000416059,0.004891065,0.023569861,0.003547194,0.008436287,0.011343631,0.000669641,0.001035042,0.065770745,0.201391384,0.148131505,0.065640956,0.000514947,0.000114287,0.110793732,0.224713355,0.013522062,0.006065031,0.798162937,0.599583745,0.047054481,0.128182888,0.389116704,0.232404366,0.000001273,0.000009554
0.000014534,0.000956439,0.000676364,0.595668137,0.159516096,0.266133726,0.001532903,0.000010923,0.000006069,0.301376492,0.134453282,0.361550629,0.309256554,0.020163501,0.240910918,0.238535360,0.022041442,0.040739231,0.043504670,0.611639261,0.542188764,0.003581329,0.006301440,0.002486004,0.000937793,0.078784786,0.000369112,0.004839316,0.025148006,0.002383470,0.013673538,0.020036064,0.000597132,0.000921614,0.055918537,0.202412039,0.161295950,0.049287211,0.000530005,0.000128515,0.127205491,0.241852865,0.017345997,0.007641349,0.774611831,0.518870473,0.057911869,0.180363894,0.430821717,0.236092269,0.000001517,0.000012048
0.000012042,0.001016386,0.000702511,0.617301345,0.148082897,0.228351459,0.001444827,0.000011675,0.000006170,0.280401260,0.142246366,0.337546825,0.290090889,0.020271303,0.252739459,0.249974445,0.019616937,0.045571927,0.047013573,0.584402680,0.532684684,0.004003131,0.006236718,0.003108052,0.000740123,0.070715867,0.000490544,0.004100603,0.021791907,0.002919906,0.014643290,0.020551803,0.000666250,0.000631974,0.086307935,0.274810553,0.157405406,0.058639575,0.000558815,0.000185125,0.105952010,0.209493116,0.017675864,0.006735195,0.762449801,0.528732836,0.067977294,0.204415753,0.505946517,0.299933910,0.000001752,0.000010555
0.000009528,0.001001750,0.000850789,0.585449219,0.166231811,0.244579524,0.001655871,0.000010937,0.000007236,0.307742774,0.143405303,0.310089469,0.269044667,0.020303011,0.257006049,0.253101230,0.021525683,0.053511940,0.055573449,0.604639828,0.536226273,0.003741391,0.006995922,0.004024836,0.000702065,0.075918950,0.000583543,0.003621980,0.019791691,0.002475654,0.011666419,0.015066932,0.000701133,0.000995571,0.121632643,0.362384796,0.165799201,0.063014612,0.000408676,0.000114491,0.082591072,0.247508049,0.011168034,0.005104476,0.818614244,0.606668591,0.121066488,0.252272367,0.514276743,0.305574387,0.000001844,0.000010435
0.000009961,0.001041209,0.000739448,0.637071967,0.164352551,0.250975490,0.001556503,0.000011648,0.000007454,0.293046772,0.138268054,0.294053435,0.257324606,0.019169429,0.239493862,0.240924582,0.025797423,0.055395052,0.056603070,0.584117174,0.507483482,0.003972956,0.007023521,0.004145198,0.000569163,0.073600434,0.000668327,0.003815273,0.018237915,0.002285461,0.014719614,0.019270085,0.000722684,0.000740948,0.114024520,0.343692511,0.157067314,0.055429332,0.000485852,0.000144974,0.081442721,0.212898195,0.012301950,0.004801857,0.778736055,0.547350764,0.129176095,0.284567654,0.493658990,0.298287451,0.000001854,0.000010331
0.000010069,0.001273091,0.000890777,0.601897120,0.140847787,0.208223581,0.001374782,0.000011416,0.000005833,0.286489218,0.139688805,0.307496518,0.263086170,0.020592120,0.228307262,0.227357596,0.025904700,0.052121107,0.053842247,0.620978057,0.519379437,0.003810751,0.006461842,0.003934904,0.000359260,0.064872131,0.001124558,0.003280526,0.020327024,0.002616514,0.007659685,0.010625318,0.000996421,0.000492901,0.122433752,0.388424277,0.144897684,0.054007780,0.000682669,0.000287450,0.051745046,0.171485171,0.010539584,0.006231856,0.778360844,0.555943608,0.058805749,0.194460601,0.451388806,0.268617034,0.000002294,0.000011506
0.000008168,0.001862064,0.001451581,0.497931689,0.118367098,0.205223188,0.001446714,0.000010938,0.000007026,0.289847106,0.156989962,0.316688448,0.283747017,0.021071102,0.198098123,0.213392660,0.035881929,0.050954834,0.049890034,0.622128367,0.485640168,0.003810231,0.006193615,0.005251538,0.000544730,0.057567883,0.000808701,0.002507277,0.021827653,0.001970807,0.004971394,0.007571750,0.001433934,0.000613779,0.157177716,0.468516737,0.119388938,0.042696156,0.000919514,0.000246964,0.032561161,0.135391042,0.006932716,0.005724976,0.786572933,0.539281368,0.053707957,0.248454824,0.472481966,0.238789260,0.000003071,0.000014668
