_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000004053,0.315564483,0.276330620,0.001876086,0.003176055,0.007513838,0.000226069,0.000000491,0.000001340,0.149426118,0.061186541,0.141346961,0.128256097,0.014549664,0.225032821,0.210471511,0.025753496,0.062833935,0.069628537,0.375980556,0.387321472,0.004575348,0.006157971,0.000768656,0.000266830,0.084818490,0.001674291,0.001530838,0.034909267,0.001037668,0.001361655,0.001648979,0.001848105,0.017419020,0.032205038,0.065371551,0.117044263,0.018125525,0.000399047,0.000007041,0.011986213,0.026272964,0.001602353,0.035880085,0.018657967,0.007586505,0.011833812,0.009245032,0.058451694,0.033046689,0.000001233,0.000002780
0.000004063,0.292003870,0.251920730,0.002131510,0.003440001,0.008451618,0.000211607,0.000000520,0.000001367,0.143009767,0.056770634,0.140213743,0.126009181,0.015971040,0.214754015,0.199950904,0.025596751,0.062626489,0.071007378,0.361623168,0.383086652,0.004648063,0.006679094,0.000713109,0.000354815,0.086282559,0.001276291,0.001652886,0.032230519,0.001080874,0.001275167,0.001575583,0.001969062,0.019347254,0.030252168,0.057741869,0.109611824,0.019984297,0.000428601,0.000006672,0.012226610,0.024796493,0.001705410,0.038585164,0.018783227,0.008068321,0.011234959,0.009731122,0.059580356,0.033848941,0.000001222,0.000002757
0.000004751,0.268312365,0.217007831,0.002541940,0.003383675,0.010338857,0.000232302,0.000000664,0.000001399,0.148213044,0.070926115,0.110856280,0.103614353,0.015626954,0.221375197,0.205740690,0.025585644,0.081779927,0.089713670,0.400150597,0.420514196,0.004444160,0.005508691,0.000725031,0.000428779,0.111229584,0.001245407,0.002415668,0.026039826,0.000869290,0.002183332,0.002773160,0.002315145,0.022735992,0.032893751,0.061068192,0.086453661,0.016787456,0.000529875,0.000004607,0.012583527,0.019053658,0.002019822,0.042923663,0.018656498,0.008184762,0.013558972,0.014093742,0.082098953,0.044323958,0.000001159,0.000003158
0.000004251,0.259031653,0.212905809,0.002257345,0.004346111,0.012240462,0.000287335,0.000000632,0.000001285,0.153469488,0.068091899,0.096367776,0.085102409,0.011909753,0.256402731,0.238806188,0.022569792,0.095696464,0.105456881,0.379326999,0.457096905,0.004238893,0.005836563,0.000832463,0.000468680,0.166950285,0.002150650,0.002829810,0.026258016,0.001662376,0.001226331,0.001411147,0.002434614,0.012833633,0.057904601,0.095332645,0.100925468,0.023981454,0.000427322,0.000008898,0.012516204,0.027250044,0.001474783,0.034552079,0.017256875,0.008461126,0.010569158,0.008369552,0.061016783,0.036509659,0.000001101,0.000003152
0.000003640,0.220972687,0.180617794,0.003864964,0.007168556,0.016821822,0.000278271,0.000000667,0.000000990,0.158730134,0.057456188,0.075294890,0.060359977,0.013968110,0.226678789,0.215437755,0.023343856,0.118132219,0.130172864,0.355625153,0.444707155,0.004132541,0.006232080,0.000828775,0.000241057,0.156183168,0.003941636,0.001936158,0.018576432,0.001852997,0.001450597,0.001438399,0.002293576,0.007768718,0.083162643,0.123740196,0.101613812,0.024771033,0.000372579,0.000014318,0.011521164,0.028030273,0.001231103,0.032104332,0.015728876,0.007747666,0.013911664,0.005688995,0.051218085,0.035349712,0.000001288,0.000003006
0.000003952,0.179184482,0.145742700,0.004160149,0.010470460,0.022768937,0.000244536,0.000000756,0.000001029,0.132883891,0.052524257,0.080597676,0.067531385,0.013007461,0.233402997,0.216385245,0.023270778,0.107011467,0.121341653,0.362991184,0.431103349,0.004906589,0.007378338,0.000684074,0.000295709,0.135748640,0.002333549,0.002079946,0.013111839,0.002120430,0.001202690,0.001274882,0.002620122,0.007562250,0.055461299,0.072672628,0.083266661,0.029155770,0.000468435,0.000017024,0.010559155,0.022240663,0.001344595,0.039253734,0.019724721,0.011340220,0.012298845,0.008455998,0.048555456,0.038607296,0.000001250,0.000003159
0.000004005,0.203551069,0.172042295,0.003159944,0.007952506,0.016577203,0.000192246,0.000000685,0.000001202,0.128274754,0.053324569,0.095748432,0.085333496,0.013137185,0.237866163,0.213567108,0.024575643,0.090570807,0.102920324,0.377257824,0.396479517,0.005062284,0.007647803,0.000621197,0.000399244,0.083984584,0.000862745,0.001790393,0.013894230,0.001492034,0.002104222,0.002375870,0.002004057,0.021914629,0.027462792,0.036200427,0.069932900,0.027193483,0.000506069,0.000005278,0.012270184,0.014789534,0.001666907,0.040503625,0.024212545,0.013382645,0.018472789,0.016068431,0.030525956,0.024378143,0.000001126,0.000003069
0.000005435,0.125459358,0.096923038,0.006911273,0.016101720,0.031524308,0.000248043,0.000000778,0.000001667,0.124613851,0.047756184,0.080498263,0.064974375,0.012905801,0.243543059,0.220770031,0.023688640,0.110836588,0.126071006,0.395681798,0.458516061,0.005302228,0.009048386,0.000748275,0.000289072,0.066528752,0.000943970,0.001261721,0.028668778,0.001538620,0.001814216,0.002128276,0.001310957,0.034547094,0.028800100,0.041248959,0.142218471,0.038187470,0.000224933,0.000003407,0.013592470,0.021657912,0.001867460,0.036235124,0.073634818,0.033257440,0.031747941,0.021158338,0.038907073,0.029276645,0.000001434,0.000003937
0.000004004,0.154466584,0.118985035,0.004846782,0.013654605,0.028667869,0.000236693,0.000000747,0.000001324,0.127019241,0.045335066,0.081457727,0.066454656,0.013460333,0.222877249,0.209435016,0.028848732,0.109235533,0.124364696,0.397658795,0.436819345,0.005264725,0.009722740,0.000813595,0.000264044,0.064595707,0.001169569,0.000996353,0.019376438,0.001621134,0.001530555,0.001636644,0.001864476,0.022334090,0.038150180,0.053439584,0.105902001,0.029485740,0.000359130,0.000005430,0.009396703,0.016133031,0.001397726,0.039350398,0.058551233,0.026893977,0.029281102,0.015440891,0.045725439,0.035944503,0.000001408,0.000003466
0.000003607,0.223923862,0.201925263,0.001838755,0.008564669,0.018021857,0.000226676,0.000000689,0.000001250,0.130939081,0.053739622,0.098906010,0.076789111,0.013591172,0.225619137,0.209637925,0.026490135,0.090792052,0.106362864,0.312141508,0.451280862,0.004668150,0.008358406,0.000718436,0.000557331,0.104582615,0.001096889,0.001371082,0.014818257,0.001186630,0.002117713,0.002182863,0.001783395,0.016994698,0.040348615,0.058381520,0.095361650,0.021276716,0.000381159,0.000006448,0.010861356,0.022844881,0.001364558,0.044690166,0.028978147,0.011594379,0.027463797,0.010333419,0.041504044,0.029981505,0.000001246,0.000003370
0.000003312,0.234497920,0.202041417,0.001920388,0.007167609,0.015783353,0.000201781,0.000000635,0.000001075,0.142267838,0.062425606,0.086875238,0.070442647,0.013072230,0.228688031,0.213510200,0.027006499,0.104422346,0.118086688,0.357925624,0.473851830,0.004276382,0.006691364,0.000722163,0.000524329,0.113838077,0.001272940,0.001605413,0.015668318,0.001222898,0.001396917,0.001458139,0.002452831,0.014573927,0.039171655,0.060884696,0.082906492,0.017392794,0.000576572,0.000008546,0.009589686,0.020512154,0.001079571,0.038322855,0.018179115,0.007464815,0.017417902,0.008193693,0.031873196,0.021797007,0.000001205,0.000002985
0.000003826,0.190340132,0.151933774,0.003055227,0.011412006,0.022827439,0.000213999,0.000000712,0.000001446,0.119020134,0.050858259,0.113239594,0.098585233,0.009314839,0.291610390,0.260077149,0.021204513,0.075272642,0.088822663,0.348801970,0.460185140,0.005146934,0.008828629,0.000657346,0.000647438,0.119851008,0.000997622,0.001506033,0.012027234,0.001393070,0.003311922,0.003532815,0.001344784,0.026440017,0.037949223,0.047732975,0.082753666,0.029583884,0.000268512,0.000003653,0.016179144,0.031040387,0.001647364,0.037742715,0.013030966,0.006150963,0.020424185,0.012546035,0.022459390,0.016281264,0.000001183,0.000004102
0.000003937,0.220601201,0.202646986,0.001879297,0.008834961,0.015555218,0.000191964,0.000000752,0.000001232,0.122061916,0.051787574,0.126675144,0.109076373,0.012944832,0.237085551,0.216249451,0.026122546,0.068013072,0.082447737,0.347658873,0.518680215,0.005121676,0.008430645,0.000551728,0.000505640,0.106675029,0.001042012,0.001557286,0.011408370,0.001548376,0.004335664,0.004424709,0.001066616,0.014075467,0.030534312,0.040899873,0.094680779,0.030169936,0.000293557,0.000007069,0.020621948,0.025235627,0.002337332,0.037592340,0.011952141,0.005661559,0.020303085,0.010892177,0.018759485,0.014446434,0.000000978,0.000003755
0.000004318,0.234619871,0.225205123,0.001811695,0.009041876,0.014020358,0.000184024,0.000000781,0.000001260,0.125981688,0.053030882,0.122829325,0.103282973,0.011576174,0.250928104,0.224504709,0.024943389,0.068692476,0.082542732,0.293285489,0.438944459,0.005148521,0.008020427,0.000511277,0.000331044,0.090541467,0.001362358,0.001190232,0.009774170,0.001065638,0.006495315,0.007064460,0.001172822,0.009159741,0.030367093,0.043743204,0.086821310,0.024180301,0.000383587,0.000010422,0.018538484,0.020212078,0.002938053,0.054888837,0.009827072,0.004831478,0.019233175,0.013551742,0.031192154,0.025004022,0.000001264,0.000003949
0.000004135,0.207710162,0.176626936,0.004161079,0.010685010,0.019894503,0.000159278,0.000000944,0.000001131,0.139077514,0.049870204,0.106268808,0.088259950,0.012340725,0.232766226,0.211802587,0.027707223,0.080086447,0.094797276,0.343615115,0.434347153,0.004686789,0.008253371,0.000450456,0.000216909,0.074967124,0.001796391,0.000806638,0.006454670,0.000713222,0.012641210,0.013909008,0.001139920,0.010359673,0.032599553,0.044487301,0.052401237,0.015543494,0.000559440,0.000008244,0.016753491,0.015126630,0.004046780,0.071142644,0.005065913,0.002531552,0.019111997,0.014855252,0.048943732,0.037117537,0.000001561,0.000004314
0.000003732,0.187059537,0.162211016,0.003909084,0.013087612,0.020496616,0.000151254,0.000000759,0.000001027,0.133113369,0.046271633,0.116803303,0.096426077,0.010586904,0.260514915,0.231006935,0.024444889,0.072581895,0.088074267,0.323931754,0.442661136,0.004985160,0.008827238,0.000452205,0.000233039,0.081351794,0.001749815,0.001037848,0.007480609,0.000994145,0.005175074,0.005538682,0.001384029,0.012653536,0.027789045,0.035741962,0.059989437,0.019159084,0.000515237,0.000008680,0.013759587,0.019325092,0.002645769,0.053740092,0.006435641,0.003236138,0.015452428,0.010599094,0.032548033,0.024889732,0.000001323,0.000003745
0.000003557,0.197543606,0.170366555,0.003212537,0.012558466,0.020407153,0.000152439,0.000000722,0.000001107,0.145566836,0.050818946,0.118218780,0.094023108,0.013191947,0.228256971,0.207087427,0.028306425,0.074139461,0.090380147,0.318224758,0.445728958,0.004450035,0.008271398,0.000498253,0.000247149,0.078254141,0.001645108,0.000939563,0.008559899,0.000692876,0.005626962,0.006354715,0.001434824,0.014296844,0.029604802,0.041148704,0.060295172,0.015392404,0.000537955,0.000006705,0.011812971,0.019258715,0.002113838,0.051173739,0.007451931,0.003475620,0.018927185,0.013752127,0.037316985,0.026245128,0.000001452,0.000003748
0.000003778,0.203031376,0.177184075,0.003295244,0.013048757,0.019401673,0.000136193,0.000000732,0.000001271,0.125518218,0.038733978,0.124117769,0.099640459,0.011398636,0.250272006,0.224255964,0.025584824,0.068825826,0.084485047,0.324880123,0.423780292,0.005310301,0.010236382,0.000465056,0.000327975,0.076279134,0.001297068,0.000957039,0.009957260,0.000797329,0.003480453,0.004420138,0.001612029,0.019618308,0.025690403,0.034550339,0.053309299,0.016230920,0.000776779,0.000006430,0.012736232,0.017010150,0.002405902,0.056001738,0.005994821,0.002961564,0.011555694,0.014922315,0.033796377,0.022540761,0.000001537,0.000003749
0.000003563,0.229704395,0.217062324,0.002161455,0.009396402,0.014526095,0.000156536,0.000000794,0.000001287,0.130387351,0.049128968,0.136279091,0.111229181,0.011131279,0.265479535,0.235809386,0.023560992,0.064865269,0.080209754,0.308083713,0.470432043,0.004895247,0.009020995,0.000509807,0.000407663,0.099064715,0.001445138,0.001086630,0.008800529,0.000788351,0.005329043,0.006516196,0.001605191,0.014530116,0.038107354,0.051836427,0.047923028,0.015159669,0.000715720,0.000006622,0.015173080,0.020446559,0.002302104,0.055975627,0.004688292,0.002299465,0.012462834,0.014163203,0.040582024,0.026987173,0.000001438,0.000004000
0.000003915,0.230998173,0.212321252,0.003084940,0.009099390,0.014691344,0.000165681,0.000000803,0.000001449,0.126692668,0.039493870,0.137459666,0.111551784,0.010060682,0.280264318,0.248636007,0.022557598,0.062896408,0.077879429,0.309459180,0.437413454,0.005214644,0.010585321,0.000544626,0.000303110,0.087643594,0.001650787,0.000999760,0.011623026,0.000728442,0.005027026,0.006281318,0.001440282,0.015619496,0.033699054,0.051261697,0.059344798,0.014335198,0.000618724,0.000006454,0.014796040,0.019849386,0.002445840,0.055954590,0.006342989,0.002860993,0.013794072,0.014612039,0.048081204,0.030138679,0.000001498,0.000004158
0.000003444,0.217191666,0.203050911,0.002676918,0.011456014,0.016595574,0.000131466,0.000000809,0.000001120,0.132689938,0.042524122,0.134991750,0.104598396,0.010289206,0.276025355,0.244265959,0.022644663,0.064932279,0.082296714,0.292397797,0.497174680,0.004836942,0.010387473,0.000462883,0.000246179,0.068486959,0.001684875,0.000746595,0.007342667,0.000885823,0.006049153,0.007146026,0.001311486,0.014361843,0.031561051,0.038127758,0.050181724,0.018930763,0.000637352,0.000007061,0.013976684,0.017362455,0.002799610,0.058373738,0.005394263,0.002844051,0.014115855,0.014452145,0.033896375,0.025013696,0.000001451,0.000003800
0.000004015,0.243468404,0.233241647,0.002323514,0.008214979,0.012246937,0.000165045,0.000000833,0.000001488,0.140100196,0.042815238,0.133416221,0.104064204,0.009663516,0.290882975,0.256971091,0.021547820,0.067544907,0.084920712,0.311831057,0.492547721,0.004646754,0.009856700,0.000611191,0.000245923,0.084363826,0.001973594,0.000942260,0.012075900,0.000766864,0.005052706,0.006613703,0.001466073,0.016723912,0.039524391,0.059437774,0.059960190,0.017510040,0.000601290,0.000005527,0.015137892,0.020773018,0.002176381,0.050003927,0.006640679,0.003205038,0.013226306,0.019303091,0.041654866,0.027179522,0.000001517,0.000004255
0.000003873,0.186354041,0.167222753,0.003798544,0.016014758,0.020516973,0.000119875,0.000000809,0.000001193,0.138208434,0.046187356,0.121665187,0.093232304,0.012871341,0.222342834,0.209899589,0.030289745,0.072939120,0.090442531,0.304345101,0.500320137,0.004692571,0.009466333,0.000406347,0.000217999,0.064302243,0.001739122,0.000710967,0.009369233,0.000753916,0.005692670,0.007186184,0.001192165,0.014589733,0.024108239,0.034352437,0.059547827,0.016226420,0.000702988,0.000008088,0.015837021,0.018306181,0.003485725,0.057521049,0.004291998,0.002053482,0.011062307,0.014365494,0.030330416,0.020642938,0.000001589,0.000004101
0.000003366,0.195432633,0.169024616,0.004015840,0.012680031,0.019088309,0.000106742,0.000000809,0.000001094,0.126839578,0.040027075,0.121040925,0.093512096,0.011211654,0.256336629,0.230327561,0.024013590,0.072960034,0.090907782,0.310168445,0.474798709,0.005053351,0.010604266,0.000423125,0.000180162,0.055076640,0.001936518,0.000620948,0.008158521,0.000625613,0.006442548,0.007984232,0.001362757,0.011999049,0.023940409,0.034757268,0.052406043,0.013129280,0.000876123,0.000009078,0.011865170,0.013481015,0.002936719,0.056988828,0.004189795,0.001949973,0.012749628,0.014210545,0.027136412,0.018221384,0.000001759,0.000003756
