_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001762,0.000229814,0.000328105,0.704029918,0.498301506,0.157282531,0.000157778,0.000000945,0.000000640,0.061271042,0.033234604,0.122424744,0.110969566,0.068836875,0.071282819,0.053011335,0.054346073,0.083466850,0.091098182,0.270055205,0.208968699,0.011254654,0.013929382,0.000815645,0.002093379,0.173394188,0.000152205,0.012170422,0.018772183,0.014223054,0.000159410,0.000236326,0.003408251,0.000742234,0.030194346,0.036275670,0.071414769,0.160042793,0.000620878,0.000820856,0.004940406,0.028170640,0.001389162,0.014310647,0.025460415,0.049364489,0.001721511,0.031181946,0.011715636,0.014873100,0.000001595,0.000001790
0.000001537,0.000306366,0.000337638,0.674202204,0.444069743,0.170591161,0.000128959,0.000000718,0.000000476,0.048497900,0.029244214,0.097925529,0.091649540,0.046911228,0.092230923,0.078502551,0.037847333,0.099497631,0.108560190,0.285558999,0.214770049,0.012561660,0.014753330,0.000634331,0.003066267,0.172092453,0.000100046,0.015829701,0.016363459,0.012069075,0.000115985,0.000167087,0.004322278,0.001189611,0.022909701,0.026287308,0.069168240,0.135944501,0.000974587,0.000527747,0.004495940,0.020625440,0.001277205,0.012374737,0.017406873,0.031014640,0.001398962,0.015091577,0.006211297,0.007876166,0.000001225,0.000001331
0.000001404,0.000167464,0.000171417,0.733722389,0.528153539,0.206915155,0.000066826,0.000000797,0.000000404,0.058867328,0.032969728,0.110710025,0.105195157,0.048707876,0.086903244,0.076090969,0.039327599,0.087618165,0.095789514,0.316603810,0.176497877,0.012373292,0.013105589,0.000257187,0.006047972,0.312081993,0.000154815,0.019929446,0.007912171,0.005828168,0.000208390,0.000422408,0.005005444,0.002111728,0.010663543,0.010821929,0.021589788,0.082913101,0.003992530,0.000284241,0.005275278,0.013983830,0.003934779,0.019002827,0.001702303,0.003973144,0.000348930,0.018671012,0.003685578,0.004764529,0.000001415,0.000001107
0.000001072,0.000334661,0.000363712,0.682239294,0.422095299,0.164006606,0.000025242,0.000000572,0.000000274,0.052168395,0.046281241,0.072330669,0.073365487,0.044737734,0.092865191,0.081944875,0.038225740,0.119842760,0.138626769,0.271522433,0.258556128,0.013561817,0.010767209,0.000092167,0.005697295,0.361008316,0.000394373,0.028846553,0.004389754,0.003552835,0.000122205,0.000309070,0.005895647,0.001408617,0.003868843,0.003380229,0.006902459,0.043016370,0.031674363,0.000710099,0.006912379,0.015130452,0.006396946,0.009727957,0.000102851,0.000276283,0.000060985,0.009489011,0.000398330,0.000474063,0.000001175,0.000000614
0.000000707,0.000237371,0.000273386,0.722070515,0.498253107,0.188115329,0.000019719,0.000000376,0.000000212,0.054003432,0.031034827,0.069427483,0.066541024,0.077370092,0.063654669,0.048063565,0.069167495,0.135395274,0.154731870,0.301422328,0.192719012,0.013714383,0.014362996,0.000118199,0.009344939,0.133943319,0.000089125,0.036290605,0.001491453,0.004784465,0.000085652,0.000173884,0.006326152,0.010073878,0.004679423,0.002511972,0.002778196,0.057229146,0.089264296,0.000142759,0.023175279,0.033197921,0.004549568,0.005664233,0.000030938,0.000101614,0.000036845,0.003400101,0.000058438,0.000096814,0.000000547,0.000000327
0.000000632,0.000522348,0.000546283,0.607300580,0.423675239,0.178858981,0.000006215,0.000000209,0.000000174,0.038834199,0.020383772,0.066204190,0.066270620,0.075996406,0.064564534,0.049534496,0.068071082,0.134798229,0.152190283,0.223218203,0.135673583,0.016111579,0.022358241,0.000024617,0.004745416,0.032187711,0.000044107,0.023129586,0.001774697,0.005451289,0.000087940,0.000140072,0.001278143,0.006764331,0.000374986,0.000171688,0.007570729,0.062835522,0.136053309,0.000507391,0.057447188,0.038406100,0.042554807,0.004312949,0.000015174,0.000028758,0.000060495,0.000756020,0.000006635,0.000011353,0.000000351,0.000000148
0.000000698,0.000319239,0.000387934,0.682465076,0.480326623,0.193551227,0.000006691,0.000000210,0.000000252,0.043349288,0.018483389,0.061584514,0.058659453,0.097110562,0.056144577,0.038208526,0.082391173,0.150273830,0.169892311,0.248463348,0.146535352,0.016361518,0.024110224,0.000035324,0.005849234,0.031508919,0.000041650,0.020567555,0.002940368,0.003043424,0.000095879,0.000201154,0.001447280,0.018257122,0.000477573,0.000259314,0.006867120,0.056482691,0.148029923,0.000150410,0.053132091,0.036399294,0.031263903,0.003444814,0.000015015,0.000028529,0.000044230,0.001669912,0.000006953,0.000009080,0.000000444,0.000000172
0.000000828,0.000645808,0.000596642,0.585012317,0.400782049,0.182199150,0.000010293,0.000000360,0.000000223,0.027034426,0.019317895,0.069683172,0.070722751,0.068980575,0.060180660,0.052087583,0.063240759,0.125686213,0.139161959,0.177848518,0.143318981,0.021611424,0.023558851,0.000047682,0.005436941,0.100820608,0.000226447,0.029979700,0.001551777,0.002268511,0.000034581,0.000073079,0.013508985,0.004493549,0.001602585,0.000973097,0.002085923,0.016417971,0.362170726,0.000821040,0.031104071,0.073078290,0.006266119,0.010316691,0.000005224,0.000012065,0.000016078,0.000809787,0.000029747,0.000048723,0.000000619,0.000000254
0.000000478,0.000478457,0.000702855,0.567535043,0.415763855,0.160182953,0.000012322,0.000000246,0.000000176,0.040090986,0.030578436,0.090637945,0.086456053,0.115557112,0.040394571,0.031465039,0.107172184,0.103344150,0.120567590,0.218664020,0.234007269,0.016193138,0.018521534,0.000058274,0.015048275,0.147297367,0.000184145,0.040812161,0.002251870,0.005293759,0.000005620,0.000009072,0.017542211,0.012600197,0.002447757,0.001350274,0.002038564,0.018000465,0.525553226,0.000447471,0.040438637,0.185233355,0.003998082,0.004530321,0.000002707,0.000004928,0.000009442,0.000128897,0.000016956,0.000029355,0.000000394,0.000000146
0.000000587,0.000587534,0.000704671,0.616596639,0.357675642,0.143408939,0.000010252,0.000000279,0.000000190,0.042759880,0.027307978,0.082249224,0.082413644,0.093525544,0.050996646,0.039308965,0.084298871,0.113233916,0.126454547,0.244365081,0.219550580,0.015556430,0.021434668,0.000047955,0.011341957,0.105130948,0.000154732,0.038620356,0.004456961,0.003159160,0.000005198,0.000009226,0.019844159,0.012876330,0.001187971,0.000771098,0.002559325,0.009662511,0.632418096,0.000567047,0.041101996,0.144274458,0.005898670,0.006697156,0.000003255,0.000004327,0.000011783,0.000121099,0.000021428,0.000028682,0.000000411,0.000000132
