_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000656,0.000072144,0.000080490,0.719730139,0.681139112,0.422172725,0.000011761,0.000000236,0.000000318,0.098084912,0.089142904,0.202336952,0.195274636,0.013321906,0.342897296,0.371713579,0.004413253,0.048389185,0.044990923,0.264742911,0.335150570,0.007587526,0.009494194,0.000043256,0.000463147,0.007035627,0.000075533,0.001729290,0.025921011,0.054863721,0.000075282,0.000102217,0.000174408,0.000558429,0.000239734,0.000178794,0.156797767,0.198443756,0.002353001,0.007203054,0.028338559,0.039649464,0.035523966,0.004910233,0.001858176,0.002409485,0.000549831,0.002243501,0.000059544,0.000086231,0.000001334,0.000000225
0.000001095,0.001686483,0.003472271,0.203220606,0.338981211,0.176640615,0.000218320,0.000000444,0.000000221,0.611625016,0.621739268,0.758025169,0.710548878,0.012589180,0.354424059,0.393741041,0.004054639,0.005640205,0.003458185,0.734097362,0.622056127,0.000628402,0.000194460,0.000475293,0.001473089,0.060054298,0.000282199,0.004418706,0.026457507,0.153935060,0.000006270,0.000003582,0.007828102,0.000288167,0.019375227,0.021127833,0.070845559,0.085522279,0.007034761,0.009025950,0.004054911,0.021563843,0.000676127,0.012297496,0.204724312,0.243811220,0.001672495,0.001138637,0.009397027,0.021183562,0.000001914,0.000000767
0.000001005,0.003192296,0.006041280,0.201554060,0.206439495,0.083791882,0.000237150,0.000000416,0.000000129,0.416874200,0.400527388,0.489508897,0.426911861,0.008083886,0.335256428,0.331126511,0.009341860,0.018238965,0.015435034,0.585760951,0.543936670,0.001204549,0.000800905,0.000465668,0.000881289,0.066851847,0.000350339,0.003404990,0.012182903,0.102480121,0.000007997,0.000004212,0.007259530,0.000238466,0.021964137,0.019808277,0.031652674,0.047318798,0.010751506,0.006880326,0.003787864,0.035007678,0.000504131,0.010302431,0.449783206,0.502551317,0.001727185,0.000736816,0.009084968,0.023559548,0.000000929,0.000000926
0.000001339,0.002054748,0.004004538,0.217347011,0.213090599,0.097194731,0.000276143,0.000000760,0.000000185,0.266739577,0.277018309,0.194335386,0.185930982,0.012616381,0.307384402,0.322879434,0.007657692,0.058359701,0.052560579,0.550233960,0.541918993,0.002366554,0.001781116,0.000485171,0.001059399,0.081099443,0.000252095,0.003906016,0.009012830,0.038441036,0.000032608,0.000020413,0.006602685,0.000712769,0.029329976,0.035753191,0.025832793,0.046261247,0.008519164,0.001062352,0.007483690,0.047968652,0.000851483,0.008903469,0.610986531,0.655655503,0.001774378,0.001380639,0.013685486,0.030447332,0.000000910,0.000001325
0.000001446,0.002572337,0.005811709,0.186156914,0.196943909,0.080531560,0.000257729,0.000000699,0.000000187,0.257387221,0.282788754,0.188444734,0.180490494,0.010847834,0.328979522,0.342895687,0.007025663,0.058948070,0.052781519,0.532232881,0.545800388,0.002484307,0.001655679,0.000444723,0.001091754,0.073347114,0.000212928,0.003832287,0.008845707,0.037375119,0.000032195,0.000020430,0.006196260,0.000805749,0.023827225,0.028962862,0.025666723,0.049982674,0.008671696,0.000994646,0.007766552,0.046148907,0.000930871,0.009090317,0.612941861,0.674821734,0.001645287,0.001567424,0.012361580,0.027928485,0.000000885,0.000001341
0.000001385,0.005402825,0.007757162,0.120291084,0.150552005,0.082560584,0.000225235,0.000000616,0.000000170,0.174442992,0.245207623,0.155271396,0.169808209,0.008160299,0.359316140,0.368268251,0.007268859,0.071153618,0.055404212,0.554685950,0.457552314,0.004157053,0.002223980,0.000436697,0.000402164,0.035293840,0.000217274,0.001871860,0.006913820,0.025116242,0.000035383,0.000024430,0.006102780,0.000585441,0.017249430,0.022889137,0.023203555,0.039356422,0.011907015,0.001496980,0.004567425,0.024824841,0.001114057,0.009440793,0.663383007,0.721594214,0.001878759,0.002242989,0.024544151,0.048474364,0.000001208,0.000001337
0.000001891,0.005595205,0.009099765,0.109690294,0.161118507,0.086602151,0.000325446,0.000000983,0.000000318,0.157687321,0.198298931,0.132132053,0.145886302,0.008027479,0.338251591,0.338637024,0.009414092,0.082047708,0.064271234,0.536813498,0.411496162,0.004999485,0.003074617,0.000616308,0.000448087,0.035629675,0.000201318,0.001478569,0.005506004,0.016007261,0.000076394,0.000055440,0.005726146,0.000712146,0.029076928,0.041783139,0.029103372,0.047679197,0.007800813,0.000912039,0.005431359,0.024881378,0.001732827,0.012516092,0.732905984,0.769193649,0.004176029,0.005187095,0.083810814,0.138772830,0.000001556,0.000002077
0.000002619,0.013004078,0.022017244,0.047519572,0.100349404,0.047792304,0.000518059,0.000001170,0.000000449,0.166033983,0.216244161,0.169360921,0.174047172,0.007662970,0.367488533,0.362014085,0.008702025,0.070347495,0.052942980,0.528317571,0.447836101,0.005269329,0.002924201,0.000858177,0.000412719,0.073111981,0.000399853,0.002924671,0.007959653,0.023836765,0.000089808,0.000063241,0.004567349,0.000739337,0.046567149,0.074042849,0.049825553,0.087635621,0.003490260,0.000703427,0.010416089,0.060219295,0.001650965,0.008913135,0.785598874,0.816705644,0.007352499,0.006668447,0.096056484,0.163181797,0.000001031,0.000002637
0.000002983,0.014380422,0.030079158,0.047962934,0.093057200,0.035388995,0.000396788,0.000001245,0.000000618,0.180028081,0.205976591,0.157733873,0.146861717,0.007717146,0.429489344,0.421067685,0.005472847,0.076661058,0.064535439,0.478314131,0.481519014,0.004908803,0.003086576,0.000925593,0.000310484,0.053737741,0.000420911,0.002225687,0.010392448,0.016906731,0.000097198,0.000080983,0.004670484,0.000835446,0.038963892,0.070956841,0.054610316,0.086086370,0.003497866,0.000606867,0.009055892,0.054818649,0.001565024,0.008427927,0.800604284,0.831489027,0.007246658,0.015070562,0.106914081,0.158468828,0.000001321,0.000002604
0.000003212,0.013226163,0.029039191,0.038587507,0.115380339,0.039951682,0.000526013,0.000001517,0.000000808,0.156891689,0.180375144,0.157409146,0.144154027,0.005529776,0.466887563,0.458394110,0.005049033,0.074641734,0.062385350,0.437713057,0.463358223,0.006000814,0.003808908,0.001191400,0.000315420,0.068649307,0.000561811,0.002459268,0.011948966,0.016705902,0.000093764,0.000082718,0.005033632,0.000761550,0.065041184,0.118579589,0.059359469,0.096709602,0.003729266,0.000649099,0.010168387,0.054517936,0.001573899,0.008511636,0.794844151,0.824428320,0.006852362,0.017810218,0.171039924,0.216328487,0.000001529,0.000003188
