_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001167,0.000055274,0.000064160,0.876688540,0.568196893,0.434595287,0.000257174,0.000001184,0.000000691,0.169815004,0.142407194,0.203121454,0.181916356,0.008918811,0.306927711,0.276272506,0.016094385,0.048239145,0.049175669,0.234177157,0.365798324,0.004036519,0.005964605,0.000857681,0.000321990,0.103121325,0.001309659,0.005469671,0.017034685,0.024138661,0.000032219,0.000024875,0.006774186,0.001482966,0.023648348,0.026109861,0.070357710,0.077431180,0.002837724,0.000592413,0.005389207,0.044867683,0.000449388,0.009858073,0.308300108,0.315010071,0.012419755,0.007870137,0.008911042,0.015744934,0.000001319,0.000000816
0.000001205,0.000053680,0.000079313,0.838220477,0.573754489,0.454448521,0.000276998,0.000000875,0.000000868,0.150929108,0.141738445,0.230728894,0.216334432,0.008337166,0.348913014,0.319757938,0.011181327,0.039810371,0.037087176,0.215186819,0.311098874,0.004905690,0.005511636,0.000914042,0.000546338,0.075955786,0.000490751,0.004034054,0.027303843,0.033631019,0.000066931,0.000051851,0.003554936,0.003196084,0.021039626,0.025422750,0.111360162,0.130750537,0.000990141,0.000226595,0.007764069,0.042946719,0.000733142,0.011470631,0.186995894,0.185963765,0.011957160,0.007825761,0.009600367,0.017390633,0.000001591,0.000000850
0.000001221,0.000057998,0.000071072,0.831910491,0.564616203,0.458887637,0.000198310,0.000000891,0.000000757,0.158845037,0.145562157,0.213226348,0.202097550,0.008588575,0.343966961,0.316511840,0.010612167,0.042911530,0.041348882,0.242685333,0.331519753,0.004531848,0.005157313,0.000694152,0.000379142,0.046076316,0.000396814,0.003106714,0.018659897,0.026628777,0.000177967,0.000133764,0.002208249,0.001640348,0.013187292,0.015238120,0.136104375,0.145732239,0.000700835,0.000397562,0.008351989,0.030646501,0.001236566,0.012658606,0.140369982,0.140545055,0.018991731,0.009141401,0.006153762,0.011443892,0.000001699,0.000000806
0.000000830,0.000053402,0.000068189,0.815698504,0.554377973,0.455930918,0.000058130,0.000000580,0.000000385,0.178820550,0.168093488,0.218937024,0.214716673,0.008327462,0.342160970,0.331503361,0.009529423,0.046443850,0.041693550,0.362804800,0.381377250,0.003950154,0.003484694,0.000274471,0.000360919,0.024267096,0.000245553,0.002067069,0.008047529,0.013616166,0.000305301,0.000273566,0.001356291,0.000659697,0.003671147,0.004436401,0.095750250,0.092945173,0.001067625,0.001194647,0.007208099,0.017477706,0.002553253,0.012992093,0.010797277,0.012214194,0.003879225,0.004548654,0.001400043,0.002381718,0.000001740,0.000000531
0.000000660,0.000053827,0.000079926,0.813431263,0.580814242,0.451804906,0.000038929,0.000000655,0.000000282,0.152663410,0.139453992,0.205469653,0.197071582,0.009155808,0.325572491,0.314074337,0.009636137,0.048783287,0.045369174,0.334871501,0.363838136,0.004488193,0.004678016,0.000199919,0.000270059,0.016401099,0.000270683,0.001479851,0.003050208,0.011069472,0.000619850,0.000463898,0.001335849,0.000390665,0.002893612,0.002741292,0.067003429,0.076502077,0.001779817,0.002159093,0.005429343,0.010649115,0.003479457,0.017466681,0.006756432,0.007965793,0.005618641,0.003499984,0.001045146,0.002114257,0.000001946,0.000000488
0.000000741,0.000053538,0.000075659,0.809131563,0.593144417,0.473777443,0.000042156,0.000000718,0.000000317,0.151030168,0.135075152,0.213658154,0.204163626,0.008414229,0.335324407,0.321446776,0.009495422,0.046161585,0.042855494,0.324715883,0.347521067,0.004597511,0.004809885,0.000205381,0.000283314,0.018796099,0.000298658,0.001531323,0.003336147,0.010047014,0.000650490,0.000511332,0.001433688,0.000370994,0.003183981,0.003197516,0.069303244,0.072670184,0.001768294,0.002229005,0.006138656,0.011726617,0.003847396,0.020104390,0.005959450,0.006802816,0.004923863,0.003663607,0.001315135,0.002529040,0.000002063,0.000000554
0.000000771,0.000123661,0.000189251,0.709246635,0.500857592,0.364986271,0.000038388,0.000000573,0.000000262,0.152919933,0.157108590,0.184503451,0.179078370,0.005323228,0.409170717,0.386389703,0.007154129,0.051319946,0.048106637,0.313127995,0.370152473,0.003950972,0.003478143,0.000170023,0.000337818,0.023116810,0.000294211,0.001954888,0.002503270,0.013082459,0.000527001,0.000387508,0.001366235,0.000367649,0.003082984,0.002764729,0.056484152,0.082686312,0.001814453,0.002286297,0.007246246,0.014954059,0.003827804,0.018699106,0.003779200,0.004932024,0.003378913,0.002736622,0.000982152,0.002222427,0.000001656,0.000000540
0.000000690,0.000180353,0.000271428,0.685726404,0.456313491,0.301858753,0.000013815,0.000000351,0.000000232,0.150322929,0.138723686,0.153221220,0.141564637,0.008369836,0.354622304,0.349968076,0.008071866,0.062916793,0.063475437,0.269091100,0.364432037,0.003775553,0.004379365,0.000078634,0.000215288,0.005451281,0.000126182,0.001488459,0.003925881,0.011184564,0.000354922,0.000306453,0.000577894,0.000269468,0.000333563,0.000307042,0.104567118,0.074648283,0.002990482,0.006328400,0.005415202,0.006092600,0.007803843,0.010969784,0.007147626,0.008405412,0.004605612,0.003563567,0.000136378,0.000274630,0.000001678,0.000000299
0.000001351,0.000239896,0.000327940,0.648572087,0.445001185,0.315853715,0.000016293,0.000000446,0.000000429,0.150073946,0.144420713,0.191380560,0.185022876,0.004470741,0.449198306,0.425499380,0.007630896,0.053214852,0.049086899,0.311273426,0.391343325,0.004138399,0.004170157,0.000051924,0.000274560,0.007342671,0.000122482,0.001880453,0.005362569,0.023717286,0.001475443,0.001205455,0.000113729,0.000219426,0.000214362,0.000192137,0.257866234,0.217971355,0.000982998,0.006262746,0.039693452,0.016314793,0.048679981,0.005682501,0.004281872,0.004482842,0.005269789,0.004755651,0.000024351,0.000053621,0.000001032,0.000000533
0.000001825,0.000444839,0.000713634,0.527324736,0.390950680,0.250195235,0.000017312,0.000000430,0.000000524,0.167308167,0.159782603,0.171620235,0.171401501,0.004665414,0.426839769,0.405591339,0.008544330,0.057436857,0.054243412,0.295659989,0.329574525,0.003944020,0.003522391,0.000029045,0.000272535,0.011285984,0.000191181,0.001916297,0.006909777,0.048900627,0.000967874,0.000917583,0.000078217,0.000133235,0.000228709,0.000176803,0.262508035,0.335373342,0.000993057,0.014336396,0.152064025,0.060201585,0.113282621,0.006470210,0.001407204,0.001821468,0.001572537,0.003957956,0.000014659,0.000033913,0.000000873,0.000000612
