_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000004350,0.493324280,0.561742067,0.000022957,0.002424741,0.000905157,0.000063406,0.000000195,0.000000189,0.086594075,0.084085703,0.023676850,0.026269270,0.007364048,0.380029887,0.375957340,0.012190073,0.359203041,0.342754245,0.567000151,0.658501148,0.009572709,0.003000074,0.000236454,0.004019358,0.070669919,0.000142127,0.009780823,0.005249571,0.004359001,0.002435614,0.003456161,0.001042358,0.000044488,0.002797622,0.003142592,0.037007075,0.108867720,0.000508632,0.006090209,0.020750834,0.115190804,0.007107279,0.012211906,0.001375704,0.002231479,0.001716195,0.013674574,0.000339015,0.000736984,0.000000241,0.000000962
0.000004037,0.490897477,0.539683819,0.000038788,0.002194009,0.000917985,0.000058598,0.000000179,0.000000187,0.097638920,0.087563768,0.018906295,0.019590339,0.005670051,0.429739177,0.418226808,0.011620019,0.419368267,0.402626008,0.572688580,0.637960792,0.008466848,0.002896414,0.000243638,0.005373545,0.051487498,0.000072440,0.006824449,0.006546542,0.003959795,0.003374475,0.004404558,0.000835676,0.000044359,0.002241927,0.002572478,0.046688374,0.095394053,0.000470665,0.006036311,0.019464105,0.096366301,0.008350462,0.012061886,0.001684290,0.002109126,0.002703346,0.010745148,0.000323949,0.000655404,0.000000258,0.000000929
0.000003075,0.513295650,0.563255191,0.000021987,0.002378798,0.000881706,0.000047050,0.000000119,0.000000144,0.086659096,0.077361174,0.017275741,0.017823586,0.008588866,0.338601381,0.342908680,0.016956026,0.442220747,0.425296783,0.559400201,0.618013263,0.009513949,0.003458502,0.000192175,0.004539896,0.047489829,0.000094929,0.007981573,0.006854757,0.003883993,0.001243492,0.001692788,0.000954565,0.000082806,0.001521460,0.001614026,0.035219483,0.079479195,0.000815492,0.004065001,0.016494362,0.105173737,0.006767045,0.009194897,0.001171600,0.001595484,0.001482500,0.006525954,0.000189786,0.000386825,0.000000205,0.000000621
0.000003573,0.514710546,0.566646457,0.000027214,0.001847578,0.000788558,0.000082021,0.000000214,0.000000184,0.103551701,0.076993927,0.040656272,0.041906238,0.007732193,0.346955895,0.343906343,0.016640974,0.270973176,0.253867716,0.582798481,0.562233150,0.009736896,0.003380686,0.000409084,0.007708968,0.038848631,0.000036083,0.003445958,0.005752504,0.006887468,0.003082870,0.003393922,0.001773303,0.000046475,0.004377747,0.005214127,0.043776281,0.101925455,0.000463892,0.005811367,0.011262459,0.045930099,0.007829053,0.022715034,0.004029201,0.005368877,0.004055445,0.011354032,0.002261312,0.004571902,0.000000329,0.000001117
0.000003606,0.472420603,0.553991020,0.000063046,0.002477671,0.000965020,0.000070422,0.000000192,0.000000285,0.100047417,0.057684924,0.069016077,0.071393162,0.004484042,0.449288517,0.438123852,0.009673391,0.180336684,0.154548556,0.565002084,0.418233514,0.014323014,0.004045328,0.000376453,0.017606871,0.022511432,0.000008555,0.002137630,0.008505035,0.005531313,0.006822878,0.007582827,0.001222148,0.000060002,0.003485485,0.004460498,0.065911241,0.099254809,0.000823771,0.004270645,0.022140602,0.022740627,0.018007820,0.021738723,0.003086151,0.003033119,0.005005799,0.009419465,0.001221117,0.002333171,0.000000406,0.000001218
0.000001987,0.378914088,0.493175119,0.000092572,0.005207741,0.001315576,0.000022000,0.000000119,0.000000147,0.123341493,0.044836875,0.143061295,0.131406635,0.002095674,0.679548621,0.672894359,0.002440475,0.088840440,0.073098511,0.471212655,0.418672383,0.014960649,0.004777092,0.000189938,0.017025171,0.003908991,0.000002321,0.000759299,0.005684086,0.006438004,0.004165734,0.003527323,0.001671272,0.001333944,0.000836045,0.000654923,0.052100424,0.150789157,0.005621844,0.000322136,0.015991917,0.003733352,0.076426640,0.040070575,0.002819141,0.002841121,0.005640285,0.002531667,0.000910558,0.002395814,0.000000356,0.000000371
0.000000836,0.339782685,0.465851188,0.000147008,0.008255602,0.001901315,0.000004264,0.000000054,0.000000090,0.150217623,0.087763280,0.288145751,0.264955670,0.313365489,0.010548335,0.019970497,0.283978403,0.037758477,0.030879155,0.361719728,0.409314990,0.009634840,0.002552182,0.000018132,0.012980773,0.001140564,0.000002218,0.000103920,0.008962736,0.002647213,0.002257782,0.002481909,0.000345357,0.004180779,0.000075512,0.000056436,0.109451540,0.125601947,0.004582123,0.000109028,0.011805565,0.002835005,0.414966553,0.043722406,0.001712598,0.000872807,0.003555964,0.001681286,0.000140379,0.000182672,0.000000278,0.000000257
0.000001139,0.271463215,0.479317665,0.000252738,0.015911723,0.002642352,0.000006282,0.000000060,0.000000087,0.262382001,0.293185264,0.534297228,0.462488711,0.468347758,0.004417929,0.009072763,0.441447407,0.017500626,0.008827081,0.434206396,0.359325111,0.006069719,0.000464080,0.000029464,0.005802689,0.000801598,0.000003719,0.000065485,0.005491406,0.003784451,0.008926797,0.009827545,0.000199368,0.002679639,0.000094348,0.000067644,0.164670750,0.287960261,0.000954111,0.000091406,0.011042939,0.002532388,0.390306383,0.039362062,0.006376243,0.004948132,0.007676714,0.008685111,0.000131662,0.000222318,0.000000398,0.000000522
0.000001309,0.149679780,0.502038717,0.000328137,0.038308278,0.003175854,0.000009133,0.000000072,0.000000121,0.202018306,0.233500421,0.311849564,0.315953404,0.508096933,0.002391948,0.010607253,0.515595317,0.033442367,0.019527555,0.487155199,0.333463669,0.007226446,0.000714812,0.000045058,0.005103778,0.001082634,0.000003084,0.000106013,0.004747408,0.003095712,0.013327328,0.016559420,0.000168946,0.000688164,0.000132904,0.000105742,0.170514345,0.238048062,0.000356826,0.000322339,0.008560670,0.005154521,0.158506081,0.021721218,0.008056529,0.007179431,0.008595157,0.021360807,0.000191564,0.000353117,0.000000526,0.000001023
0.000000968,0.145792812,0.475153148,0.000458605,0.035164833,0.003685387,0.000009069,0.000000058,0.000000107,0.182304561,0.214413002,0.292183995,0.368116885,0.429565609,0.003233220,0.014190338,0.430743009,0.038205672,0.014945211,0.511342168,0.292549431,0.008337548,0.000773828,0.000051395,0.005204061,0.001118128,0.000002671,0.000112172,0.006133190,0.002162537,0.007639470,0.009991935,0.000219319,0.000839263,0.000144569,0.000131343,0.136911184,0.147086129,0.000532169,0.000287873,0.006797912,0.004515516,0.091243796,0.021208398,0.006387116,0.004994601,0.006291077,0.014923276,0.000258878,0.000425369,0.000000599,0.000000954
