_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000003942,0.103481986,0.145114824,0.001507614,0.039350960,0.017825631,0.000034361,0.000000453,0.000001067,0.194713235,0.309261620,0.368155807,0.360287309,0.009146434,0.330355436,0.344579637,0.005886991,0.020196320,0.009323855,0.146871164,0.053498667,0.005924405,0.001189061,0.000164714,0.000029690,0.002957396,0.005133993,0.000045375,0.094312690,0.054074615,0.000086571,0.000219920,0.019691128,0.000062661,0.014721557,0.011757837,0.070599943,0.089882664,0.072446972,0.089073524,0.024086790,0.007312169,0.061384819,0.386884034,0.000815063,0.001959373,0.000046152,0.007827394,0.109409437,0.092679895,0.000035331,0.000001167
0.000007312,0.072216868,0.219812766,0.002213162,0.033972666,0.008940822,0.000119568,0.000000565,0.000001478,0.220396742,0.302198559,0.323151439,0.395854086,0.003992661,0.334448546,0.356910586,0.011358405,0.031921238,0.008045025,0.198708951,0.048961982,0.005243847,0.000946123,0.000555483,0.000044476,0.004554766,0.002547221,0.000136129,0.205208763,0.098130748,0.000139756,0.000308636,0.013107101,0.000102518,0.018362900,0.018892432,0.201471537,0.206051648,0.008659691,0.030726893,0.016887119,0.007092213,0.036757044,0.305422813,0.013615942,0.027500371,0.000170683,0.012911646,0.259502113,0.242713287,0.000022820,0.000002710
0.000005004,0.087246560,0.237406686,0.004253779,0.040383618,0.006398119,0.000503710,0.000001451,0.000002233,0.341396928,0.299201339,0.569823623,0.520295262,0.004315149,0.457644045,0.452626109,0.003562259,0.008787539,0.005004922,0.118106738,0.077301584,0.002250410,0.001487843,0.001791169,0.000443139,0.062738985,0.001896287,0.001932896,0.032909077,0.061987277,0.001433737,0.001283414,0.010011445,0.000016931,0.229414791,0.252245992,0.232945427,0.149852008,0.001601479,0.055658937,0.032232817,0.023164190,0.012215714,0.128444374,0.066553935,0.079895653,0.004022358,0.004649073,0.527833700,0.574353814,0.000009327,0.000004915
0.000005236,0.257767588,0.253007203,0.000617526,0.018817114,0.008554948,0.000527410,0.000000733,0.000000881,0.486975789,0.428645879,0.613296866,0.599801064,0.002909311,0.541771412,0.529124975,0.002804662,0.006075115,0.003902806,0.232486770,0.128946051,0.000815685,0.000721123,0.000489436,0.004640841,0.243525162,0.000311378,0.021922672,0.014004891,0.084688120,0.000559054,0.000329839,0.004562753,0.000061420,0.023587195,0.028318390,0.210998848,0.127842203,0.001223484,0.015738824,0.033428002,0.027128544,0.022758299,0.067040145,0.098495945,0.081023984,0.005470208,0.000883259,0.238140538,0.308564842,0.000001266,0.000002559
0.000003209,0.143721923,0.221282348,0.006052512,0.016852574,0.006115592,0.000270262,0.000001000,0.000001678,0.664452314,0.523637354,0.752139449,0.748147249,0.018119942,0.316786081,0.310930729,0.003798124,0.002269962,0.002420223,0.235232532,0.174584821,0.000364541,0.000442226,0.000542359,0.003283805,0.242375642,0.001288416,0.006742098,0.059722513,0.059454203,0.000196494,0.000150453,0.013709953,0.000344291,0.064037718,0.099059746,0.209355816,0.096602388,0.002319907,0.002851395,0.023378877,0.025971374,0.011162500,0.098871641,0.044435918,0.032548208,0.002439783,0.000775595,0.288509339,0.252424300,0.000003158,0.000001988
0.000001881,0.103869893,0.118468277,0.002293522,0.022710484,0.020774841,0.000612103,0.000000643,0.000001207,0.402384877,0.492184728,0.640242755,0.598241568,0.009210706,0.368239731,0.387230307,0.005250455,0.007913492,0.004177568,0.322779655,0.157838136,0.001383432,0.000786913,0.000835167,0.007853129,0.384380937,0.002099854,0.001662753,0.096290424,0.092778459,0.000802996,0.000512801,0.011072693,0.001648524,0.188041672,0.281615645,0.090054490,0.044848174,0.001237073,0.000171799,0.015799360,0.015658842,0.007685149,0.116184689,0.023674626,0.016190996,0.003804424,0.000501895,0.210646302,0.158383429,0.000003027,0.000002466
0.000002490,0.136561245,0.139511734,0.001321270,0.014711442,0.016724374,0.000422719,0.000000822,0.000000867,0.351541579,0.489680499,0.767810464,0.719724417,0.047594871,0.116008796,0.113440223,0.030523647,0.004267849,0.002050855,0.409918129,0.169468045,0.001561931,0.000769032,0.000556776,0.006390661,0.390046418,0.004408139,0.003215062,0.162117049,0.374546319,0.000045347,0.000031530,0.030974478,0.000295350,0.112435654,0.127327010,0.097773515,0.063635163,0.004971455,0.004497611,0.017475815,0.018729415,0.012222931,0.139761806,0.009022377,0.010606777,0.000326248,0.000165165,0.201713651,0.184926659,0.000002061,0.000001895
0.000003400,0.232135773,0.175486460,0.002286699,0.009594606,0.024094131,0.000451080,0.000001086,0.000001374,0.492133409,0.473292738,0.749159575,0.730485678,0.010362182,0.293916613,0.291409254,0.011394225,0.003379794,0.002164101,0.378549218,0.241209731,0.000967102,0.000624847,0.000509522,0.004603946,0.215287641,0.002044149,0.001668671,0.113907926,0.046469737,0.000260079,0.000273392,0.027140787,0.009597520,0.166772112,0.194270357,0.026549852,0.021086613,0.016284136,0.000078078,0.035365630,0.010412108,0.019758619,0.316990167,0.004690830,0.004300760,0.000433198,0.000580476,0.534863710,0.413574100,0.000002219,0.000002669
0.000003320,0.196415633,0.245300680,0.000158318,0.016393526,0.011361351,0.000243111,0.000000363,0.000000458,0.092804454,0.327219188,0.293831974,0.335512489,0.014543818,0.167160988,0.196113169,0.021506090,0.037279069,0.009544990,0.469099194,0.116995513,0.010322428,0.001047444,0.000148639,0.011553674,0.537071586,0.003300443,0.004130295,0.016125349,0.049031727,0.000301914,0.000179404,0.010450289,0.000466675,0.014123973,0.017143028,0.063088611,0.023762822,0.005602312,0.002183055,0.013868355,0.021702899,0.024579821,0.152465418,0.001172592,0.000669892,0.000869266,0.000114708,0.007115622,0.010457253,0.000001863,0.000001575
0.000002282,0.309238940,0.363192528,0.000219253,0.007535257,0.003110873,0.000407274,0.000000174,0.000000364,0.145713404,0.425238580,0.473708302,0.513236523,0.081480935,0.035503969,0.056531131,0.111721285,0.022746259,0.004299198,0.492876053,0.150058910,0.005777759,0.000612366,0.000287661,0.026838668,0.576942325,0.000934433,0.008764995,0.163536295,0.231419101,0.000014690,0.000007770,0.033847481,0.008829826,0.016445752,0.024774089,0.154072434,0.061461464,0.009789759,0.000199973,0.010463817,0.029096091,0.009788599,0.049384225,0.004006420,0.001933438,0.000710730,0.000033726,0.016801992,0.018538402,0.000000665,0.000000766
