_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000765,0.000009293,0.000012635,0.888985693,0.903115690,0.873411298,0.000164694,0.000000727,0.000001471,0.008400230,0.005416897,0.044072933,0.042643134,0.013497971,0.355297774,0.348696947,0.003342951,0.188304856,0.219009206,0.102350213,0.099787906,0.068814367,0.086138494,0.000406257,0.001042906,0.219590828,0.001915257,0.023090562,0.002595937,0.021284327,0.000326045,0.000207730,0.001505817,0.001059990,0.035836734,0.027812121,0.125803441,0.241555348,0.000776141,0.000540102,0.010899983,0.064651884,0.000873703,0.001489634,0.005743972,0.007373095,0.013880183,0.004096630,0.000334014,0.000458419,0.000001363,0.000000407
0.000000735,0.000006170,0.000012269,0.907781899,0.922994614,0.884395540,0.000182892,0.000000811,0.000001753,0.008620147,0.004752082,0.040980238,0.034122214,0.011207987,0.397130668,0.391153544,0.002763147,0.207168207,0.250277817,0.073091038,0.116079167,0.071555406,0.102514699,0.000463795,0.000803346,0.230256960,0.003300911,0.015938990,0.003443357,0.019560462,0.000345767,0.000233940,0.001338286,0.001066291,0.057954513,0.049553152,0.135611251,0.223015696,0.000805522,0.000536178,0.015377430,0.090196319,0.000892289,0.001481813,0.003464052,0.003936043,0.009502547,0.003125562,0.000364386,0.000486146,0.000001566,0.000000424
0.000000757,0.000006201,0.000035845,0.853540540,0.903931022,0.781544447,0.000273115,0.000000682,0.000001082,0.029316744,0.121724546,0.241525322,0.230886906,0.020320097,0.179570913,0.171977267,0.017660826,0.042988449,0.039985366,0.140750900,0.546452522,0.025997380,0.006272342,0.000840396,0.000645684,0.244318023,0.003555057,0.020549320,0.005349000,0.028229391,0.000174764,0.000122284,0.001761694,0.000637444,0.068415016,0.068099312,0.205762014,0.337942183,0.000555981,0.000817877,0.010433610,0.082985573,0.000457285,0.000807524,0.009518272,0.013630877,0.008710776,0.005654721,0.000380092,0.000591366,0.000001143,0.000000799
0.000000841,0.000020167,0.000013206,0.883462071,0.874350071,0.894979596,0.000469089,0.000000944,0.000001069,0.537357092,0.518608749,0.649724245,0.652879000,0.144297317,0.064720631,0.030553795,0.086860292,0.009051076,0.006195700,0.468449533,0.541054845,0.001099008,0.000500942,0.001387572,0.000713477,0.230859861,0.005488368,0.018286400,0.007350049,0.027714165,0.000107249,0.000064298,0.002616880,0.000992816,0.098855272,0.113075510,0.191908196,0.266951829,0.000684567,0.000624954,0.007621690,0.066256858,0.000298489,0.001262620,0.049440533,0.057609625,0.019928990,0.008458422,0.001078590,0.001515378,0.000001775,0.000000915
0.000000772,0.000018975,0.000010140,0.913019359,0.887662470,0.914403319,0.000513479,0.000001575,0.000001718,0.668315649,0.570058107,0.735530376,0.755346119,0.187745273,0.057596009,0.023636525,0.120099522,0.005200071,0.004647855,0.456041753,0.634439886,0.000651977,0.000508634,0.002274481,0.000497246,0.187668920,0.007328316,0.011362154,0.008011201,0.025046265,0.000102591,0.000060591,0.003807501,0.002127966,0.154018894,0.193096414,0.134599879,0.219620764,0.000816512,0.000281829,0.007519956,0.068053253,0.000198583,0.001419705,0.109814413,0.126590669,0.039836481,0.017908745,0.002038021,0.002988251,0.000001896,0.000001054
0.000000875,0.000021336,0.000012399,0.905868649,0.863500118,0.886594713,0.000580971,0.000001833,0.000002257,0.654469490,0.588537931,0.738250375,0.753993392,0.157618329,0.081997268,0.035388101,0.075862914,0.005631620,0.004810982,0.444397956,0.644248724,0.000742537,0.000506936,0.002637675,0.000682211,0.171176046,0.005692012,0.009782786,0.008820900,0.025155906,0.000125960,0.000073712,0.003503557,0.001508269,0.155775458,0.217517331,0.143644661,0.199307710,0.000746885,0.000342107,0.008672733,0.078600004,0.000227767,0.001571682,0.237037972,0.237771258,0.073545523,0.029200623,0.002766150,0.003972258,0.000002101,0.000001200
0.000001035,0.000050370,0.000014554,0.854508758,0.819092035,0.902354777,0.000346733,0.000001260,0.000001401,0.615540445,0.475927442,0.630347013,0.618812561,0.117383979,0.140273780,0.061433110,0.030600121,0.008745611,0.010924541,0.554912686,0.711825252,0.000810737,0.000711521,0.001313400,0.001259617,0.153675243,0.001717926,0.017063957,0.007594659,0.013997984,0.000052125,0.000031289,0.004326300,0.003010124,0.042278197,0.065092422,0.105099961,0.104418673,0.002173244,0.000200885,0.008142004,0.070231698,0.000186943,0.000982864,0.454596967,0.385557324,0.053750653,0.018824726,0.000685771,0.000776083,0.000001018,0.000000862
0.000001220,0.000115173,0.000044581,0.775067449,0.701923788,0.813765883,0.000391250,0.000000810,0.000000925,0.465073824,0.321102202,0.401013821,0.387711704,0.033886481,0.241541862,0.222539216,0.010809884,0.023943892,0.026181785,0.564241111,0.645003676,0.001493796,0.001392810,0.000887095,0.001581181,0.164025113,0.001068733,0.015567337,0.009547853,0.011537457,0.000041450,0.000029852,0.002531812,0.003928953,0.036860146,0.058880772,0.137568399,0.118095547,0.001533541,0.000113168,0.011621213,0.101806536,0.000274923,0.001039200,0.580221772,0.490440845,0.028813040,0.012564410,0.000640104,0.000709169,0.000000763,0.000000985
0.000000935,0.000146995,0.000071700,0.688900828,0.675072432,0.745394528,0.000341390,0.000001228,0.000000887,0.460229099,0.246744931,0.365754426,0.339925617,0.020139970,0.383036405,0.373172075,0.004280438,0.022844180,0.032469563,0.459783405,0.647285819,0.001355161,0.002640689,0.000894923,0.001360957,0.209258661,0.001695825,0.013635801,0.005526712,0.005745315,0.000090520,0.000063518,0.004030799,0.003765591,0.044006720,0.081989266,0.074088380,0.060823955,0.002122521,0.000081260,0.008311871,0.091000982,0.000238358,0.001237294,0.717201769,0.636218905,0.034553088,0.011597658,0.001209716,0.001344472,0.000000728,0.000001148
0.000001290,0.000326146,0.000165681,0.588114083,0.514927983,0.604575872,0.000316653,0.000001267,0.000000726,0.259997845,0.155420944,0.165606990,0.148352236,0.023587227,0.340839207,0.331106752,0.005328219,0.071752734,0.079089433,0.496719509,0.532703638,0.003248443,0.004629916,0.000811282,0.001077936,0.204099819,0.001645451,0.015414576,0.004219859,0.005479994,0.000109844,0.000083259,0.004228358,0.001405266,0.037904579,0.067360610,0.064497963,0.057709865,0.002349174,0.000196080,0.010458255,0.096694522,0.000290733,0.000956369,0.752213955,0.726590693,0.020393029,0.012960933,0.000862879,0.001170158,0.000000659,0.000001342
0.000000663,0.000428032,0.000194866,0.502561569,0.481606245,0.591792107,0.000156597,0.000000472,0.000000302,0.218966067,0.171981230,0.148985893,0.154636636,0.014966257,0.398596644,0.421060741,0.003828817,0.071444876,0.067270145,0.474144131,0.420699239,0.003942895,0.003355535,0.000472774,0.000864404,0.112390630,0.000634808,0.013554170,0.003135045,0.003517329,0.000029623,0.000022532,0.007681656,0.004331555,0.012809425,0.018463055,0.026641151,0.023628466,0.011347755,0.000113865,0.004890796,0.032124463,0.000161775,0.000853232,0.686915636,0.639765859,0.011295401,0.004782155,0.000418616,0.000585251,0.000000588,0.000000515
