_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000005964,0.302361518,0.237101227,0.019320099,0.004559984,0.005165575,0.000550021,0.000001415,0.000000918,0.219982281,0.133735523,0.377896845,0.369402438,0.037321489,0.048926026,0.106811151,0.098617740,0.019152479,0.015839547,0.384539038,0.416889817,0.003724924,0.003680238,0.001228969,0.001347174,0.043354943,0.000081064,0.001559882,0.005121324,0.015102296,0.000884704,0.000684793,0.002308783,0.000457742,0.054856881,0.072670072,0.079206832,0.163808838,0.000913824,0.000592722,0.025622427,0.074316308,0.003937051,0.013225808,0.587362409,0.643981516,0.015384761,0.033131991,0.196245641,0.294196635,0.000000609,0.000008041
0.000004995,0.245067552,0.165055633,0.023520874,0.006324317,0.006823515,0.000556297,0.000001276,0.000000932,0.192759484,0.121522628,0.325611353,0.311421633,0.034346476,0.076451108,0.104920939,0.063474096,0.026191587,0.021935642,0.394952685,0.415641934,0.004283603,0.004390817,0.001556108,0.000838561,0.032866247,0.000108936,0.001078763,0.004682682,0.017303646,0.001221344,0.000893619,0.001724893,0.000210365,0.088186674,0.114026926,0.085747123,0.162665203,0.000611357,0.001192165,0.025130304,0.083884053,0.003991195,0.012365951,0.576812744,0.624867797,0.025056301,0.038330544,0.222059682,0.341560245,0.000000767,0.000006783
0.000004482,0.218900517,0.185454547,0.021756116,0.006291285,0.005928608,0.000544381,0.000001339,0.000001058,0.197350293,0.120872080,0.313648134,0.300137222,0.044266772,0.060699590,0.088653147,0.077705517,0.028329931,0.023891805,0.409432620,0.412650347,0.004365318,0.004478040,0.001764308,0.000971344,0.030793747,0.000098383,0.000930519,0.004294761,0.014261214,0.001392574,0.001038934,0.001975901,0.000178291,0.106047943,0.140423626,0.077898070,0.139676765,0.000656210,0.001370071,0.021623289,0.080715917,0.003293122,0.011494511,0.584603786,0.619689822,0.028959582,0.045309484,0.236796394,0.349955499,0.000000871,0.000007062
0.000005626,0.289099216,0.206938460,0.024701508,0.004100525,0.005508759,0.000665107,0.000001516,0.000001064,0.201822147,0.124950491,0.311234653,0.306251884,0.049550928,0.050092708,0.085245043,0.093871832,0.028325122,0.023267034,0.425882608,0.401807934,0.004624816,0.004289880,0.001724934,0.001064433,0.034424979,0.000109765,0.001096270,0.004662863,0.016164418,0.001476804,0.001085668,0.001914954,0.000237342,0.121319048,0.166210592,0.080410182,0.161120906,0.000715855,0.001039120,0.032194503,0.106012382,0.004886412,0.011593346,0.611120343,0.661581397,0.019502081,0.033319976,0.285271943,0.416217923,0.000000713,0.000007972
0.000004850,0.351050556,0.271125704,0.017909994,0.002799742,0.003743069,0.000506651,0.000001440,0.000000804,0.210220575,0.126255974,0.311633766,0.306572288,0.082263559,0.031737939,0.058793336,0.131273732,0.027640974,0.023866670,0.451620489,0.449291527,0.004072553,0.004026278,0.001448654,0.000648319,0.032660250,0.000145976,0.001151821,0.003967747,0.014110302,0.001182177,0.000830365,0.002393506,0.000212481,0.095129535,0.129135728,0.068594590,0.128528625,0.000983445,0.001232060,0.023729697,0.077099554,0.003850380,0.010291080,0.618807554,0.666144371,0.020495493,0.027069759,0.276180148,0.422133327,0.000000556,0.000006068
0.000003953,0.292965919,0.219843388,0.021666808,0.003861845,0.004735207,0.000591364,0.000001396,0.000000916,0.182666659,0.114993602,0.312824786,0.311432004,0.058836728,0.045685444,0.074421316,0.099863492,0.028566780,0.023444686,0.433525562,0.425944746,0.005030359,0.004929306,0.001774033,0.001054781,0.042174231,0.000120287,0.001277529,0.002917130,0.016622178,0.001143620,0.000738776,0.002457848,0.000146782,0.139699027,0.177350014,0.058734905,0.130517587,0.000807413,0.001771104,0.022195548,0.101705194,0.002761760,0.009115299,0.615131736,0.684793830,0.024760306,0.028330123,0.241221681,0.405270994,0.000000609,0.000006659
0.000004992,0.308911860,0.249237508,0.014540771,0.004485611,0.004796412,0.000643437,0.000001486,0.000000874,0.195934489,0.110114463,0.383811980,0.372730881,0.040393241,0.061700389,0.099222019,0.078237534,0.020384831,0.017988035,0.401112080,0.482761681,0.004760811,0.005004922,0.001485896,0.000795513,0.051024601,0.000174113,0.001907119,0.003556637,0.017350459,0.001126337,0.000759160,0.002132321,0.000220067,0.106376871,0.138054028,0.065127410,0.144118503,0.000795231,0.001117221,0.030158484,0.127037764,0.003671834,0.008361181,0.644263864,0.708438694,0.019378323,0.022455506,0.267934620,0.417532265,0.000000439,0.000006994
0.000005751,0.328286082,0.248926789,0.014791563,0.004046575,0.006253954,0.000660716,0.000001651,0.000001089,0.249860480,0.182617396,0.392535627,0.381612420,0.102901101,0.023728333,0.053642925,0.173312441,0.021350697,0.015848516,0.402229279,0.390610933,0.003951124,0.002505596,0.001733393,0.000699846,0.039479911,0.000179443,0.001651924,0.002747030,0.015046070,0.002285774,0.001474910,0.002160160,0.000151793,0.113681100,0.155746087,0.071682192,0.150673479,0.000920593,0.001863915,0.030255392,0.091505341,0.004332254,0.008682037,0.608392239,0.708764911,0.030268019,0.043971714,0.309952766,0.510882258,0.000000648,0.000006635
0.000003390,0.231504023,0.165530369,0.025436815,0.005955319,0.006543094,0.000517401,0.000001497,0.000000731,0.261083603,0.148702905,0.367360413,0.350622565,0.101630911,0.030982552,0.051356539,0.133176878,0.023588005,0.021775611,0.379505098,0.490044206,0.003173077,0.003369258,0.001693406,0.000724846,0.052653939,0.000201356,0.002158463,0.003048347,0.015733033,0.000924279,0.000612336,0.003341385,0.000115294,0.143456206,0.188781217,0.046210360,0.099925444,0.001439945,0.002267170,0.018730639,0.064867489,0.002167487,0.008064193,0.576517940,0.663681865,0.019611236,0.026732199,0.275606483,0.440490782,0.000000554,0.000005366
0.000006104,0.244902894,0.200619966,0.013319587,0.005561087,0.006506590,0.000838073,0.000001648,0.000000910,0.281617254,0.176919878,0.345145732,0.337915123,0.077565759,0.032863002,0.067066081,0.141562939,0.028418865,0.023252185,0.452013254,0.497505009,0.003429248,0.002806486,0.001393776,0.001906228,0.078152291,0.000119529,0.003094240,0.002796799,0.016413966,0.002506287,0.001576923,0.001715224,0.000295852,0.101091817,0.134703383,0.063464642,0.163633585,0.000560046,0.000585026,0.046973348,0.182264939,0.004757294,0.006918139,0.678158283,0.745950937,0.025375323,0.027400890,0.263242990,0.412764430,0.000000356,0.000007829
