_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001449,0.016045289,0.005779283,0.114417963,0.126541004,0.209038302,0.000055839,0.000000650,0.000000440,0.726828635,0.537880957,0.665059328,0.700557470,0.039699506,0.201554388,0.185865372,0.018459529,0.005947432,0.008063029,0.504487634,0.501594186,0.000261950,0.000400554,0.000134317,0.008889531,0.086587876,0.000038804,0.067042857,0.001516457,0.000555718,0.007578672,0.005726404,0.001799360,0.005895570,0.001259007,0.001996318,0.018668571,0.003851904,0.029688055,0.000086389,0.017344411,0.005099427,0.006731133,0.008929624,0.001076076,0.000430161,0.025712594,0.002769642,0.000454336,0.000297147,0.000000855,0.000000835
0.000000440,0.003168915,0.001119550,0.326223761,0.318640202,0.311487705,0.000043997,0.000000356,0.000000256,0.639686942,0.349923849,0.422968358,0.434518635,0.014054770,0.409072071,0.398123592,0.005828132,0.016339738,0.029022850,0.328493536,0.494686604,0.000387875,0.001278809,0.000200140,0.002261962,0.055710264,0.000137578,0.022950819,0.002800038,0.000520788,0.001767123,0.001451099,0.002548470,0.004114106,0.001898510,0.002962547,0.020227829,0.002847232,0.027673945,0.000094613,0.006962080,0.006593581,0.001166138,0.002457820,0.001182569,0.000403123,0.022010310,0.001536527,0.000207932,0.000103451,0.000000946,0.000000343
0.000000206,0.001829882,0.001757065,0.318839729,0.281095862,0.243554905,0.000043935,0.000000406,0.000000126,0.480956197,0.318356276,0.497093588,0.521431327,0.026528170,0.210537702,0.200442255,0.017198656,0.012974842,0.019224893,0.420504928,0.507962465,0.000755358,0.001366034,0.000104233,0.004429217,0.196584657,0.000487340,0.035841193,0.000464563,0.005581873,0.000427368,0.000183785,0.003627516,0.000281601,0.005846553,0.005635904,0.006337969,0.004873139,0.111374319,0.003054969,0.012508433,0.028599566,0.001266051,0.001413778,0.000047244,0.000026714,0.004454717,0.000157542,0.000069181,0.000079394,0.000000584,0.000000225
0.000000312,0.003135922,0.002862377,0.292594731,0.115022920,0.162144139,0.000074114,0.000000324,0.000000216,0.428612947,0.281946719,0.487932026,0.521947563,0.021749407,0.198041514,0.182269871,0.025293922,0.012050174,0.016872488,0.330029279,0.394277662,0.000750566,0.001409037,0.000153869,0.005266785,0.376732111,0.000815655,0.021804383,0.003744387,0.012028458,0.000220949,0.000156446,0.004248593,0.000262960,0.008758588,0.010996957,0.025722232,0.018128106,0.012364257,0.001522007,0.007979807,0.019969277,0.001552638,0.002445500,0.000429660,0.000328344,0.001705492,0.000322624,0.000307467,0.000262636,0.000000568,0.000000437
0.000000311,0.005510439,0.008992603,0.180267811,0.118751697,0.133253932,0.000068096,0.000000200,0.000000209,0.442454368,0.387802213,0.351128340,0.336518943,0.019659026,0.287298560,0.287915856,0.007535706,0.025387345,0.030636948,0.322459221,0.339832902,0.000921456,0.000709310,0.000103195,0.012054665,0.413977504,0.000610226,0.017466951,0.000752286,0.005535527,0.005026537,0.002962849,0.001528338,0.000205369,0.014360999,0.017302120,0.010544807,0.016757708,0.014913319,0.000557811,0.010798997,0.018673731,0.002233260,0.001271612,0.000082957,0.000078772,0.005944512,0.001148034,0.000073582,0.000109703,0.000000995,0.000000430
0.000000279,0.020429142,0.018060546,0.073442496,0.074978270,0.127560079,0.000085687,0.000000169,0.000000164,0.372161925,0.356330007,0.497697622,0.512353897,0.011257706,0.279547155,0.275463820,0.013007535,0.013037653,0.012136332,0.358384699,0.340086967,0.000982206,0.000836105,0.000077378,0.010669083,0.387774855,0.000701999,0.013125964,0.002918623,0.005949089,0.000394260,0.000130497,0.002652177,0.000913328,0.004577936,0.008424795,0.023446320,0.004538356,0.049557377,0.000449070,0.012073437,0.019331438,0.003354633,0.003497239,0.000099939,0.000031379,0.010105555,0.000049591,0.000196838,0.000201865,0.000000549,0.000000234
0.000000254,0.014819446,0.008208494,0.089417085,0.122822613,0.154053554,0.000026092,0.000000241,0.000000077,0.450007170,0.395058781,0.449949801,0.478034914,0.024927564,0.206274331,0.204569802,0.016085807,0.013848284,0.017147109,0.402944982,0.439070046,0.000749117,0.000792706,0.000033948,0.004625314,0.278522909,0.001581629,0.027743058,0.000405154,0.009030110,0.000121515,0.000052051,0.003753712,0.000727719,0.002920280,0.002599746,0.002432835,0.004039024,0.463752180,0.001826238,0.041007422,0.052277353,0.008081960,0.002635234,0.000002385,0.000001472,0.000356616,0.000025807,0.000047635,0.000060935,0.000000422,0.000000107
0.000000417,0.035054110,0.020701904,0.035622459,0.080419183,0.134273857,0.000028429,0.000000634,0.000000142,0.547992706,0.408239752,0.554690480,0.609771490,0.016378261,0.259808540,0.254590124,0.015550896,0.007855796,0.010750264,0.397601873,0.418002248,0.000497507,0.000772951,0.000034708,0.007028924,0.278257251,0.001140463,0.016046597,0.000299740,0.004270225,0.001270611,0.000495028,0.005373198,0.001493027,0.002716141,0.002294238,0.002202579,0.003095761,0.403840721,0.000666697,0.035124943,0.012023835,0.017305769,0.015083046,0.000006320,0.000003631,0.002015584,0.000084262,0.000172225,0.000237273,0.000000609,0.000000266
0.000000290,0.171659201,0.096185893,0.019260816,0.009375803,0.022206403,0.000038926,0.000000387,0.000000097,0.480626613,0.434833020,0.491297334,0.501988292,0.023144916,0.235664144,0.233205020,0.012046815,0.013650131,0.015383619,0.423285872,0.341455847,0.000794586,0.000639114,0.000050627,0.029388877,0.349700540,0.000646482,0.021340486,0.000066674,0.010681103,0.005955917,0.001217443,0.001439306,0.000321269,0.007602779,0.003702051,0.002221237,0.010723765,0.151613533,0.001261257,0.031571977,0.039082773,0.017878979,0.005815018,0.000003295,0.000002663,0.014524804,0.000085181,0.000071405,0.000135719,0.000000499,0.000000220
0.000000991,0.104110986,0.055511817,0.167792156,0.005113713,0.017863942,0.000026909,0.000001405,0.000000126,0.742133975,0.574839592,0.461717725,0.482747912,0.035390165,0.166588306,0.139982939,0.026908712,0.012342621,0.018902799,0.364751369,0.381881863,0.000286682,0.000260091,0.000034206,0.011036421,0.262409925,0.000494407,0.031551640,0.000051881,0.008469495,0.009699143,0.003277143,0.001745197,0.000342272,0.003968340,0.001560238,0.002074263,0.016889019,0.178037614,0.003320652,0.088478722,0.016317617,0.104664527,0.042470209,0.000004683,0.000006283,0.003975452,0.000257420,0.000416808,0.000884704,0.000000547,0.000000306
