_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002139,0.075548336,0.065967709,0.044938482,0.018137367,0.015581694,0.000044053,0.000000168,0.000000778,0.068597801,0.043520596,0.173896134,0.190701827,0.014989790,0.148386210,0.169677064,0.032361336,0.045274112,0.041671172,0.251502812,0.201498345,0.010204137,0.011430263,0.000164476,0.002385653,0.054606352,0.000047736,0.012612069,0.019046618,0.011230442,0.000041215,0.000086932,0.002143843,0.004383445,0.002509116,0.002993604,0.134182766,0.269671440,0.002061821,0.000183761,0.047687158,0.071612448,0.002145270,0.003128182,0.002134068,0.003991353,0.000240679,0.007080443,0.000075376,0.000082774,0.000000392,0.000001639
0.000001992,0.136779368,0.123237073,0.015541013,0.013907602,0.012464231,0.000030215,0.000000103,0.000000629,0.066057168,0.037022322,0.123979457,0.142852932,0.015670061,0.131672636,0.172090232,0.039533921,0.064080365,0.056661118,0.324707210,0.224629238,0.010960103,0.011682484,0.000104008,0.003283524,0.029818982,0.000021550,0.010022915,0.017609403,0.008487996,0.000042000,0.000089052,0.001497430,0.023709375,0.001092853,0.001046974,0.092489608,0.242001832,0.004278914,0.000045651,0.047733836,0.046113063,0.004061406,0.002779649,0.001350409,0.002394756,0.000223791,0.005256687,0.000037306,0.000044748,0.000000315,0.000001144
0.000001567,0.078811511,0.087376602,0.019561699,0.023772072,0.014906622,0.000036210,0.000000112,0.000000429,0.081429362,0.046120044,0.106409810,0.119715162,0.019399436,0.119691230,0.149973780,0.039065491,0.077091984,0.068957165,0.371944755,0.231905118,0.008807565,0.009155108,0.000113609,0.002649270,0.040172935,0.000039377,0.010451926,0.012662899,0.012692174,0.000026307,0.000043889,0.002202579,0.004645200,0.001860825,0.001682390,0.099122971,0.205652222,0.003854371,0.000247582,0.033179570,0.054008361,0.002402798,0.002990902,0.001481611,0.002532347,0.000250380,0.002203296,0.000057111,0.000081851,0.000000362,0.000000977
0.000001629,0.101854093,0.065516308,0.039271083,0.012778482,0.016059130,0.000020951,0.000000104,0.000000421,0.088682450,0.058956817,0.117108017,0.133805901,0.017053260,0.143453792,0.163842812,0.033205133,0.070859805,0.062767707,0.340289384,0.208459020,0.008082429,0.007602224,0.000073968,0.002719710,0.026269414,0.000032440,0.010868724,0.009188426,0.007932938,0.000039263,0.000068802,0.001690650,0.004943741,0.000812867,0.000658295,0.084648035,0.149730712,0.006476198,0.000290618,0.035286449,0.043015599,0.004565962,0.002964443,0.000803226,0.001299110,0.000253057,0.002308645,0.000029276,0.000038245,0.000000400,0.000000817
0.000001301,0.118436240,0.090005688,0.045279618,0.009174446,0.010258915,0.000019634,0.000000098,0.000000383,0.077179983,0.051814415,0.122186750,0.138303101,0.016717717,0.142226756,0.171081334,0.034582581,0.067636304,0.061601166,0.261725277,0.204877809,0.009846449,0.009065595,0.000072591,0.002165507,0.026277386,0.000048675,0.009966967,0.008744871,0.006020276,0.000041732,0.000067287,0.001633627,0.003342872,0.000780722,0.000678198,0.081897326,0.090064913,0.008249227,0.000469039,0.034995083,0.048211206,0.004173875,0.002632780,0.000578033,0.000726066,0.000292686,0.001237339,0.000024415,0.000027308,0.000000376,0.000000723
0.000001592,0.184309393,0.111353502,0.033680834,0.003908553,0.006077897,0.000030801,0.000000162,0.000000495,0.089103751,0.048656601,0.156998128,0.177171633,0.011773910,0.180356681,0.199779391,0.028962519,0.051261045,0.046172500,0.260439098,0.159022912,0.008813461,0.009308754,0.000130429,0.002396737,0.037714928,0.000065773,0.008087385,0.006287929,0.003186828,0.000217847,0.000301298,0.002107754,0.004419773,0.001883526,0.001911523,0.083699293,0.077122115,0.004561755,0.000174666,0.034717202,0.041493129,0.003512762,0.005530486,0.000688991,0.000688383,0.000799224,0.001754899,0.000061793,0.000062978,0.000000451,0.000001233
0.000001490,0.064388372,0.035442192,0.127255231,0.013838167,0.020513823,0.000029967,0.000000173,0.000000604,0.056265410,0.027080005,0.132568881,0.155006051,0.015864104,0.134074479,0.169009402,0.037934661,0.057956696,0.052555852,0.175179288,0.074951693,0.011324562,0.018452451,0.000086898,0.002887515,0.033562545,0.000043045,0.007396300,0.010711682,0.004043337,0.000124755,0.000170055,0.001902961,0.003732265,0.001224811,0.001386178,0.136289775,0.075542524,0.004694451,0.000337839,0.046174500,0.047057800,0.006033940,0.006967872,0.000777631,0.000640001,0.000666807,0.000895498,0.000081729,0.000069044,0.000000510,0.000001044
0.000001488,0.138832718,0.061070617,0.099052511,0.006285028,0.012170962,0.000024337,0.000000169,0.000000577,0.066705003,0.034987103,0.157471478,0.180014938,0.006209814,0.270463467,0.275344521,0.021429898,0.048075214,0.049379669,0.218350321,0.164200783,0.008754694,0.016830893,0.000056773,0.010255349,0.039737098,0.000029402,0.016054776,0.009953467,0.003220696,0.000051676,0.000049879,0.001837463,0.010927515,0.000469156,0.000554587,0.118898131,0.033158153,0.027105860,0.000246229,0.084106565,0.073293574,0.011992917,0.005160253,0.000258820,0.000105341,0.000810959,0.000143872,0.000024052,0.000014812,0.000000297,0.000000636
0.000002382,0.147163197,0.070771843,0.046518769,0.007893646,0.015386624,0.000051145,0.000000214,0.000001040,0.070202075,0.024554223,0.219009474,0.238088369,0.006581635,0.201735526,0.274486482,0.029039400,0.032448303,0.029646220,0.234552637,0.131822154,0.008507328,0.021218129,0.000137701,0.004246125,0.071941786,0.000064176,0.023748094,0.028226269,0.003764994,0.000036759,0.000064606,0.003162100,0.007537504,0.001566471,0.002391287,0.162540659,0.069571972,0.007498510,0.000173007,0.069457307,0.077812508,0.003794583,0.004768123,0.000910864,0.000671020,0.000354217,0.001001527,0.000102107,0.000053559,0.000000306,0.000001526
0.000001668,0.023969034,0.026627034,0.138275176,0.032625873,0.032218758,0.000048564,0.000000232,0.000000858,0.047865558,0.041055210,0.151104227,0.163907781,0.031663708,0.083081983,0.109211154,0.050583899,0.054667111,0.057232305,0.229799211,0.314858258,0.012500254,0.015122872,0.000122607,0.009507045,0.139494091,0.000118625,0.029796589,0.045266621,0.012966510,0.000006628,0.000014657,0.005273052,0.008774359,0.004748054,0.006622820,0.076782353,0.106197171,0.018834349,0.000176843,0.114020616,0.177390173,0.002799018,0.002750218,0.000172222,0.000205753,0.000033695,0.000652133,0.000078148,0.000038390,0.000000334,0.000001005
0.000001335,0.045311682,0.050680887,0.100281522,0.022905562,0.021095907,0.000153774,0.000000223,0.000001484,0.060793720,0.029109092,0.254649520,0.275010198,0.010116779,0.129341677,0.233331591,0.043304723,0.028594406,0.025178131,0.174396306,0.162906185,0.010499660,0.020547276,0.000572816,0.017086044,0.223057523,0.000091745,0.023467882,0.043873824,0.013415323,0.000018596,0.000028904,0.007127024,0.004458896,0.025515772,0.041387405,0.149449915,0.137782022,0.002627834,0.000126065,0.023393899,0.087812446,0.000583653,0.002169434,0.003182113,0.003320278,0.000342485,0.001574493,0.000487640,0.000246925,0.000000508,0.000002657
0.000001142,0.011869093,0.017497936,0.186049804,0.070462078,0.041010328,0.000121310,0.000000161,0.000001135,0.010425573,0.010793070,0.113207720,0.129127860,0.043473382,0.057775274,0.087920323,0.074604258,0.078473166,0.076673321,0.082249820,0.109709963,0.049894851,0.047362696,0.000305814,0.014844502,0.286389172,0.000239917,0.022604743,0.081459686,0.040323526,0.000004086,0.000007555,0.007932206,0.005729975,0.026635790,0.029111162,0.093828224,0.164625168,0.005391186,0.000172062,0.032314330,0.154064596,0.000949353,0.002232627,0.000868486,0.001252185,0.000059962,0.000674099,0.000528867,0.000261272,0.000000480,0.000001063
0.000001976,0.029525764,0.028864410,0.153397694,0.025504516,0.027647858,0.000251491,0.000000293,0.000001853,0.033035923,0.012353017,0.269972265,0.285725594,0.025275225,0.099103115,0.124062218,0.049321417,0.031244164,0.028518023,0.130519480,0.114800125,0.019448999,0.047041375,0.000726282,0.005814968,0.249071211,0.000211515,0.023190228,0.071662679,0.030052299,0.000036159,0.000054555,0.003299076,0.001461064,0.036752582,0.056345049,0.278290302,0.265585512,0.000571532,0.000278704,0.020810837,0.098485135,0.000685923,0.002307190,0.014626525,0.017683724,0.000785756,0.004186832,0.001466441,0.000875042,0.000000553,0.000003338
0.000001907,0.036570545,0.057232775,0.103683196,0.024686648,0.016563667,0.000425497,0.000000339,0.000002129,0.040483966,0.012571073,0.212635323,0.209745541,0.013655493,0.120838746,0.202941224,0.051859658,0.041182045,0.042290345,0.135053992,0.126024127,0.014980331,0.057902854,0.001074793,0.009045971,0.265215367,0.000142271,0.026704442,0.061746832,0.036641471,0.000139152,0.000145445,0.001368673,0.003358900,0.055827036,0.073122613,0.392652512,0.374641091,0.000214282,0.000070406,0.025892181,0.083791703,0.000929957,0.001639397,0.038782254,0.032906193,0.004270419,0.003412813,0.001588292,0.000833144,0.000000462,0.000004413
0.000002732,0.026431890,0.036481079,0.124477729,0.039500955,0.026823167,0.000408181,0.000000350,0.000001859,0.026419941,0.018121939,0.160639077,0.160535961,0.020607281,0.096530251,0.155455872,0.058980647,0.060839061,0.058871835,0.120836131,0.163566485,0.020491734,0.040992424,0.000955195,0.007348511,0.298227966,0.000256385,0.036296945,0.122212172,0.054957587,0.000039734,0.000054357,0.002394778,0.002414145,0.045901991,0.065590121,0.423506320,0.435774386,0.000366390,0.000136713,0.019823249,0.073464170,0.001053086,0.001980066,0.048228428,0.049437217,0.001558595,0.004471000,0.001820390,0.000950230,0.000000516,0.000004082
0.000001748,0.005114281,0.007779130,0.315361172,0.077550031,0.055689521,0.000325807,0.000000462,0.000002094,0.037712034,0.011771822,0.259339958,0.252001524,0.015244420,0.174796537,0.168058380,0.030686641,0.034384388,0.036268406,0.123293951,0.131499946,0.015981678,0.053783331,0.001082754,0.010706851,0.317097962,0.000199780,0.023685029,0.075466409,0.034958441,0.000065740,0.000090839,0.003997632,0.002321327,0.056779016,0.081914157,0.312453300,0.318459660,0.000527670,0.000143497,0.013362248,0.044719979,0.000719927,0.002516979,0.036534607,0.037783943,0.002016037,0.005814737,0.001627100,0.001057759,0.000000793,0.000003245
0.000001249,0.013095263,0.018483551,0.279503971,0.045370188,0.028982263,0.000282261,0.000000262,0.000001399,0.008572722,0.007328920,0.089468837,0.097442783,0.020686533,0.121624000,0.142626330,0.044171043,0.101203047,0.104056783,0.049672380,0.074593134,0.050127763,0.072712548,0.000733976,0.024441369,0.381893396,0.000204543,0.023553684,0.087145299,0.051600698,0.000020190,0.000023253,0.008198511,0.003232179,0.054215718,0.053757995,0.231835127,0.232511669,0.001548889,0.000182673,0.007759343,0.033749595,0.000601629,0.002792492,0.022924459,0.021253929,0.001390605,0.001218710,0.000921130,0.000491249,0.000000729,0.000001749
0.000003315,0.030155953,0.025949160,0.191784814,0.023849016,0.024096355,0.000112375,0.000000434,0.000002117,0.024935562,0.009296385,0.115485460,0.122180991,0.006953788,0.278655618,0.252352238,0.019459192,0.068772748,0.081709646,0.153738767,0.111487754,0.018705871,0.054152709,0.000197643,0.015674498,0.175342947,0.000107825,0.029202258,0.028421527,0.002976215,0.000088818,0.000168042,0.003385240,0.017270150,0.007383089,0.010885361,0.117501087,0.072307825,0.005747740,0.000047526,0.083788432,0.071583107,0.008027619,0.011257537,0.000781881,0.000485710,0.000302137,0.001496556,0.000782484,0.000201551,0.000000594,0.000002256
0.000003803,0.082941279,0.028696490,0.120099843,0.010221490,0.030787088,0.000048494,0.000000422,0.000000866,0.068331219,0.030418025,0.110499784,0.114532627,0.007083907,0.342444330,0.299145848,0.015763735,0.076562859,0.089150466,0.238649502,0.259299397,0.006760304,0.022491110,0.000047502,0.006808904,0.061407670,0.000033919,0.027992142,0.009101842,0.003960416,0.000369288,0.000421708,0.000470016,0.049411274,0.000545731,0.000506137,0.134265453,0.085690081,0.004095364,0.000022683,0.289064854,0.100628927,0.064160839,0.013366167,0.000664274,0.000307225,0.001442931,0.000605530,0.000090882,0.000045835,0.000000198,0.000001131
0.000002886,0.158533052,0.110082999,0.025329422,0.006580918,0.009036426,0.000026571,0.000000196,0.000000886,0.085776478,0.040711783,0.186594367,0.194925487,0.014587348,0.180253997,0.196744338,0.033459511,0.047183920,0.049442429,0.297495693,0.183707967,0.007447668,0.016722515,0.000030096,0.003614158,0.033353221,0.000045666,0.012288481,0.028250197,0.003179590,0.000156515,0.000245411,0.000435390,0.023316042,0.000200123,0.000275558,0.232772455,0.068393171,0.006210720,0.000062653,0.249908686,0.148273885,0.062582657,0.005823291,0.000372822,0.000136351,0.000621860,0.000643891,0.000026032,0.000008790,0.000000227,0.000000930
