_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001127,0.142176315,0.099554665,0.000631770,0.014684317,0.065097198,0.000010739,0.000000112,0.000000446,0.179105029,0.135612622,0.289474189,0.312275797,0.050542347,0.137585148,0.147604421,0.062862411,0.042027965,0.034435809,0.400082201,0.281749368,0.005739745,0.007364163,0.000053844,0.000458755,0.006766430,0.000439487,0.001433695,0.008099980,0.007653378,0.000092975,0.000134501,0.001342067,0.002830051,0.000251960,0.000301338,0.031574599,0.018757926,0.023256017,0.000489243,0.013311305,0.010742621,0.006670552,0.008461350,0.000656892,0.001049614,0.000314805,0.008090561,0.000117324,0.000121350,0.000000823,0.000000446
0.000001399,0.164766565,0.119621783,0.000485065,0.011756295,0.053034991,0.000018028,0.000000146,0.000000518,0.166398883,0.116638713,0.266100079,0.289048046,0.059562165,0.119093299,0.128995940,0.074217968,0.045072321,0.037111584,0.398174524,0.267050683,0.005935817,0.008391711,0.000081415,0.000455027,0.010632018,0.000600939,0.001412322,0.010601429,0.009180540,0.000122534,0.000165235,0.001517894,0.002916262,0.000560505,0.000741917,0.043856237,0.021751748,0.009685321,0.000343639,0.017628212,0.017237363,0.005310442,0.010334413,0.000980445,0.001344639,0.000397631,0.006884449,0.000253424,0.000231888,0.000000766,0.000000605
0.000001434,0.154402792,0.095401816,0.000452228,0.009836310,0.064731993,0.000020842,0.000000162,0.000000485,0.191608101,0.139899805,0.323260069,0.341554821,0.055336792,0.136337280,0.144560561,0.064816855,0.038265567,0.030023661,0.435876191,0.285751015,0.004913275,0.007019073,0.000076365,0.000551096,0.020330954,0.001218521,0.001985515,0.011167147,0.013160339,0.000043591,0.000065090,0.002608837,0.002163587,0.000797984,0.001102793,0.032988958,0.018625628,0.017569153,0.000737766,0.026451824,0.046515658,0.004895693,0.010755235,0.000310212,0.000455053,0.000104889,0.003611769,0.000281107,0.000228929,0.000000736,0.000000584
0.000001515,0.282073289,0.288728446,0.000173758,0.007391684,0.020961052,0.000062648,0.000000223,0.000000754,0.175865605,0.169386148,0.376194566,0.376375049,0.093033880,0.077896751,0.092015646,0.100916363,0.027873568,0.023339562,0.349548906,0.379242897,0.005352387,0.005623198,0.000351052,0.000474597,0.049339034,0.001953179,0.002193545,0.040229615,0.012529430,0.000039812,0.000056000,0.008738607,0.001909566,0.007614786,0.017580869,0.058102582,0.015960626,0.006979906,0.000277720,0.013614891,0.032438651,0.000807571,0.010570688,0.003098396,0.003010847,0.000392112,0.005850188,0.003099762,0.001860172,0.000000693,0.000000946
0.000001770,0.009969955,0.009639537,0.026476899,0.147418320,0.296855301,0.000108844,0.000001218,0.000001989,0.710369349,0.351483196,0.674737692,0.582443953,0.204751328,0.110285901,0.033948794,0.096921518,0.004322352,0.019036714,0.220210582,0.639124274,0.000420155,0.002194826,0.000840431,0.001829367,0.085406922,0.001390579,0.001263375,0.063708127,0.005793015,0.000177950,0.000230334,0.014351356,0.005296811,0.056234647,0.119023949,0.100377500,0.016037790,0.002930319,0.000068697,0.011255000,0.011025289,0.000897981,0.035183445,0.015339334,0.008947953,0.001770819,0.008391364,0.057578828,0.017695017,0.000002253,0.000002171
0.000002358,0.007404532,0.005687026,0.035775594,0.163672134,0.417773992,0.000147096,0.000002185,0.000001364,0.711218715,0.335031718,0.683683753,0.442710161,0.301691204,0.132161245,0.018605839,0.089623556,0.004765090,0.036274068,0.227777302,0.747901440,0.000434102,0.002495011,0.000869606,0.000669181,0.068666257,0.001942609,0.000821026,0.023174608,0.004366779,0.001980400,0.002109065,0.006291297,0.001437146,0.083801642,0.147179857,0.102347888,0.020536359,0.001660960,0.000122432,0.012574174,0.006359598,0.001800700,0.048525441,0.026085807,0.016900115,0.007414558,0.016688082,0.101889864,0.050575469,0.000002423,0.000002466
0.000002207,0.015995715,0.011874653,0.048997533,0.082870357,0.248101339,0.000092507,0.000001911,0.000001421,0.634178996,0.228045195,0.487729698,0.357953072,0.158760577,0.078853101,0.042372361,0.129055783,0.012382606,0.046524245,0.184116974,0.740344167,0.000576749,0.003653948,0.000717621,0.000380660,0.033545047,0.001703540,0.000401060,0.029090762,0.003324958,0.001463867,0.002104582,0.004673932,0.001761952,0.055504225,0.117909044,0.120363668,0.020673409,0.001908774,0.000109292,0.011258407,0.006159171,0.002400994,0.053931963,0.018492574,0.011267593,0.004150182,0.024080314,0.097810321,0.041674417,0.000002890,0.000003216
0.000001819,0.028592175,0.039640930,0.004086474,0.078464031,0.108288482,0.000192611,0.000000888,0.000001467,0.491345912,0.305400074,0.571655393,0.569706023,0.202151999,0.043205202,0.034079038,0.213066474,0.009925115,0.013230873,0.300035745,0.495438933,0.001187005,0.002753244,0.000789591,0.003631372,0.116461895,0.000634729,0.001886120,0.036786016,0.011703105,0.000435891,0.000396755,0.007230528,0.002092962,0.053208839,0.095373482,0.146085739,0.039016284,0.000835467,0.000096614,0.018605407,0.015209420,0.001212517,0.037859663,0.044049781,0.033595633,0.005228386,0.007694351,0.045087758,0.025901396,0.000001025,0.000002741
0.000001712,0.015644073,0.027068393,0.005182727,0.148547158,0.130667329,0.000348923,0.000000928,0.000001124,0.358414412,0.222370878,0.347977996,0.290746778,0.092085280,0.099017128,0.089016005,0.086565159,0.034208480,0.040426228,0.254500985,0.507693052,0.002498025,0.005404754,0.001127651,0.000715277,0.085661672,0.001314121,0.001187032,0.024431897,0.013416030,0.002045245,0.001549260,0.003393875,0.001234229,0.148097217,0.197634459,0.164612621,0.062266421,0.000349723,0.000079503,0.020145025,0.016461156,0.001650576,0.031443357,0.175414860,0.141639233,0.034364801,0.012797523,0.138263032,0.136402816,0.000001047,0.000002589
0.000001507,0.020685375,0.024985619,0.005491578,0.148103192,0.162300363,0.000255951,0.000000987,0.000001454,0.313167691,0.126566380,0.324481487,0.266746193,0.109680355,0.077762380,0.062275540,0.108434722,0.036185496,0.048595257,0.223991588,0.580670714,0.002959564,0.010322063,0.001461266,0.000337290,0.062989667,0.001828074,0.000722944,0.023165561,0.007571825,0.002099725,0.002168830,0.003482990,0.001395106,0.227132827,0.280570209,0.139978170,0.064902999,0.000376396,0.000052487,0.016731730,0.021657176,0.000952793,0.020576637,0.080503620,0.071327731,0.023437696,0.028731328,0.102699094,0.093812995,0.000001293,0.000003537
