_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001274,0.033910681,0.052175425,0.042967688,0.076520950,0.019673642,0.000037565,0.000000296,0.000000193,0.138994902,0.147522688,0.409574062,0.369045436,0.167311579,0.014602903,0.029534027,0.168579757,0.020499038,0.012761217,0.298922569,0.206730813,0.007795460,0.003003221,0.000052812,0.001095935,0.034634657,0.000089726,0.002295114,0.003038347,0.008142796,0.002295992,0.003585232,0.000212828,0.000088332,0.002885704,0.002501318,0.056659598,0.150446013,0.001328439,0.005069856,0.096222058,0.031447954,0.029379398,0.010526733,0.000304706,0.000407096,0.000534522,0.004401241,0.000402269,0.000709843,0.000000893,0.000001885
0.000001350,0.044012934,0.059510309,0.030768383,0.069394059,0.021595145,0.000166151,0.000000472,0.000000334,0.128654554,0.138847679,0.402425498,0.381271303,0.133882001,0.015674209,0.036266398,0.164957106,0.020244593,0.011706839,0.299513906,0.149955437,0.009329190,0.002656090,0.000392267,0.009326569,0.178697065,0.000110305,0.002508263,0.001780177,0.011269686,0.002834099,0.004773353,0.001271916,0.000307474,0.127250209,0.103104696,0.024493618,0.244671732,0.000566054,0.000375404,0.033425253,0.032034718,0.004283044,0.017880982,0.001131434,0.002713319,0.000486478,0.017269971,0.006192917,0.012408027,0.000001727,0.000006852
0.000001059,0.036224708,0.054612864,0.032935970,0.083561920,0.023753185,0.000228659,0.000000434,0.000000413,0.112939782,0.118083067,0.358982116,0.352327168,0.135549530,0.015664177,0.037176650,0.166968867,0.024001045,0.014273304,0.322312981,0.164671719,0.010952679,0.003112374,0.000731710,0.015739430,0.233755812,0.000125213,0.002223315,0.003995710,0.014879214,0.000820494,0.001322268,0.003616896,0.000255659,0.246975303,0.234664991,0.026499450,0.164994285,0.000809387,0.000547409,0.012386134,0.018667292,0.001344622,0.014790974,0.004017774,0.009148643,0.000659201,0.015136479,0.009370654,0.017533524,0.000002135,0.000007007
0.000000462,0.041052882,0.061097212,0.032349471,0.063961945,0.019094527,0.000080621,0.000000211,0.000000148,0.133084476,0.145792663,0.333560973,0.342056602,0.156881511,0.012774915,0.033657793,0.174516782,0.025097597,0.014719122,0.332785815,0.178781047,0.008799335,0.002537077,0.000260131,0.011134307,0.296286315,0.000246197,0.003702814,0.003759550,0.017999334,0.000033271,0.000054572,0.012478330,0.000411662,0.074745409,0.063957132,0.008466573,0.066056438,0.009692609,0.001296489,0.009442032,0.027919630,0.000676219,0.009126033,0.000373670,0.000824278,0.000069728,0.001271577,0.002289550,0.004649823,0.000001156,0.000001774
0.000000595,0.030830106,0.050744165,0.039194912,0.082578018,0.019992363,0.000111651,0.000000304,0.000000182,0.110291466,0.138285130,0.361902058,0.359594911,0.146895260,0.015445785,0.035372399,0.161210641,0.024487784,0.013830336,0.341920912,0.204669088,0.010662169,0.002758703,0.000367064,0.016915714,0.309023559,0.000192367,0.002613496,0.003567521,0.025073266,0.000103674,0.000164575,0.009344856,0.000290377,0.126734406,0.103615880,0.010070697,0.106116183,0.003281033,0.001117298,0.008464836,0.020091243,0.000994968,0.015743854,0.001070464,0.002737119,0.000133936,0.002679923,0.005426982,0.013439641,0.000001440,0.000003113
0.000000472,0.021128966,0.041491620,0.046758186,0.111129098,0.028258668,0.000124412,0.000000233,0.000000264,0.093758635,0.098908044,0.363504589,0.350342125,0.187539980,0.011791438,0.028045055,0.186128512,0.024091460,0.014422460,0.297207713,0.165077478,0.013027864,0.003824956,0.000484784,0.027370615,0.282216638,0.000142616,0.002262566,0.004507545,0.033922471,0.000058490,0.000100276,0.008144337,0.000472827,0.229632586,0.192830384,0.010691524,0.158918336,0.003378910,0.000680009,0.009453312,0.023107605,0.000865152,0.010467359,0.001064965,0.003404380,0.000087574,0.003949969,0.003243664,0.009036828,0.000001624,0.000003017
0.000000397,0.028014764,0.053769961,0.057359099,0.079092473,0.022228861,0.000123880,0.000000223,0.000000254,0.120499440,0.119001813,0.364953309,0.350324184,0.236656219,0.009819225,0.022692334,0.203843147,0.023510590,0.015619144,0.336223304,0.193473458,0.010515231,0.003184938,0.000533755,0.020438664,0.250610322,0.000146995,0.001524313,0.004401253,0.018619623,0.000061198,0.000108691,0.007160388,0.000473701,0.289656937,0.269099623,0.010626306,0.112706177,0.003374984,0.000572332,0.009338546,0.026213132,0.000633256,0.008651196,0.001019925,0.002672968,0.000114226,0.004661216,0.004861451,0.010028231,0.000001800,0.000002882
0.000000446,0.048934493,0.092708424,0.018995218,0.058229025,0.013127157,0.000150684,0.000000266,0.000000379,0.145921439,0.121142611,0.493658006,0.437697321,0.259950429,0.009905871,0.019468043,0.213883698,0.016138187,0.010472595,0.275500894,0.177543864,0.009336350,0.002929540,0.000873313,0.016705625,0.239569291,0.000195910,0.001558741,0.002719850,0.019131670,0.000368715,0.000688559,0.004208574,0.000154773,0.409624696,0.384992659,0.007230620,0.124393433,0.002233330,0.000967319,0.008920437,0.019128889,0.000535110,0.005686900,0.001463394,0.005571653,0.000266345,0.025148300,0.003035201,0.008488649,0.000002529,0.000004204
0.000000417,0.040977318,0.086111046,0.034948800,0.053907398,0.012061783,0.000121292,0.000000317,0.000000408,0.154913068,0.127452791,0.430621773,0.391589224,0.235883221,0.010699540,0.021103473,0.201367140,0.020313293,0.013788884,0.339879721,0.189419374,0.009733847,0.002588277,0.000754588,0.020689605,0.196096420,0.000108152,0.000975956,0.001600205,0.006111258,0.000919340,0.001869334,0.003053794,0.000364764,0.416945696,0.414697707,0.005405226,0.074840091,0.003315523,0.000309422,0.013203635,0.015103510,0.000918710,0.007682099,0.000480298,0.001337343,0.000321904,0.036623642,0.004322680,0.007885356,0.000003281,0.000004425
0.000000376,0.086852908,0.175608248,0.007611961,0.031683933,0.007042926,0.000125301,0.000000327,0.000000359,0.145944104,0.129838273,0.474268913,0.438234866,0.217927083,0.011632984,0.025236413,0.194466814,0.018398529,0.011730470,0.352953166,0.250714093,0.010229299,0.002731963,0.000793670,0.009283973,0.179124653,0.000176852,0.001049537,0.000885816,0.006687976,0.001194060,0.001978309,0.002486858,0.000077309,0.384487867,0.391180575,0.005170905,0.060780082,0.002837053,0.001896854,0.009947872,0.017628601,0.000574562,0.005472982,0.000484352,0.001259270,0.000664636,0.034847438,0.003626515,0.008560754,0.000002936,0.000004010
