_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001765,0.631128073,0.623831689,0.000242207,0.000464854,0.000277931,0.000173821,0.000000412,0.000000250,0.212002918,0.136321440,0.033929933,0.030223321,0.196834832,0.025500864,0.033101704,0.204790682,0.314205766,0.355146170,0.626545191,0.642842710,0.002978986,0.002359755,0.002566640,0.005761148,0.019197466,0.000027047,0.000659450,0.004190173,0.004171690,0.000777723,0.000653963,0.015988098,0.000131618,0.036551189,0.051777996,0.013348162,0.013063737,0.002256664,0.001045356,0.000739698,0.018394981,0.000255113,0.008211056,0.422164798,0.407701254,0.041631743,0.134891465,0.025040707,0.026146423,0.000000787,0.000002363
0.000001794,0.612736583,0.589180529,0.000383394,0.000468980,0.000326357,0.000224477,0.000000327,0.000000261,0.251322746,0.121312015,0.033170193,0.028117059,0.246813685,0.019632639,0.026735535,0.249882013,0.321463943,0.360379696,0.633702397,0.626211405,0.002738927,0.002797086,0.002725813,0.008789787,0.035292786,0.000041646,0.000966152,0.009518749,0.005991160,0.000127479,0.000110692,0.020552363,0.000209909,0.056871690,0.090417668,0.015604457,0.018203845,0.001923725,0.001070141,0.000793721,0.041712303,0.000146898,0.007414845,0.459515929,0.480454087,0.009819206,0.043812618,0.030758593,0.033465218,0.000000691,0.000002494
0.000001370,0.566974163,0.555039763,0.000562495,0.000621891,0.000369053,0.000302399,0.000000294,0.000000238,0.243326545,0.138361692,0.028331554,0.025269816,0.253155887,0.018535145,0.028853685,0.254058987,0.349302202,0.391035318,0.596342981,0.602498174,0.003062396,0.002512977,0.003079029,0.012133902,0.089952566,0.000068451,0.001977361,0.008539270,0.006263269,0.000066523,0.000057845,0.028992111,0.000157558,0.099705853,0.149061948,0.011263519,0.014036419,0.002233342,0.001425024,0.000648779,0.052234665,0.000054101,0.004861709,0.423193038,0.478115976,0.007989381,0.040599022,0.018795660,0.021802081,0.000000651,0.000002506
0.000001153,0.523270071,0.510029674,0.000794769,0.000651947,0.000452463,0.000351031,0.000000181,0.000000202,0.201904580,0.130837023,0.041478623,0.036028501,0.260358930,0.017949197,0.028027168,0.254137725,0.267401248,0.287679315,0.551464319,0.552679598,0.003907396,0.002553500,0.002848512,0.038815327,0.159017190,0.000051453,0.003484319,0.028758837,0.014630298,0.000006532,0.000005529,0.045735247,0.000608061,0.107192561,0.146806866,0.022130201,0.024678428,0.002887797,0.000650920,0.000946603,0.107979931,0.000059158,0.004667626,0.376251996,0.349573046,0.002893859,0.004800912,0.024882440,0.023681421,0.000000411,0.000001707
0.000000525,0.524887383,0.534549117,0.000412085,0.000787995,0.000427101,0.000295476,0.000000111,0.000000145,0.195489660,0.137435511,0.051887475,0.048348680,0.276604265,0.016565174,0.027485866,0.260479182,0.217369288,0.247217044,0.568255782,0.613425016,0.003736986,0.002150518,0.003295628,0.035173975,0.190220177,0.000057748,0.003612409,0.028568720,0.038517524,0.000003626,0.000002904,0.052079014,0.000202089,0.167386517,0.222835973,0.021638377,0.032469507,0.002203848,0.002066799,0.000479888,0.057781387,0.000023433,0.002689215,0.148436815,0.167859733,0.002718918,0.003325039,0.010779217,0.014680289,0.000000406,0.000001009
0.000000456,0.469967544,0.498858690,0.000556217,0.001148805,0.000499498,0.000245126,0.000000100,0.000000135,0.179406807,0.129835919,0.043274682,0.039584886,0.294124961,0.014877145,0.027239716,0.266670138,0.245799646,0.278060555,0.572809041,0.632829547,0.004162234,0.002175559,0.003092303,0.022996439,0.163524002,0.000070408,0.003432181,0.027975870,0.043937691,0.000004406,0.000003668,0.036271632,0.000171118,0.168715343,0.208362088,0.021049974,0.044971444,0.001533176,0.002159896,0.000535547,0.047598224,0.000022244,0.002240181,0.080106862,0.118689783,0.002237065,0.004347533,0.005740501,0.008829434,0.000000391,0.000000871
0.000000283,0.524680734,0.550882936,0.000338149,0.000703174,0.000359072,0.000103901,0.000000068,0.000000069,0.179730624,0.129632756,0.051191337,0.049261924,0.336985052,0.013946802,0.020343704,0.292837828,0.204417005,0.238359764,0.572103977,0.636459947,0.003780087,0.001943171,0.001706678,0.021335717,0.114036605,0.000045203,0.003239238,0.014201943,0.047086209,0.000004583,0.000004043,0.038698558,0.000333801,0.085467756,0.087958895,0.010437002,0.043617226,0.004817531,0.001500751,0.000589963,0.027597865,0.000037674,0.002148368,0.009805960,0.017589839,0.000619786,0.001401382,0.002167984,0.003455097,0.000000315,0.000000410
0.000000239,0.592782140,0.605317712,0.000387603,0.000507297,0.000339855,0.000015937,0.000000042,0.000000032,0.317521125,0.147199303,0.057067048,0.045120791,0.366530091,0.012810119,0.019971453,0.327120215,0.227386713,0.255576253,0.601452231,0.642345071,0.002097266,0.001575861,0.000435812,0.002166909,0.002678674,0.000021352,0.000674758,0.003636756,0.045150001,0.000077866,0.000047174,0.003537953,0.000238809,0.001645754,0.001114595,0.016177222,0.080496691,0.006691034,0.002399565,0.000640829,0.002894821,0.000608338,0.001254764,0.035039246,0.073573105,0.006478069,0.004765535,0.000031541,0.000070041,0.000000188,0.000000156
0.000000235,0.687978148,0.694514394,0.000167442,0.000318458,0.000245365,0.000027794,0.000000042,0.000000031,0.261115253,0.132549733,0.059208021,0.049959231,0.195333183,0.028506234,0.046488669,0.184816465,0.211129680,0.238839433,0.639247775,0.653399110,0.002600348,0.001859035,0.000779266,0.004759175,0.004325030,0.000013661,0.000734818,0.003472538,0.067939542,0.000059848,0.000034997,0.006986383,0.000239728,0.005538207,0.003792166,0.012210060,0.081124008,0.006618002,0.002203379,0.000605657,0.004356489,0.000269143,0.001644071,0.021545248,0.051921062,0.004152868,0.003478913,0.000104303,0.000254049,0.000000217,0.000000176
0.000000252,0.681936502,0.694116950,0.000273710,0.000277966,0.000264332,0.000024737,0.000000050,0.000000047,0.223180652,0.096477993,0.052057702,0.042061005,0.285953701,0.017129198,0.028249292,0.262915164,0.238078117,0.264085054,0.635120034,0.696711183,0.003152464,0.002732253,0.000794181,0.005889405,0.007739214,0.000018359,0.001558603,0.007666872,0.057653561,0.000026704,0.000019285,0.008214602,0.000253272,0.005799703,0.005056445,0.016517522,0.074296795,0.009002045,0.002858006,0.000997055,0.007694712,0.000185537,0.000888067,0.010201209,0.021051418,0.001645248,0.001838371,0.000032527,0.000068474,0.000000164,0.000000198
