_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000393,0.000599637,0.000458530,0.219066188,0.530860186,0.505804002,0.000076179,0.000000116,0.000000206,0.372986645,0.403048575,0.505188942,0.498696029,0.031941820,0.188707724,0.188344255,0.011480768,0.018911362,0.010994494,0.660452843,0.491009295,0.002124781,0.000493445,0.000120578,0.015411031,0.551655650,0.000852081,0.028253024,0.004242344,0.017569194,0.000025892,0.000028358,0.003827559,0.005148402,0.008202498,0.010879577,0.015051979,0.058502022,0.042182095,0.000252167,0.004062802,0.035725113,0.001463484,0.000974682,0.000115783,0.000128712,0.000123530,0.000734333,0.000063715,0.000066924,0.000001444,0.000000319
0.000000410,0.000943634,0.000551499,0.219571888,0.462857962,0.507183552,0.000083584,0.000000095,0.000000193,0.435915291,0.442926019,0.485618681,0.483754545,0.042801283,0.145619497,0.135296628,0.016758651,0.019784650,0.011511764,0.706468225,0.494161576,0.001668597,0.000387077,0.000122247,0.018109040,0.551762760,0.000676101,0.025120486,0.004740378,0.016104512,0.000024900,0.000028065,0.003424241,0.006621985,0.009141595,0.012025257,0.015950132,0.060040269,0.034631900,0.000167434,0.003605444,0.036916006,0.001196421,0.000847053,0.000137404,0.000148825,0.000131005,0.000812403,0.000068807,0.000065762,0.000001439,0.000000340
0.000000487,0.000339735,0.000157548,0.369269192,0.592170596,0.554511309,0.000090034,0.000000224,0.000000345,0.123575442,0.131726176,0.081734531,0.103965975,0.023816852,0.193599448,0.214159548,0.013106804,0.132709369,0.108712040,0.611901760,0.441268176,0.007760121,0.004537988,0.000165577,0.014021315,0.627110124,0.001409659,0.021538403,0.010168938,0.028165339,0.000020827,0.000027406,0.003990631,0.002916166,0.016708910,0.016197983,0.016893413,0.063334569,0.028937252,0.000461908,0.008341452,0.071822830,0.001479465,0.000594266,0.000074740,0.000087245,0.000073965,0.000660923,0.000035457,0.000028786,0.000001703,0.000000392
0.000000501,0.000564153,0.000272238,0.330291241,0.508729935,0.492173076,0.000067934,0.000000256,0.000000466,0.082204506,0.048966959,0.057470173,0.069843203,0.024674056,0.223654807,0.240530744,0.009925561,0.175376877,0.149064124,0.528574347,0.277241647,0.012476256,0.012989305,0.000125061,0.014504308,0.660826564,0.002140855,0.025192179,0.011440101,0.028967241,0.000016154,0.000023282,0.004989255,0.001945004,0.012959267,0.012369859,0.012747737,0.037399665,0.088795170,0.001201466,0.014029109,0.078599572,0.001992026,0.000513344,0.000026379,0.000028256,0.000041299,0.000367231,0.000019047,0.000013457,0.000001882,0.000000321
0.000000390,0.000808364,0.000362037,0.347814500,0.449979812,0.435220361,0.000047424,0.000000252,0.000000433,0.057726391,0.027938206,0.055192083,0.065263562,0.019835215,0.286257714,0.307361633,0.006354498,0.175811201,0.151905283,0.466367811,0.232712090,0.015533692,0.023304930,0.000088295,0.016538309,0.685535550,0.002413674,0.023457481,0.008728155,0.048861917,0.000006767,0.000008359,0.008731525,0.001599436,0.009759603,0.007769368,0.006767189,0.024532123,0.236947387,0.003082209,0.014134754,0.094011925,0.001746899,0.000519694,0.000012527,0.000013545,0.000028619,0.000142729,0.000012310,0.000010444,0.000001694,0.000000204
0.000000341,0.000448128,0.000255266,0.443462282,0.573934197,0.470696151,0.000037262,0.000000246,0.000000428,0.019259052,0.019800430,0.037170123,0.044394203,0.026632318,0.266985804,0.258013159,0.007437192,0.262528747,0.206578285,0.312932760,0.213466153,0.046189360,0.036756683,0.000079161,0.010177466,0.672044396,0.006230455,0.034756266,0.008091414,0.069240227,0.000001725,0.000002450,0.018049031,0.001941211,0.010574365,0.007297245,0.002612865,0.017599648,0.649111867,0.005744122,0.018647594,0.131977752,0.001328597,0.000323201,0.000003230,0.000004473,0.000006454,0.000084265,0.000004639,0.000004148,0.000001588,0.000000121
0.000000354,0.000495789,0.000292040,0.439725131,0.547455907,0.444648325,0.000042011,0.000000263,0.000000434,0.018996703,0.021507904,0.036706161,0.043227315,0.028770059,0.240176380,0.231788695,0.008853138,0.261296779,0.214041099,0.303695321,0.230075538,0.044344243,0.033578239,0.000088584,0.011236389,0.683481336,0.005723076,0.028451767,0.007470236,0.082110867,0.000002647,0.000003513,0.016367204,0.001492959,0.013353657,0.008665926,0.003050414,0.021632582,0.491047740,0.005536327,0.015933232,0.116873682,0.001247953,0.000369959,0.000005335,0.000007862,0.000009627,0.000104270,0.000005768,0.000005693,0.000001604,0.000000152
0.000000437,0.000574171,0.000294553,0.379307896,0.575051069,0.614863992,0.000029184,0.000000179,0.000000271,0.019249296,0.017656401,0.029583441,0.033668466,0.048032265,0.133889064,0.115454964,0.023604074,0.290767908,0.249186143,0.321458846,0.205694690,0.048339423,0.035531580,0.000068977,0.017984953,0.415953904,0.002622186,0.135737851,0.004288841,0.022093825,0.000000234,0.000000337,0.041564323,0.017066326,0.008170151,0.004257635,0.000774082,0.005271684,0.954110205,0.001455681,0.025807979,0.338271767,0.000999733,0.000341330,0.000000430,0.000000420,0.000001579,0.000014657,0.000004438,0.000002438,0.000000914,0.000000076
0.000000675,0.000798350,0.000341988,0.361036062,0.515833080,0.551816940,0.000020303,0.000000196,0.000000308,0.024996664,0.013055770,0.018050529,0.018851204,0.040588707,0.140239999,0.129679725,0.018343940,0.371948570,0.353089809,0.327533334,0.187055171,0.030416831,0.036569037,0.000038413,0.007527615,0.134218544,0.000325262,0.071390554,0.004018934,0.001802404,0.000008129,0.000012481,0.004128777,0.021565054,0.001420507,0.001197892,0.004776643,0.004390727,0.726231396,0.000328006,0.057049509,0.176272362,0.003766865,0.000650456,0.000001960,0.000000943,0.000030973,0.000077488,0.000003817,0.000001748,0.000000795,0.000000101
0.000000642,0.000834087,0.000359634,0.346751779,0.533610821,0.556647480,0.000023729,0.000000174,0.000000284,0.023103241,0.009212581,0.034432340,0.039067894,0.048670806,0.119481541,0.105343036,0.026324291,0.234063268,0.226923913,0.313482702,0.116133407,0.036281288,0.051043037,0.000033767,0.012281168,0.238668755,0.000379378,0.155435562,0.003742973,0.003525401,0.000002974,0.000004779,0.005960323,0.024987021,0.001917936,0.001121810,0.002981743,0.005850744,0.767516851,0.000388473,0.049687333,0.220041290,0.003517727,0.000754493,0.000001534,0.000000975,0.000012022,0.000047180,0.000004030,0.000002019,0.000000607,0.000000104
