_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002724,0.042370651,0.033911463,0.071255147,0.042496976,0.037877385,0.000079186,0.000001009,0.000000444,0.076580830,0.037591770,0.078508213,0.083332039,0.004415644,0.249526441,0.275268823,0.019958749,0.100426264,0.101874091,0.451213092,0.344453216,0.008099625,0.009975675,0.000191631,0.001814610,0.105248474,0.000268024,0.005602349,0.002509039,0.005677887,0.000890398,0.000878966,0.003253204,0.000834472,0.012067370,0.009363070,0.035263889,0.074836314,0.002782269,0.000419182,0.031848293,0.014096379,0.005971503,0.035021745,0.001042691,0.001250544,0.001458513,0.001812376,0.001767637,0.002736253,0.000000653,0.000003203
0.000002217,0.050143916,0.036346003,0.081710361,0.059752129,0.054293007,0.000017139,0.000000344,0.000000415,0.091015011,0.030859428,0.050943568,0.048702609,0.004508493,0.177791774,0.325506866,0.032810204,0.153233334,0.149798617,0.441840589,0.301435292,0.007947226,0.010591902,0.000053417,0.000948584,0.005771006,0.000033757,0.001062062,0.003593883,0.002846906,0.003143012,0.003897830,0.000284716,0.001662806,0.000384155,0.000329063,0.053973690,0.060303763,0.004912913,0.000326326,0.035664652,0.003602696,0.039056275,0.012507631,0.000810940,0.000815072,0.002383332,0.004296374,0.000097356,0.000128983,0.000000926,0.000001640
0.000002141,0.056683332,0.045106545,0.053963043,0.051937073,0.044425547,0.000020528,0.000000328,0.000000323,0.107170947,0.046004243,0.050306156,0.048838846,0.003123563,0.220197052,0.379960507,0.027150521,0.156397358,0.147738561,0.469492167,0.379789531,0.006848683,0.006689985,0.000066621,0.001131817,0.006143666,0.000028030,0.001235897,0.002762577,0.003478774,0.003441152,0.003587652,0.000302403,0.001364424,0.000438739,0.000352597,0.052645653,0.066044785,0.003876376,0.000338406,0.028931759,0.003231918,0.031052673,0.012830789,0.001295742,0.001315700,0.003585532,0.003420006,0.000112861,0.000172197,0.000000791,0.000001604
0.000003292,0.075377755,0.051714659,0.041019902,0.040556539,0.039270997,0.000015954,0.000000348,0.000000455,0.117939614,0.050962202,0.056831487,0.057522886,0.002818167,0.215996131,0.407921910,0.028667696,0.135240018,0.132511571,0.439112484,0.370006055,0.006130606,0.006467245,0.000036552,0.000635791,0.005817670,0.000042674,0.000954673,0.004840956,0.004895517,0.004021019,0.005634541,0.000122102,0.000827408,0.000210815,0.000159886,0.098627634,0.135315716,0.001570812,0.000609397,0.067931861,0.008519056,0.097372033,0.013249775,0.001144253,0.001336269,0.002219262,0.007793663,0.000068730,0.000100693,0.000000704,0.000001971
0.000002023,0.084417664,0.048450466,0.084196329,0.018674340,0.021119948,0.000021808,0.000000184,0.000000364,0.410171717,0.274924845,0.355744094,0.344158113,0.009940853,0.261714727,0.238174900,0.017179115,0.028951947,0.027106084,0.656439602,0.490947843,0.001537375,0.001042427,0.000070069,0.001100172,0.008909994,0.000026444,0.001675775,0.004177574,0.005158907,0.007086557,0.008525080,0.000111186,0.001214255,0.000453886,0.000437518,0.101467364,0.158683777,0.000689141,0.000201490,0.042735837,0.011741120,0.026281992,0.005121827,0.002354943,0.002975144,0.004700899,0.015665833,0.000099507,0.000144905,0.000000643,0.000001544
0.000001316,0.010724113,0.010236852,0.247881189,0.084403656,0.059855819,0.000018396,0.000000299,0.000000273,0.678290486,0.626081705,0.785996854,0.757176518,0.028854867,0.209350601,0.206288576,0.011841867,0.004264001,0.002557561,0.641268611,0.552765846,0.000619559,0.000158187,0.000033501,0.000934267,0.010841154,0.000078409,0.001552238,0.003329118,0.011532510,0.004388764,0.004962323,0.000137798,0.000445246,0.000494066,0.000480257,0.069999836,0.141453996,0.002321488,0.001522651,0.082581125,0.017248135,0.075647809,0.009513005,0.000582582,0.000783019,0.001537447,0.005976063,0.000151662,0.000303099,0.000001250,0.000000749
0.000001685,0.006532839,0.005182958,0.338630319,0.092211440,0.089806296,0.000038083,0.000000642,0.000000561,0.708681345,0.572351933,0.819088280,0.814274669,0.019683963,0.225295186,0.222983330,0.013527535,0.002487139,0.002203517,0.532240093,0.531944156,0.000490157,0.000223763,0.000083733,0.002519667,0.028411441,0.000140858,0.001573111,0.009882334,0.004506163,0.001814782,0.002322653,0.000817946,0.001602235,0.002165167,0.003494085,0.076380894,0.057932205,0.003613937,0.000468372,0.073139518,0.026242886,0.029562566,0.027923837,0.000592918,0.000443104,0.000968200,0.003219669,0.001145375,0.001016906,0.000002020,0.000001375
0.000001421,0.005072303,0.003841296,0.352438718,0.111581117,0.114522368,0.000036544,0.000000951,0.000000319,0.618665159,0.593489051,0.797846437,0.783240318,0.014884841,0.262603194,0.257047236,0.011133893,0.003558226,0.002268513,0.582462013,0.500364780,0.000763375,0.000177373,0.000083392,0.001499447,0.025965786,0.000232701,0.001062983,0.003489489,0.003946940,0.005608912,0.005760657,0.001394106,0.000351747,0.003683696,0.005117664,0.027450200,0.022298753,0.010672989,0.001840026,0.046134695,0.007439298,0.038861085,0.060501710,0.000290245,0.000218809,0.001325776,0.002430127,0.002810492,0.003668730,0.000003034,0.000001312
0.000003820,0.004259060,0.003859607,0.353882104,0.131469667,0.099717043,0.000262336,0.000005631,0.000000944,0.688023329,0.561010242,0.785700381,0.788005233,0.053313743,0.099412471,0.081497885,0.042783063,0.003236755,0.003128737,0.537505746,0.532693744,0.000549728,0.000298539,0.000728702,0.000606105,0.093681514,0.001118495,0.001783530,0.005669011,0.004083966,0.063383587,0.062485561,0.003981665,0.000056088,0.051598277,0.090592489,0.092588112,0.042475507,0.000984038,0.003167308,0.019187585,0.007028119,0.006683949,0.077259839,0.020516269,0.017858906,0.024136351,0.031705566,0.072098456,0.076726124,0.000005574,0.000007773
0.000002343,0.028059438,0.024405537,0.170346826,0.028670810,0.024187215,0.000065574,0.000001541,0.000000417,0.467717141,0.301413000,0.527448297,0.542660236,0.018831806,0.180536807,0.170020625,0.019980298,0.009981548,0.013000234,0.498105198,0.540111661,0.001027990,0.000753381,0.000142764,0.000887895,0.121526256,0.000689012,0.003637526,0.002254342,0.006609006,0.007752558,0.008417195,0.001591217,0.000092676,0.015789924,0.019625196,0.027910490,0.043383509,0.003191025,0.002450781,0.055221226,0.013489204,0.016084360,0.051295951,0.000533112,0.000690406,0.001280530,0.006402231,0.006835738,0.010960063,0.000001157,0.000002915
