_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000448,0.010896049,0.012072106,0.057601590,0.163427651,0.136232078,0.000005732,0.000000064,0.000000234,0.567820549,0.478331715,0.655470967,0.664703250,0.010410055,0.339408368,0.354881704,0.006968631,0.006081827,0.005952827,0.438614905,0.406685472,0.000904214,0.000429183,0.000023071,0.000250412,0.003800587,0.000191631,0.000622877,0.004525226,0.004386264,0.000189681,0.000243002,0.000356843,0.002436326,0.000206724,0.000193522,0.034575585,0.040547967,0.029457700,0.000922709,0.017470796,0.010702201,0.016430836,0.004529657,0.000187855,0.000221551,0.000389974,0.002120849,0.000034145,0.000054386,0.000001575,0.000000230
0.000000147,0.010571816,0.017012948,0.048612766,0.145209089,0.100239672,0.000005214,0.000000027,0.000000072,0.602276325,0.581795692,0.686436653,0.684132099,0.017663350,0.279464245,0.302884698,0.006526971,0.005821594,0.004993667,0.431152046,0.412661880,0.000852662,0.000212862,0.000036365,0.000119093,0.001796299,0.000157597,0.000301797,0.001911949,0.011706871,0.000093792,0.000069415,0.000740300,0.003406518,0.000432932,0.000302485,0.010786232,0.038186602,0.047694236,0.000625111,0.002476110,0.002815438,0.003714029,0.003446710,0.000529168,0.000925484,0.000807878,0.000882762,0.000105472,0.000338889,0.000001611,0.000000083
0.000000182,0.009374133,0.014170907,0.062920026,0.147275046,0.095235482,0.000006845,0.000000047,0.000000057,0.538430631,0.529835761,0.667551577,0.661337495,0.024785986,0.237859324,0.253630310,0.006707325,0.006898100,0.004571378,0.433521330,0.350401163,0.001139600,0.000245980,0.000039978,0.000156151,0.002104844,0.000163826,0.000324035,0.001512001,0.012516912,0.000136606,0.000086498,0.000994219,0.000482573,0.000570599,0.000483144,0.017218649,0.030053675,0.040716145,0.004517898,0.002675338,0.002156308,0.005424291,0.007933560,0.000641232,0.000852915,0.000987923,0.000386354,0.000245001,0.000749182,0.000002194,0.000000106
0.000000235,0.026562229,0.021741863,0.051937073,0.074077427,0.065613605,0.000004562,0.000000037,0.000000090,0.361926645,0.314998835,0.596916318,0.577848673,0.013509208,0.345933348,0.404179037,0.002811720,0.009781696,0.006418900,0.428429484,0.274741173,0.002432344,0.000943676,0.000036732,0.000217077,0.001662467,0.000097212,0.000368288,0.005620352,0.013971158,0.000030008,0.000033929,0.001209793,0.000851001,0.000268172,0.000218251,0.023027083,0.040230885,0.051679175,0.003516512,0.002404393,0.002681866,0.005351882,0.005534183,0.000814499,0.001399204,0.000319881,0.001020372,0.000158023,0.000326663,0.000002279,0.000000131
0.000000285,0.037245203,0.033229925,0.032811008,0.059114154,0.054333705,0.000004675,0.000000024,0.000000121,0.344329625,0.277221590,0.513446987,0.492342263,0.014039106,0.283059388,0.325800806,0.005426593,0.012299321,0.010178312,0.369078964,0.274947822,0.002454064,0.001177460,0.000032652,0.000350548,0.001860586,0.000062375,0.000388020,0.016320869,0.015209184,0.000015181,0.000018906,0.000881646,0.002994573,0.000163791,0.000157271,0.049526110,0.055571619,0.026958777,0.000978645,0.003959309,0.005050072,0.007325920,0.003810370,0.001024786,0.001342243,0.000270300,0.000695079,0.000081918,0.000131294,0.000001309,0.000000122
0.000000219,0.031386569,0.022008939,0.029078929,0.071780607,0.060215883,0.000006815,0.000000021,0.000000073,0.213884264,0.172318056,0.371255577,0.357836843,0.007247752,0.317711264,0.319445133,0.008970808,0.023646588,0.016749704,0.305391729,0.221726283,0.004844653,0.002463120,0.000070781,0.000230882,0.001160538,0.000039217,0.000273893,0.008858077,0.016426643,0.000020978,0.000022901,0.001322024,0.004882389,0.000303677,0.000181131,0.023434307,0.057984889,0.021239761,0.000335368,0.001264447,0.002088305,0.002691833,0.004030410,0.003242781,0.005634405,0.000692295,0.001015281,0.000208872,0.000418531,0.000001237,0.000000137
0.000000235,0.034830164,0.023434063,0.043685075,0.054343272,0.057025507,0.000039486,0.000000062,0.000000110,0.238884211,0.113319270,0.371436596,0.350346744,0.028560968,0.110390298,0.108043283,0.037463889,0.022180647,0.019860586,0.352674037,0.280250281,0.004150963,0.004180111,0.000483363,0.000847284,0.004210536,0.000023515,0.000365386,0.011328273,0.021404386,0.000028713,0.000022697,0.005794896,0.008005811,0.007249735,0.004712170,0.032228004,0.067829482,0.006478444,0.000062638,0.000975677,0.002259432,0.000256417,0.004750821,0.052697342,0.056879971,0.006214350,0.001057309,0.002033363,0.003212518,0.000001068,0.000000416
0.000000269,0.020449542,0.017487986,0.032071643,0.091963507,0.071376428,0.000070308,0.000000086,0.000000168,0.159531176,0.062629677,0.303410202,0.291327983,0.019790702,0.138535306,0.137473196,0.031670451,0.029174410,0.028078469,0.361379683,0.267462909,0.006533382,0.008049908,0.000738474,0.001293778,0.010261447,0.000032540,0.000535670,0.016331745,0.013629243,0.000031391,0.000026146,0.008557691,0.013618650,0.014386602,0.013127941,0.046089921,0.057675350,0.004070024,0.000025120,0.001206758,0.004226066,0.000150312,0.004257004,0.072312385,0.054494493,0.008329785,0.001012652,0.002420362,0.003070424,0.000000990,0.000000652
0.000000238,0.022317478,0.024726631,0.065965757,0.075911492,0.043614205,0.000071244,0.000000091,0.000000149,0.153823793,0.091707394,0.265350133,0.262928873,0.020296715,0.134434894,0.136297420,0.030260688,0.034324639,0.033018045,0.369309217,0.328022122,0.006863030,0.005927734,0.000837583,0.001541514,0.018780878,0.000055488,0.000640655,0.023453703,0.018048437,0.000011894,0.000010105,0.017606128,0.003508756,0.028917730,0.030686975,0.049103014,0.037996538,0.006872706,0.000136133,0.001255295,0.006641175,0.000095287,0.003217822,0.023719475,0.016455706,0.003016375,0.000415105,0.002921959,0.003355876,0.000001215,0.000000644
0.000000303,0.046168748,0.019449692,0.033696000,0.038676035,0.044581134,0.000124313,0.000000137,0.000000149,0.195853129,0.086708412,0.263982475,0.243465036,0.019724721,0.163866699,0.149087489,0.026415423,0.037870437,0.042085912,0.365445882,0.466532767,0.004457340,0.006714721,0.001321166,0.001802053,0.036279313,0.000073542,0.001014304,0.034183215,0.041481156,0.000032031,0.000024563,0.013516835,0.007928308,0.070876136,0.061386030,0.045002397,0.061269544,0.002636236,0.000027483,0.002406087,0.010270610,0.000105074,0.003747774,0.029616799,0.025013525,0.005128868,0.000456041,0.005339500,0.007515025,0.000000635,0.000000739
0.000000282,0.011379146,0.009608258,0.085294217,0.153673217,0.059968345,0.000108888,0.000000266,0.000000235,0.144652680,0.037096836,0.311171323,0.297610283,0.047834605,0.076848812,0.067621715,0.049726903,0.026065912,0.028408475,0.379552394,0.191692501,0.007414396,0.014327102,0.001012461,0.001134497,0.047383811,0.000185157,0.000558684,0.007672494,0.011971850,0.000078483,0.000085626,0.013924347,0.001635800,0.182340667,0.197492957,0.020025099,0.052830540,0.003970753,0.000133411,0.004220336,0.007670643,0.000335658,0.011625146,0.004357900,0.005255037,0.000997260,0.001062773,0.024025686,0.029217673,0.000001666,0.000001171
0.000000272,0.010744880,0.013330251,0.068943955,0.141765222,0.046598274,0.000134044,0.000000340,0.000000372,0.129853711,0.055914089,0.310548872,0.279712170,0.049050797,0.096954785,0.079342030,0.038530294,0.028869398,0.035051193,0.246444628,0.426542699,0.007540747,0.011415121,0.001917668,0.003479598,0.050101247,0.000074152,0.000472135,0.007163735,0.004561595,0.000381531,0.000422617,0.013280870,0.008310295,0.402284205,0.410886914,0.018816663,0.048652254,0.002549935,0.000011450,0.005701657,0.008475941,0.000267171,0.009759887,0.006898416,0.006629982,0.003632418,0.002847378,0.048494168,0.042791490,0.000001688,0.000001706
0.000000838,0.030252872,0.016417418,0.014306584,0.109642245,0.051698219,0.000153449,0.000000557,0.000000502,0.290019572,0.108756468,0.345500827,0.354486942,0.051027749,0.080669381,0.067601636,0.055663098,0.021414366,0.031877022,0.394769669,0.517541051,0.002719210,0.004648032,0.001562573,0.001709100,0.092028134,0.000171012,0.001247530,0.022080565,0.002207226,0.000827736,0.001684987,0.010501433,0.002415028,0.139576495,0.232825115,0.026247729,0.024286220,0.002075611,0.000023811,0.006343906,0.007383275,0.000326593,0.009635673,0.008464360,0.006928070,0.002336895,0.019417373,0.045575667,0.023752527,0.000001591,0.000003465
