_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001367,0.213194519,0.154460773,0.004571018,0.015253757,0.015378419,0.000018494,0.000000174,0.000000197,0.105471201,0.029939940,0.048673049,0.048062623,0.098289184,0.010147114,0.058857165,0.246161282,0.142275095,0.128400534,0.460994333,0.141707256,0.007781512,0.007122093,0.000066389,0.000549142,0.001993461,0.000020350,0.000222027,0.010697482,0.010771995,0.000886744,0.000770161,0.000232041,0.000688378,0.000400892,0.000521655,0.180984989,0.101529777,0.001897996,0.001442296,0.015196598,0.003230474,0.043094877,0.012758172,0.003687112,0.002369276,0.003129874,0.000990543,0.000257914,0.000378357,0.000000989,0.000000759
0.000001754,0.159344524,0.089731894,0.005478424,0.024839470,0.039578252,0.000022999,0.000000146,0.000000297,0.081457950,0.025312416,0.060994703,0.066052333,0.158478051,0.008953113,0.034234609,0.239879310,0.114411592,0.107406110,0.490945786,0.099468671,0.010071392,0.008816931,0.000056688,0.000899443,0.002614994,0.000015152,0.000278306,0.014885484,0.006698032,0.001242278,0.001371181,0.000158469,0.002999075,0.000413476,0.000553080,0.214399412,0.137116313,0.001134720,0.000198464,0.024653157,0.005321771,0.052015718,0.011464599,0.003394198,0.002274823,0.002559567,0.001941533,0.000199267,0.000252146,0.000000983,0.000000925
0.000001726,0.096396603,0.039096009,0.016735511,0.038482036,0.063740313,0.000027894,0.000000149,0.000000302,0.099651001,0.033741701,0.065167196,0.071644053,0.138034120,0.009013573,0.039805081,0.251850963,0.107492000,0.099617049,0.460293770,0.104573064,0.008429457,0.007077256,0.000069494,0.001125924,0.002637807,0.000009872,0.000296220,0.019394616,0.012210611,0.001241125,0.001229386,0.000106188,0.002262614,0.000444393,0.000544787,0.318691432,0.216598839,0.000448979,0.000239259,0.024114698,0.006550801,0.047667168,0.008459382,0.009094851,0.006104490,0.004281079,0.001925036,0.000197034,0.000269746,0.000000998,0.000001129
0.000001603,0.413145483,0.374094367,0.000424568,0.005231542,0.002228372,0.000041324,0.000000075,0.000000173,0.320596933,0.312030971,0.379454643,0.378396630,0.055255651,0.058661517,0.075911254,0.069289975,0.026329130,0.019678153,0.591411352,0.418724924,0.002314448,0.000619285,0.000167122,0.000584894,0.003585456,0.000017382,0.000495841,0.015627995,0.034950223,0.002002154,0.001630137,0.000085340,0.000157023,0.000625504,0.000822348,0.338300765,0.336327255,0.000119644,0.002044588,0.011733941,0.009311213,0.014501126,0.004469192,0.065594554,0.059507281,0.014369201,0.009487823,0.000289051,0.000677927,0.000000574,0.000000918
0.000002161,0.517132223,0.540630937,0.000122131,0.003512623,0.001132403,0.000043830,0.000000081,0.000000167,0.217115939,0.220670074,0.291742116,0.308953404,0.013756080,0.158417985,0.201509088,0.033908643,0.036928218,0.027197286,0.615778446,0.437222064,0.003958482,0.001202737,0.000132884,0.000548183,0.003335297,0.000015311,0.000508601,0.015006606,0.055556830,0.003036221,0.002100819,0.000058205,0.000095642,0.000385177,0.000450950,0.414333075,0.346670598,0.000108485,0.005139051,0.018102901,0.009604992,0.041156694,0.005905823,0.067504458,0.050446399,0.020129358,0.004450697,0.000343789,0.000958126,0.000000435,0.000000946
0.000001974,0.564291835,0.586361885,0.000116069,0.002791184,0.000661360,0.000040717,0.000000102,0.000000139,0.352043271,0.317886740,0.416503429,0.391260594,0.017331006,0.165686846,0.181304127,0.030805424,0.026146993,0.019079855,0.670405865,0.480095953,0.002149166,0.000607536,0.000165965,0.000283551,0.002394452,0.000023898,0.000410089,0.007329267,0.053294934,0.007678516,0.005251665,0.000073014,0.000021231,0.000510858,0.000520236,0.241316110,0.241447985,0.000188526,0.023872839,0.010561787,0.005211477,0.029805860,0.007109295,0.065668046,0.064415395,0.032343384,0.011999231,0.000603754,0.001778810,0.000000712,0.000000903
0.000003443,0.553712010,0.530013800,0.000098687,0.002758330,0.001049906,0.000027662,0.000000164,0.000000260,0.131691948,0.076967970,0.125303224,0.130189151,0.010372723,0.163524494,0.238428622,0.035570037,0.083204977,0.074234359,0.523937345,0.397875547,0.006372975,0.004605526,0.000128865,0.000344685,0.002113595,0.000016018,0.000308892,0.016824117,0.025204450,0.006980130,0.009042304,0.000055717,0.000159044,0.000269613,0.000324176,0.298522532,0.357358426,0.000161228,0.002140467,0.020583058,0.004710950,0.087913737,0.010883482,0.028925672,0.031206904,0.007717387,0.030525884,0.000456316,0.000923118,0.000000660,0.000001485
0.000003097,0.235482946,0.292044044,0.001565558,0.012660626,0.002186963,0.000040306,0.000000239,0.000000367,0.273114324,0.197249845,0.251206785,0.235135406,0.010353783,0.225280643,0.234365642,0.028279290,0.045027006,0.047177866,0.470601410,0.490243047,0.002942341,0.001687207,0.000220196,0.000376290,0.000874401,0.000006168,0.000157649,0.014544572,0.007299819,0.011039336,0.011874430,0.000108231,0.000576544,0.000226043,0.000370416,0.115108043,0.065342173,0.001162522,0.000469909,0.009459200,0.001215878,0.065853909,0.020960866,0.339180380,0.246753857,0.102014251,0.129223466,0.005685667,0.010519836,0.000001161,0.000001317
0.000008659,0.131038055,0.092706360,0.011857199,0.027522480,0.016342642,0.000095220,0.000000599,0.000001076,0.064367980,0.029069109,0.052739553,0.054569919,0.015054440,0.080883779,0.202743590,0.070108183,0.156237230,0.152122170,0.429463863,0.252142191,0.012611777,0.017273128,0.000188433,0.001654451,0.004669785,0.000004974,0.000400038,0.070406042,0.010808310,0.019954534,0.028219745,0.000037017,0.001732465,0.000558001,0.001072258,0.609164000,0.343673378,0.000040000,0.000092340,0.080493733,0.013765353,0.139908239,0.016984377,0.133961618,0.067685723,0.028377797,0.037463948,0.001471146,0.001785962,0.000000883,0.000006172
0.000004708,0.359176874,0.298342139,0.000784623,0.006893586,0.003782711,0.000034573,0.000000254,0.000000389,0.082679749,0.070524715,0.093450919,0.092342585,0.005030889,0.305028528,0.309956104,0.018354187,0.102319136,0.106349714,0.361496329,0.439276695,0.007902198,0.007060662,0.000110608,0.001266016,0.002115390,0.000004448,0.000252855,0.022598783,0.007214510,0.039750364,0.046044573,0.000037455,0.000696764,0.000143278,0.000245633,0.409229368,0.193911999,0.000105693,0.000243406,0.031372134,0.004322487,0.204513803,0.022865912,0.070959881,0.035174783,0.049757313,0.024495544,0.000828900,0.001283873,0.000000666,0.000002176
0.000004351,0.198129132,0.156413108,0.006197649,0.025269158,0.006974950,0.000043502,0.000000327,0.000000405,0.141242296,0.129761189,0.188220903,0.208265215,0.008939699,0.194627464,0.237907425,0.028093522,0.055650432,0.042458683,0.537914991,0.330766976,0.007470806,0.003236820,0.000205519,0.000420907,0.002112143,0.000009824,0.000177410,0.008738210,0.012884077,0.113096341,0.132519022,0.000033730,0.000054364,0.000477159,0.000738814,0.212865621,0.165684432,0.000105106,0.004032857,0.020771449,0.004520839,0.073146470,0.014054816,0.022365194,0.021397525,0.027649993,0.068256304,0.001166146,0.002877285,0.000002348,0.000004051
