_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000912,0.082567386,0.006183805,0.238715529,0.001568291,0.025787190,0.000041550,0.000000259,0.000000300,0.289525300,0.181881040,0.394427747,0.390312582,0.374027133,0.008619483,0.009642965,0.351970166,0.023210257,0.022223642,0.643671632,0.482079417,0.002084579,0.002435972,0.000106509,0.025503745,0.279828578,0.000159079,0.021581721,0.061986972,0.001990592,0.000017349,0.000039344,0.005237533,0.019167325,0.003611307,0.007904308,0.014294344,0.005046183,0.115313500,0.000046186,0.048217058,0.120869905,0.003668392,0.002208455,0.000019973,0.000009073,0.000029811,0.000298816,0.000324390,0.000079165,0.000000370,0.000000558
0.000000849,0.032419626,0.008684771,0.300990045,0.005643048,0.027864514,0.000035086,0.000000269,0.000000437,0.198935971,0.104254879,0.274861515,0.286000252,0.365502030,0.009417743,0.008631336,0.342787951,0.035233032,0.037698038,0.616242051,0.540068984,0.003376486,0.005000213,0.000113563,0.033672318,0.248698324,0.000125835,0.019930039,0.050924368,0.001951071,0.000010336,0.000024500,0.005699614,0.024227677,0.003939026,0.007132817,0.011366050,0.005494994,0.146778747,0.000047416,0.054690134,0.180154428,0.002402452,0.001829565,0.000012587,0.000006162,0.000021984,0.000245619,0.000128236,0.000037212,0.000000424,0.000000629
0.000001464,0.064442553,0.015938954,0.238927484,0.002660822,0.018372221,0.000044660,0.000000302,0.000000516,0.200886413,0.104944907,0.288780928,0.298021406,0.346402824,0.009764981,0.010575788,0.319898814,0.033623386,0.035068501,0.616580248,0.541538537,0.003207454,0.004425085,0.000102872,0.025023909,0.212537333,0.000093937,0.020537453,0.047215540,0.001286754,0.000032582,0.000073067,0.002549827,0.017994506,0.002659585,0.005532091,0.028371429,0.007776532,0.036793623,0.000042316,0.076940171,0.231732234,0.004840620,0.002891192,0.000032066,0.000013199,0.000059323,0.000432813,0.000308444,0.000081422,0.000000353,0.000000916
0.000000868,0.061744701,0.032445598,0.172966287,0.004163024,0.012467946,0.000036601,0.000000252,0.000000419,0.148589745,0.088474110,0.279695332,0.290092587,0.307426602,0.011116377,0.012865321,0.276961684,0.031607985,0.034696065,0.546897054,0.515082598,0.004179544,0.005728167,0.000088703,0.021841532,0.219601408,0.000108808,0.016180789,0.015944161,0.001268690,0.000033241,0.000052905,0.002843394,0.010013713,0.003201763,0.005654032,0.020131273,0.007007776,0.036681432,0.000071626,0.055781268,0.190605640,0.003285822,0.002592671,0.000030838,0.000013364,0.000106018,0.000250086,0.000231609,0.000102485,0.000000329,0.000000747
0.000000910,0.043879587,0.020800689,0.156076252,0.007894169,0.027960438,0.000043435,0.000000287,0.000000465,0.132511765,0.086185105,0.255360156,0.269422501,0.262297064,0.014221496,0.014521822,0.244470477,0.035017967,0.037145849,0.516766250,0.516468704,0.004367338,0.006071782,0.000085714,0.033852059,0.187954679,0.000052702,0.016963730,0.011891035,0.001306162,0.000118169,0.000137188,0.001922156,0.011353673,0.003380862,0.005996351,0.029782282,0.008600962,0.027663065,0.000042279,0.084830195,0.131225586,0.004800206,0.002381580,0.000039919,0.000013090,0.000359604,0.000192017,0.000124285,0.000059785,0.000000298,0.000000779
0.000000977,0.030065341,0.014251851,0.177133784,0.013027090,0.043836508,0.000050751,0.000000367,0.000000514,0.115864359,0.070686705,0.245077133,0.263214916,0.265439659,0.012857826,0.014760686,0.244535685,0.034353074,0.035059199,0.510899842,0.452021450,0.005123666,0.007510414,0.000088110,0.042644691,0.200808689,0.000042261,0.015578578,0.010586016,0.001201032,0.000255116,0.000251869,0.002033173,0.019143153,0.003944331,0.006419784,0.036000334,0.009502714,0.019996878,0.000021335,0.079184234,0.090051055,0.006010403,0.003127115,0.000061727,0.000017014,0.000817147,0.000179820,0.000203158,0.000091018,0.000000340,0.000000952
0.000000951,0.032062627,0.015442615,0.169533461,0.010320056,0.035073210,0.000048054,0.000000253,0.000000531,0.129360512,0.089258909,0.232944280,0.248557284,0.241071746,0.016684772,0.015755026,0.230515271,0.039546579,0.042078413,0.535185456,0.496808678,0.004609382,0.006565950,0.000096399,0.030676937,0.167202577,0.000052169,0.022049712,0.016626723,0.001613557,0.000070926,0.000082709,0.001823185,0.016701460,0.002908290,0.005078163,0.038519200,0.009545955,0.026099391,0.000036762,0.091360345,0.166696802,0.003638335,0.001596037,0.000054708,0.000017148,0.000354700,0.000174711,0.000090675,0.000035656,0.000000303,0.000000710
0.000001006,0.036313452,0.017895918,0.180911556,0.007942825,0.029636791,0.000066061,0.000000330,0.000000572,0.127530053,0.086580455,0.309412986,0.317959070,0.292342603,0.012684271,0.010752531,0.284325600,0.028268481,0.027900303,0.541334450,0.498004466,0.004777618,0.006545664,0.000148778,0.020289212,0.197489291,0.000097363,0.016917275,0.012068967,0.002420113,0.000131240,0.000144532,0.001739339,0.008080970,0.006657518,0.011420622,0.044663955,0.017938986,0.009924239,0.000047929,0.078083746,0.161356226,0.002946299,0.001734819,0.000094485,0.000040049,0.000433211,0.000291187,0.000155717,0.000071461,0.000000322,0.000001090
0.000000945,0.021332774,0.007058750,0.288045853,0.013276391,0.062690459,0.000059747,0.000000325,0.000000643,0.115818903,0.084629074,0.265718132,0.287659943,0.268287420,0.013998071,0.013723403,0.255727947,0.035994213,0.032906484,0.551338196,0.438744366,0.005969384,0.008266095,0.000117288,0.030565634,0.171180069,0.000073300,0.017959556,0.015488160,0.001461230,0.000104943,0.000118180,0.001808531,0.007461120,0.004696805,0.008730003,0.049129304,0.008397834,0.028263066,0.000086515,0.106460564,0.211653545,0.003232409,0.001162151,0.000035828,0.000010203,0.000373168,0.000162187,0.000068955,0.000025058,0.000000439,0.000000888
0.000000931,0.019275356,0.008131963,0.257629752,0.018610118,0.079165511,0.000059902,0.000000383,0.000000561,0.080036715,0.066946201,0.240894884,0.265471995,0.226915210,0.015211399,0.020243904,0.205874920,0.037042160,0.034704722,0.509845316,0.432624847,0.008367869,0.010104232,0.000083633,0.036081169,0.193050921,0.000067957,0.014887015,0.006532676,0.002031976,0.000267387,0.000245104,0.001455179,0.010239562,0.005749045,0.008022180,0.038005788,0.014491664,0.020819927,0.000048784,0.135097712,0.202735648,0.005780634,0.001608730,0.000024176,0.000007597,0.000544344,0.000143575,0.000070644,0.000035805,0.000000389,0.000000962
