_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002166,0.445351303,0.429365546,0.000605480,0.001675381,0.003448291,0.000279548,0.000000336,0.000000302,0.322532594,0.259150624,0.156455100,0.151992708,0.005079758,0.327731371,0.341675222,0.020890299,0.091865502,0.098008811,0.646509171,0.654518962,0.002098600,0.001783144,0.001342960,0.001395425,0.053923983,0.000174040,0.001705560,0.022074880,0.030389054,0.000091387,0.000082489,0.013990695,0.000290178,0.048027918,0.083550721,0.055214483,0.035524301,0.002765188,0.000807651,0.003686988,0.011160841,0.000549621,0.016909814,0.140374213,0.119482972,0.003575979,0.003258811,0.093176648,0.158888102,0.000000450,0.000001984
0.000000841,0.389077455,0.375766009,0.000764568,0.002263776,0.004491809,0.000089860,0.000000118,0.000000160,0.347697049,0.269129336,0.147167593,0.144384593,0.006420077,0.317427725,0.327453732,0.020969840,0.095719554,0.108924247,0.605286598,0.661335349,0.001792276,0.001464593,0.000727644,0.000817748,0.020814441,0.000135460,0.001339564,0.024762303,0.023183387,0.000019373,0.000019123,0.015552245,0.000256812,0.011046632,0.019500289,0.043927725,0.016973529,0.007166581,0.001948018,0.001155472,0.006553493,0.000197552,0.006484763,0.055508099,0.043845598,0.002316004,0.001511092,0.007991422,0.012702037,0.000000540,0.000000756
0.000000554,0.404392272,0.407661200,0.000593831,0.002322977,0.004224452,0.000047687,0.000000062,0.000000117,0.366338104,0.294635177,0.147171870,0.147800431,0.005454554,0.320042342,0.362131447,0.021430690,0.095121197,0.103542872,0.611064076,0.674560070,0.001688671,0.001170994,0.000455679,0.000663093,0.010084840,0.000107642,0.001055661,0.021411972,0.021079741,0.000011985,0.000012103,0.010797176,0.000383971,0.004097381,0.006985553,0.032463446,0.014870053,0.012041929,0.002006999,0.001171001,0.006654429,0.000241229,0.004240451,0.014342549,0.013275460,0.001094052,0.000881397,0.002056414,0.002988017,0.000000474,0.000000423
0.000000631,0.407556891,0.415232807,0.000552083,0.002314243,0.004143862,0.000045975,0.000000067,0.000000121,0.364029586,0.289919585,0.142541826,0.140968576,0.005516756,0.315397918,0.357372105,0.021328066,0.097360857,0.107107483,0.600913823,0.685419381,0.001638569,0.001153192,0.000394531,0.000634869,0.009506923,0.000100865,0.001001572,0.019691944,0.015476597,0.000022722,0.000022812,0.007583545,0.000342960,0.003292690,0.006241590,0.036783893,0.013107977,0.010041428,0.001988701,0.001458623,0.005929585,0.000373411,0.004959082,0.012780082,0.010573013,0.001268858,0.000915295,0.002245429,0.003064441,0.000000475,0.000000459
0.000000601,0.374575317,0.376741022,0.000825849,0.002650762,0.005233778,0.000033229,0.000000076,0.000000129,0.355759799,0.214261949,0.122751668,0.115217552,0.005142645,0.206565872,0.411556631,0.038134620,0.097547121,0.110349648,0.551641583,0.625511706,0.001707886,0.001895851,0.000310368,0.000532808,0.003438659,0.000050327,0.000568104,0.026199540,0.015506966,0.000030278,0.000031736,0.003828015,0.000797868,0.001252504,0.002114055,0.049116217,0.017293287,0.011841476,0.001044396,0.001421443,0.002669660,0.000779335,0.005273732,0.021212278,0.016191490,0.001971314,0.001089038,0.001212161,0.001500839,0.000000563,0.000000486
0.000001413,0.401761144,0.383719385,0.000748475,0.002400594,0.004721301,0.000059940,0.000000132,0.000000210,0.338445008,0.222385570,0.145905003,0.137728751,0.004208316,0.292827100,0.394291133,0.024574110,0.085502438,0.094898917,0.560893059,0.605520487,0.001882165,0.001824056,0.000398351,0.000622011,0.006573213,0.000071272,0.000643378,0.042682342,0.018434590,0.000055755,0.000064404,0.004029761,0.000380955,0.002233198,0.004842063,0.094639562,0.026565032,0.004808650,0.001671019,0.002641352,0.004359701,0.001389040,0.012081009,0.035338074,0.025152069,0.001731598,0.001909564,0.005458265,0.006357929,0.000000667,0.000000967
0.000001183,0.410907686,0.402760834,0.000565226,0.002692285,0.004301438,0.000068603,0.000000145,0.000000193,0.344098032,0.207057744,0.163404912,0.147900105,0.003107311,0.319540083,0.449536890,0.023056285,0.075749435,0.085368462,0.539599717,0.607436657,0.001815742,0.002118945,0.000494758,0.000637599,0.007956919,0.000086401,0.000620871,0.039528120,0.025324482,0.000035998,0.000038722,0.006433528,0.000277105,0.003629510,0.006971235,0.074809380,0.023403700,0.006362714,0.002609923,0.001893517,0.004360255,0.000979969,0.014155041,0.036941968,0.026873956,0.001637565,0.001323013,0.010021261,0.012112305,0.000000688,0.000000971
0.000003438,0.497006148,0.474184483,0.000454020,0.002228186,0.004223516,0.000279948,0.000000450,0.000000289,0.366294563,0.250934154,0.178277314,0.158620670,0.002998972,0.327082068,0.460184097,0.023053218,0.074248463,0.079691969,0.582863808,0.641782463,0.001737126,0.001805509,0.000747777,0.000745902,0.021903316,0.000177705,0.001044973,0.014109208,0.019074764,0.000181267,0.000139455,0.005259231,0.000437745,0.014809371,0.024305159,0.069521345,0.037348926,0.004210601,0.000611075,0.005292526,0.010835070,0.002326484,0.024629502,0.531619966,0.387175024,0.009315089,0.003755560,0.116375118,0.164826617,0.000000430,0.000002317
0.000002191,0.454363316,0.399126887,0.000687151,0.003311768,0.006719929,0.000498987,0.000000818,0.000000683,0.393143654,0.209973976,0.165865168,0.134872898,0.001905298,0.387962043,0.554756761,0.020068666,0.079869576,0.099315442,0.531053543,0.701665163,0.001531849,0.002632124,0.001859513,0.000874935,0.054617651,0.000426753,0.001273562,0.005584192,0.009306991,0.000645220,0.000419496,0.006951227,0.002507972,0.119186468,0.170034081,0.026793845,0.031856172,0.003158666,0.000034536,0.007573269,0.018163774,0.001072445,0.014572805,0.630315602,0.522273421,0.067296289,0.014858637,0.285240263,0.339330167,0.000000323,0.000003009
0.000002502,0.423529685,0.343001544,0.001035831,0.004793795,0.010915076,0.000504939,0.000001047,0.000000889,0.379688472,0.233983979,0.211159542,0.157269865,0.001570160,0.424926698,0.596601605,0.017977223,0.061860800,0.081031904,0.487812638,0.695309997,0.001660245,0.002272314,0.002093975,0.000482919,0.039350837,0.000767633,0.000852269,0.005840241,0.009976089,0.001222076,0.000811476,0.005254072,0.001375772,0.153458282,0.208758458,0.036643904,0.037151672,0.002703477,0.000060442,0.009881545,0.015767740,0.001682890,0.017958697,0.591021180,0.483962953,0.102221482,0.023839762,0.311590284,0.375417471,0.000000464,0.000003355
