_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001283,0.000067746,0.000020304,0.857312918,0.780482233,0.700880647,0.000033577,0.000000545,0.000001471,0.017085733,0.002863263,0.193793848,0.193902194,0.151267663,0.089647219,0.030416692,0.056016967,0.055609781,0.045676716,0.105097644,0.057709426,0.039990682,0.196172208,0.000046681,0.004334005,0.111369625,0.000206059,0.047587104,0.003676531,0.002009354,0.000595534,0.001471900,0.000208427,0.002057880,0.001627558,0.001267045,0.036341321,0.074860714,0.019871797,0.000700940,0.422035217,0.462389022,0.040512349,0.001232327,0.000010494,0.000010176,0.000117130,0.003024060,0.000009465,0.000006132,0.000000502,0.000000381
0.000001050,0.000030501,0.000023090,0.833058476,0.788216710,0.707952380,0.000175036,0.000000644,0.000000707,0.442289233,0.351634085,0.607824385,0.606178701,0.241530225,0.060992967,0.013414003,0.108621836,0.010701611,0.006295529,0.496317923,0.504167080,0.001779814,0.000774667,0.000517307,0.019290213,0.229528889,0.000242025,0.035027575,0.003814043,0.007707658,0.000420275,0.000625996,0.001355754,0.001259096,0.026954236,0.028688276,0.053017534,0.151951864,0.003937425,0.000473908,0.045916148,0.159402132,0.003276886,0.000970693,0.000232393,0.000247297,0.000421386,0.004828807,0.000263062,0.000186100,0.000001487,0.000000949
0.000000978,0.000015229,0.000004468,0.914070249,0.916013658,0.907322645,0.000348103,0.000000931,0.000000874,0.504593611,0.422465950,0.706000626,0.713579178,0.179013282,0.079525739,0.024038039,0.074348293,0.007311744,0.003766208,0.474672735,0.448584378,0.001676831,0.000618455,0.001413482,0.016270727,0.321953893,0.000420879,0.027705302,0.007207539,0.021925317,0.000334082,0.000466224,0.002412953,0.000955943,0.086886957,0.085237518,0.073018976,0.255417228,0.001165646,0.000417187,0.012855170,0.068868726,0.001011128,0.000935593,0.003467102,0.004917928,0.001229570,0.019630235,0.000930692,0.000913039,0.000002700,0.000001577
0.000000971,0.000030213,0.000010587,0.846854150,0.890075088,0.868667245,0.000531875,0.000000895,0.000001059,0.556028724,0.467803866,0.726129413,0.784733653,0.211494073,0.140769213,0.022873553,0.040197153,0.007158775,0.002562606,0.487714112,0.472818345,0.001358372,0.000529826,0.002140922,0.036768824,0.382752478,0.000266549,0.022496495,0.006504414,0.042445254,0.001266774,0.001409399,0.001433096,0.001334576,0.147487298,0.125461295,0.082319997,0.412352383,0.000430558,0.000145943,0.011581436,0.045118645,0.001397144,0.001026325,0.014158096,0.023191027,0.004345168,0.047802448,0.001225647,0.001672326,0.000002907,0.000002391
0.000001023,0.000029069,0.000012171,0.875507653,0.823159099,0.791424274,0.000388131,0.000000879,0.000001038,0.572753072,0.511170149,0.720784962,0.774342895,0.194811136,0.130341142,0.025610955,0.045751881,0.007610906,0.002634571,0.521239519,0.428721577,0.001307804,0.000429758,0.001728339,0.019678373,0.362095028,0.000430456,0.038236555,0.004171191,0.032009173,0.001682515,0.002080074,0.001301190,0.000820634,0.082930058,0.074003883,0.057940830,0.334551871,0.000623587,0.000241971,0.015018148,0.054528553,0.001323423,0.000577812,0.006080793,0.010815005,0.003459860,0.056356288,0.000439119,0.000602215,0.000002406,0.000001706
0.000001358,0.000124148,0.000055931,0.664795697,0.588007152,0.517083585,0.000213974,0.000000880,0.000000530,0.500870585,0.412956417,0.626239538,0.578372240,0.317564785,0.125923559,0.010277689,0.057953622,0.010558278,0.009476224,0.587450743,0.618566513,0.001254105,0.000498115,0.000948769,0.007089578,0.337105751,0.000529148,0.041726645,0.001739025,0.019919898,0.004216769,0.004463181,0.001032764,0.000514858,0.033141058,0.032508209,0.027772103,0.222471669,0.000870779,0.000259005,0.012347028,0.026813459,0.001724410,0.000704908,0.003843510,0.007265660,0.005259134,0.054288406,0.000448758,0.000668815,0.000001249,0.000001116
0.000001703,0.000210962,0.000076268,0.642294288,0.557351887,0.536312342,0.000356886,0.000000973,0.000000626,0.500109255,0.368080318,0.624396741,0.625362277,0.234384879,0.044590108,0.012129623,0.168850183,0.009345064,0.006325205,0.559318423,0.509190679,0.001141095,0.000593900,0.001178364,0.006370838,0.325456172,0.000529081,0.032078024,0.004648359,0.019096555,0.001906076,0.002032894,0.001132825,0.000595079,0.042394176,0.048684340,0.089418113,0.323976249,0.000390536,0.000232423,0.014109360,0.030116631,0.001824511,0.001125001,0.013086503,0.021848144,0.005685630,0.035446040,0.001040514,0.001231370,0.000001164,0.000002053
0.000002643,0.000139521,0.000031195,0.679911673,0.598294914,0.597235441,0.000239058,0.000002098,0.000000492,0.343096763,0.262405097,0.483375818,0.477577865,0.147710115,0.048590589,0.024569085,0.121292159,0.019305581,0.012625530,0.594301701,0.453021348,0.002364963,0.001099843,0.000617960,0.004240063,0.308747441,0.000651038,0.026532857,0.002076003,0.005034933,0.044065148,0.047638770,0.000890144,0.000592384,0.015766874,0.017979657,0.051474750,0.118852280,0.000596660,0.000143069,0.019775715,0.019388691,0.006346765,0.003202953,0.003502473,0.003944169,0.017516350,0.044628918,0.001666149,0.001635763,0.000001560,0.000002363
0.000001754,0.000239729,0.000111838,0.562666833,0.492538929,0.492860973,0.000314877,0.000000551,0.000000373,0.340405047,0.387534291,0.483220249,0.455068469,0.125748962,0.061862841,0.035432156,0.090530001,0.022199579,0.015188093,0.512861848,0.626565158,0.002043201,0.000439407,0.000616415,0.019130491,0.262644738,0.000091278,0.034605898,0.004345174,0.006777138,0.010742478,0.010157187,0.000480762,0.003432842,0.029000381,0.032564819,0.102907091,0.208887577,0.000432976,0.000018991,0.029234862,0.026036378,0.005055833,0.001325412,0.004832592,0.004188266,0.012649545,0.012856077,0.001257153,0.001071698,0.000000723,0.000001269
0.000001941,0.000211400,0.000139045,0.588431895,0.477231711,0.385770023,0.000246398,0.000000793,0.000000527,0.222683609,0.249399647,0.401152521,0.371088207,0.092356130,0.070860490,0.052788254,0.066775173,0.030861890,0.022014836,0.526904106,0.608568072,0.003737445,0.001237648,0.000437890,0.014771827,0.330117285,0.000225576,0.032429162,0.006375186,0.007132901,0.021058973,0.024868689,0.000406511,0.001133789,0.026926089,0.033992752,0.099350609,0.166339174,0.000433658,0.000047494,0.043773729,0.031540006,0.009215272,0.001064992,0.001587377,0.001273831,0.006473836,0.012391047,0.000656475,0.000517838,0.000000880,0.000001760
