_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000003670,0.088423736,0.053909719,0.010915404,0.030609900,0.057144213,0.000013968,0.000000402,0.000000753,0.029439934,0.015991557,0.264081657,0.236641556,0.041420225,0.112970993,0.094106697,0.035279047,0.034444191,0.035328437,0.194226161,0.220791727,0.024161516,0.036137749,0.000044927,0.000073291,0.000312016,0.000026779,0.000075369,0.006165792,0.001048781,0.005426998,0.007568831,0.000480966,0.007313256,0.000076351,0.000067659,0.033098985,0.025107322,0.012696978,0.000084617,0.003883104,0.000604148,0.103519879,0.062782332,0.608273983,0.595573545,0.049235791,0.127397895,0.006064344,0.009675336,0.000001413,0.000001155
0.000002931,0.079924002,0.042162590,0.014786229,0.037318524,0.076661542,0.000013041,0.000000327,0.000000569,0.025785353,0.011101181,0.252822459,0.238391370,0.037994392,0.117323250,0.099963732,0.032813203,0.034573454,0.033799887,0.178884760,0.118626155,0.027916044,0.047041290,0.000032811,0.000071318,0.000248070,0.000024201,0.000055444,0.004070965,0.001277354,0.004103774,0.005067538,0.000524299,0.005668560,0.000068913,0.000051824,0.027152471,0.024177941,0.017409261,0.000149741,0.002745517,0.000397176,0.138019979,0.089477248,0.641616940,0.646360517,0.038413133,0.067346655,0.008052250,0.013905570,0.000001611,0.000000938
0.000002553,0.065220535,0.040524546,0.018990038,0.046452351,0.080325305,0.000014190,0.000000396,0.000000487,0.030952584,0.016913231,0.270738155,0.251055092,0.053650074,0.082519896,0.064529881,0.056804638,0.031977423,0.032455392,0.199561000,0.181106150,0.023204982,0.034349073,0.000042424,0.000076414,0.000267351,0.000023163,0.000065538,0.002918777,0.001083131,0.003253083,0.003797126,0.000739816,0.004676396,0.000095713,0.000070994,0.022613419,0.021638785,0.023903176,0.000178221,0.002765819,0.000420960,0.077792719,0.061508093,0.666921020,0.663291991,0.036487870,0.056720432,0.007358282,0.011236930,0.000001500,0.000001077
0.000003177,0.089036688,0.058714587,0.011246284,0.031966668,0.057083797,0.000013164,0.000000303,0.000000504,0.037530180,0.014281585,0.311447293,0.281098247,0.047238711,0.096330322,0.077918097,0.043606807,0.025013054,0.027342051,0.185779512,0.157257646,0.019383579,0.037590422,0.000024798,0.000098861,0.000359329,0.000021597,0.000100131,0.004591108,0.001208915,0.002236411,0.002776174,0.000490901,0.009993091,0.000050520,0.000036034,0.030469032,0.025967570,0.016799212,0.000094692,0.003813675,0.000742260,0.158935308,0.068978257,0.715619564,0.686017394,0.025491199,0.038479820,0.007177299,0.009497363,0.000000960,0.000000989
0.000003160,0.096305497,0.064152487,0.010738865,0.030451857,0.053687256,0.000014389,0.000000321,0.000000551,0.029161081,0.014044519,0.293495566,0.267890722,0.053680804,0.086415671,0.067965835,0.048839178,0.027478162,0.028607111,0.180417538,0.161515221,0.024879076,0.037501708,0.000032169,0.000089135,0.000345284,0.000024529,0.000086897,0.004374390,0.001176379,0.002668825,0.003275953,0.000554274,0.010157310,0.000071395,0.000051533,0.029668754,0.028329561,0.016055726,0.000081043,0.003797638,0.000655847,0.114032589,0.064455248,0.688615918,0.671162307,0.031021792,0.049583782,0.006264684,0.008694489,0.000001108,0.000001040
0.000003209,0.120970026,0.070777647,0.007293282,0.022122778,0.049210820,0.000014608,0.000000303,0.000000607,0.025638929,0.014143243,0.315740556,0.288079232,0.046349481,0.099432744,0.082624577,0.039939612,0.025878871,0.026879011,0.171761945,0.176656082,0.026236629,0.040435266,0.000032530,0.000121236,0.000418169,0.000023037,0.000107083,0.005631184,0.001070227,0.002259446,0.002977710,0.000500775,0.012647658,0.000069558,0.000053097,0.033327289,0.028333437,0.013771446,0.000060437,0.004629142,0.000921510,0.103026144,0.056642119,0.683806777,0.644897282,0.026513208,0.048322149,0.004436234,0.005694716,0.000000958,0.000001082
0.000003824,0.092932940,0.057981890,0.010993192,0.032145970,0.061813790,0.000015162,0.000000343,0.000000797,0.016424663,0.006860261,0.299506932,0.278830498,0.038916450,0.122544691,0.106592134,0.027843313,0.027099760,0.027218295,0.131378323,0.103367351,0.042727396,0.068499699,0.000028481,0.000119124,0.000420176,0.000024349,0.000100769,0.005322129,0.001063243,0.002993350,0.004114057,0.000565580,0.007927449,0.000066079,0.000050718,0.034379456,0.026740890,0.014294344,0.000110828,0.004476962,0.000842925,0.123316415,0.079049118,0.685189724,0.657123566,0.025260897,0.055606715,0.005993528,0.007794442,0.000001244,0.000001217
0.000002692,0.095534086,0.057841748,0.011708428,0.029625230,0.057239730,0.000026568,0.000000329,0.000000548,0.017240854,0.007827220,0.235816121,0.219288930,0.033272441,0.129376903,0.116139717,0.024998251,0.035066143,0.037108593,0.147012159,0.132661656,0.037060406,0.061027743,0.000066898,0.000144828,0.000676776,0.000025544,0.000117247,0.005003595,0.001127646,0.000984535,0.001222939,0.001394360,0.008835454,0.000324426,0.000296491,0.028663997,0.020746680,0.017851220,0.000080113,0.003494130,0.001116376,0.024498142,0.060537666,0.685854316,0.630503178,0.015452296,0.021529756,0.014952057,0.019119328,0.000001316,0.000001178
0.000004441,0.117520839,0.064554214,0.008896487,0.020345690,0.049885854,0.000197585,0.000001447,0.000001545,0.014687809,0.004756834,0.200713247,0.190191329,0.045497928,0.110495917,0.091835655,0.028171347,0.046038419,0.044644415,0.162641704,0.086990677,0.047453802,0.095021449,0.000392978,0.000135166,0.015342395,0.000395347,0.000905613,0.003814380,0.001492722,0.001189166,0.001294029,0.007190839,0.004086577,0.017609444,0.021111118,0.023027133,0.031459808,0.009924412,0.000063521,0.009798601,0.009449122,0.005052136,0.031298708,0.731277704,0.730341434,0.013821200,0.030686403,0.247538120,0.239305392,0.000000915,0.000003059
0.000005799,0.102004632,0.048359141,0.009716034,0.025091361,0.059081968,0.000460080,0.000002811,0.000002177,0.031816613,0.011240804,0.199952960,0.186456144,0.058136381,0.090417504,0.070313603,0.039585829,0.048136156,0.044040307,0.232858166,0.141044050,0.026146563,0.047756098,0.001104229,0.000112071,0.040282100,0.001126348,0.001902801,0.005154628,0.002672798,0.003276673,0.003383582,0.007346530,0.002013521,0.105022863,0.140473112,0.032083146,0.051398404,0.007141091,0.000074648,0.022325100,0.009989030,0.005566991,0.022245931,0.603471398,0.641453028,0.024872212,0.060966842,0.477473348,0.524335265,0.000000969,0.000004132
