_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001820,0.066960275,0.026571555,0.005819235,0.051354125,0.143130243,0.000014149,0.000000063,0.000000366,0.015562426,0.007824221,0.066711619,0.092971675,0.002639717,0.476758182,0.461349338,0.010832153,0.126179457,0.089600161,0.378045231,0.026833208,0.054858994,0.022817278,0.000058515,0.006828849,0.001511286,0.000003507,0.000488549,0.020991638,0.001048331,0.000224943,0.000552465,0.002253628,0.012755181,0.000104662,0.000135452,0.025860433,0.018179581,0.075941920,0.000133813,0.004928064,0.001310422,0.045827448,0.027449831,0.000843594,0.000680559,0.000332219,0.004965599,0.000258483,0.000174452,0.000001936,0.000000569
0.000002578,0.041627605,0.011909342,0.010393400,0.067669168,0.210607827,0.000021452,0.000000076,0.000000430,0.017120980,0.007379177,0.060002986,0.088968582,0.002816260,0.437793016,0.424297243,0.013243642,0.133441299,0.099342465,0.370395541,0.029464602,0.044670191,0.025629906,0.000058830,0.007041888,0.002247707,0.000003953,0.000774288,0.077892877,0.002177529,0.000102558,0.000255780,0.001736636,0.019799866,0.000106908,0.000147329,0.063975863,0.030500526,0.033409655,0.000107972,0.007465282,0.002036995,0.064715497,0.034828302,0.001944286,0.001265934,0.000281464,0.002753876,0.000449975,0.000234006,0.000001512,0.000000664
0.000002118,0.018216429,0.006202682,0.017473279,0.147507519,0.281138271,0.000018133,0.000000084,0.000000457,0.017905189,0.007597233,0.040615767,0.063480519,0.003076468,0.409910262,0.412916064,0.014151435,0.175243378,0.141781256,0.432519466,0.044786580,0.041918073,0.026169598,0.000051620,0.005984592,0.001992438,0.000005017,0.000662709,0.061994683,0.000762494,0.000113629,0.000279346,0.002404724,0.009101939,0.000101456,0.000172846,0.054431479,0.012526917,0.065303281,0.000260655,0.005872102,0.001871888,0.043905739,0.024618747,0.001035419,0.000519136,0.000336217,0.002388508,0.000275290,0.000133049,0.000002120,0.000000595
0.000001108,0.036408268,0.011706083,0.009888788,0.081724182,0.209772289,0.000015411,0.000000061,0.000000264,0.014612188,0.007738350,0.046371870,0.081204355,0.003507359,0.362533152,0.393812984,0.017707884,0.161404371,0.110877804,0.415700972,0.036912199,0.054139402,0.029118426,0.000048169,0.007603627,0.002748409,0.000008022,0.000979712,0.025851561,0.002685818,0.000018835,0.000028755,0.007907269,0.008782873,0.000134870,0.000159863,0.020657541,0.012386023,0.245068327,0.000576025,0.005232174,0.003459255,0.019357719,0.019381875,0.000420967,0.000305599,0.000209877,0.000448388,0.000107258,0.000100631,0.000001053,0.000000257
0.000001323,0.053096719,0.019499974,0.003840787,0.055415355,0.149891078,0.000029494,0.000000079,0.000000303,0.014194741,0.008652357,0.035129316,0.075065158,0.006361879,0.249634758,0.305428773,0.023011042,0.206249401,0.119715147,0.492495209,0.030736698,0.051634841,0.022557894,0.000084829,0.009425875,0.011550086,0.000014864,0.002496470,0.011794876,0.002589143,0.000043008,0.000080568,0.006280798,0.003537220,0.000775535,0.000880680,0.014901834,0.018572859,0.068143263,0.000622518,0.008344928,0.009801906,0.008542133,0.020305598,0.000204562,0.000228909,0.000106873,0.001145732,0.000233928,0.000270460,0.000001010,0.000000506
0.000000641,0.076292805,0.037302196,0.002098937,0.039476819,0.092405386,0.000015657,0.000000050,0.000000242,0.019527441,0.006558359,0.031283099,0.082101792,0.024597300,0.089246191,0.150495008,0.063528493,0.233463153,0.116171122,0.598645270,0.021574175,0.042933132,0.031514853,0.000047686,0.016504390,0.008562406,0.000013142,0.002153682,0.010226406,0.003120373,0.000013023,0.000021615,0.008991034,0.007595198,0.000436515,0.000434622,0.007167547,0.012599516,0.270527422,0.000488735,0.010369679,0.016625600,0.009219801,0.011261162,0.000048320,0.000049759,0.000042608,0.000292587,0.000043144,0.000057681,0.000000709,0.000000236
0.000000623,0.088808991,0.049675096,0.000962883,0.035879932,0.075279102,0.000019553,0.000000049,0.000000208,0.027587494,0.013536363,0.029377464,0.110909455,0.010115084,0.147246629,0.254400522,0.041715316,0.260110497,0.089310624,0.703761816,0.041395891,0.033852186,0.018047599,0.000059483,0.026625365,0.013852010,0.000016749,0.003010136,0.016015135,0.003159684,0.000007710,0.000015111,0.010603470,0.017899144,0.000668290,0.000612167,0.005203259,0.012240577,0.358721375,0.000182083,0.015500373,0.027088698,0.008414460,0.010301570,0.000027141,0.000026732,0.000019008,0.000231161,0.000043947,0.000051021,0.000000634,0.000000273
0.000000821,0.096285440,0.058781397,0.000912392,0.038003772,0.083386295,0.000014139,0.000000040,0.000000257,0.026540518,0.010195374,0.035313684,0.114312686,0.008633358,0.186176419,0.282053083,0.034284297,0.225560218,0.081499971,0.638303638,0.017655242,0.036945470,0.020365844,0.000039543,0.025054349,0.005048826,0.000008613,0.001046740,0.021150475,0.002619142,0.000015647,0.000035114,0.006405189,0.040294860,0.000230248,0.000234231,0.006724543,0.012223668,0.338385373,0.000090026,0.011517115,0.012228246,0.029723959,0.023373794,0.000045588,0.000038381,0.000022659,0.000398492,0.000076485,0.000071794,0.000001156,0.000000291
0.000000613,0.097185180,0.050394777,0.003080759,0.029217787,0.072457105,0.000011314,0.000000037,0.000000121,0.029986013,0.016375305,0.059693772,0.105340973,0.006495388,0.266038656,0.316564053,0.025843566,0.146120623,0.082776025,0.471026063,0.035224970,0.033734035,0.012507902,0.000043318,0.013207990,0.003985894,0.000008680,0.001064495,0.007243287,0.004740967,0.000024714,0.000035328,0.004566204,0.026571065,0.000223789,0.000149505,0.006976357,0.023242468,0.203013763,0.000112285,0.007843860,0.007226586,0.027268279,0.017195666,0.000104057,0.000115034,0.000076476,0.000296668,0.000055849,0.000074143,0.000000632,0.000000197
0.000001234,0.201877505,0.119537182,0.000684781,0.012504799,0.031821225,0.000026603,0.000000106,0.000000145,0.102220386,0.110164940,0.034247868,0.075034276,0.003930920,0.338135600,0.386475861,0.019158212,0.231144026,0.131525293,0.755584955,0.245182872,0.008801951,0.002059919,0.000115073,0.017159153,0.015371591,0.000014320,0.002504481,0.001970787,0.001424200,0.000500833,0.000833139,0.003772971,0.000999536,0.001411596,0.001291901,0.003345548,0.013381481,0.084830083,0.000667647,0.011255238,0.009734358,0.010327675,0.012587573,0.000054670,0.000074385,0.000148433,0.002974196,0.000124955,0.000202732,0.000000846,0.000000772
