_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002965,0.000307483,0.000275499,0.595878541,0.706681848,0.608796120,0.000720915,0.000007364,0.000003609,0.036174629,0.008891787,0.127966195,0.117789529,0.003582605,0.453864932,0.448333085,0.008577488,0.080423050,0.082298748,0.158344924,0.082239836,0.023131821,0.095920585,0.001221927,0.000110188,0.123690017,0.006802816,0.002542739,0.006279327,0.002848515,0.000274304,0.000266924,0.014720437,0.001974534,0.116581619,0.175259531,0.059389759,0.054258376,0.006113865,0.000435755,0.004419358,0.018815642,0.002093819,0.027212342,0.839043975,0.808025837,0.033021975,0.034488779,0.369999707,0.278540641,0.000004517,0.000005106
0.000003188,0.000235829,0.000241285,0.619844794,0.732919157,0.643666267,0.000976445,0.000007232,0.000004923,0.031241650,0.008075780,0.114498936,0.104777686,0.003035743,0.477329373,0.478657424,0.008269772,0.092630692,0.091850333,0.132116407,0.066771857,0.028465288,0.102183178,0.001493598,0.000126019,0.157529548,0.011641939,0.002855298,0.010056455,0.003558559,0.000230165,0.000220230,0.013923313,0.002609021,0.174362868,0.277132750,0.083897874,0.071448714,0.004519116,0.000335437,0.004539899,0.022958931,0.002134659,0.025840450,0.854657948,0.812454522,0.037127338,0.030958170,0.365145206,0.260537922,0.000005318,0.000005640
0.000002802,0.000233227,0.000205369,0.657557845,0.713722706,0.652788043,0.000945888,0.000006718,0.000004796,0.026731536,0.010094203,0.129859507,0.121407121,0.003598436,0.431103617,0.434691638,0.010210136,0.081706353,0.079351708,0.111766353,0.070955999,0.032299109,0.088182263,0.001490071,0.000178235,0.183102816,0.009589876,0.002916969,0.009046834,0.003809846,0.000239572,0.000223050,0.015902525,0.002343614,0.201273203,0.309153050,0.074934438,0.071698554,0.005639104,0.000358884,0.003960750,0.017611910,0.002087825,0.023289865,0.845997453,0.817793787,0.037576437,0.031926848,0.388954699,0.306652158,0.000005012,0.000005139
0.000001871,0.000116203,0.000088946,0.716049433,0.813653052,0.761932790,0.001042811,0.000006791,0.000004310,0.050949059,0.024408732,0.209207624,0.204876423,0.005140455,0.448000371,0.442096949,0.007464921,0.053038500,0.047229826,0.185805961,0.112572715,0.020107122,0.053472057,0.001671922,0.000280158,0.210655808,0.009321459,0.002350403,0.008788990,0.004944301,0.000329464,0.000275453,0.015267730,0.002547406,0.280159205,0.378655821,0.068498954,0.079422615,0.004685775,0.000269314,0.003507306,0.017485553,0.002017646,0.019823348,0.846611321,0.826203942,0.052832447,0.031834833,0.405355066,0.336999118,0.000005737,0.000004821
0.000001198,0.000117173,0.000067105,0.683714271,0.834161997,0.825489223,0.000891910,0.000011424,0.000002464,0.512181044,0.322161525,0.628224254,0.614650726,0.017098486,0.363195837,0.358593047,0.007020854,0.010162481,0.009824118,0.424726278,0.417460859,0.001285190,0.003717080,0.001805061,0.000156374,0.218707472,0.026503721,0.002224830,0.004444474,0.008473216,0.000680124,0.000449559,0.020457903,0.000818396,0.343204319,0.465348423,0.067374170,0.083821476,0.004255611,0.000727013,0.003203022,0.013721086,0.002018851,0.015287192,0.838736415,0.834111452,0.127269417,0.039330672,0.379897892,0.365353853,0.000006636,0.000003841
0.000001077,0.000068912,0.000033792,0.779143751,0.876029253,0.887627542,0.000830854,0.000012634,0.000003461,0.591334224,0.408591628,0.737594604,0.734352469,0.030869525,0.337835044,0.285629690,0.006838030,0.005631163,0.005691529,0.457033575,0.490045279,0.000845595,0.002409799,0.001793414,0.000314756,0.199642286,0.016363980,0.001983390,0.005135905,0.006082989,0.000934536,0.000607494,0.020858722,0.002267628,0.362797230,0.490303725,0.061886154,0.065829419,0.004104055,0.000249482,0.003263971,0.013034236,0.002106949,0.017019227,0.830171347,0.791355252,0.175508335,0.046382047,0.450383157,0.394639999,0.000007962,0.000003586
0.000001297,0.000071920,0.000037228,0.788045883,0.861626565,0.879852533,0.000826337,0.000014213,0.000004150,0.637034774,0.478188008,0.764686108,0.765171051,0.047183085,0.248827115,0.195499927,0.013495951,0.004879822,0.005099069,0.446237206,0.510491014,0.000671835,0.001885035,0.001884306,0.000323105,0.213329688,0.015369461,0.002652959,0.006203738,0.004655165,0.000861398,0.000605737,0.024539685,0.003641015,0.273634046,0.438899338,0.067974314,0.062551640,0.004294530,0.000183172,0.002771155,0.013356743,0.001785757,0.015630834,0.865399480,0.818109751,0.194011107,0.064328946,0.448923618,0.365445018,0.000007755,0.000004111
0.000001317,0.000067131,0.000033976,0.781024992,0.857801378,0.881350040,0.000886521,0.000014165,0.000004308,0.651158094,0.514160633,0.791419566,0.791486442,0.033859130,0.357865095,0.281009644,0.006774577,0.004221082,0.004263666,0.480294019,0.501328230,0.000662529,0.001660561,0.001971806,0.000420546,0.219050929,0.012530486,0.002801313,0.007423856,0.004780136,0.001178068,0.000869966,0.021306578,0.004198651,0.273586750,0.423625588,0.068553306,0.063008480,0.003789587,0.000131269,0.003218760,0.013265658,0.001868258,0.014387636,0.877533436,0.825972915,0.189841643,0.072946757,0.390663505,0.302186072,0.000008066,0.000004255
0.000001634,0.000096845,0.000052202,0.734549165,0.815635324,0.854986846,0.000925616,0.000014436,0.000004489,0.659640789,0.500998199,0.765111148,0.765282869,0.050332963,0.241480917,0.182078928,0.014636073,0.004941958,0.005057493,0.487775683,0.487675965,0.000633294,0.001602617,0.001982085,0.000435263,0.214415714,0.010624621,0.003081628,0.007338862,0.004478299,0.001163910,0.000874369,0.022213906,0.004591167,0.244652763,0.400914192,0.068794467,0.063820973,0.004103030,0.000130674,0.003332764,0.013482930,0.002002908,0.015664034,0.882714152,0.839675128,0.180725470,0.077072822,0.439383149,0.347628832,0.000007445,0.000004827
0.000002287,0.000296039,0.000139795,0.561842442,0.672263920,0.734319210,0.000906874,0.000011510,0.000003523,0.568064332,0.421934366,0.700603843,0.694993377,0.080287166,0.174922734,0.098006651,0.025054416,0.006995582,0.006799475,0.516524911,0.492436469,0.000874033,0.001966711,0.001542306,0.000847327,0.296065718,0.005359846,0.005093626,0.009955117,0.006144711,0.000926701,0.000697934,0.020138567,0.003822430,0.162979037,0.277755976,0.075990237,0.067949913,0.003939399,0.000153265,0.003832016,0.012894628,0.002340106,0.013156945,0.890613258,0.847536385,0.130410969,0.054414537,0.351379037,0.290974408,0.000004856,0.000005514
0.000001755,0.000275074,0.000069979,0.676621318,0.667236805,0.781484962,0.001092302,0.000012582,0.000003119,0.394900680,0.155416965,0.523776650,0.522955775,0.440399200,0.009539672,0.008571764,0.426434904,0.016315123,0.014543080,0.514408708,0.274714410,0.002123283,0.008552073,0.002323926,0.000520014,0.193422019,0.004672100,0.002662022,0.009058811,0.003905085,0.001244983,0.000973930,0.015872518,0.003481379,0.316342920,0.472385228,0.048371185,0.055743232,0.005532233,0.000119186,0.005757134,0.013966559,0.002490205,0.013359993,0.820680022,0.769189119,0.097031713,0.037870035,0.568076134,0.453288525,0.000003570,0.000006840
