_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000472,0.051626500,0.033369754,0.085490011,0.016541272,0.024580283,0.000069828,0.000000140,0.000000238,0.118537463,0.132145107,0.173927933,0.203731880,0.007572409,0.368485153,0.378387302,0.008422772,0.056179557,0.048756432,0.575826287,0.380837739,0.005197042,0.004152014,0.000466796,0.000612570,0.124729156,0.000584459,0.008970702,0.005902077,0.012118794,0.000057827,0.000039860,0.007615788,0.006318692,0.015485826,0.012638156,0.015953094,0.032775156,0.001465040,0.000036862,0.004725858,0.076587453,0.000073326,0.001608215,0.004347047,0.005683692,0.003183746,0.001106883,0.000512019,0.000851271,0.000000333,0.000000692
0.000000653,0.042602282,0.040167827,0.081041239,0.019686412,0.023857843,0.000118755,0.000000188,0.000000294,0.141522229,0.125507653,0.149683639,0.160666257,0.004861116,0.433368772,0.411442518,0.008491038,0.067308746,0.066875942,0.542377591,0.442229629,0.004175781,0.004257668,0.000749334,0.000468350,0.133917302,0.000712201,0.007263318,0.009812203,0.019963801,0.000061898,0.000040518,0.007275030,0.003669296,0.024593621,0.025901198,0.031499032,0.052525576,0.000638898,0.000049519,0.004140019,0.064274378,0.000070634,0.002009790,0.017107433,0.021932751,0.005093008,0.001634027,0.001265432,0.002293595,0.000000345,0.000001003
0.000000771,0.050087217,0.037089564,0.086084396,0.015253600,0.020962181,0.000100861,0.000000213,0.000000305,0.131327316,0.157247096,0.163138807,0.179011062,0.006332326,0.407683015,0.409840703,0.007027753,0.061208457,0.056552663,0.551690102,0.413444221,0.004504119,0.003361667,0.000678278,0.000357801,0.111118406,0.000641650,0.007806835,0.010013893,0.012399137,0.000099468,0.000074052,0.006912573,0.003189492,0.017460093,0.019091345,0.033454061,0.045662288,0.000688763,0.000053970,0.004235763,0.053303875,0.000084682,0.002470601,0.022062080,0.027194506,0.006351537,0.002997638,0.001496662,0.002390113,0.000000418,0.000001038
0.000000595,0.056745075,0.051537834,0.063191518,0.014568600,0.018014293,0.000118144,0.000000137,0.000000263,0.122337334,0.161373898,0.221420899,0.239638567,0.006707376,0.381517172,0.382751882,0.009216547,0.045726072,0.039808273,0.531901240,0.389847934,0.005629729,0.003682045,0.000749783,0.000557715,0.111877844,0.000459135,0.009070701,0.012987368,0.025407994,0.000025831,0.000017958,0.008989068,0.004353448,0.017132755,0.015598466,0.030256197,0.053597540,0.000781957,0.000057934,0.003522399,0.089363076,0.000051274,0.001935880,0.030199066,0.041699026,0.004887068,0.001480034,0.001459514,0.002800321,0.000000310,0.000000818
0.000000789,0.065393358,0.048091751,0.064913429,0.011724169,0.017626181,0.000143666,0.000000194,0.000000334,0.123329319,0.158043683,0.187169746,0.204359159,0.007237562,0.386894017,0.393288225,0.007701924,0.054630093,0.049070243,0.557950377,0.395790875,0.005310059,0.003641868,0.000811981,0.000535541,0.125021428,0.000558771,0.007829930,0.012042406,0.021648083,0.000079658,0.000051303,0.006015380,0.003481073,0.022025142,0.021686299,0.043027859,0.067332581,0.000356330,0.000043960,0.004566898,0.093733408,0.000075283,0.002313686,0.054983355,0.066530451,0.011472696,0.002687377,0.001705436,0.003195710,0.000000338,0.000001135
0.000001239,0.092103072,0.076205984,0.025211578,0.011260579,0.014981823,0.000162567,0.000000144,0.000000380,0.166592345,0.211948261,0.166692644,0.180877805,0.004996319,0.419319749,0.399995476,0.010030135,0.064560562,0.055650666,0.595154524,0.392663568,0.004138505,0.002201039,0.000755073,0.000476820,0.096759580,0.000519574,0.009293552,0.014271082,0.020306656,0.000024361,0.000016833,0.007321950,0.003644908,0.010697033,0.011952159,0.047737204,0.060141232,0.000712085,0.000076040,0.004613350,0.116783038,0.000085405,0.002676889,0.104609139,0.132337987,0.009252097,0.003979706,0.001653078,0.003619181,0.000000301,0.000000976
0.000001371,0.092973463,0.071292907,0.022821777,0.010977924,0.014036445,0.000126110,0.000000151,0.000000464,0.134094313,0.191162482,0.192500666,0.204098061,0.005009557,0.455871344,0.449785382,0.006609479,0.053812690,0.046792768,0.559486985,0.415796965,0.004622634,0.002632654,0.000623968,0.000573636,0.070638739,0.000308725,0.006955576,0.023607004,0.017685361,0.000038918,0.000030525,0.004544461,0.003874848,0.006411884,0.008486571,0.074672729,0.067670286,0.000544368,0.000068345,0.005922007,0.102417260,0.000145443,0.002870908,0.099321388,0.105568774,0.008619495,0.005106600,0.001224173,0.002110244,0.000000356,0.000001082
0.000001132,0.061873272,0.074230514,0.044686213,0.011784305,0.011765996,0.000096950,0.000000156,0.000000463,0.136702791,0.163647652,0.131439269,0.135517716,0.005254374,0.447949052,0.437780082,0.007601246,0.082728021,0.081134170,0.548208117,0.499666452,0.004125477,0.003058584,0.000596290,0.000597099,0.053834718,0.000262800,0.007531920,0.024759730,0.015419621,0.000018670,0.000014892,0.005309372,0.002993884,0.004585778,0.006759098,0.061672550,0.040826142,0.001134340,0.000103653,0.004255965,0.073175646,0.000114027,0.001806036,0.192096516,0.167913124,0.010561666,0.005459148,0.000696344,0.001094223,0.000000320,0.000000908
0.000001688,0.052256186,0.057667069,0.048882745,0.020313606,0.018773694,0.000125621,0.000000209,0.000000435,0.147257969,0.155046821,0.116124347,0.115999259,0.003857820,0.483355582,0.444253445,0.008572730,0.090112828,0.091059200,0.509249926,0.490353853,0.003716057,0.003437728,0.000451335,0.000693532,0.058079205,0.000242973,0.007245522,0.016777659,0.025793312,0.000022424,0.000015865,0.003490648,0.002264082,0.004164292,0.005180691,0.070916191,0.075225599,0.001020809,0.000149734,0.008635960,0.089923576,0.000306428,0.002544896,0.333730936,0.320489585,0.009221373,0.004210020,0.000825788,0.001635938,0.000000250,0.000001154
0.000001695,0.050972179,0.057150755,0.060849328,0.018641287,0.019827329,0.000157613,0.000000247,0.000000529,0.145060971,0.143744826,0.111157298,0.113929220,0.004329619,0.456380635,0.413925320,0.010125221,0.094562791,0.092177883,0.504613876,0.463861465,0.004171169,0.004041525,0.000547412,0.000680473,0.075493261,0.000311238,0.007994984,0.011581216,0.020862674,0.000032891,0.000022092,0.003736066,0.003080447,0.006896234,0.008071649,0.054232225,0.079583190,0.000833919,0.000078102,0.010559822,0.114307754,0.000235593,0.002174432,0.404159993,0.415060878,0.014390787,0.006809063,0.000820932,0.001765266,0.000000226,0.000001402
0.000001608,0.055309705,0.055441827,0.060890254,0.017695777,0.018772032,0.000149368,0.000000227,0.000000666,0.148549423,0.147276536,0.139591932,0.141941220,0.005706801,0.432216704,0.403707147,0.009218689,0.076256283,0.075855702,0.480850697,0.496778816,0.003902339,0.003972632,0.000564690,0.001015982,0.063573159,0.000171184,0.006375893,0.016897373,0.012793384,0.000062851,0.000046866,0.002568613,0.010490454,0.006155302,0.008306169,0.055143807,0.072002299,0.000561911,0.000015739,0.011227594,0.103333309,0.000250493,0.002113328,0.430817932,0.398972034,0.021172943,0.012038009,0.000918663,0.001550597,0.000000248,0.000001514
0.000002160,0.061368000,0.058993068,0.063331865,0.012677100,0.015202329,0.000182757,0.000000285,0.000000850,0.174056798,0.191178814,0.159020901,0.175399914,0.008488204,0.360015094,0.342940986,0.012976839,0.071765102,0.064439908,0.554131150,0.469789594,0.003542660,0.002798221,0.000617207,0.001015963,0.077721409,0.000204294,0.007520476,0.014069141,0.010360783,0.000098543,0.000075064,0.002678766,0.008774599,0.007124849,0.010841271,0.052678872,0.074103057,0.000521977,0.000016833,0.015513382,0.125583053,0.000299159,0.002264481,0.478100389,0.470130265,0.022596149,0.023334701,0.001104537,0.001837340,0.000000255,0.000001920
0.000002191,0.053633437,0.056637324,0.039911374,0.019074339,0.019102542,0.000171894,0.000000325,0.000000621,0.131896302,0.147804677,0.214250416,0.220064089,0.007798588,0.386470228,0.378932297,0.009323554,0.049123839,0.043455902,0.481680751,0.447551221,0.004804944,0.004554007,0.000428550,0.000823164,0.083357193,0.000324081,0.007226401,0.017270587,0.016972765,0.000049626,0.000037540,0.003192577,0.004256618,0.005820211,0.008107435,0.071662731,0.084481813,0.000791740,0.000055246,0.015834592,0.147776112,0.000460145,0.003371715,0.488345087,0.441288203,0.010798301,0.006914229,0.001416920,0.002389766,0.000000266,0.000001833
0.000002046,0.074279517,0.048997588,0.047199905,0.012469726,0.020285387,0.000290458,0.000000266,0.000000915,0.123196103,0.121611111,0.243017644,0.257496536,0.008423270,0.363823831,0.361350238,0.010002181,0.042554915,0.034633260,0.537150860,0.375205010,0.005918628,0.005207994,0.000956258,0.001186126,0.130015567,0.000306346,0.007666655,0.041201737,0.016434312,0.000055021,0.000044242,0.004555942,0.027548665,0.016341923,0.024445845,0.059759293,0.078262515,0.000387860,0.000004905,0.012742356,0.168212593,0.000185438,0.003059394,0.366564691,0.347616941,0.012471581,0.009880696,0.004112100,0.006196178,0.000000289,0.000002143
0.000002081,0.073066339,0.047281597,0.047566924,0.013077060,0.021672420,0.000298463,0.000000268,0.000000921,0.124206960,0.119418956,0.236785874,0.250221491,0.007765502,0.371272177,0.362683773,0.010395087,0.043943442,0.036036395,0.535579205,0.374458045,0.005806550,0.005323316,0.000965703,0.001115015,0.131820232,0.000326766,0.007922902,0.039639894,0.016658461,0.000055689,0.000044291,0.004391882,0.025436902,0.016184488,0.024392335,0.061280806,0.079585388,0.000368697,0.000005226,0.012849605,0.173280627,0.000184649,0.002999822,0.367271096,0.349108398,0.013030764,0.009939216,0.003916062,0.005947606,0.000000281,0.000002191
0.000001666,0.080663562,0.067389689,0.019847840,0.012339203,0.015938571,0.000344734,0.000000152,0.000000727,0.185190901,0.235118717,0.213449627,0.229297504,0.007663811,0.404162794,0.405373186,0.009511702,0.057042912,0.050644811,0.657731652,0.538410187,0.003564839,0.002067937,0.001128575,0.001349949,0.178322807,0.000506312,0.009739844,0.041800380,0.041294102,0.000031969,0.000021405,0.003223526,0.018977057,0.027238863,0.037685946,0.080552951,0.144786417,0.000174594,0.000006324,0.011649596,0.302049160,0.000119130,0.001407910,0.261046439,0.294481248,0.012252194,0.007582597,0.002457838,0.004556925,0.000000212,0.000001363
0.000000751,0.093394138,0.110310659,0.015323124,0.011969143,0.008851403,0.000100815,0.000000053,0.000000257,0.334500134,0.380408943,0.259194136,0.274894238,0.010411685,0.411054581,0.436326295,0.007954447,0.049116287,0.049602717,0.722458184,0.656558752,0.001703179,0.000775244,0.000432832,0.001422029,0.082370169,0.000164489,0.016260190,0.032457985,0.140243098,0.000007982,0.000004829,0.002289995,0.008596462,0.005091254,0.004439293,0.080171019,0.162706211,0.000639444,0.000059390,0.009085754,0.205552876,0.000100593,0.000572620,0.032160223,0.051817976,0.003455914,0.001166293,0.000144815,0.000345793,0.000000153,0.000000361
