_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000009501,0.804458439,0.783738494,0.000229739,0.000157666,0.000146739,0.000246942,0.000000363,0.000000291,0.591617703,0.458260238,0.548211396,0.542789161,0.037610568,0.125885129,0.120347545,0.041930664,0.011449579,0.014565218,0.669798732,0.760021806,0.000643121,0.000347767,0.000380901,0.004140058,0.014548720,0.000019311,0.002248677,0.014533564,0.017879700,0.000328161,0.000264996,0.002507781,0.001660715,0.004405317,0.008754694,0.095862314,0.057026379,0.003706487,0.000449567,0.021052193,0.048346456,0.025314115,0.048273481,0.493451148,0.317414045,0.003751585,0.002546364,0.347769231,0.402270854,0.000000313,0.000001731
0.000012032,0.849280000,0.819100380,0.000136898,0.000119817,0.000100048,0.000226590,0.000000427,0.000000449,0.616956830,0.455599278,0.537427425,0.532971025,0.052804738,0.102551006,0.092276536,0.050770402,0.011942955,0.015266627,0.660289288,0.738333225,0.000565322,0.000318528,0.000536366,0.002973993,0.012759110,0.000023324,0.002410588,0.020763682,0.013353257,0.000630192,0.000599823,0.002374089,0.001189477,0.004355550,0.010369880,0.125990033,0.063853830,0.002227963,0.000569692,0.017564792,0.032402545,0.026737863,0.059315462,0.357274503,0.220442891,0.005654431,0.008293123,0.411799163,0.432631522,0.000000493,0.000002092
0.000006961,0.844395995,0.817987442,0.000046641,0.000154931,0.000143665,0.000122094,0.000000209,0.000000272,0.570060551,0.416299671,0.516267419,0.497063637,0.051371127,0.105478115,0.094277158,0.044625588,0.013030917,0.016276544,0.619451642,0.704557836,0.000617939,0.000395988,0.000394801,0.002442676,0.006055353,0.000021328,0.001171920,0.038813014,0.024951305,0.000114373,0.000118801,0.003378705,0.002050525,0.002560831,0.004938574,0.104306549,0.069935754,0.004397928,0.000617834,0.007178761,0.020167330,0.021972446,0.076453902,0.229154661,0.159386575,0.001874789,0.003680780,0.317320228,0.372461677,0.000000568,0.000001028
0.000003304,0.848060668,0.860177517,0.000033111,0.000151181,0.000130911,0.000027139,0.000000087,0.000000104,0.536150455,0.355889916,0.547094345,0.501216531,0.056110293,0.093683951,0.084009200,0.060996126,0.011829209,0.014202483,0.625321090,0.665295124,0.000681680,0.000547080,0.000099759,0.000673203,0.001434301,0.000016884,0.000641696,0.040786333,0.030834325,0.000083938,0.000104932,0.001407722,0.004010653,0.000137415,0.000178504,0.049635325,0.041382752,0.011404762,0.000714223,0.001666444,0.002454110,0.067200713,0.092063636,0.066916898,0.066489585,0.001468453,0.003902235,0.061902199,0.077606745,0.000000538,0.000000375
0.000004458,0.823518455,0.830816388,0.000055784,0.000163929,0.000159718,0.000040213,0.000000122,0.000000111,0.546719968,0.440744191,0.510552227,0.471734315,0.125932038,0.039689418,0.038310006,0.125576362,0.013077916,0.013850401,0.628838062,0.653836370,0.000649807,0.000269249,0.000140632,0.000872859,0.002517798,0.000025365,0.000530433,0.040059581,0.025505753,0.000160209,0.000209631,0.002320073,0.004930840,0.000497380,0.000621790,0.077925958,0.075337470,0.004377626,0.000360549,0.003613494,0.005904455,0.045464020,0.145321310,0.031661682,0.030142974,0.001190606,0.002814704,0.084123045,0.098890416,0.000000660,0.000000571
0.000002021,0.857801855,0.865768611,0.000024519,0.000104631,0.000098472,0.000019519,0.000000063,0.000000068,0.543542027,0.378922105,0.458305120,0.418532073,0.114852488,0.050352592,0.044876229,0.112530075,0.016422231,0.021638714,0.675511241,0.715313554,0.000631813,0.000409213,0.000083465,0.001555409,0.004031474,0.000028294,0.001427061,0.025492575,0.020098072,0.000052644,0.000056878,0.002046792,0.008164581,0.000167924,0.000190584,0.054562476,0.049240671,0.012110126,0.000323240,0.003362928,0.011160526,0.021837160,0.040783070,0.008861670,0.008296410,0.001016138,0.001017431,0.003407258,0.004577458,0.000000300,0.000000260
0.000000946,0.816804826,0.834699631,0.000051736,0.000136348,0.000128254,0.000008218,0.000000061,0.000000059,0.552951097,0.386526227,0.418974698,0.393646061,0.106311940,0.052485690,0.053788353,0.107778594,0.022300625,0.027024727,0.732858598,0.711090624,0.000887319,0.000410702,0.000068571,0.001251903,0.003036587,0.000065144,0.001110026,0.005688922,0.002641941,0.000049950,0.000062984,0.007688149,0.001746202,0.000145568,0.000192333,0.008491436,0.005556492,0.180109411,0.002524843,0.000960176,0.004827463,0.005444904,0.023829238,0.000964365,0.000801823,0.000676708,0.001230024,0.000702395,0.000944290,0.000000717,0.000000203
0.000001586,0.798644841,0.805402517,0.000030240,0.000264961,0.000135251,0.000018724,0.000000103,0.000000111,0.550318480,0.280790836,0.380160809,0.352010429,0.074702181,0.064721376,0.077711910,0.085323438,0.023276115,0.032072354,0.692727506,0.663978219,0.000780054,0.000804068,0.000097663,0.001914808,0.016520070,0.000166390,0.002589041,0.014632945,0.003811051,0.000016978,0.000029266,0.012537898,0.003151355,0.000558124,0.001203458,0.009777896,0.006713045,0.121189505,0.001250563,0.004587368,0.029289830,0.005742959,0.044376019,0.000296092,0.000273671,0.000089396,0.000857611,0.003242626,0.003558508,0.000000555,0.000000329
0.000002520,0.806715965,0.821810901,0.000037243,0.000366340,0.000169980,0.000018347,0.000000104,0.000000162,0.603784263,0.310088843,0.438735425,0.399658114,0.078918844,0.058534782,0.072595894,0.088743955,0.017624712,0.024663083,0.585463166,0.630639315,0.000687698,0.000642354,0.000103727,0.001575050,0.010172841,0.000102597,0.001874000,0.026261078,0.002785066,0.000022741,0.000059494,0.009691126,0.004523153,0.000469975,0.001147776,0.011906594,0.008592675,0.089218698,0.000688401,0.003518448,0.012065102,0.009880882,0.070037939,0.000722759,0.000801558,0.000065511,0.004142851,0.012468250,0.011335159,0.000000907,0.000000507
0.000001455,0.849566877,0.852897048,0.000042408,0.000224826,0.000137477,0.000007471,0.000000070,0.000000055,0.579065442,0.394768357,0.441746563,0.410586476,0.073516451,0.067503691,0.074975394,0.074538685,0.020485155,0.022582060,0.620643377,0.674173117,0.000751180,0.000343520,0.000034145,0.001086798,0.003141866,0.000042120,0.001450708,0.002263043,0.006502965,0.000224829,0.000256216,0.001481353,0.001070148,0.000080015,0.000080853,0.011858964,0.020183774,0.065020576,0.003350251,0.003042671,0.003639581,0.038312182,0.036511991,0.000907580,0.001122074,0.000733672,0.002570882,0.000802951,0.001428717,0.000000531,0.000000239
