_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002830,0.000060740,0.000220993,0.634564400,0.634151161,0.477760524,0.000047954,0.000001389,0.000003258,0.132106841,0.047560807,0.242257208,0.220988095,0.002920909,0.625077367,0.604935467,0.002799909,0.037656218,0.044407070,0.260037959,0.349199772,0.005501397,0.016794637,0.000135985,0.000667488,0.013758396,0.000092659,0.004191345,0.057746038,0.006518499,0.005250731,0.007863199,0.000118711,0.001039591,0.000507218,0.001304980,0.507935405,0.170359462,0.001008690,0.000583691,0.154869571,0.012736382,0.057972878,0.005820802,0.009613578,0.004780270,0.007542639,0.024585022,0.000040543,0.000026509,0.000001349,0.000001513
0.000003470,0.000056000,0.000282308,0.641300082,0.654683173,0.449132949,0.000052969,0.000001443,0.000004512,0.090865903,0.031157991,0.211812839,0.191810459,0.002131518,0.658576787,0.630296171,0.002653235,0.042023379,0.051819116,0.206290528,0.284293324,0.007675345,0.023899911,0.000137323,0.000725864,0.016569499,0.000090808,0.004941415,0.060613517,0.006378023,0.005000809,0.008416952,0.000124186,0.001655897,0.000516045,0.001311523,0.457927644,0.187960371,0.001022480,0.000378204,0.191685751,0.016275773,0.059407998,0.006882695,0.008350798,0.004796767,0.005881019,0.035947815,0.000043316,0.000029109,0.000001238,0.000001699
0.000002461,0.000051869,0.000335917,0.644219279,0.649317145,0.350474954,0.000037123,0.000001293,0.000003176,0.113694049,0.048786893,0.250806749,0.222532853,0.002111330,0.697848201,0.679290712,0.001740869,0.035269327,0.043831490,0.206070319,0.365450591,0.006277783,0.017387692,0.000110337,0.000742690,0.017208189,0.000098888,0.004566458,0.052854750,0.007559763,0.003380620,0.006010278,0.000128993,0.001388896,0.000508090,0.001081306,0.349185675,0.174315706,0.001445752,0.000492505,0.209905759,0.021522230,0.066610776,0.006604383,0.003932820,0.002507371,0.003008419,0.024168549,0.000041363,0.000028871,0.000001118,0.000001266
0.000001986,0.000036711,0.000340841,0.604783952,0.690048695,0.365963012,0.000034498,0.000001262,0.000002925,0.100518569,0.050608259,0.223045290,0.197064310,0.002340483,0.726485729,0.717077374,0.001119371,0.039865881,0.050335992,0.193921298,0.347531289,0.007097036,0.017051885,0.000142470,0.000544598,0.012637027,0.000113242,0.003224905,0.047716010,0.006828588,0.003788010,0.006620675,0.000168501,0.001193977,0.000618414,0.001354873,0.314006448,0.156622872,0.001790091,0.000583479,0.123550735,0.011706436,0.046427719,0.006881580,0.005412424,0.003695510,0.003579841,0.028286321,0.000059103,0.000044411,0.000001758,0.000001099
0.000002395,0.000095408,0.000328387,0.626973093,0.572427392,0.366279274,0.000031477,0.000000945,0.000002186,0.136926860,0.061499063,0.211306795,0.190380752,0.002122370,0.618542969,0.581586957,0.004090841,0.046130084,0.052513190,0.217983916,0.360282421,0.005123001,0.013115936,0.000098357,0.000572983,0.013178074,0.000117632,0.003461541,0.046787620,0.007630618,0.001850236,0.003316879,0.000165410,0.001506059,0.000422977,0.000773415,0.299665689,0.163099170,0.001874253,0.000548125,0.154847965,0.019291434,0.059795637,0.006595961,0.002929549,0.002123826,0.001829470,0.017391292,0.000031518,0.000024698,0.000001109,0.000001195
0.000002158,0.000092264,0.000334556,0.585767984,0.617251813,0.350473195,0.000024520,0.000001456,0.000002714,0.078015387,0.041278780,0.241357431,0.211984292,0.002569682,0.675867140,0.663872719,0.001531831,0.037656751,0.045491636,0.188202962,0.340160280,0.008650195,0.021845559,0.000095163,0.000590028,0.013543253,0.000106871,0.003352903,0.024854898,0.003803394,0.007391397,0.014265979,0.000182274,0.000926464,0.000524435,0.001059496,0.191322565,0.100032076,0.003282645,0.000602829,0.185214490,0.014367769,0.071131937,0.008435139,0.001436783,0.001085720,0.002598677,0.035245080,0.000040273,0.000031777,0.000001449,0.000001172
0.000002278,0.000187816,0.000291793,0.620415926,0.538100839,0.394282430,0.000025995,0.000001660,0.000001165,0.134175956,0.074799493,0.230108872,0.207618594,0.003368699,0.517683506,0.481825083,0.005280430,0.041230347,0.042797789,0.252141029,0.374791324,0.005234907,0.009619010,0.000103520,0.000291648,0.008497411,0.000164945,0.001907248,0.007698725,0.006895199,0.008986494,0.013877083,0.000291431,0.000190079,0.000735843,0.001002646,0.125402495,0.119802259,0.004508551,0.003452683,0.092907742,0.005181627,0.059819587,0.014742668,0.001638305,0.002145247,0.002437880,0.026830662,0.000065604,0.000082216,0.000002025,0.000001377
0.000001519,0.000381159,0.001329264,0.365122199,0.481003851,0.232604280,0.000020907,0.000001134,0.000000767,0.176047161,0.095364228,0.271652579,0.244046763,0.003505745,0.562644958,0.539506197,0.003250722,0.034596398,0.037791837,0.308255404,0.523347855,0.003319531,0.007050192,0.000075864,0.000408148,0.010986818,0.000150537,0.002917727,0.007167375,0.013888135,0.004531248,0.006129920,0.000226491,0.000134616,0.000776365,0.000896036,0.097200193,0.140973270,0.004554550,0.005188458,0.110292561,0.006088992,0.059426285,0.009271835,0.001172767,0.001721730,0.001476903,0.012594718,0.000037833,0.000054051,0.000001231,0.000001138
0.000002802,0.000464809,0.001098878,0.345583856,0.516436279,0.332593501,0.000032289,0.000001478,0.000001172,0.151747271,0.060837027,0.206426054,0.190626115,0.003153630,0.486426830,0.435597867,0.007537871,0.044620566,0.046460059,0.291818649,0.349790514,0.004098839,0.010430917,0.000097709,0.000460851,0.008544625,0.000098067,0.001962544,0.009404416,0.007769221,0.007926576,0.012626588,0.000285793,0.000265308,0.000757398,0.000977480,0.115890048,0.124977596,0.003842904,0.002236944,0.109100185,0.004017961,0.078379676,0.022781106,0.001985177,0.002664649,0.001878628,0.024273442,0.000097635,0.000122380,0.000001744,0.000002064
0.000002675,0.000577191,0.001404691,0.250738770,0.513869762,0.302219748,0.000051159,0.000001387,0.000001266,0.149100065,0.077967107,0.246410280,0.237069204,0.002745155,0.494748831,0.446430743,0.007490947,0.037188850,0.036747128,0.272874951,0.385888577,0.004145182,0.009405394,0.000119396,0.001384487,0.013380637,0.000047510,0.002582713,0.013010884,0.006677446,0.011250532,0.016046349,0.000247432,0.000276843,0.001176195,0.001956074,0.152490556,0.107556969,0.002275883,0.001443959,0.153341368,0.007265181,0.072675787,0.020516150,0.001919909,0.001709217,0.002460868,0.013522806,0.000118916,0.000120339,0.000001453,0.000002824
