_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001460,0.000134330,0.000053135,0.578759670,0.859245420,0.858263373,0.000150222,0.000001253,0.000001342,0.024979703,0.005986944,0.024436334,0.021700213,0.006592035,0.360982150,0.343746722,0.007113891,0.299405724,0.300874263,0.351904243,0.117006049,0.020924276,0.066444509,0.000719476,0.000253481,0.124622621,0.002912066,0.007450094,0.008423067,0.000426534,0.000083645,0.000092042,0.065761745,0.002305818,0.014010039,0.032057479,0.046858162,0.003829390,0.022442173,0.000283409,0.000622910,0.005350834,0.000102433,0.009147436,0.128226131,0.050592117,0.042836044,0.017713359,0.001906811,0.001393482,0.000003614,0.000001160
0.000001796,0.000148093,0.000061236,0.566520810,0.862676620,0.858832896,0.000159209,0.000001847,0.000001706,0.019115703,0.004479015,0.028285153,0.024459170,0.005663619,0.372126848,0.345968574,0.007482702,0.268098086,0.277403355,0.253029197,0.084889568,0.025384065,0.088252313,0.000649961,0.000208603,0.150491402,0.003841416,0.005860509,0.008032082,0.000405744,0.000121146,0.000139911,0.097905390,0.001618582,0.012572961,0.027939955,0.034508880,0.003065752,0.032550357,0.000384268,0.000584233,0.004088433,0.000141954,0.017889097,0.207552135,0.093681440,0.061371606,0.032222304,0.005632496,0.004601962,0.000003796,0.000001463
0.000001536,0.000106234,0.000048771,0.584458113,0.885342360,0.894941509,0.000180036,0.000002501,0.000001619,0.022793103,0.004014831,0.033888873,0.032326303,0.007528681,0.345719904,0.319944233,0.007273615,0.230085477,0.238845006,0.325964957,0.081270769,0.020739250,0.110003166,0.000594639,0.000152776,0.169890553,0.004543939,0.004527972,0.004455544,0.000404557,0.000172371,0.000183382,0.138162926,0.003568365,0.016453344,0.031215798,0.015303459,0.002556083,0.043806463,0.000144478,0.000454551,0.003611196,0.000155587,0.020428326,0.383244783,0.205908984,0.092573002,0.048158336,0.017771965,0.016345685,0.000003337,0.000001534
0.000001684,0.000102730,0.000044996,0.602943659,0.892425835,0.905815661,0.000211359,0.000002460,0.000002163,0.018787106,0.002963953,0.027036179,0.024444355,0.007321455,0.343825102,0.321209639,0.007495100,0.270735383,0.282160908,0.282746762,0.067089625,0.025475930,0.129650831,0.000719372,0.000213889,0.204408303,0.004458642,0.004226599,0.006157242,0.000400289,0.000154303,0.000173213,0.138666704,0.004679766,0.023838773,0.048196103,0.018485371,0.002928298,0.035399213,0.000105027,0.000472963,0.003652625,0.000127062,0.019078463,0.405705392,0.221954793,0.078753963,0.056345966,0.017106421,0.015291285,0.000003825,0.000001725
0.000001783,0.000124166,0.000066064,0.571945071,0.871581852,0.863409877,0.000163481,0.000002504,0.000002137,0.022632008,0.003721235,0.029531177,0.022780046,0.007159890,0.357649893,0.337886482,0.006382233,0.260499746,0.280741125,0.240738943,0.088238508,0.022369487,0.107840046,0.000754110,0.000098163,0.169803694,0.008157158,0.003157911,0.009474045,0.000311126,0.000174764,0.000214176,0.172050595,0.004380660,0.020002341,0.045438111,0.021061338,0.002351227,0.042142581,0.000104263,0.000472263,0.003520472,0.000119945,0.022447651,0.289808810,0.146869525,0.081918873,0.062109206,0.021750059,0.017635703,0.000004096,0.000001524
0.000001592,0.000147860,0.000062516,0.557779670,0.865556955,0.876062870,0.000207342,0.000002557,0.000002168,0.022494875,0.003192774,0.027988801,0.022533078,0.006194082,0.378884345,0.356129825,0.006214848,0.265046507,0.279113680,0.226212457,0.066763937,0.023186870,0.121401392,0.000792826,0.000127247,0.215320870,0.009555427,0.002821003,0.009231267,0.000298801,0.000318994,0.000360811,0.114296451,0.002567877,0.032363836,0.078615993,0.033270366,0.002760259,0.025275666,0.000138532,0.000545067,0.003427728,0.000151923,0.030168597,0.157165065,0.064366952,0.109808579,0.041463930,0.023573333,0.018409040,0.000005575,0.000001758
0.000001816,0.000173635,0.000078708,0.511674404,0.839224219,0.849405825,0.000174108,0.000002679,0.000002098,0.026817720,0.003796861,0.033427209,0.026290765,0.007104644,0.378912628,0.358109325,0.005377593,0.228580728,0.249767631,0.236149520,0.078672782,0.018767666,0.105689935,0.000655725,0.000140429,0.199151427,0.007257664,0.003825333,0.010342059,0.000271847,0.000360081,0.000434940,0.114387393,0.002898999,0.020171624,0.050775688,0.034468316,0.002668125,0.031681251,0.000135003,0.000660448,0.003221072,0.000193545,0.030187288,0.156974658,0.063334584,0.092380524,0.040199641,0.019051896,0.014083575,0.000004867,0.000001698
0.000001563,0.000334824,0.000190083,0.406539768,0.730608284,0.750572801,0.000156828,0.000002213,0.000002046,0.024636829,0.004516286,0.042591438,0.034297470,0.007343504,0.384878397,0.365488529,0.004891293,0.186700165,0.207634762,0.203243107,0.090619504,0.021034274,0.096758448,0.000684949,0.000146635,0.190992683,0.006496813,0.003169680,0.011786366,0.000209769,0.000514870,0.000638704,0.126445800,0.004391409,0.021560244,0.058118619,0.027076034,0.001925019,0.034013208,0.000067557,0.000615319,0.003164017,0.000148382,0.025140725,0.131611928,0.048534751,0.100394771,0.035714954,0.020174848,0.013830706,0.000004438,0.000001692
0.000001157,0.000121231,0.000052848,0.605996549,0.857203126,0.875161409,0.000175339,0.000002573,0.000002534,0.011339856,0.002424873,0.039971035,0.036385082,0.009868430,0.355100244,0.341562808,0.005063976,0.210900694,0.223673150,0.142489970,0.048799474,0.047641031,0.177075550,0.001014840,0.000123241,0.145194083,0.007800244,0.001637491,0.006832550,0.000322981,0.000953639,0.001103075,0.156929910,0.002597526,0.041478369,0.092477679,0.014083052,0.001696903,0.040565141,0.000092760,0.000462770,0.003070558,0.000095922,0.023983354,0.152943805,0.072777078,0.145237908,0.077222079,0.023410464,0.019877864,0.000006473,0.000001551
0.000001081,0.000084853,0.000043308,0.644173503,0.811763883,0.834513247,0.000167856,0.000002991,0.000001307,0.040622793,0.011577239,0.052105617,0.049437631,0.013555598,0.302688092,0.290775657,0.006409144,0.165406093,0.186386034,0.355687976,0.132743552,0.015089003,0.052433874,0.000816405,0.000196304,0.207885176,0.005701483,0.003500882,0.005478427,0.000427247,0.000921183,0.001024247,0.107865140,0.001610439,0.030143069,0.066299081,0.016164934,0.002234694,0.039706524,0.000161991,0.000593403,0.003378461,0.000108912,0.018540876,0.087935410,0.042652495,0.087209411,0.046906602,0.010206121,0.008714069,0.000005334,0.000001594
