_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000010693,0.165877238,0.120682821,0.076585330,0.003694320,0.004111071,0.000678748,0.000003647,0.000000782,0.260092646,0.225560993,0.144803897,0.145071343,0.045338850,0.107348137,0.112011366,0.069194496,0.093967624,0.087982297,0.426011443,0.501482010,0.003679795,0.002912062,0.001108500,0.002754811,0.062051520,0.000054698,0.006344354,0.008139813,0.089251779,0.001826039,0.001085175,0.001335048,0.000465399,0.019712195,0.027796660,0.101370402,0.222925067,0.000633224,0.001437404,0.047299948,0.108964935,0.012511761,0.015846729,0.854320765,0.878611147,0.055761449,0.023410527,0.056857586,0.122409321,0.000000481,0.000007213
0.000009411,0.132159963,0.099452123,0.085376859,0.004861125,0.005357960,0.000798927,0.000003415,0.000000735,0.236171469,0.230028331,0.140971512,0.145965010,0.037273251,0.119684398,0.126421958,0.061556317,0.095561303,0.085708588,0.410076141,0.497284204,0.004160849,0.002943795,0.001292485,0.002617756,0.070147343,0.000069108,0.005944236,0.008282562,0.093364894,0.001150667,0.000665805,0.001569745,0.000606650,0.030238535,0.043248944,0.102653809,0.254701108,0.000624949,0.001090535,0.044546377,0.131915554,0.009930942,0.015760127,0.844649494,0.874874473,0.046106912,0.018899636,0.080159411,0.164917111,0.000000505,0.000007045
0.000010778,0.162026972,0.132434815,0.056610260,0.004484947,0.004216340,0.000837079,0.000004088,0.000000886,0.246395573,0.235125154,0.122130305,0.127823502,0.057224769,0.085150063,0.097320892,0.087519549,0.113581643,0.103317365,0.437857032,0.505822301,0.004196305,0.002988458,0.001514095,0.002220715,0.074339315,0.000074600,0.008072244,0.007420361,0.111180566,0.001354827,0.000748374,0.002086276,0.000378475,0.033953067,0.047250539,0.098960549,0.249639332,0.000741167,0.002105368,0.038233627,0.120838180,0.009561094,0.013696754,0.867961884,0.905538976,0.073438503,0.029392758,0.127205789,0.274027586,0.000000496,0.000006988
0.000011119,0.167178765,0.135295153,0.053828936,0.004464731,0.004177054,0.000832816,0.000004082,0.000000913,0.242191657,0.235502213,0.121615037,0.127898052,0.055547401,0.088479415,0.099753588,0.085110009,0.113709517,0.103568457,0.441869825,0.505445242,0.004263470,0.003055995,0.001477357,0.002331829,0.074123010,0.000071217,0.008237125,0.007580903,0.123063259,0.001331609,0.000722122,0.001933605,0.000337877,0.031135477,0.043114677,0.103357077,0.256778866,0.000677942,0.002486128,0.039347235,0.128026098,0.009843995,0.013614668,0.872107148,0.910356939,0.077391624,0.029947521,0.114896476,0.260573626,0.000000490,0.000007032
0.000009374,0.132032648,0.096810266,0.087226070,0.005012010,0.005647832,0.000811898,0.000003449,0.000000753,0.239416778,0.233196169,0.142818406,0.148643017,0.037141439,0.120399527,0.127592266,0.061890554,0.095405631,0.084834740,0.410300016,0.492182285,0.004150298,0.002954521,0.001327768,0.002684081,0.069354303,0.000068855,0.005790887,0.008312770,0.093793437,0.001175104,0.000681728,0.001566675,0.000588578,0.030663773,0.043970279,0.105904035,0.259522200,0.000597674,0.001121591,0.043652192,0.133794054,0.009726179,0.015389093,0.850316763,0.878648698,0.048900537,0.019713856,0.077758588,0.159389511,0.000000522,0.000007246
0.000009467,0.245906606,0.164709166,0.025503432,0.002455757,0.003540445,0.000713786,0.000003094,0.000000697,0.281571746,0.259668171,0.128743157,0.146704316,0.046388142,0.099312551,0.112528533,0.077300459,0.107067950,0.089005589,0.482436150,0.503618956,0.003319114,0.002201707,0.001431564,0.002857728,0.060610272,0.000053781,0.006483242,0.007245707,0.088439673,0.001157251,0.000674442,0.002490015,0.000354717,0.027114743,0.039748598,0.081029616,0.192349985,0.001049326,0.002185168,0.027748745,0.079000697,0.008758675,0.016079750,0.859535933,0.893873692,0.049356781,0.025647262,0.102633394,0.223426551,0.000000496,0.000005953
0.000009697,0.174003586,0.113908246,0.047624264,0.003978495,0.005007647,0.000651334,0.000004116,0.000000799,0.259644002,0.221739978,0.130402863,0.136372909,0.035832934,0.142389402,0.142801687,0.052760359,0.107450344,0.097101294,0.447576821,0.498656213,0.003560656,0.003154233,0.001204290,0.002428660,0.052974187,0.000057640,0.005921243,0.005025724,0.094468072,0.003440112,0.001854045,0.001351211,0.000209250,0.018654106,0.023276383,0.080932945,0.186808094,0.000572116,0.003223846,0.039783843,0.109205052,0.013432487,0.016313691,0.862722814,0.888486505,0.115972787,0.031240446,0.068892181,0.158621997,0.000000523,0.000006558
0.000008000,0.228386000,0.149191156,0.035206042,0.001858469,0.002943048,0.000332376,0.000001699,0.000000414,0.273055583,0.202940717,0.158340096,0.148007214,0.028957827,0.155103013,0.155355155,0.040135160,0.077628061,0.081419304,0.397968978,0.512797296,0.002658225,0.002384069,0.000564937,0.002996164,0.049955852,0.000031707,0.006932657,0.010208150,0.061860997,0.001942733,0.001339527,0.000642746,0.000451680,0.005473835,0.008170074,0.089019679,0.150055870,0.000740596,0.001080746,0.069441244,0.094883829,0.014394771,0.010756944,0.767219186,0.768627524,0.017647726,0.012096995,0.006560975,0.013928493,0.000000260,0.000004391
0.000007291,0.263528645,0.189070657,0.021579703,0.002168716,0.002907975,0.000189934,0.000001404,0.000000347,0.289915621,0.266834199,0.182599813,0.192231908,0.034005631,0.133721605,0.146294490,0.058976334,0.071744889,0.069065571,0.432163984,0.512375593,0.002854268,0.001881580,0.000329509,0.001513566,0.019116865,0.000025011,0.005176446,0.007214413,0.101459049,0.002659437,0.001564869,0.000283373,0.000297960,0.001177807,0.001359657,0.110968895,0.190234646,0.000662413,0.003201442,0.058333572,0.063959494,0.033973347,0.007581969,0.818625808,0.846173465,0.044990133,0.018566031,0.002162961,0.005548164,0.000000230,0.000003056
0.000005613,0.262836128,0.162641212,0.047035079,0.001617289,0.002292509,0.000094982,0.000000627,0.000000316,0.329922080,0.252221107,0.235669285,0.230689794,0.032259244,0.120556951,0.133249849,0.053953107,0.050628521,0.052182697,0.443017215,0.528335452,0.001881952,0.001645654,0.000150305,0.002446974,0.022827467,0.000022028,0.007276694,0.014698903,0.130372360,0.001506812,0.000865554,0.000083146,0.000356562,0.000543269,0.000531399,0.192728743,0.276485682,0.000368112,0.001932198,0.189892590,0.146327198,0.052813340,0.003015930,0.615226388,0.639494061,0.021830603,0.008884033,0.000117943,0.000270567,0.000000097,0.000002000
0.000005456,0.242808104,0.170609891,0.035200693,0.001729409,0.002202521,0.000276913,0.000001395,0.000000419,0.283646047,0.235326037,0.229788914,0.223861247,0.032636866,0.129298583,0.137553811,0.052223608,0.054512564,0.054640107,0.423592865,0.544888139,0.002834575,0.002279547,0.000545166,0.002665724,0.045273017,0.000040360,0.006015306,0.006767417,0.076014698,0.002834556,0.001615871,0.000445797,0.000146629,0.005570934,0.006838124,0.080516949,0.147847071,0.000545573,0.003065190,0.072220080,0.122348167,0.009371256,0.005293412,0.707403064,0.747750223,0.026683360,0.013333211,0.001990190,0.005046767,0.000000228,0.000004128
0.000006362,0.184603453,0.119313024,0.035913222,0.002736287,0.003878063,0.000167612,0.000001186,0.000000327,0.258334041,0.200480714,0.206541121,0.208548218,0.038191680,0.120662704,0.123790964,0.051697720,0.058861662,0.055932771,0.416103214,0.468214035,0.003050733,0.002457869,0.000253315,0.002121505,0.021763414,0.000020771,0.004673994,0.007102048,0.058236975,0.002925796,0.001882949,0.000282432,0.000172208,0.001296999,0.001456330,0.078696601,0.130553052,0.000719414,0.004234299,0.079790927,0.069209643,0.029829234,0.009214684,0.724044263,0.765907168,0.014958486,0.010832450,0.002190076,0.004854843,0.000000244,0.000003386
0.000006334,0.181749433,0.115219653,0.035990812,0.002812796,0.004079733,0.000172640,0.000001212,0.000000336,0.258636504,0.199827999,0.207463533,0.209417984,0.039553516,0.118638791,0.121664457,0.052538298,0.059117042,0.055956919,0.419787139,0.468139380,0.003084073,0.002494608,0.000264946,0.002187433,0.022326844,0.000020963,0.004687965,0.007183962,0.059859008,0.002937887,0.001888894,0.000280003,0.000168280,0.001396090,0.001580599,0.081015676,0.135727689,0.000681762,0.004237096,0.079968952,0.071601383,0.028764330,0.008874827,0.728042722,0.770153761,0.015484532,0.011301718,0.002178245,0.004841018,0.000000248,0.000003455
0.000006401,0.183019593,0.117946319,0.034309458,0.002844498,0.004046820,0.000181371,0.000001235,0.000000342,0.255265951,0.201760992,0.210118189,0.213182583,0.038983639,0.119252115,0.122616462,0.052979235,0.058511637,0.054980729,0.423395157,0.469536185,0.003154882,0.002490800,0.000273779,0.002180189,0.023353724,0.000021537,0.004845246,0.007127595,0.060112547,0.002827922,0.001816145,0.000295979,0.000162259,0.001481854,0.001698296,0.080028288,0.133910090,0.000685805,0.004431663,0.076946802,0.072156139,0.027545691,0.008944267,0.734546304,0.776393890,0.015776414,0.011489705,0.002430522,0.005455517,0.000000250,0.000003555
0.000006396,0.183443859,0.118843898,0.035995308,0.002828717,0.003940727,0.000162440,0.000001172,0.000000327,0.257658482,0.200401917,0.206610546,0.209277317,0.038518175,0.120031811,0.123295173,0.052266214,0.058989245,0.055796482,0.417646527,0.464416176,0.003094174,0.002457998,0.000243255,0.002080717,0.020858569,0.000020157,0.004577493,0.007075705,0.060112834,0.003010551,0.001928070,0.000263376,0.000169004,0.001193923,0.001321268,0.080885582,0.133632481,0.000695770,0.004411244,0.080783315,0.068922289,0.032583605,0.009061243,0.727910757,0.769112170,0.015731912,0.011052870,0.002097945,0.004686945,0.000000242,0.000003343
0.000006395,0.183457151,0.118871771,0.035731800,0.002831785,0.003942597,0.000163950,0.000001180,0.000000326,0.257566392,0.200957850,0.206900358,0.209739506,0.038652170,0.119712532,0.122942716,0.052402612,0.058906998,0.055632304,0.418197960,0.464278877,0.003096819,0.002448125,0.000245861,0.002060137,0.020876784,0.000020292,0.004569422,0.006976535,0.059817232,0.003040984,0.001944744,0.000267142,0.000166816,0.001215178,0.001344986,0.079860225,0.132560849,0.000701225,0.004465943,0.079902917,0.068240732,0.032158758,0.009161836,0.728118539,0.770071626,0.015779221,0.011137289,0.002171736,0.004860187,0.000000244,0.000003353
0.000006337,0.188205540,0.121623643,0.035280172,0.002622809,0.003775632,0.000167361,0.000001179,0.000000327,0.260721266,0.200804755,0.207307518,0.209498093,0.038319882,0.120780893,0.123785615,0.051654037,0.058655277,0.055730861,0.417357564,0.468605280,0.003019245,0.002447042,0.000255150,0.002153354,0.021574231,0.000020400,0.004595226,0.007153473,0.057135452,0.002950257,0.001907846,0.000284197,0.000180054,0.001304014,0.001465680,0.078725040,0.130542994,0.000721881,0.003987423,0.079097599,0.068784535,0.029925426,0.009266217,0.725325227,0.765162885,0.015051972,0.010911875,0.002241350,0.004925510,0.000000244,0.000003379
0.000005676,0.193612561,0.127593815,0.035725754,0.002455588,0.003580015,0.000159953,0.000001129,0.000000310,0.256051034,0.195711419,0.205811754,0.206971437,0.041282415,0.112964518,0.115764037,0.054049805,0.058006413,0.055629935,0.407358557,0.462376207,0.003061671,0.002513948,0.000261838,0.002220796,0.020620177,0.000019444,0.004122840,0.006593165,0.054458387,0.002809672,0.001792116,0.000311467,0.000207912,0.001389127,0.001531759,0.071207628,0.123637222,0.000792659,0.003300847,0.070985131,0.064622782,0.026062855,0.009155522,0.722868323,0.763451397,0.015556291,0.010513991,0.002150414,0.004741789,0.000000246,0.000003180
0.000005545,0.191739202,0.125402242,0.035984196,0.002508096,0.003640216,0.000155093,0.000001092,0.000000303,0.259258479,0.196822941,0.204146683,0.205142736,0.040959273,0.113130592,0.116302207,0.054282568,0.058659855,0.056359947,0.407546312,0.462337285,0.003017135,0.002492160,0.000256583,0.002200867,0.019931262,0.000019046,0.004085894,0.006593549,0.054075193,0.002783464,0.001774836,0.000301157,0.000216037,0.001318177,0.001453389,0.071999162,0.123723716,0.000801052,0.003165785,0.071239062,0.063665293,0.026247490,0.008811916,0.720278561,0.759454250,0.015504899,0.010263381,0.001934037,0.004236575,0.000000241,0.000003093
0.000005549,0.191753954,0.125357613,0.035991892,0.002507031,0.003642519,0.000155323,0.000001094,0.000000303,0.259259701,0.196792200,0.204185471,0.205176800,0.040973485,0.113101646,0.116272852,0.054299496,0.058648854,0.056344632,0.407542050,0.462347984,0.003016935,0.002492583,0.000256938,0.002204176,0.019964885,0.000019048,0.004089878,0.006598908,0.054019336,0.002782858,0.001775403,0.000301768,0.000216456,0.001321853,0.001458026,0.072005026,0.123766564,0.000801392,0.003156565,0.071251288,0.063671187,0.026225794,0.008819629,0.720413923,0.759544015,0.015499020,0.010277805,0.001939909,0.004247159,0.000000241,0.000003097
0.000005545,0.191739202,0.125402242,0.035984196,0.002508096,0.003640216,0.000155093,0.000001092,0.000000303,0.259258479,0.196822941,0.204146683,0.205142736,0.040959273,0.113130592,0.116302207,0.054282568,0.058659855,0.056359947,0.407546312,0.462337285,0.003017135,0.002492160,0.000256583,0.002200867,0.019931262,0.000019046,0.004085894,0.006593549,0.054075193,0.002783464,0.001774836,0.000301157,0.000216037,0.001318177,0.001453389,0.071999162,0.123723716,0.000801052,0.003165785,0.071239062,0.063665293,0.026247490,0.008811916,0.720278561,0.759454250,0.015504899,0.010263381,0.001934037,0.004236575,0.000000241,0.000003093
