_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000197,0.000067477,0.000045886,0.779035568,0.611413002,0.613786101,0.000063656,0.000000190,0.000000286,0.272742540,0.225108847,0.534556270,0.540243268,0.149669141,0.058970802,0.031508133,0.093980484,0.016325258,0.011440758,0.457460046,0.543019235,0.004162056,0.002182088,0.000237801,0.039744657,0.274125218,0.000499296,0.025553711,0.004364656,0.006966790,0.000005076,0.000005981,0.008184986,0.003781919,0.021275584,0.016169028,0.008941046,0.019500900,0.129856452,0.000669454,0.023787430,0.306015581,0.000518812,0.000283185,0.000012424,0.000009458,0.000063222,0.000080600,0.000030590,0.000025327,0.000000898,0.000000154
0.000000209,0.000041534,0.000045958,0.809220552,0.695417881,0.578338861,0.000066383,0.000000239,0.000000384,0.120354936,0.094179638,0.430308551,0.411901832,0.079463765,0.077613652,0.063149609,0.064090684,0.025727637,0.020025697,0.415908039,0.463694036,0.011426529,0.008742755,0.000252505,0.018962722,0.280992329,0.000906995,0.027760042,0.005409317,0.006671325,0.000004215,0.000005945,0.007603393,0.001241999,0.021116026,0.017795101,0.010561277,0.019715594,0.092419796,0.002157991,0.023479564,0.357475817,0.000445221,0.000231212,0.000013345,0.000011030,0.000049111,0.000123601,0.000030392,0.000021904,0.000000985,0.000000199
0.000000231,0.000051351,0.000057765,0.742790163,0.729175210,0.582827568,0.000061765,0.000000250,0.000000410,0.092472658,0.051414087,0.234354138,0.236822009,0.132369310,0.043032851,0.034447353,0.114599451,0.047433496,0.046601832,0.381301820,0.379939884,0.013246261,0.014795413,0.000191732,0.015877405,0.280908585,0.000987728,0.024552705,0.004234847,0.004804052,0.000005430,0.000006905,0.006518971,0.001048071,0.017461780,0.014049121,0.010816337,0.017778292,0.081786245,0.002396078,0.023751581,0.339289248,0.000527285,0.000290631,0.000012510,0.000009463,0.000066448,0.000104192,0.000032097,0.000022347,0.000000977,0.000000207
0.000000267,0.000043549,0.000024461,0.785265207,0.749448657,0.703376532,0.000073152,0.000000282,0.000000467,0.071164966,0.027926831,0.252224922,0.255582333,0.150913969,0.037799127,0.028028233,0.131156102,0.042175926,0.040458415,0.338458866,0.261365891,0.015894698,0.025526585,0.000200430,0.014935451,0.308966160,0.001072499,0.025261817,0.005309014,0.006019989,0.000005846,0.000007513,0.005903777,0.001295330,0.016001076,0.013439383,0.014743318,0.022235204,0.062747411,0.001914243,0.022957988,0.300433367,0.000704917,0.000402079,0.000021074,0.000016001,0.000077452,0.000112574,0.000045187,0.000030436,0.000000950,0.000000210
0.000000304,0.000045594,0.000032782,0.758351803,0.752383530,0.662007809,0.000081736,0.000000324,0.000000450,0.055670317,0.028166955,0.245641172,0.248542875,0.121563256,0.045922931,0.034720004,0.105172411,0.042484641,0.041810896,0.301255196,0.299628854,0.018975351,0.024116298,0.000222939,0.012445157,0.308888227,0.001018723,0.019954227,0.003747642,0.005940652,0.000020825,0.000026677,0.003639834,0.001430969,0.023686433,0.017410444,0.018051270,0.043621756,0.021702053,0.000835789,0.025178360,0.246495619,0.000999091,0.000530311,0.000035637,0.000032682,0.000128165,0.000240268,0.000066259,0.000052182,0.000000907,0.000000305
0.000000443,0.000030525,0.000024031,0.832590222,0.717519045,0.697914362,0.000083039,0.000000500,0.000000417,0.312704414,0.271949917,0.624186754,0.615238905,0.106672935,0.111566179,0.053212658,0.036260724,0.010637135,0.006127882,0.478569478,0.508919120,0.003206200,0.001520991,0.000218684,0.016203290,0.292810172,0.000740399,0.027814968,0.002747554,0.004488493,0.000139207,0.000188379,0.002273892,0.002525488,0.015305061,0.013616664,0.020333784,0.045544699,0.018357592,0.000371314,0.032126985,0.146863848,0.002582368,0.000837961,0.000049520,0.000041305,0.000218891,0.000748722,0.000115950,0.000083633,0.000001350,0.000000413
0.000000363,0.000018568,0.000016928,0.854985654,0.776818395,0.726135015,0.000122820,0.000000549,0.000000352,0.340667367,0.360660881,0.703859091,0.688076854,0.124192797,0.095177069,0.043445025,0.051130522,0.008080129,0.003846695,0.453554928,0.465892285,0.003319691,0.000813277,0.000312635,0.018187985,0.320290029,0.000905569,0.014014263,0.002274748,0.009219382,0.000189726,0.000215961,0.002933856,0.001618152,0.033579886,0.025147298,0.016585538,0.069552846,0.010265080,0.000452751,0.028010648,0.126284972,0.002109851,0.001247891,0.000095312,0.000101702,0.000326289,0.000758524,0.000253181,0.000289714,0.000001696,0.000000449
0.000000518,0.000013652,0.000007348,0.907549143,0.820453346,0.819755197,0.000124343,0.000000968,0.000000494,0.560302734,0.475623965,0.766596317,0.772619367,0.099458121,0.105172060,0.060867369,0.043272410,0.005155345,0.003134221,0.435693920,0.518198609,0.001356734,0.000497450,0.000413423,0.014270312,0.290064812,0.000569953,0.017694907,0.001899225,0.004220892,0.001470284,0.001680595,0.001990582,0.001676863,0.028234838,0.026027672,0.020159552,0.051613335,0.004993857,0.000242701,0.017872835,0.051645126,0.002092116,0.001453713,0.000417071,0.000383405,0.001657812,0.003987265,0.000568340,0.000562303,0.000002159,0.000000712
0.000000541,0.000008158,0.000007881,0.929166794,0.877238691,0.829368651,0.000109912,0.000000963,0.000000559,0.569042683,0.488735735,0.786364257,0.788767874,0.099637769,0.105369791,0.064299576,0.043854333,0.004648226,0.003023267,0.379951715,0.583315313,0.001478167,0.000465646,0.000335948,0.014284048,0.233991235,0.000559061,0.017506808,0.001941491,0.002531633,0.001582508,0.001826428,0.001672960,0.003694454,0.021131229,0.022084525,0.019441936,0.035377905,0.008822269,0.000136305,0.035537299,0.082395501,0.003367281,0.001520145,0.000160274,0.000115710,0.001281095,0.002341954,0.000482005,0.000395524,0.000001903,0.000000559
0.000000877,0.000041829,0.000038368,0.784759998,0.686595559,0.613574266,0.000081077,0.000000951,0.000000475,0.540513277,0.423977047,0.618343294,0.627717614,0.087247506,0.126188681,0.069700807,0.030498954,0.009229053,0.008426138,0.400367767,0.632722497,0.001168409,0.000495206,0.000230353,0.005823976,0.244704396,0.000727784,0.019209554,0.001110584,0.001829623,0.009973038,0.011896028,0.000594684,0.002215724,0.014414336,0.016447065,0.020134429,0.045393124,0.004167174,0.000091872,0.045023654,0.052989531,0.008114942,0.001810233,0.000128718,0.000104818,0.002081957,0.007141217,0.000439648,0.000363133,0.000001420,0.000000617
0.000001136,0.000187449,0.000101009,0.657904983,0.503673851,0.573806286,0.000123051,0.000000587,0.000000467,0.476656139,0.345154643,0.434409648,0.438949049,0.158183858,0.043935955,0.019812817,0.122798540,0.018344246,0.015964843,0.410104603,0.518180013,0.001280906,0.000665624,0.000267999,0.003757654,0.214115471,0.000571567,0.018907228,0.002980764,0.001255866,0.005298650,0.006555387,0.000442979,0.000804264,0.016709771,0.032845095,0.049585368,0.028890345,0.003503320,0.000174371,0.047610104,0.047299288,0.005243155,0.001110927,0.000174698,0.000098825,0.001926259,0.004625183,0.000432890,0.000260623,0.000001264,0.000000756
0.000001289,0.000103268,0.000042168,0.693179607,0.618939340,0.647637486,0.000251275,0.000002013,0.000000440,0.283125579,0.263480395,0.354881912,0.342072070,0.103638917,0.062801190,0.039780714,0.062966697,0.027455017,0.020603716,0.261795551,0.510968745,0.002923599,0.001284513,0.000683292,0.001770426,0.339248121,0.001238101,0.006334277,0.005115887,0.001199150,0.099675782,0.107532211,0.001688058,0.001143646,0.053800926,0.101657748,0.032954019,0.015697157,0.001978701,0.000036797,0.012034806,0.006765324,0.002302086,0.004730077,0.003090936,0.001786469,0.056301411,0.029072057,0.009584638,0.007320585,0.000002922,0.000001447
0.000001403,0.000100248,0.000036093,0.738490939,0.537801266,0.681497753,0.000360224,0.000001625,0.000000790,0.283230752,0.213760853,0.356548131,0.341353208,0.078213669,0.074889913,0.054921683,0.054559171,0.028948897,0.026523123,0.447908491,0.594333410,0.002714758,0.002498373,0.000921410,0.001847219,0.304684132,0.001177490,0.011382150,0.009092505,0.002452654,0.040361721,0.041546147,0.000541158,0.000516858,0.076778002,0.144861937,0.097335219,0.032285910,0.000551984,0.000092262,0.016562069,0.019952893,0.001927964,0.001236152,0.004964141,0.002488410,0.044626620,0.022582494,0.003372321,0.002022748,0.000001975,0.000001612
0.000002307,0.000251209,0.000092458,0.547356009,0.489466697,0.720771134,0.000274092,0.000001368,0.000001096,0.276024610,0.139620915,0.297818601,0.286674619,0.029287243,0.192240819,0.177957743,0.013061843,0.029621581,0.029273415,0.422700018,0.499140799,0.002355277,0.003478729,0.000748704,0.001436683,0.220398530,0.000551996,0.013537981,0.009650331,0.001257260,0.077936374,0.082926385,0.000389738,0.002216090,0.031611837,0.062999763,0.133261055,0.037398282,0.000223668,0.000015788,0.030777909,0.040715311,0.002949004,0.001925251,0.005074283,0.002305567,0.081230506,0.038457498,0.005708138,0.003188219,0.000001472,0.000001825
0.000000988,0.000099395,0.000036011,0.618542671,0.714424074,0.824596763,0.000135556,0.000000876,0.000000887,0.086134590,0.038629346,0.215606794,0.222430944,0.018784255,0.276250780,0.271038920,0.005970669,0.041375909,0.033544607,0.311024845,0.136791676,0.012216911,0.015087750,0.000269129,0.001165869,0.230006680,0.001771591,0.007121790,0.002909689,0.000946204,0.008853047,0.011955734,0.000917064,0.001758366,0.032882489,0.043848038,0.039827455,0.023910999,0.001840802,0.000075488,0.032951038,0.047976438,0.003253171,0.003413849,0.000277739,0.000166889,0.003437791,0.006336618,0.001603155,0.000821919,0.000002811,0.000001233
