_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000002915,0.832325757,0.871763945,0.000020814,0.000309928,0.000650684,0.000031388,0.000000424,0.000000285,0.149323225,0.311591506,0.089776501,0.121109940,0.148212194,0.022070298,0.044329360,0.213947147,0.123414755,0.091856450,0.650611877,0.391338557,0.004155166,0.001255587,0.000126473,0.000004928,0.000661516,0.002447812,0.000059036,0.015839977,0.004838928,0.037237011,0.028063323,0.000165640,0.000008522,0.000412290,0.001013293,0.358045161,0.020862786,0.003189800,0.043035287,0.012199206,0.001019577,0.073829785,0.034220681,0.035410784,0.015908772,0.054577593,0.011799068,0.000523439,0.000615254,0.000002233,0.000000763
0.000003958,0.805666745,0.863225877,0.000031757,0.000310081,0.000526017,0.000025383,0.000000544,0.000000326,0.131247148,0.258149475,0.101417169,0.129440635,0.202560470,0.016350646,0.035639640,0.275510818,0.118469365,0.092020601,0.656531453,0.499268383,0.004767402,0.001709020,0.000112631,0.000003220,0.000656124,0.003265087,0.000063629,0.017398644,0.007658402,0.066212714,0.059439547,0.000150745,0.000013998,0.000294670,0.000588836,0.335446894,0.035923127,0.002281698,0.018395765,0.016347310,0.001480550,0.099959791,0.025687400,0.036801420,0.023565384,0.044924915,0.029350821,0.000286161,0.000417544,0.000001630,0.000000988
0.000003892,0.821456492,0.870384276,0.000021362,0.000340491,0.000566496,0.000027054,0.000000486,0.000000306,0.147225618,0.310521573,0.116687693,0.143214896,0.247555941,0.014652725,0.028703112,0.281833619,0.101782270,0.080692373,0.647816658,0.482830197,0.004024527,0.001336204,0.000107047,0.000002836,0.000688462,0.003776373,0.000067191,0.017098142,0.007242471,0.059841841,0.053370122,0.000143233,0.000016923,0.000299222,0.000598996,0.320154548,0.035299182,0.002356023,0.015432252,0.015792940,0.001369425,0.094067857,0.028602149,0.039695635,0.026329264,0.045666631,0.030021248,0.000394793,0.000567911,0.000001643,0.000000860
0.000004547,0.802248001,0.864707410,0.000039832,0.000370240,0.000544584,0.000027500,0.000000679,0.000000384,0.130327106,0.202126518,0.102725342,0.122211054,0.226965532,0.012140666,0.031153243,0.313545167,0.110360965,0.090847008,0.626952887,0.491473913,0.004913270,0.002369598,0.000098161,0.000003031,0.000738190,0.004167619,0.000069681,0.020362196,0.004566961,0.081417337,0.069752060,0.000116637,0.000008674,0.000287644,0.000748027,0.411522329,0.024424255,0.002157326,0.035097022,0.018186240,0.001849159,0.145578817,0.034459069,0.026610807,0.012297994,0.052789528,0.018272996,0.000433470,0.000532033,0.000001836,0.000001191
0.000003750,0.840632915,0.877274036,0.000038041,0.000258102,0.000456586,0.000026423,0.000000553,0.000000345,0.149369806,0.259525836,0.132652044,0.165411294,0.141356006,0.023477618,0.050075822,0.222146913,0.092253022,0.073164687,0.676084518,0.533796549,0.004132783,0.001709716,0.000121420,0.000003772,0.000674215,0.003087466,0.000074412,0.015941242,0.002920503,0.060685802,0.055657521,0.000161561,0.000007979,0.000313456,0.000943266,0.346688509,0.017409164,0.003862916,0.045736209,0.011442479,0.001311721,0.086089872,0.031308208,0.020327123,0.009551222,0.038251024,0.021151235,0.000381298,0.000442977,0.000002178,0.000001124
0.000004856,0.783781111,0.852516294,0.000042624,0.000253314,0.000525763,0.000034438,0.000000412,0.000000412,0.141983017,0.324770629,0.092452228,0.120491862,0.144352451,0.028500479,0.048025038,0.186221763,0.129401058,0.101683259,0.641823411,0.520661712,0.004110359,0.001048668,0.000096397,0.000006701,0.001095328,0.001881520,0.000099357,0.019603480,0.009291778,0.105192766,0.090945512,0.000068860,0.000053013,0.000302863,0.000502759,0.327050924,0.051280800,0.000655053,0.003345628,0.032529954,0.003308918,0.145307466,0.025036249,0.042241242,0.028219758,0.071416669,0.034701798,0.000359124,0.000531219,0.000001074,0.000000905
0.000004527,0.718468785,0.823616683,0.000051549,0.000347006,0.000580068,0.000027152,0.000000357,0.000000448,0.144951165,0.330001414,0.104088441,0.120063536,0.053398229,0.089722194,0.103379801,0.073447190,0.116525158,0.103826314,0.569735289,0.522863150,0.004437844,0.001029539,0.000097550,0.000005402,0.000648076,0.001938861,0.000051665,0.021388872,0.005752368,0.081533656,0.079220504,0.000079652,0.000029587,0.000263213,0.000559258,0.365022182,0.041025959,0.000991234,0.007589741,0.016353199,0.001893554,0.156336874,0.038011428,0.046411760,0.026573012,0.065379106,0.036927577,0.000521605,0.000737349,0.000002094,0.000000848
0.000003757,0.826917231,0.876368344,0.000024857,0.000174302,0.000363272,0.000032198,0.000000334,0.000000408,0.279610157,0.452845067,0.108402662,0.129381731,0.086817585,0.064831778,0.077257425,0.097323433,0.125343889,0.110100105,0.703948498,0.580747485,0.001800281,0.000513779,0.000148134,0.000016973,0.001431117,0.000914126,0.000160146,0.007034574,0.009507170,0.133807927,0.109227516,0.000094709,0.000026423,0.000474301,0.000768828,0.238114983,0.064421438,0.000988306,0.006374808,0.029217644,0.004449714,0.063876837,0.013871642,0.021360759,0.018711776,0.094700366,0.058627475,0.000178121,0.000425197,0.000001173,0.000000697
0.000005901,0.848518848,0.894416809,0.000017017,0.000106674,0.000384337,0.000046213,0.000000285,0.000000475,0.258965909,0.470939249,0.111995198,0.146544307,0.102813542,0.050636526,0.064922355,0.120521463,0.122874998,0.094260998,0.765788436,0.540998220,0.002099319,0.000449190,0.000125746,0.000019936,0.001962509,0.000750023,0.000236909,0.014618974,0.007100744,0.117563650,0.104437441,0.000078342,0.000124647,0.000355010,0.000757190,0.278527975,0.054230504,0.000633199,0.001442748,0.035620958,0.005226930,0.088195018,0.017231507,0.024951624,0.018682100,0.051139545,0.039141055,0.000408813,0.000679716,0.000000937,0.000000847
0.000004084,0.840532780,0.880945623,0.000008154,0.000193082,0.000419715,0.000042977,0.000000297,0.000000285,0.270452976,0.417187124,0.122954465,0.142556071,0.110976160,0.042716153,0.057011250,0.124012992,0.112729035,0.096220426,0.736695349,0.597851872,0.001693638,0.000581106,0.000152885,0.000013802,0.002016296,0.000989454,0.000329714,0.007220100,0.015888890,0.066805884,0.052572522,0.000119170,0.000138657,0.000567054,0.000783717,0.167686105,0.104097001,0.000695243,0.001208440,0.026057113,0.004108534,0.049148340,0.013561249,0.033472732,0.037104893,0.040003564,0.030974755,0.000355588,0.000715058,0.000000607,0.000000690
