_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000005441,0.733610630,0.727667093,0.000027352,0.000407294,0.000578497,0.000331384,0.000000593,0.000000678,0.409557730,0.140085354,0.466909677,0.471179575,0.165139735,0.044053376,0.028500775,0.162371233,0.017974816,0.024371721,0.570675373,0.567845166,0.001815774,0.004311881,0.000852638,0.005042835,0.021971030,0.000036039,0.002141337,0.017298901,0.001991462,0.000749953,0.000837321,0.004176086,0.005885858,0.007213766,0.019753303,0.074823312,0.025711618,0.003570857,0.000032184,0.011315040,0.040329605,0.004823064,0.011697662,0.813478947,0.549961030,0.008737236,0.009883706,0.101269059,0.047023151,0.000000370,0.000004570
0.000006383,0.745957017,0.766201019,0.000028113,0.000394156,0.000439955,0.000393481,0.000000771,0.000000770,0.335534960,0.121070184,0.395481080,0.371656746,0.141548783,0.049448211,0.037563909,0.142852783,0.026258193,0.035537906,0.488490999,0.590087056,0.002518289,0.005399422,0.000944771,0.004965854,0.023584610,0.000038314,0.001850732,0.013181839,0.002484133,0.001276886,0.001408539,0.004667147,0.004273867,0.010775730,0.028024971,0.073996767,0.032155380,0.002731237,0.000039597,0.013689361,0.052554321,0.005166942,0.013184654,0.831509352,0.621268392,0.012212164,0.014048032,0.153903335,0.083245032,0.000000373,0.000005402
0.000010034,0.789683938,0.775508940,0.000020508,0.000326757,0.000475517,0.000726376,0.000000873,0.000001009,0.335366338,0.118387386,0.412040263,0.392345518,0.172066063,0.035945352,0.032835912,0.174290627,0.025961997,0.029116323,0.569160938,0.514561296,0.002850475,0.005027098,0.001103359,0.014630306,0.052064102,0.000029934,0.003441981,0.017812379,0.004663030,0.001054921,0.001175515,0.004157317,0.003980660,0.020035001,0.046132922,0.102538660,0.064265288,0.001593999,0.000040304,0.035484605,0.117128603,0.007516025,0.014477520,0.796744943,0.609511971,0.006362419,0.010657392,0.215001136,0.135194302,0.000000293,0.000007420
0.000009152,0.793267846,0.790865600,0.000019198,0.000330604,0.000425855,0.000661076,0.000000759,0.000000932,0.323102981,0.129372776,0.400154263,0.375411749,0.161978185,0.040020294,0.037251003,0.165207684,0.028607760,0.033581279,0.560916305,0.562348843,0.002940321,0.005007801,0.001042148,0.013138503,0.049669459,0.000029203,0.003568626,0.017321192,0.004414183,0.000958724,0.001069153,0.003865677,0.004243448,0.015578103,0.037337594,0.100236498,0.059135642,0.001426602,0.000038369,0.027702259,0.125513420,0.005896433,0.012176295,0.813228250,0.638195276,0.007590182,0.012834009,0.174609616,0.107604466,0.000000277,0.000007007
0.000006746,0.810425997,0.789729595,0.000013946,0.000323819,0.000498166,0.000961181,0.000000708,0.000001016,0.425128132,0.180871159,0.504957974,0.492392719,0.157856524,0.044228237,0.034889936,0.158353478,0.018213294,0.021975541,0.604085565,0.598932028,0.002019183,0.003004846,0.001681985,0.027771182,0.071086124,0.000024074,0.003697600,0.012540934,0.006603354,0.001402515,0.001259766,0.004057977,0.008423270,0.052778088,0.099191941,0.088271849,0.094970964,0.000961988,0.000011783,0.031472616,0.137942418,0.005103345,0.009008348,0.804848492,0.656298995,0.012254057,0.010635317,0.287775159,0.194384962,0.000000243,0.000006256
0.000007973,0.777552605,0.752323806,0.000023932,0.000329369,0.000445964,0.000791769,0.000000922,0.000000820,0.330057621,0.181136876,0.409281701,0.386853009,0.077152245,0.091021061,0.077229403,0.078238353,0.029533084,0.032453284,0.546002388,0.568954587,0.002828944,0.003157908,0.001450034,0.008087094,0.042445261,0.000037469,0.003266564,0.010341732,0.005617679,0.002670223,0.002661125,0.004184211,0.004559867,0.031477626,0.060836710,0.071785532,0.069126673,0.001498045,0.000026882,0.027527269,0.070470586,0.007884126,0.013037499,0.834400773,0.709717631,0.015756568,0.015950289,0.286942393,0.221164569,0.000000298,0.000005519
0.000008260,0.776742220,0.784902334,0.000027694,0.000435795,0.000396187,0.000932208,0.000000790,0.000000882,0.499625742,0.315314651,0.481297553,0.464092076,0.127550706,0.080879062,0.051775366,0.082497947,0.021260520,0.025353070,0.599547386,0.669787645,0.001447809,0.001300089,0.001643164,0.007717555,0.088668138,0.000101663,0.005660673,0.012134092,0.005942163,0.001403174,0.001274709,0.004149151,0.003174669,0.046634700,0.110742517,0.101452388,0.085202910,0.000868523,0.000038863,0.025624299,0.159542277,0.004382122,0.008576731,0.826909065,0.712419152,0.013617569,0.015546655,0.248900726,0.187629208,0.000000304,0.000005566
0.000006002,0.794278622,0.788474679,0.000021277,0.000285042,0.000350142,0.000927111,0.000000656,0.000000637,0.454345018,0.328457445,0.467982799,0.449532777,0.083299629,0.114260048,0.087521598,0.056720763,0.026183931,0.029363493,0.643796325,0.703088641,0.001794108,0.001399270,0.001514730,0.007192194,0.090709999,0.000098924,0.006276362,0.013590623,0.008318531,0.000647758,0.000564469,0.004628681,0.003962018,0.040247824,0.094951905,0.093836144,0.076369591,0.001101768,0.000040180,0.016765567,0.140019208,0.002983900,0.007455486,0.862343311,0.744134068,0.015645565,0.009483450,0.194189012,0.147905126,0.000000265,0.000004352
0.000010229,0.745915174,0.716646016,0.000034492,0.001063230,0.000966385,0.001213520,0.000001061,0.000000840,0.583612144,0.486867666,0.685236454,0.677554190,0.159293786,0.111138731,0.042327575,0.062506810,0.009961025,0.007661346,0.617564976,0.664793909,0.001333339,0.000493660,0.001901164,0.003655954,0.051470056,0.000147375,0.003076418,0.015479779,0.014287809,0.002026014,0.001815330,0.005302131,0.006968750,0.060732178,0.116981328,0.120221637,0.163006157,0.000807123,0.000021588,0.028879954,0.101163819,0.009454403,0.014206129,0.860973299,0.796123505,0.014669836,0.015829057,0.507085443,0.415717393,0.000000456,0.000006077
0.000006624,0.650799692,0.587260067,0.000245846,0.001714792,0.001683501,0.000638715,0.000001596,0.000000558,0.799938262,0.574667633,0.793867946,0.800017536,0.201331094,0.074830614,0.028586639,0.110347167,0.003780609,0.004162192,0.661642313,0.670505643,0.000465090,0.000331440,0.001324081,0.001742338,0.022909814,0.000102030,0.002284687,0.009147277,0.017225605,0.001852482,0.001449873,0.006284557,0.001535262,0.031196712,0.054759260,0.091107704,0.090719908,0.002356928,0.000172177,0.019030575,0.032124724,0.013547490,0.017784255,0.871856689,0.771631360,0.021111866,0.007633551,0.519546390,0.446493685,0.000000493,0.000005009
