_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000707,0.009541862,0.005294115,0.299639434,0.072882958,0.081036501,0.000036506,0.000000341,0.000000232,0.052611202,0.032529492,0.033585656,0.040593769,0.022385331,0.193933442,0.209118471,0.008647585,0.213610068,0.233592883,0.513746679,0.290209919,0.013105940,0.010367175,0.000169298,0.014689755,0.226836264,0.000109641,0.007066679,0.002316176,0.000601982,0.000225398,0.000341022,0.013842697,0.001175653,0.012142674,0.019189397,0.006273603,0.004132500,0.044115391,0.000390508,0.005068826,0.045245536,0.000477995,0.004737635,0.000055676,0.000040586,0.000319033,0.001373666,0.000347054,0.000210496,0.000001804,0.000000914
0.000000660,0.009962516,0.005626911,0.282542765,0.072934076,0.083107874,0.000040294,0.000000324,0.000000190,0.060189866,0.038436916,0.035883076,0.044448979,0.028041253,0.164136380,0.169662878,0.011551256,0.204009220,0.220169127,0.524570227,0.281763017,0.012154273,0.008043416,0.000192067,0.015494145,0.211756989,0.000081203,0.006941589,0.001438085,0.000767589,0.000327357,0.000415638,0.012494111,0.001166011,0.014223368,0.019209359,0.006214586,0.005988494,0.029682187,0.000328827,0.004024547,0.032667760,0.000447163,0.005045663,0.000095796,0.000078498,0.000549565,0.001561263,0.000382955,0.000278090,0.000001652,0.000000947
0.000000626,0.008185191,0.004562036,0.299358428,0.084370986,0.091044165,0.000042236,0.000000253,0.000000183,0.051885821,0.032976486,0.025831886,0.029412033,0.023004634,0.188600793,0.206323773,0.008963088,0.261589348,0.280788511,0.497038126,0.267968237,0.012595601,0.009013751,0.000204752,0.013116757,0.243742302,0.000096581,0.009485718,0.002617617,0.001278891,0.000092769,0.000124279,0.014112320,0.001354718,0.014135825,0.019388895,0.008432387,0.007528124,0.026509957,0.000380293,0.003351318,0.035953712,0.000328107,0.003529125,0.000153074,0.000133468,0.000367706,0.001288840,0.000413228,0.000288212,0.000001431,0.000000680
0.000000195,0.003424926,0.003262826,0.260695100,0.138375044,0.107299946,0.000079585,0.000000097,0.000000125,0.239230290,0.202630579,0.312759846,0.311969370,0.021035310,0.264205813,0.287442505,0.005529113,0.037418026,0.029709907,0.544587255,0.498789340,0.003621899,0.001631908,0.000643040,0.014418177,0.328085095,0.000123994,0.014256058,0.011880222,0.003249847,0.000015597,0.000018160,0.018077377,0.003523186,0.043574251,0.077875733,0.019676231,0.009886220,0.019079164,0.000115742,0.001238401,0.023431256,0.000046508,0.000591562,0.001282869,0.000876762,0.000648651,0.000823047,0.000299456,0.000179477,0.000001110,0.000000417
0.000000228,0.004938562,0.004581611,0.218497694,0.118986435,0.094986521,0.000086573,0.000000094,0.000000145,0.232263073,0.201454610,0.357778400,0.350182265,0.027231712,0.191575617,0.202693895,0.009977978,0.032448124,0.024519859,0.580297709,0.511136770,0.003774227,0.001596851,0.000665710,0.015677631,0.317241937,0.000114640,0.015329975,0.015845407,0.002366857,0.000013684,0.000016672,0.018106252,0.002560609,0.037039664,0.077641062,0.023536660,0.007282749,0.019620959,0.000173941,0.001265247,0.026513804,0.000042123,0.000573785,0.001316834,0.000777892,0.000640065,0.000775621,0.000271892,0.000135882,0.000001096,0.000000509
0.000000362,0.019970888,0.013783108,0.080032386,0.066316962,0.078954063,0.000143588,0.000000079,0.000000106,0.604103684,0.590708852,0.619556546,0.597340882,0.070085496,0.122788228,0.079076573,0.025134241,0.014488797,0.007544352,0.790889442,0.631334066,0.000941822,0.000149495,0.000750946,0.015725054,0.316290021,0.000122753,0.021186616,0.007984010,0.010881199,0.000013086,0.000011321,0.019563600,0.001990207,0.057794020,0.101493597,0.027240537,0.025517270,0.017422162,0.000258998,0.001816875,0.020090654,0.000064252,0.000510900,0.002178444,0.001995746,0.000718913,0.000685716,0.000335968,0.000272621,0.000000841,0.000000495
0.000000320,0.018599266,0.016906081,0.094310224,0.060616083,0.061397392,0.000121234,0.000000086,0.000000094,0.615519345,0.586293101,0.623249531,0.595803976,0.048242737,0.135392219,0.120036960,0.020173201,0.013834362,0.008261450,0.745829940,0.627066851,0.000890074,0.000154424,0.000736404,0.010922450,0.325614899,0.000137175,0.023497596,0.007292484,0.009747393,0.000015589,0.000014047,0.022282152,0.002487495,0.046803787,0.081841551,0.022343976,0.023763612,0.018709533,0.000187377,0.001369779,0.013070225,0.000053109,0.000518301,0.003344696,0.003294003,0.000929899,0.000979793,0.000338265,0.000283049,0.000000748,0.000000474
0.000000236,0.012163334,0.013598359,0.153317004,0.054271188,0.049398523,0.000109556,0.000000081,0.000000097,0.231021672,0.236821264,0.173310980,0.198474377,0.170423046,0.024417471,0.023169244,0.159057170,0.068304703,0.063303240,0.670177281,0.630182147,0.003512127,0.001151439,0.000552673,0.012323993,0.325564533,0.000136958,0.021138370,0.016732626,0.006570138,0.000005937,0.000005580,0.016632371,0.002317097,0.041793611,0.071790919,0.020991810,0.012216461,0.025695520,0.000206161,0.002103839,0.022730071,0.000049373,0.000304090,0.001049492,0.000767786,0.000457459,0.000306678,0.000145452,0.000079969,0.000000401,0.000000369
0.000000282,0.011143300,0.008527241,0.194585383,0.049239952,0.059358448,0.000137256,0.000000105,0.000000110,0.227842227,0.208437592,0.125176787,0.150678143,0.180253863,0.022978442,0.019665468,0.172622427,0.088872962,0.080559291,0.723330855,0.529137611,0.003447242,0.001274502,0.000773266,0.010017136,0.349400401,0.000162751,0.016917950,0.011617270,0.008924675,0.000009126,0.000008686,0.011682699,0.001242533,0.066888444,0.099337623,0.022344988,0.023045897,0.008627008,0.000279877,0.001702999,0.018872293,0.000051872,0.000391681,0.002213459,0.002287896,0.000545625,0.000743946,0.000302465,0.000188921,0.000000543,0.000000518
0.000000373,0.010655351,0.007421966,0.231310368,0.052092619,0.064690769,0.000110198,0.000000114,0.000000143,0.265326977,0.207021013,0.140992433,0.164615944,0.242928877,0.015386927,0.015719157,0.222020835,0.077441148,0.071711332,0.727643609,0.537136674,0.002808491,0.001294880,0.000617459,0.012022946,0.286646247,0.000115166,0.017935736,0.026092719,0.004084333,0.000006350,0.000007874,0.014356192,0.001986404,0.039205603,0.072692059,0.028420970,0.012660568,0.016888687,0.000255994,0.002522426,0.020887783,0.000072495,0.000504352,0.001353361,0.001041565,0.000290801,0.000724729,0.000310630,0.000131068,0.000000589,0.000000540
